Document_ID,Customer_ID,Document_Type,Document_Date,Image_Quality_Score,OCR_Confidence,Fields_Extracted,Expected_Fields,File_Size_KB,Status
DOC0000030,C000397,Slip Gaji,2026-07-16,0.821,0.99,6,11,2643,NEEDS_REVIEW
DOC0000031,C000201,KTP,2025-12-24,0.889,0.924,5,10,2142,NEEDS_REVIEW
DOC0000032,C000117,Form Aplikasi,2025-08-19,0.826,0.793,10,6,3344,INVALID
DOC0000033,C000077,Surat Kerja,2026-07-22,0.602,0.897,10,10,3047,VALID
DOC0000034,C000084,Rekening Koran,2025-01-09,0.849,0.769,8,7,1401,VALID
DOC0000035,C000166,Surat Kerja,2024-12-23,1.0,0.816,5,7,4137,VALID
DOC0000036,C000646,Form Aplikasi,2024-05-23,0.912,0.88,7,6,2738,VALID
DOC0000037,C000015,KTP,2026-03-14,0.793,0.948,7,10,1644,VALID
DOC0000038,C000515,Form Aplikasi,2026-05-25,0.898,0.902,9,9,4748,VALID
DOC0000039,C000291,Slip Gaji,2024-04-16,0.891,0.821,4,8,4630,VALID
DOC0000040,C000586,Form Aplikasi,2026-04-23,0.727,0.872,9,9,3112,VALID
DOC0000041,C000545,Rekening Koran,2026-02-23,0.878,1.0,7,10,3226,VALID
DOC0000042,C000043,Rekening Koran,2024-05-19,0.899,1.0,8,8,3705,VALID
DOC0000043,C000229,Surat Kerja,2026-05-04,0.82,1.0,7,10,1695,VALID
DOC0000044,C000672,NPWP,2026-04-28,0.959,0.886,4,7,949,VALID
DOC0000045,C000514,Surat Kerja,2025-09-13,0.837,1.0,9,9,495,NEEDS_REVIEW
DOC0000046,C000506,Form Aplikasi,2024-05-17,0.798,1.0,11,10,4662,VALID
DOC0000047,C000662,NPWP,2024-01-08,0.779,0.935,8,8,2372,VALID
DOC0000048,C000509,Surat Kerja,2026-02-02,1.0,0.745,10,6,3946,VALID
DOC0000049,C000082,NPWP,2025-12-31,0.962,0.864,6,10,4499,VALID
DOC0000050,C000444,Slip Gaji,2024-09-27,0.842,0.898,4,11,2810,VALID
DOC0000051,C000307,Surat Kerja,2025-09-04,0.771,0.844,7,6,1931,NEEDS_REVIEW
DOC0000052,C000004,Form Aplikasi,2025-12-18,0.926,1.0,4,6,2432,VALID
DOC0000053,C000412,KTP,2026-08-26,1.0,0.782,7,7,2256,VALID
DOC0000054,C000361,Surat Kerja,2026-07-07,0.69,0.725,9,7,3907,VALID
DOC0000055,C000585,Form Aplikasi,2025-11-11,0.781,0.921,11,11,222,VALID
DOC0000056,C000317,Surat Kerja,2024-05-23,0.958,0.879,11,6,106,VALID
DOC0000057,C000004,NPWP,2024-09-01,0.704,0.791,4,10,4020,NEEDS_REVIEW
DOC0000058,C000085,Surat Kerja,2026-02-11,1.0,0.904,9,9,2736,VALID
DOC0000059,C000521,Form Aplikasi,2024-01-16,0.789,0.792,6,6,3572,NEEDS_REVIEW
DOC0000060,C000524,KTP,2025-09-03,0.735,0.948,7,10,2104,VALID
DOC0000061,C000122,KTP,2024-09-11,0.732,0.858,9,11,2896,VALID
DOC0000062,C000174,Slip Gaji,2026-08-04,0.683,0.995,7,11,856,VALID
DOC0000063,C000104,Rekening Koran,2026-08-05,1.0,1.0,6,6,1579,VALID
DOC0000064,C000550,NPWP,2025-09-02,0.898,0.843,11,9,3039,VALID
DOC0000065,C000222,Rekening Koran,2024-12-16,1.0,0.998,8,9,3533,VALID
DOC0000066,C000411,Slip Gaji,2025-10-14,0.819,0.995,8,9,2669,VALID
DOC0000067,C000253,Surat Kerja,2026-01-03,0.871,0.956,8,7,4015,VALID
DOC0000068,C000363,Rekening Koran,2026-04-17,0.933,0.963,10,6,462,VALID
DOC0000069,C000197,KTP,2025-03-12,0.972,0.763,0,10,3554,VALID
DOC0000070,C000599,KTP,2025-05-16,0.774,0.79,11,6,4977,VALID
DOC0000071,C000297,Surat Kerja,2024-11-06,0.673,0.886,6,6,3400,VALID
DOC0000072,C000147,KTP,2026-08-16,0.777,0.982,8,7,4208,NEEDS_REVIEW
DOC0000073,C000456,Rekening Koran,2024-05-21,0.807,1.0,4,8,2440,VALID
DOC0000074,C000329,KTP,2024-07-11,0.806,0.946,6,7,2491,VALID
DOC0000075,C000506,KTP,2025-05-08,0.658,0.844,8,9,2081,VALID
DOC0000076,C000469,KTP,2026-07-20,0.739,0.967,10,7,2454,VALID
DOC0000077,C000482,Rekening Koran,2026-05-02,0.823,0.85,7,8,2947,VALID
DOC0000078,C000349,KTP,2025-01-26,0.852,0.937,5,6,1747,VALID
DOC0000079,C000182,Form Aplikasi,2024-01-25,0.926,0.925,8,6,2124,VALID
DOC0000080,C000195,NPWP,2026-09-11,0.685,1.0,10,9,4524,VALID
DOC0000081,C000200,Surat Kerja,2026-08-21,0.731,0.967,10,8,3276,VALID
DOC0000082,C000387,Form Aplikasi,2026-08-28,0.713,0.93,9,9,1784,VALID
DOC0000083,C000209,Surat Kerja,2024-02-10,0.798,0.975,6,11,1270,INVALID
DOC0000084,C000288,KTP,2025-03-20,0.785,0.859,10,7,261,VALID
DOC0000085,C000667,KTP,2024-02-18,0.888,0.796,4,11,3720,INVALID
DOC0000086,C000517,KTP,2025-03-19,0.786,1.0,4,11,2611,VALID
DOC0000087,C000371,Rekening Koran,2024-01-30,0.811,1.0,7,11,2659,INVALID
DOC0000088,C000244,Slip Gaji,2025-07-03,0.628,0.885,11,11,1002,VALID
DOC0000089,C000472,Surat Kerja,2024-12-07,0.944,1.0,10,8,2708,VALID
DOC0000090,C000096,Form Aplikasi,2025-05-10,0.708,0.772,11,7,2524,VALID
DOC0000091,C000073,KTP,2024-12-31,0.93,0.936,11,9,4413,VALID
DOC0000092,C000240,Form Aplikasi,2024-12-12,0.858,0.838,11,8,1236,VALID
DOC0000093,C000623,Rekening Koran,2026-06-28,0.552,0.973,4,7,4284,VALID
DOC0000094,C000169,KTP,2025-08-08,1.0,0.944,10,9,2236,VALID
DOC0000095,C000665,NPWP,2026-09-21,0.808,0.872,6,6,2181,NEEDS_REVIEW
DOC0000096,C000457,Rekening Koran,2026-01-09,0.831,0.986,4,7,282,VALID
DOC0000097,C000400,Rekening Koran,2024-03-06,0.836,0.999,0,11,629,VALID
DOC0000098,C000544,Surat Kerja,2024-03-01,0.751,0.955,5,8,825,VALID
DOC0000099,C000002,Form Aplikasi,2024-01-30,0.859,0.893,6,8,2202,INVALID
DOC0000100,C000327,Slip Gaji,2026-04-21,0.995,0.728,10,10,1720,VALID
DOC0000101,C000160,Form Aplikasi,2024-07-10,0.723,0.82,5,9,313,VALID
DOC0000102,C000015,KTP,2026-07-07,0.953,0.975,9,9,2419,VALID
DOC0000103,C000169,NPWP,2025-06-17,0.637,0.918,8,8,880,VALID
DOC0000104,C000696,Slip Gaji,2026-05-05,0.824,0.829,11,11,470,INVALID
DOC0000105,C000253,Slip Gaji,2025-05-30,0.937,0.945,7,9,1642,VALID
DOC0000106,C000603,Slip Gaji,2024-01-30,0.87,0.866,10,10,1563,VALID
DOC0000107,C000517,Form Aplikasi,2025-11-01,1.0,0.911,9,6,930,VALID
DOC0000108,C000085,KTP,2026-09-18,0.85,1.0,7,6,2897,NEEDS_REVIEW
DOC0000109,C000628,Rekening Koran,2025-03-23,0.73,0.898,0,9,729,VALID
DOC0000110,C000207,Surat Kerja,2026-04-27,0.845,0.99,10,11,1328,VALID
DOC0000111,C000130,Slip Gaji,2025-07-07,0.906,1.0,6,10,3610,VALID
DOC0000112,C000688,Rekening Koran,2025-03-04,0.836,0.864,7,11,542,NEEDS_REVIEW
DOC0000113,C000460,Surat Kerja,2025-01-30,0.893,0.819,9,7,4605,NEEDS_REVIEW
DOC0000114,C000601,Slip Gaji,2025-10-07,0.606,0.761,7,8,2623,VALID
DOC0000115,C000457,Surat Kerja,2026-01-01,1.0,0.82,9,11,4317,VALID
DOC0000116,C000558,Slip Gaji,2026-09-15,1.0,0.883,7,10,3619,NEEDS_REVIEW
DOC0000117,C000440,Slip Gaji,2025-01-29,1.0,0.978,4,9,2912,VALID
DOC0000118,C000654,KTP,2024-11-28,0.864,0.932,5,7,3448,VALID
DOC0000119,C000017,Slip Gaji,2026-08-12,0.687,0.905,6,7,2432,VALID
DOC0000120,C000142,Rekening Koran,2024-01-09,0.79,0.906,0,8,522,VALID
DOC0000121,C000671,Rekening Koran,2024-11-08,0.625,0.909,10,7,4393,NEEDS_REVIEW
DOC0000122,C000074,Form Aplikasi,2026-09-11,0.719,0.823,11,7,1174,VALID
DOC0000123,C000387,Surat Kerja,2024-03-22,0.76,0.865,6,8,868,INVALID
DOC0000124,C000263,Surat Kerja,2025-08-07,0.917,0.787,4,10,228,VALID
DOC0000125,C000540,Form Aplikasi,2025-01-19,1.0,0.892,6,7,4244,VALID
DOC0000126,C000455,Rekening Koran,2025-02-17,0.785,0.989,8,11,3755,VALID
DOC0000127,C000238,Slip Gaji,2024-03-15,0.634,0.885,11,6,3904,VALID
DOC0000128,C000198,Rekening Koran,2025-05-05,0.91,0.891,6,6,977,VALID
DOC0000129,C000666,Form Aplikasi,2024-06-13,0.897,0.957,6,11,227,VALID
DOC0000130,C000110,Slip Gaji,2026-07-05,0.919,1.0,8,9,3329,NEEDS_REVIEW
DOC0000131,C000131,Surat Kerja,2026-04-08,0.422,0.772,11,10,1759,VALID
DOC0000132,C000652,Surat Kerja,2024-12-08,1.0,0.91,10,7,1116,VALID
DOC0000133,C000646,NPWP,2026-05-28,0.856,0.801,4,8,2334,VALID
DOC0000134,C000304,NPWP,2024-06-01,0.887,0.959,7,10,3620,VALID
DOC0000135,C000323,NPWP,2025-07-09,0.913,0.947,5,6,3416,INVALID
DOC0000136,C000408,Rekening Koran,2024-02-10,0.9,0.886,5,7,1857,VALID
DOC0000137,C000663,Surat Kerja,2025-08-12,0.847,0.938,8,10,4542,VALID
DOC0000138,C000133,Slip Gaji,2025-10-09,0.81,0.961,10,6,1678,VALID
DOC0000139,C000467,NPWP,2024-06-11,0.905,0.811,10,11,4314,VALID
DOC0000140,C000639,KTP,2025-10-29,0.827,0.883,6,10,4578,VALID
DOC0000141,C000637,Rekening Koran,2026-01-15,0.607,0.881,6,7,3157,VALID
DOC0000142,C000502,Slip Gaji,2026-09-03,0.8,0.949,9,11,4815,VALID
DOC0000143,C000427,Form Aplikasi,2025-12-05,0.941,0.834,7,8,3190,VALID
DOC0000144,C000566,Form Aplikasi,2024-09-01,0.925,0.834,4,10,4983,VALID
DOC0000145,C000535,Rekening Koran,2025-09-25,0.695,1.0,6,7,1348,VALID
DOC0000146,C000254,Slip Gaji,2025-02-13,0.805,1.0,6,6,272,INVALID
DOC0000147,C000235,Surat Kerja,2024-04-25,0.851,0.894,7,8,4993,VALID
DOC0000148,C000662,Rekening Koran,2024-06-02,1.0,0.863,9,6,4697,INVALID
DOC0000149,C000097,Slip Gaji,2025-12-11,0.873,0.877,10,9,947,VALID
DOC0000150,C000354,Rekening Koran,2025-07-06,0.955,0.924,4,11,236,VALID
DOC0000151,C000362,Surat Kerja,2024-06-26,0.977,1.0,7,7,332,VALID
DOC0000152,C000534,Surat Kerja,2024-12-19,0.697,0.846,7,7,1237,INVALID
DOC0000153,C000524,Rekening Koran,2026-07-04,0.831,0.918,4,7,835,VALID
DOC0000154,C000197,KTP,2024-03-08,0.86,0.85,4,6,1743,INVALID
DOC0000155,C000456,KTP,2025-07-07,0.831,0.742,8,8,4110,VALID
DOC0000156,C000296,Surat Kerja,2025-01-29,0.867,0.913,8,10,3594,VALID
DOC0000157,C000325,Slip Gaji,2026-01-29,0.795,0.911,4,8,947,VALID
DOC0000158,C000031,Slip Gaji,2026-04-03,0.976,0.932,5,8,4595,NEEDS_REVIEW
DOC0000159,C000275,Form Aplikasi,2025-04-18,0.566,0.797,9,11,1502,VALID
DOC0000160,C000005,Rekening Koran,2025-07-20,1.0,1.0,0,9,323,VALID
DOC0000161,C000261,Slip Gaji,2025-05-01,0.74,0.903,6,9,856,VALID
DOC0000162,C000270,Rekening Koran,2026-04-24,0.702,0.978,4,8,85,VALID
DOC0000163,C000419,NPWP,2026-06-13,0.934,0.899,10,8,4215,VALID
DOC0000164,C000654,Slip Gaji,2024-01-27,1.0,0.812,5,11,567,VALID
DOC0000165,C000074,KTP,2025-02-26,0.848,0.858,6,8,1281,VALID
DOC0000166,C000039,Slip Gaji,2024-02-02,0.966,0.871,11,10,571,VALID
DOC0000167,C000036,NPWP,2024-04-25,0.717,1.0,4,10,3484,NEEDS_REVIEW
DOC0000168,C000368,KTP,2024-03-27,0.923,0.968,8,11,4046,VALID
DOC0000169,C000561,Rekening Koran,2026-09-05,0.87,0.936,7,6,3300,VALID
DOC0000170,C000225,KTP,2025-10-28,1.0,0.83,7,8,2203,VALID
DOC0000171,C000265,Form Aplikasi,2026-07-15,0.839,0.785,11,9,1967,VALID
DOC0000172,C000323,Rekening Koran,2025-06-16,0.785,0.972,4,7,897,VALID
DOC0000173,C000677,Slip Gaji,2025-01-24,0.806,0.906,8,10,4855,VALID
DOC0000174,C000649,NPWP,2024-04-13,1.0,1.0,11,11,2928,VALID
DOC0000175,C000432,Surat Kerja,2024-02-08,0.904,0.893,5,11,1258,VALID
DOC0000176,C000347,KTP,2026-09-15,0.89,0.804,6,11,2860,VALID
DOC0000177,C000470,Surat Kerja,2024-06-09,0.604,0.931,4,11,3976,VALID
DOC0000178,C000599,NPWP,2025-05-20,0.866,0.743,7,7,2856,NEEDS_REVIEW
DOC0000179,C000510,Rekening Koran,2025-08-30,0.527,0.882,11,10,1168,VALID
DOC0000180,C000586,Slip Gaji,2025-05-21,1.0,0.894,7,8,3475,VALID
DOC0000181,C000439,Slip Gaji,2025-10-30,0.672,0.928,11,9,4662,VALID
DOC0000182,C000150,KTP,2024-07-17,0.635,0.824,7,7,4060,NEEDS_REVIEW
DOC0000183,C000172,NPWP,2024-03-21,1.0,0.893,5,8,1873,VALID
DOC0000184,C000026,Form Aplikasi,2025-06-29,1.0,0.936,6,9,4522,VALID
DOC0000185,C000218,Surat Kerja,2026-07-24,0.902,1.0,9,9,420,VALID
DOC0000186,C000641,Slip Gaji,2024-10-15,0.815,0.983,6,10,1011,VALID
DOC0000187,C000139,KTP,2026-08-22,1.0,0.987,5,11,3126,NEEDS_REVIEW
DOC0000188,C000589,KTP,2026-08-23,0.904,0.954,11,7,4861,VALID
DOC0000189,C000535,Rekening Koran,2025-04-27,0.84,0.77,4,6,3641,VALID
DOC0000190,C000055,Rekening Koran,2024-11-11,0.779,1.0,0,6,4312,NEEDS_REVIEW
DOC0000191,C000144,Slip Gaji,2024-02-10,0.838,0.956,5,9,321,VALID
DOC0000192,C000653,KTP,2024-03-04,0.943,0.93,9,9,3998,INVALID
DOC0000193,C000142,NPWP,2024-04-22,0.672,1.0,4,8,1191,VALID
DOC0000194,C000435,Slip Gaji,2026-08-03,0.834,0.893,8,7,993,VALID
DOC0000195,C000457,Rekening Koran,2025-12-16,0.971,0.962,11,10,1004,VALID
DOC0000196,C000412,Rekening Koran,2025-05-12,0.85,0.875,4,8,2601,VALID
DOC0000197,C000335,KTP,2025-09-03,0.693,1.0,4,9,4908,VALID
DOC0000198,C000346,Rekening Koran,2026-06-15,0.821,0.951,9,10,4524,VALID
DOC0000199,C000300,Form Aplikasi,2026-02-17,0.871,1.0,9,11,4806,VALID
DOC0000200,C000419,Surat Kerja,2025-03-01,0.865,0.807,8,7,3022,VALID
DOC0000201,C000521,KTP,2026-01-02,0.858,0.729,6,9,624,NEEDS_REVIEW
DOC0000202,C000561,KTP,2024-06-03,0.914,0.955,9,10,913,VALID
DOC0000203,C000496,Slip Gaji,2024-09-05,0.695,0.936,6,8,706,VALID
DOC0000204,C000580,KTP,2025-12-06,0.728,0.936,4,10,1093,INVALID
DOC0000205,C000314,Slip Gaji,2024-12-09,1.0,0.936,7,10,1265,VALID
DOC0000206,C000123,Slip Gaji,2024-11-09,0.868,0.954,10,8,4511,VALID
DOC0000207,C000165,Form Aplikasi,2025-09-15,1.0,0.885,11,8,3098,NEEDS_REVIEW
DOC0000208,C000582,Surat Kerja,2026-06-27,0.989,1.0,0,9,2427,VALID
DOC0000209,C000344,Rekening Koran,2025-02-11,0.978,0.817,9,7,1048,INVALID
DOC0000210,C000555,Form Aplikasi,2024-05-08,1.0,0.889,7,10,1398,VALID
DOC0000211,C000440,Slip Gaji,2026-07-27,0.764,0.954,5,7,3753,NEEDS_REVIEW
DOC0000212,C000041,Rekening Koran,2026-01-09,0.695,0.86,5,7,4074,VALID
DOC0000213,C000645,KTP,2026-07-02,0.762,0.818,11,7,1763,VALID
DOC0000214,C000675,Rekening Koran,2025-08-31,0.67,0.912,10,9,1941,INVALID
DOC0000215,C000588,KTP,2024-08-01,0.983,0.733,0,7,1103,VALID
DOC0000216,C000510,KTP,2026-03-20,0.846,0.78,5,7,930,VALID
DOC0000217,C000137,Rekening Koran,2024-05-14,0.691,0.896,11,6,2106,VALID
DOC0000218,C000170,Slip Gaji,2026-07-12,0.732,0.906,7,8,724,VALID
DOC0000219,C000141,Rekening Koran,2025-06-22,0.921,0.926,10,9,1388,VALID
DOC0000220,C000083,KTP,2024-09-11,0.779,0.953,7,11,3189,VALID
DOC0000221,C000280,KTP,2025-01-27,0.866,0.971,11,9,4266,INVALID
DOC0000222,C000051,KTP,2024-08-15,0.989,0.812,8,10,3044,INVALID
DOC0000223,C000090,Form Aplikasi,2024-07-06,0.648,0.988,8,11,3744,INVALID
DOC0000224,C000113,Slip Gaji,2026-01-19,0.938,0.791,9,9,2565,VALID
DOC0000225,C000408,Surat Kerja,2024-10-16,0.799,1.0,9,7,2653,VALID
DOC0000226,C000236,Form Aplikasi,2026-03-06,0.95,0.92,7,8,1829,VALID
DOC0000227,C000447,Form Aplikasi,2024-04-07,0.776,0.928,6,9,3955,VALID
DOC0000228,C000427,Form Aplikasi,2026-09-06,0.914,0.892,5,9,1527,INVALID
DOC0000229,C000461,KTP,2025-08-28,0.68,0.828,7,8,351,VALID
DOC0000230,C000572,KTP,2026-05-15,0.843,0.98,0,8,3768,VALID
DOC0000231,C000367,Surat Kerja,2026-05-16,0.881,0.81,7,10,4011,VALID
DOC0000232,C000172,KTP,2025-01-06,0.725,0.871,9,11,2695,VALID
DOC0000233,C000087,NPWP,2025-03-25,0.983,0.897,4,8,4859,VALID
DOC0000234,C000405,Form Aplikasi,2026-04-07,0.875,0.863,5,7,1121,VALID
DOC0000235,C000131,KTP,2024-04-30,1.0,1.0,8,10,3695,VALID
DOC0000236,C000406,NPWP,2026-07-27,0.849,0.908,9,8,2281,VALID
DOC0000237,C000118,KTP,2025-04-12,0.762,0.919,10,7,4013,VALID
DOC0000238,C000589,Surat Kerja,2024-07-25,0.767,0.864,6,10,1145,VALID
DOC0000239,C000455,Slip Gaji,2026-06-28,0.792,0.998,6,9,2270,VALID
DOC0000240,C000427,KTP,2025-09-01,0.719,0.848,4,10,2278,VALID
DOC0000241,C000305,Slip Gaji,2024-03-27,0.75,1.0,10,10,2362,VALID
DOC0000242,C000382,Rekening Koran,2026-07-18,1.0,1.0,7,11,2680,VALID
DOC0000243,C000699,KTP,2026-01-07,0.871,0.715,6,8,2822,NEEDS_REVIEW
DOC0000244,C000328,Rekening Koran,2025-08-10,0.896,0.991,4,9,2205,VALID
DOC0000245,C000377,KTP,2026-01-03,0.821,0.898,11,7,2056,VALID
DOC0000246,C000439,NPWP,2024-09-06,0.811,0.917,11,11,2541,VALID
DOC0000247,C000344,Form Aplikasi,2026-04-29,0.623,0.932,9,7,3222,NEEDS_REVIEW
DOC0000248,C000408,Form Aplikasi,2025-02-05,0.918,0.889,11,7,1082,VALID
DOC0000249,C000468,Slip Gaji,2026-04-12,0.963,1.0,11,11,2942,VALID
DOC0000250,C000559,Slip Gaji,2025-07-29,0.91,0.956,9,8,2088,VALID
DOC0000251,C000565,Slip Gaji,2024-11-29,0.861,0.98,11,8,357,VALID
DOC0000252,C000160,Rekening Koran,2024-09-12,0.814,0.963,9,11,1433,VALID
DOC0000253,C000008,NPWP,2024-02-24,0.84,0.993,8,9,1206,VALID
DOC0000254,C000311,KTP,2025-07-02,0.983,0.933,0,7,3002,VALID
DOC0000255,C000632,KTP,2024-07-15,0.965,0.865,8,11,4769,VALID
DOC0000256,C000392,Rekening Koran,2024-10-27,1.0,0.78,0,6,1812,VALID
DOC0000257,C000251,Rekening Koran,2024-01-19,0.892,0.825,8,10,1170,VALID
DOC0000258,C000498,Rekening Koran,2026-05-14,0.724,0.738,0,7,2909,VALID
DOC0000259,C000318,KTP,2025-08-31,0.731,0.866,11,9,167,NEEDS_REVIEW
DOC0000260,C000363,KTP,2026-08-09,0.878,0.872,5,11,1021,VALID
DOC0000261,C000385,Surat Kerja,2025-09-30,1.0,0.666,8,9,835,VALID
DOC0000262,C000496,Surat Kerja,2024-03-16,0.629,1.0,8,7,4645,VALID
DOC0000263,C000678,Slip Gaji,2025-08-16,0.948,0.772,11,9,3692,VALID
DOC0000264,C000662,Slip Gaji,2026-05-09,0.721,0.856,7,11,690,VALID
DOC0000265,C000181,Form Aplikasi,2026-05-07,0.814,0.766,6,7,430,VALID
DOC0000266,C000528,Slip Gaji,2026-01-23,0.647,0.858,6,11,253,NEEDS_REVIEW
DOC0000267,C000313,NPWP,2024-10-09,0.79,0.923,5,7,831,VALID
DOC0000268,C000093,Slip Gaji,2024-02-17,0.849,0.876,8,9,1402,VALID
DOC0000269,C000196,NPWP,2025-02-17,0.699,0.972,4,8,1301,VALID
DOC0000270,C000227,Surat Kerja,2025-01-29,0.864,0.89,5,6,3191,VALID
DOC0000271,C000361,Rekening Koran,2024-11-20,0.697,0.941,4,11,3038,VALID
DOC0000272,C000632,Surat Kerja,2024-10-11,0.849,0.868,9,6,1882,VALID
DOC0000273,C000312,KTP,2024-03-18,0.691,1.0,0,8,586,VALID
DOC0000274,C000590,Rekening Koran,2024-07-26,1.0,0.963,4,10,4731,VALID
DOC0000275,C000552,KTP,2025-05-19,0.93,0.948,11,11,4871,VALID
DOC0000276,C000181,Form Aplikasi,2026-05-12,0.683,0.955,7,7,2691,NEEDS_REVIEW
DOC0000277,C000159,Slip Gaji,2024-07-05,0.812,0.919,9,10,2354,VALID
DOC0000278,C000127,Slip Gaji,2025-04-05,0.971,0.963,7,9,1857,INVALID
DOC0000279,C000039,Slip Gaji,2025-07-25,0.872,0.82,0,9,2513,VALID
DOC0000280,C000666,Surat Kerja,2024-08-26,0.866,0.957,5,9,823,VALID
DOC0000281,C000497,Form Aplikasi,2026-04-05,1.0,0.932,8,10,955,VALID
DOC0000282,C000244,Form Aplikasi,2024-01-15,0.836,0.883,10,7,1731,VALID
DOC0000283,C000192,Slip Gaji,2026-09-07,0.706,0.907,6,8,1693,VALID
DOC0000284,C000423,Slip Gaji,2024-01-26,0.879,0.992,4,9,4010,VALID
DOC0000285,C000372,Surat Kerja,2024-06-18,0.883,0.96,7,6,3853,INVALID
DOC0000286,C000535,Form Aplikasi,2024-11-04,0.643,1.0,4,6,1440,VALID
DOC0000287,C000459,Surat Kerja,2024-12-14,0.799,1.0,4,10,1437,VALID
DOC0000288,C000596,Rekening Koran,2024-02-12,0.884,0.949,4,11,990,NEEDS_REVIEW
DOC0000289,C000189,Rekening Koran,2025-04-12,0.927,0.914,6,8,2553,VALID
DOC0000290,C000536,Rekening Koran,2024-12-17,0.911,0.995,9,11,117,NEEDS_REVIEW
DOC0000291,C000549,Surat Kerja,2024-08-14,0.818,0.93,10,7,2954,VALID
DOC0000292,C000117,KTP,2026-07-18,0.907,0.852,0,8,3021,INVALID
DOC0000293,C000009,Rekening Koran,2024-03-08,0.852,0.969,7,11,1365,VALID
DOC0000294,C000626,Slip Gaji,2025-04-15,0.763,0.964,5,10,592,NEEDS_REVIEW
DOC0000295,C000535,Form Aplikasi,2025-03-31,0.936,0.958,11,6,2955,NEEDS_REVIEW
DOC0000296,C000650,Slip Gaji,2024-11-03,0.758,0.824,5,9,4500,VALID
DOC0000297,C000334,KTP,2025-12-06,0.932,0.88,8,9,2272,NEEDS_REVIEW
DOC0000298,C000066,Surat Kerja,2026-07-27,0.862,0.9,6,11,2722,VALID
DOC0000299,C000585,Slip Gaji,2024-03-01,0.864,0.924,9,7,1591,VALID
DOC0000300,C000439,Slip Gaji,2024-10-16,0.795,0.896,8,7,4833,VALID
DOC0000301,C000086,Surat Kerja,2026-06-28,0.933,0.875,8,11,4018,VALID
DOC0000302,C000321,Rekening Koran,2024-03-21,0.862,0.911,9,11,4357,VALID
DOC0000303,C000648,Surat Kerja,2025-09-04,0.765,0.822,0,6,2816,VALID
DOC0000304,C000109,NPWP,2026-05-10,0.918,0.824,9,10,1602,VALID
DOC0000305,C000143,Form Aplikasi,2024-07-13,0.849,0.838,11,6,3564,VALID
DOC0000306,C000151,Slip Gaji,2024-11-03,0.786,0.783,0,11,103,VALID
DOC0000307,C000691,Surat Kerja,2026-08-06,0.941,0.719,4,7,3949,VALID
DOC0000308,C000365,NPWP,2025-01-27,0.926,0.72,7,6,969,VALID
DOC0000309,C000104,KTP,2024-10-14,0.834,0.762,10,6,4768,VALID
