Customer_ID,Income_Band,Digital_Engagement,Balance_Band,Tenure_Band,Recent_Activity
C00506,Medium,40,Medium,Established,High
C00507,Medium,23,Medium,Established,High
C00508,High,85,High,Established,Medium
C00509,Medium,56,High,Established,Low
C00510,Low,80,Medium,Established,Low
C00511,Low,67,High,Established,High
C00512,High,90,Medium,Established,High
C00513,Low,100,Medium,Loyal,Medium
C00514,Low,68,Medium,New,Low
C00515,Medium,48,Low,New,Low
C00516,Low,54,Low,New,Medium
C00517,Medium,86,Medium,Established,High
C00518,Medium,54,Medium,Established,Medium
C00519,Low,62,Low,Established,Medium
C00520,High,35,Medium,New,Medium
C00521,High,100,Low,Loyal,High
C00522,Medium,72,Low,Established,High
C00523,Low,46,High,Established,Low
C00524,Medium,67,Medium,New,Medium
C00525,Low,52,Low,New,High
C00526,Medium,32,Medium,New,High
C00527,High,90,Medium,Established,Medium
C00528,High,91,Medium,Established,Low
C00529,Medium,87,High,New,Medium
C00530,Medium,49,Medium,Established,Medium
C00531,Medium,40,Medium,New,Low
C00532,Medium,24,Medium,Established,High
C00533,Medium,79,Medium,New,Low
C00534,Medium,46,Low,New,High
C00535,Low,92,Low,New,Medium
C00536,Low,90,High,Established,Low
C00537,Medium,30,Medium,Loyal,Medium
C00538,Low,94,Medium,Established,Medium
C00539,Low,31,Low,New,High
C00540,High,59,High,Loyal,Medium
C00541,High,58,Low,Loyal,Low
C00542,Medium,97,Medium,Established,High
C00543,High,73,High,New,Medium
C00544,High,90,Medium,Established,Low
C00545,Low,68,High,Loyal,High
C00546,Medium,86,Low,Established,Low
C00547,Medium,89,Medium,Established,Low
C00548,Low,89,High,Established,Medium
C00549,Medium,53,Medium,Loyal,Medium
C00550,Medium,50,Medium,New,Medium
C00551,Medium,99,Medium,New,High
C00552,Low,81,Medium,Loyal,Low
C00553,Low,94,High,New,High
C00554,High,66,Medium,Established,Low
C00555,Low,95,High,New,Low
C00556,Low,78,Medium,New,Low
C00557,Low,80,Medium,New,Low
C00558,Medium,34,Low,Established,Medium
C00559,Medium,65,Medium,Established,High
C00560,Medium,79,High,Established,High
C00561,Low,81,Medium,Established,Medium
C00562,Low,97,Low,Loyal,Low
C00563,High,46,Medium,Established,High
C00564,Medium,44,Medium,Loyal,Medium
C00565,Medium,98,High,Established,Medium
C00566,Medium,99,Low,New,Medium
C00567,Medium,34,Low,Established,Low
C00568,Low,50,Medium,Loyal,Medium
C00569,Medium,96,Low,New,High
C00570,Medium,36,High,Established,Low
C00571,Medium,83,Medium,Established,Medium
C00572,High,29,Medium,New,High
C00573,Medium,34,Low,Established,Medium
C00574,Medium,83,Medium,New,Medium
C00575,High,69,High,New,Medium
C00576,Medium,64,Medium,Loyal,High
C00577,High,89,Low,Established,Medium
C00578,Medium,44,Low,Established,Medium
C00579,High,60,High,Established,Low
C00580,Medium,69,High,Loyal,High
C00581,Medium,79,Low,Established,High
C00582,Medium,46,Medium,Established,Medium
C00583,Low,71,Low,New,High
C00584,Medium,56,Medium,Established,Medium
C00585,High,63,Low,Established,High
C00586,Medium,89,High,Established,Low
C00587,Low,51,High,Established,Low
C00588,Medium,74,Low,New,High
C00589,Low,96,Medium,Loyal,Medium
C00590,Low,81,Low,Loyal,Medium
C00591,High,100,Low,Established,High
C00592,Medium,67,Low,Established,Medium
C00593,Medium,42,Low,Established,Medium
C00594,Medium,100,High,Established,Medium
C00595,Low,72,Low,Established,Medium
C00596,Low,39,High,Established,Low
C00597,Medium,45,Low,New,Low
C00598,Medium,41,Medium,New,Medium
C00599,High,87,Medium,Established,High
C00600,Medium,27,High,Established,Medium
C00601,Medium,79,Low,New,Medium
C00602,Medium,64,Low,New,Medium
C00603,High,25,Medium,Established,Low
C00604,Medium,69,Medium,Established,Medium
C00605,High,81,Medium,Established,Low
C00606,Medium,78,Low,Established,Medium
C00607,High,62,Low,Loyal,Low
C00608,Low,47,High,Established,Medium
C00609,Medium,33,Medium,Loyal,Medium
C00610,Medium,20,Medium,New,High
C00611,Medium,49,Low,Established,Medium
C00612,Medium,71,Low,New,High
C00613,High,23,High,New,Medium
C00614,High,100,Medium,New,Medium
C00615,Low,67,Low,New,Low
C00616,Medium,43,High,Loyal,Low
C00617,Medium,97,Medium,Established,Low
C00618,Medium,34,Low,Loyal,Low
C00619,Low,97,Medium,Established,Medium
C00620,Low,42,Medium,Established,Medium
C00621,Medium,50,Medium,New,Medium
C00622,Medium,54,Medium,Established,Medium
C00623,High,100,Medium,Established,Medium
C00624,Medium,40,Low,Loyal,Low
C00625,High,98,High,Loyal,Medium
C00626,Medium,48,Medium,New,Medium
C00627,Medium,43,Medium,Established,Medium
C00628,Low,71,Medium,Established,Low
C00629,Medium,76,Medium,Established,High
C00630,High,47,Medium,New,Medium
C00631,High,30,Medium,Established,Medium
C00632,High,52,High,Established,Low
C00633,Low,63,High,Established,Low
C00634,Medium,23,High,Established,Medium
C00635,Low,26,Low,New,High
C00636,Low,94,Medium,Loyal,Low
C00637,Medium,22,Medium,New,Medium
C00638,Medium,52,Low,New,High
C00639,Medium,81,Medium,New,Medium
C00640,High,46,Low,Loyal,Medium
C00641,Medium,60,Low,Established,Medium
C00642,High,27,Low,New,Medium
C00643,Low,84,Low,New,High
C00644,Low,71,Low,Established,Low
C00645,Medium,88,Medium,Established,High
C00646,High,89,Medium,New,Low
C00647,Low,48,Low,Loyal,High
C00648,Medium,23,Low,New,High
C00649,Medium,48,High,Established,High
C00650,Low,31,Low,New,High
C00651,Medium,63,Medium,Established,Medium
C00652,High,31,Medium,Established,Low
C00653,Medium,94,Medium,Established,Low
C00654,Low,68,High,Established,Medium
C00655,High,40,Medium,Loyal,Medium
C00656,Medium,94,High,Loyal,Medium
C00657,High,82,High,Established,Medium
C00658,Low,55,Low,Established,Medium
C00659,Medium,31,Low,Loyal,High
C00660,Medium,47,Low,New,Medium
C00661,Low,67,Medium,New,High
C00662,High,82,Medium,New,Medium
C00663,Low,41,Low,Loyal,High
C00664,Low,80,Low,New,High
C00665,Medium,42,Medium,New,Low
C00666,Medium,39,Medium,Established,Low
C00667,High,56,Medium,New,High
C00668,High,33,High,Established,Medium
C00669,Low,52,Low,Established,High
C00670,Medium,48,Medium,New,High
C00671,Low,42,High,Loyal,Medium
C00672,Medium,82,Medium,New,High
C00673,High,46,Medium,Loyal,High
C00674,Medium,76,Medium,Established,High
C00675,Medium,78,Low,New,Medium
C00676,Medium,73,High,New,Low
C00677,High,41,Medium,Established,Low
C00678,Medium,87,Medium,Established,Medium
C00679,Low,39,Medium,New,High
C00680,Medium,42,Medium,Loyal,High
C00681,Low,90,Low,Established,Medium
C00682,Low,47,Medium,Loyal,Medium
C00683,Low,76,Medium,New,Medium
C00684,Medium,23,Low,New,High
C00685,Medium,69,Medium,Established,Medium
C00686,Medium,90,High,New,Low
C00687,Medium,77,Medium,New,Medium
C00688,High,67,Medium,New,Medium
C00689,Medium,88,Medium,New,Medium
C00690,Medium,44,High,Established,High
C00691,Low,50,Medium,New,High
C00692,High,25,High,Loyal,Low
C00693,Low,76,Low,New,Low
C00694,Medium,78,High,Established,Medium
C00695,High,80,High,Established,Low
C00696,Medium,80,Medium,Established,Medium
C00697,Medium,30,Medium,Loyal,Low
C00698,Medium,73,Low,Loyal,Low
C00699,Medium,81,Medium,New,High
C00700,Low,36,Low,Established,Low
C00701,Low,58,Low,Loyal,High
C00702,Medium,93,High,New,Medium
C00703,Low,53,Low,Established,Medium
C00704,High,81,Medium,New,Low
C00705,Low,62,Low,Established,Low
C00706,Medium,73,Medium,Established,Medium
C00707,Medium,70,Medium,Established,High
C00708,Medium,72,Low,Loyal,High
C00709,Medium,83,Medium,Established,Low
C00710,Medium,93,High,Loyal,Low
C00711,High,43,Medium,Established,Low
C00712,Medium,95,High,Established,High
C00713,High,70,Medium,Established,Low
C00714,High,68,Medium,Established,Low
C00715,Medium,46,Low,Loyal,High
C00716,Low,53,Low,New,High
C00717,Medium,72,High,Loyal,Medium
C00718,Low,49,Medium,Established,Low
C00719,Medium,43,Medium,Established,Medium
C00720,High,86,High,Established,Low
C00721,Medium,53,Low,Established,Medium
C00722,Medium,72,Medium,Established,High
C00723,Low,22,Low,Established,Low
C00724,High,26,High,New,High
C00725,Low,88,Low,Established,Medium
C00726,Low,31,Low,Established,High
C00727,Low,84,Medium,Established,Low
C00728,Low,92,Low,Established,Medium
C00729,Medium,58,High,New,Low
C00730,Medium,91,Medium,Established,Medium
C00731,Medium,54,Low,Established,Low
C00732,Low,97,Low,Established,Medium
C00733,Low,39,High,Established,High
C00734,Medium,54,Medium,Established,Medium
C00735,Low,51,High,Established,Medium
C00736,Medium,83,Low,New,Medium
C00737,Low,23,High,New,Medium
C00738,Medium,87,Medium,Established,Medium
C00739,Medium,21,Medium,New,Medium
C00740,Medium,45,Medium,New,Low
C00741,Low,68,Low,New,Medium
C00742,Low,31,High,Established,Low
C00743,High,59,High,Loyal,Medium
