Customer_ID,Product,Latent_Group
C00031,Debit Card,Wealth
C00031,Credit Card,Wealth
C00031,Mortgage,Wealth
C00031,Insurance,Wealth
C00031,Time Deposit,Wealth
C00032,Savings Account,Basic
C00032,Debit Card,Basic
C00032,Insurance,Basic
C00033,Savings Account,Credit
C00033,Debit Card,Credit
C00033,Mobile Banking,Credit
C00033,E-Wallet,Credit
C00033,Time Deposit,Credit
C00034,Savings Account,Digital
C00034,Debit Card,Digital
C00034,Mobile Banking,Digital
C00034,E-Wallet,Digital
C00035,Savings Account,Digital
C00035,Mobile Banking,Digital
C00035,E-Wallet,Digital
C00036,Savings Account,Basic
C00036,Mobile Banking,Basic
C00036,E-Wallet,Basic
C00037,Savings Account,Basic
C00037,Debit Card,Basic
C00037,Mobile Banking,Basic
C00038,Savings Account,Basic
C00038,Investment,Basic
C00038,E-Wallet,Basic
C00039,Debit Card,Digital
C00039,Mobile Banking,Digital
C00039,Credit Card,Digital
C00039,Personal Loan,Digital
C00039,Time Deposit,Digital
C00039,Savings Account,Digital
C00040,Personal Loan,Basic
C00040,Savings Account,Basic
C00041,Savings Account,Basic
C00041,Debit Card,Basic
C00041,Mobile Banking,Basic
C00041,Insurance,Basic
C00041,Time Deposit,Basic
C00042,Savings Account,Basic
C00042,Debit Card,Basic
C00042,Mobile Banking,Basic
C00043,Savings Account,Basic
C00043,Debit Card,Basic
C00044,Savings Account,Digital
C00044,Debit Card,Digital
C00044,Mobile Banking,Digital
C00044,E-Wallet,Digital
C00045,Savings Account,Digital
C00045,Debit Card,Digital
C00045,Mobile Banking,Digital
C00045,E-Wallet,Digital
C00046,Savings Account,Credit
C00046,Debit Card,Credit
C00046,Mobile Banking,Credit
C00046,Credit Card,Credit
C00047,Debit Card,Digital
C00047,Mobile Banking,Digital
C00047,Credit Card,Digital
C00047,Mortgage,Digital
C00047,E-Wallet,Digital
C00047,Savings Account,Digital
C00048,Savings Account,Wealth
C00048,Credit Card,Wealth
C00048,Investment,Wealth
C00048,Insurance,Wealth
C00049,Savings Account,Wealth
C00049,Debit Card,Wealth
C00049,Credit Card,Wealth
C00049,Mortgage,Wealth
C00049,Investment,Wealth
C00049,E-Wallet,Wealth
C00049,Time Deposit,Wealth
C00050,Debit Card,Basic
C00050,Insurance,Basic
C00050,Savings Account,Basic
C00051,Savings Account,Credit
C00051,Debit Card,Credit
C00051,Credit Card,Credit
C00051,Personal Loan,Credit
C00051,Time Deposit,Credit
C00052,Debit Card,Digital
C00052,Mobile Banking,Digital
C00052,Mortgage,Digital
C00052,E-Wallet,Digital
C00052,Savings Account,Digital
C00053,Savings Account,Credit
C00053,Mobile Banking,Credit
C00053,Time Deposit,Credit
C00054,Debit Card,Credit
C00054,Mobile Banking,Credit
C00054,Credit Card,Credit
C00054,Personal Loan,Credit
C00054,Mortgage,Credit
C00054,Savings Account,Credit
C00055,Savings Account,Digital
C00055,Debit Card,Digital
C00055,Mobile Banking,Digital
C00056,Debit Card,Wealth
C00056,Credit Card,Wealth
C00056,Savings Account,Wealth
C00057,Savings Account,Wealth
C00057,Debit Card,Wealth
C00057,Mobile Banking,Wealth
C00057,Investment,Wealth
C00058,Savings Account,Digital
C00058,Personal Loan,Digital
C00058,Investment,Digital
C00058,Insurance,Digital
C00059,Credit Card,Wealth
C00059,Insurance,Wealth
C00059,Savings Account,Wealth
C00060,Savings Account,Digital
C00060,Mobile Banking,Digital
C00060,Credit Card,Digital
C00060,E-Wallet,Digital
C00061,Debit Card,Digital
C00061,Mobile Banking,Digital
C00061,Credit Card,Digital
C00061,E-Wallet,Digital
C00061,Savings Account,Digital
C00062,Debit Card,Credit
C00062,Mobile Banking,Credit
C00062,Credit Card,Credit
C00062,E-Wallet,Credit
C00062,Savings Account,Credit
C00063,Savings Account,Digital
C00063,Debit Card,Digital
C00063,Mobile Banking,Digital
C00064,Debit Card,Digital
C00064,Mobile Banking,Digital
C00064,E-Wallet,Digital
C00064,Savings Account,Digital
C00065,Savings Account,Digital
C00065,Mobile Banking,Digital
C00066,Savings Account,Digital
C00066,Debit Card,Digital
C00066,Mobile Banking,Digital
C00066,Investment,Digital
C00066,E-Wallet,Digital
C00066,Time Deposit,Digital
C00067,Savings Account,Digital
C00067,Debit Card,Digital
C00067,Mobile Banking,Digital
C00067,Credit Card,Digital
C00067,Personal Loan,Digital
C00067,Insurance,Digital
C00068,Savings Account,Digital
C00068,Debit Card,Digital
C00068,Mobile Banking,Digital
C00068,Credit Card,Digital
C00068,Mortgage,Digital
C00068,E-Wallet,Digital
C00069,Debit Card,Wealth
C00069,Mobile Banking,Wealth
C00069,Credit Card,Wealth
C00069,Investment,Wealth
C00069,Insurance,Wealth
C00069,Time Deposit,Wealth
C00069,Savings Account,Wealth
C00070,Savings Account,Credit
C00070,Debit Card,Credit
C00070,Mobile Banking,Credit
C00070,Credit Card,Credit
C00070,Mortgage,Credit
C00070,Insurance,Credit
C00070,E-Wallet,Credit
C00071,Savings Account,Digital
C00071,Debit Card,Digital
C00071,Mobile Banking,Digital
C00071,Credit Card,Digital
C00072,Savings Account,Basic
C00072,Debit Card,Basic
C00073,Savings Account,Digital
C00073,Debit Card,Digital
C00073,Mobile Banking,Digital
C00073,Credit Card,Digital
C00073,E-Wallet,Digital
C00074,Savings Account,Credit
C00074,Debit Card,Credit
C00074,Credit Card,Credit
C00074,Personal Loan,Credit
C00074,Investment,Credit
C00074,Insurance,Credit
C00075,Mobile Banking,Digital
C00075,Mortgage,Digital
C00075,Savings Account,Digital
C00076,Savings Account,Digital
C00076,Debit Card,Digital
C00076,Mobile Banking,Digital
C00076,Credit Card,Digital
C00077,Debit Card,Wealth
C00077,Mobile Banking,Wealth
C00077,Credit Card,Wealth
C00077,Investment,Wealth
C00077,Insurance,Wealth
C00077,Time Deposit,Wealth
C00077,Savings Account,Wealth
C00078,Savings Account,Wealth
C00078,Mobile Banking,Wealth
C00078,Credit Card,Wealth
C00078,Investment,Wealth
C00079,Savings Account,Credit
C00079,Debit Card,Credit
C00079,Mortgage,Credit
C00079,Time Deposit,Credit
C00080,Debit Card,Digital
C00080,E-Wallet,Digital
C00080,Savings Account,Digital
C00081,Savings Account,Credit
C00081,Mobile Banking,Credit
C00081,Credit Card,Credit
C00081,Personal Loan,Credit
C00081,Insurance,Credit
C00082,Savings Account,Basic
C00082,Debit Card,Basic
C00083,Savings Account,Digital
C00083,Mobile Banking,Digital
C00083,Personal Loan,Digital
C00084,Mobile Banking,Basic
C00084,Credit Card,Basic
C00084,Savings Account,Basic
C00085,Savings Account,Digital
C00085,Debit Card,Digital
C00085,Mobile Banking,Digital
C00086,Debit Card,Digital
C00086,Mobile Banking,Digital
C00086,Credit Card,Digital
C00086,E-Wallet,Digital
C00086,Savings Account,Digital
C00087,Mobile Banking,Wealth
C00087,Credit Card,Wealth
C00087,Mortgage,Wealth
C00087,Investment,Wealth
C00087,Savings Account,Wealth
C00088,Savings Account,Credit
C00088,Debit Card,Credit
C00088,Mobile Banking,Credit
C00088,Credit Card,Credit
C00088,Personal Loan,Credit
C00088,Mortgage,Credit
C00089,Savings Account,Credit
C00089,Debit Card,Credit
C00089,Mobile Banking,Credit
C00089,Credit Card,Credit
C00090,Mobile Banking,Digital
C00090,Insurance,Digital
C00090,E-Wallet,Digital
C00090,Savings Account,Digital
C00091,Savings Account,Credit
C00091,Debit Card,Credit
C00091,Mobile Banking,Credit
C00091,Personal Loan,Credit
C00091,Investment,Credit
C00091,E-Wallet,Credit
C00091,Time Deposit,Credit
C00092,Savings Account,Credit
C00092,Debit Card,Credit
C00092,Mobile Banking,Credit
C00092,Credit Card,Credit
C00093,Debit Card,Credit
C00093,Mobile Banking,Credit
C00093,Credit Card,Credit
C00093,Mortgage,Credit
C00093,Savings Account,Credit
C00094,Savings Account,Credit
C00094,Debit Card,Credit
C00094,Credit Card,Credit
C00095,Savings Account,Credit
C00095,Debit Card,Credit
C00095,Mobile Banking,Credit
C00095,Credit Card,Credit
C00095,Personal Loan,Credit
C00095,Mortgage,Credit
C00095,Time Deposit,Credit
C00096,Savings Account,Digital
C00096,Mobile Banking,Digital
C00096,Credit Card,Digital
C00096,Insurance,Digital
C00096,E-Wallet,Digital
C00097,Savings Account,Basic
C00097,Debit Card,Basic
C00098,Savings Account,Wealth
C00098,Debit Card,Wealth
C00098,Insurance,Wealth
C00098,Time Deposit,Wealth
C00099,Savings Account,Credit
C00099,Debit Card,Credit
C00100,Savings Account,Credit
C00100,Debit Card,Credit
C00100,Mobile Banking,Credit
C00100,Credit Card,Credit
C00101,Savings Account,Digital
C00101,Mobile Banking,Digital
C00101,Credit Card,Digital
C00101,E-Wallet,Digital
C00102,Savings Account,Credit
C00102,Credit Card,Credit
C00102,Personal Loan,Credit
C00102,Time Deposit,Credit
C00103,Savings Account,Basic
C00103,Debit Card,Basic
C00104,Debit Card,Wealth
C00104,Mobile Banking,Wealth
C00104,Credit Card,Wealth
C00104,Personal Loan,Wealth
C00104,Investment,Wealth
C00104,Savings Account,Wealth
C00105,Savings Account,Credit
C00105,Debit Card,Credit
C00105,Credit Card,Credit
C00105,Mortgage,Credit
C00105,Insurance,Credit
C00105,E-Wallet,Credit
C00106,Savings Account,Digital
C00106,Debit Card,Digital
C00106,Mobile Banking,Digital
C00106,Personal Loan,Digital
C00106,Insurance,Digital
C00106,E-Wallet,Digital
C00107,Savings Account,Basic
C00107,Mobile Banking,Basic
C00108,Savings Account,Credit
C00108,Debit Card,Credit
C00108,Credit Card,Credit
C00108,Personal Loan,Credit
C00108,Mortgage,Credit
C00109,Savings Account,Digital
C00109,Debit Card,Digital
C00109,Mobile Banking,Digital
C00110,Savings Account,Wealth
C00110,Debit Card,Wealth
C00110,Personal Loan,Wealth
C00110,Mortgage,Wealth
C00110,Investment,Wealth
C00110,Time Deposit,Wealth
C00111,Debit Card,Wealth
C00111,Mobile Banking,Wealth
C00111,Credit Card,Wealth
C00111,Mortgage,Wealth
C00111,Investment,Wealth
C00111,E-Wallet,Wealth
C00111,Time Deposit,Wealth
C00111,Savings Account,Wealth
C00112,Debit Card,Digital
C00112,Mobile Banking,Digital
C00112,Insurance,Digital
C00112,E-Wallet,Digital
C00112,Savings Account,Digital
C00113,Savings Account,Digital
C00113,Debit Card,Digital
C00113,Mobile Banking,Digital
C00113,Credit Card,Digital
C00113,E-Wallet,Digital
C00114,Savings Account,Digital
C00114,Debit Card,Digital
C00114,Mobile Banking,Digital
C00114,Credit Card,Digital
C00114,Investment,Digital
C00114,Insurance,Digital
C00114,E-Wallet,Digital
C00115,Mobile Banking,Digital
C00115,Mortgage,Digital
C00115,Savings Account,Digital
C00116,Savings Account,Basic
C00116,E-Wallet,Basic
C00117,Savings Account,Digital
C00117,Mobile Banking,Digital
C00118,Savings Account,Digital
C00118,Debit Card,Digital
C00118,Mobile Banking,Digital
C00118,E-Wallet,Digital
C00119,Savings Account,Wealth
C00119,Debit Card,Wealth
C00119,Mobile Banking,Wealth
C00119,Time Deposit,Wealth
C00120,Savings Account,Basic
C00120,Credit Card,Basic
C00120,Personal Loan,Basic
C00120,Insurance,Basic
C00121,Savings Account,Credit
C00121,Debit Card,Credit
C00121,Credit Card,Credit
C00121,E-Wallet,Credit
C00122,Savings Account,Credit
C00122,Personal Loan,Credit
C00122,E-Wallet,Credit
C00123,Savings Account,Credit
C00123,Mobile Banking,Credit
C00123,Credit Card,Credit
C00123,Personal Loan,Credit
C00124,Debit Card,Digital
C00124,Mobile Banking,Digital
C00124,E-Wallet,Digital
C00124,Time Deposit,Digital
C00124,Savings Account,Digital
C00125,Savings Account,Credit
C00125,Debit Card,Credit
C00125,Mobile Banking,Credit
C00125,Credit Card,Credit
C00125,Personal Loan,Credit
C00125,Mortgage,Credit
C00126,Savings Account,Digital
C00126,Mobile Banking,Digital
C00126,Mortgage,Digital
C00126,Time Deposit,Digital
C00127,Savings Account,Wealth
C00127,Mobile Banking,Wealth
C00127,Mortgage,Wealth
C00127,Investment,Wealth
C00127,E-Wallet,Wealth
C00127,Time Deposit,Wealth
C00128,Savings Account,Basic
C00128,Debit Card,Basic
C00128,Mobile Banking,Basic
C00128,Credit Card,Basic
C00129,Savings Account,Basic
C00129,Debit Card,Basic
C00130,Savings Account,Basic
C00130,Debit Card,Basic
C00130,Insurance,Basic
C00131,Savings Account,Basic
C00131,Debit Card,Basic
C00131,Mobile Banking,Basic
C00132,Savings Account,Digital
C00132,Debit Card,Digital
C00132,Mobile Banking,Digital
C00133,Debit Card,Basic
C00133,Mobile Banking,Basic
C00133,Savings Account,Basic
C00134,Savings Account,Digital
C00134,Debit Card,Digital
C00134,Mobile Banking,Digital
C00134,Credit Card,Digital
C00134,E-Wallet,Digital
C00135,Savings Account,Credit
C00135,Debit Card,Credit
C00135,Credit Card,Credit
C00135,Personal Loan,Credit
C00135,Investment,Credit
C00135,E-Wallet,Credit
C00136,Debit Card,Digital
C00136,Mobile Banking,Digital
C00136,Personal Loan,Digital
C00136,E-Wallet,Digital
C00136,Savings Account,Digital
C00137,Savings Account,Basic
C00137,Debit Card,Basic
C00138,Savings Account,Credit
C00138,Debit Card,Credit
C00138,Mobile Banking,Credit
C00138,Credit Card,Credit
C00138,E-Wallet,Credit
C00139,Savings Account,Digital
C00139,Debit Card,Digital
C00139,Mobile Banking,Digital
C00139,E-Wallet,Digital
C00140,Savings Account,Digital
C00140,Debit Card,Digital
C00140,Mobile Banking,Digital
C00140,Personal Loan,Digital
C00141,Savings Account,Basic
C00141,Debit Card,Basic
C00141,Mobile Banking,Basic
C00142,Savings Account,Credit
C00142,Debit Card,Credit
C00142,Mobile Banking,Credit
C00143,Credit Card,Basic
C00143,Personal Loan,Basic
C00143,Savings Account,Basic
C00144,Savings Account,Basic
C00144,Debit Card,Basic
C00145,Debit Card,Credit
C00145,Mobile Banking,Credit
C00145,Credit Card,Credit
C00145,Personal Loan,Credit
C00145,Mortgage,Credit
C00145,Investment,Credit
C00145,Savings Account,Credit
C00146,Savings Account,Wealth
C00146,Debit Card,Wealth
C00146,Credit Card,Wealth
C00146,Mortgage,Wealth
C00146,Investment,Wealth
C00146,Time Deposit,Wealth
C00147,Savings Account,Basic
C00147,Debit Card,Basic
C00147,Mobile Banking,Basic
C00147,Time Deposit,Basic
C00148,Debit Card,Credit
C00148,Mobile Banking,Credit
C00148,Credit Card,Credit
C00148,Mortgage,Credit
C00148,Savings Account,Credit
C00149,Savings Account,Digital
C00149,Debit Card,Digital
C00149,Mobile Banking,Digital
C00150,Debit Card,Wealth
C00150,Mobile Banking,Wealth
C00150,Credit Card,Wealth
C00150,Investment,Wealth
C00150,Savings Account,Wealth
C00151,Savings Account,Digital
C00151,Debit Card,Digital
C00151,Mobile Banking,Digital
C00151,E-Wallet,Digital
C00152,Savings Account,Credit
C00152,Debit Card,Credit
C00152,Investment,Credit
C00153,Savings Account,Wealth
C00153,Investment,Wealth
C00154,Savings Account,Digital
C00154,Debit Card,Digital
C00154,Mobile Banking,Digital
C00154,E-Wallet,Digital
C00155,Savings Account,Wealth
C00155,Debit Card,Wealth
C00155,Insurance,Wealth
C00155,Time Deposit,Wealth
C00156,Savings Account,Basic
C00156,Debit Card,Basic
C00157,Savings Account,Digital
C00157,Debit Card,Digital
C00157,Mobile Banking,Digital
C00157,Credit Card,Digital
C00157,E-Wallet,Digital
C00158,Savings Account,Basic
C00158,Debit Card,Basic
C00158,Credit Card,Basic
C00159,Savings Account,Credit
C00159,Debit Card,Credit
C00159,Mobile Banking,Credit
C00159,Credit Card,Credit
C00160,Savings Account,Credit
C00160,Debit Card,Credit
C00160,Personal Loan,Credit
C00161,Savings Account,Digital
C00161,Debit Card,Digital
C00161,Mobile Banking,Digital
C00161,Credit Card,Digital
C00161,Personal Loan,Digital
C00161,Investment,Digital
C00161,Insurance,Digital
C00162,Savings Account,Wealth
C00162,Mobile Banking,Wealth
C00162,Credit Card,Wealth
C00162,Investment,Wealth
C00162,E-Wallet,Wealth
C00163,Savings Account,Digital
C00163,Debit Card,Digital
C00163,Mobile Banking,Digital
C00163,Credit Card,Digital
C00163,Investment,Digital
C00163,E-Wallet,Digital
C00164,Debit Card,Wealth
C00164,Mobile Banking,Wealth
C00164,Credit Card,Wealth
C00164,Investment,Wealth
C00164,E-Wallet,Wealth
C00164,Savings Account,Wealth
C00165,Savings Account,Wealth
C00165,Debit Card,Wealth
C00165,Mobile Banking,Wealth
C00165,Credit Card,Wealth
C00165,Personal Loan,Wealth
C00165,Mortgage,Wealth
C00165,Investment,Wealth
C00166,Savings Account,Credit
C00166,Debit Card,Credit
C00166,Mobile Banking,Credit
C00166,Credit Card,Credit
C00166,Time Deposit,Credit
C00167,Savings Account,Credit
C00167,Mobile Banking,Credit
C00167,Credit Card,Credit
C00167,E-Wallet,Credit
C00167,Time Deposit,Credit
C00168,Savings Account,Credit
C00168,Debit Card,Credit
C00168,Mobile Banking,Credit
C00168,Credit Card,Credit
C00168,Personal Loan,Credit
C00169,Savings Account,Credit
C00169,Debit Card,Credit
C00169,Credit Card,Credit
C00169,E-Wallet,Credit
C00170,Savings Account,Digital
C00170,E-Wallet,Digital
C00171,Savings Account,Digital
C00171,E-Wallet,Digital
C00172,Savings Account,Credit
C00172,Debit Card,Credit
C00172,Mobile Banking,Credit
C00172,Credit Card,Credit
C00172,Personal Loan,Credit
C00172,Mortgage,Credit
C00172,E-Wallet,Credit
C00173,Savings Account,Credit
C00173,Debit Card,Credit
C00173,Mobile Banking,Credit
C00173,Credit Card,Credit
C00173,Personal Loan,Credit
C00173,Mortgage,Credit
C00173,Investment,Credit
C00173,E-Wallet,Credit
C00174,Savings Account,Digital
C00174,Debit Card,Digital
C00174,Mobile Banking,Digital
C00174,Credit Card,Digital
C00174,Investment,Digital
C00174,Insurance,Digital
C00175,Savings Account,Digital
C00175,Debit Card,Digital
C00175,Mobile Banking,Digital
C00175,E-Wallet,Digital
C00176,Savings Account,Digital
C00176,Debit Card,Digital
C00176,Mobile Banking,Digital
C00177,Savings Account,Credit
C00177,Debit Card,Credit
C00177,Mobile Banking,Credit
C00177,Credit Card,Credit
C00177,Personal Loan,Credit
C00178,Savings Account,Basic
C00178,Credit Card,Basic
C00178,Time Deposit,Basic
C00179,Savings Account,Basic
C00179,Debit Card,Basic
C00179,Mobile Banking,Basic
C00180,Savings Account,Credit
C00180,Credit Card,Credit
C00180,Personal Loan,Credit
C00181,Savings Account,Basic
C00181,Mobile Banking,Basic
C00181,E-Wallet,Basic
C00182,Savings Account,Wealth
C00182,Debit Card,Wealth
C00182,Mobile Banking,Wealth
C00182,Mortgage,Wealth
C00182,Time Deposit,Wealth
C00183,Savings Account,Basic
C00183,Debit Card,Basic
C00183,Insurance,Basic
C00184,Savings Account,Credit
C00184,Debit Card,Credit
C00184,Mobile Banking,Credit
C00184,Credit Card,Credit
C00184,Insurance,Credit
C00184,E-Wallet,Credit
C00185,Savings Account,Credit
C00185,Debit Card,Credit
C00185,Mobile Banking,Credit
C00185,Credit Card,Credit
C00185,Mortgage,Credit
C00185,Time Deposit,Credit
C00186,Debit Card,Wealth
C00186,Mobile Banking,Wealth
C00186,Investment,Wealth
C00186,Time Deposit,Wealth
C00186,Savings Account,Wealth
C00187,Savings Account,Credit
C00187,Debit Card,Credit
C00187,Mobile Banking,Credit
C00187,Personal Loan,Credit
C00188,Savings Account,Credit
C00188,Debit Card,Credit
C00188,Credit Card,Credit
C00188,Personal Loan,Credit
C00188,Mortgage,Credit
C00189,Savings Account,Digital
C00189,Mobile Banking,Digital
C00189,Credit Card,Digital
C00189,E-Wallet,Digital
C00190,Savings Account,Digital
C00190,Debit Card,Digital
C00190,Mobile Banking,Digital
C00190,Credit Card,Digital
C00191,Debit Card,Credit
C00191,Mobile Banking,Credit
C00191,Personal Loan,Credit
C00191,Mortgage,Credit
C00191,Insurance,Credit
C00191,E-Wallet,Credit
C00191,Savings Account,Credit
C00192,Mobile Banking,Digital
C00192,Insurance,Digital
C00192,E-Wallet,Digital
C00192,Savings Account,Digital
C00193,Savings Account,Digital
C00193,Debit Card,Digital
C00193,Credit Card,Digital
C00193,Personal Loan,Digital
C00193,E-Wallet,Digital
C00194,Savings Account,Digital
C00194,Debit Card,Digital
C00194,Mobile Banking,Digital
C00194,Credit Card,Digital
C00194,Personal Loan,Digital
C00194,Mortgage,Digital
C00195,Savings Account,Credit
C00195,Debit Card,Credit
C00196,Savings Account,Basic
C00196,Credit Card,Basic
C00196,Mortgage,Basic
C00197,Savings Account,Digital
C00197,Debit Card,Digital
C00197,Mobile Banking,Digital
C00197,E-Wallet,Digital
C00198,Savings Account,Credit
C00198,Debit Card,Credit
C00198,Mobile Banking,Credit
C00198,Credit Card,Credit
C00198,Personal Loan,Credit
C00198,Mortgage,Credit
C00199,E-Wallet,Digital
C00199,Savings Account,Digital
C00200,Savings Account,Basic
C00200,Debit Card,Basic
C00200,Credit Card,Basic
C00201,Mobile Banking,Digital
C00201,Credit Card,Digital
C00201,Insurance,Digital
C00201,E-Wallet,Digital
C00201,Savings Account,Digital
C00202,Debit Card,Credit
C00202,Credit Card,Credit
C00202,Personal Loan,Credit
C00202,Savings Account,Credit
C00203,Savings Account,Credit
C00203,Mobile Banking,Credit
C00203,Credit Card,Credit
C00203,Personal Loan,Credit
C00203,Mortgage,Credit
C00203,Time Deposit,Credit
C00204,Savings Account,Basic
C00204,Mobile Banking,Basic
C00204,Insurance,Basic
C00205,Savings Account,Credit
C00205,Debit Card,Credit
C00205,Mobile Banking,Credit
C00205,Credit Card,Credit
C00205,Personal Loan,Credit
C00206,Debit Card,Credit
C00206,Mobile Banking,Credit
C00206,Credit Card,Credit
C00206,Insurance,Credit
C00206,Savings Account,Credit
C00207,Savings Account,Wealth
C00207,E-Wallet,Wealth
C00207,Time Deposit,Wealth
C00208,Debit Card,Digital
C00208,Mobile Banking,Digital
C00208,Credit Card,Digital
C00208,Insurance,Digital
C00208,Savings Account,Digital
C00209,Savings Account,Digital
C00209,Mobile Banking,Digital
C00209,Investment,Digital
C00209,E-Wallet,Digital
C00209,Time Deposit,Digital
C00210,Mobile Banking,Wealth
C00210,Credit Card,Wealth
C00210,Mortgage,Wealth
C00210,Investment,Wealth
C00210,Insurance,Wealth
C00210,Savings Account,Wealth
C00211,Savings Account,Basic
C00211,Debit Card,Basic
C00211,Mobile Banking,Basic
C00211,Time Deposit,Basic
C00212,Savings Account,Digital
C00212,Debit Card,Digital
C00212,Mobile Banking,Digital
C00212,E-Wallet,Digital
C00213,Savings Account,Basic
C00213,Debit Card,Basic
C00213,E-Wallet,Basic
C00214,Debit Card,Digital
C00214,Mobile Banking,Digital
C00214,Personal Loan,Digital
C00214,Mortgage,Digital
C00214,Investment,Digital
C00214,E-Wallet,Digital
C00214,Savings Account,Digital
C00215,Savings Account,Credit
C00215,Debit Card,Credit
C00215,Mobile Banking,Credit
C00215,Personal Loan,Credit
C00215,Investment,Credit
C00216,Savings Account,Wealth
C00216,Debit Card,Wealth
C00216,Mobile Banking,Wealth
C00216,Credit Card,Wealth
C00216,Mortgage,Wealth
C00216,Investment,Wealth
C00216,Insurance,Wealth
C00216,Time Deposit,Wealth
C00217,Savings Account,Basic
C00217,Debit Card,Basic
C00217,Investment,Basic
C00217,Insurance,Basic
C00218,Debit Card,Digital
C00218,Mobile Banking,Digital
C00218,Mortgage,Digital
C00218,E-Wallet,Digital
C00218,Savings Account,Digital
C00219,Savings Account,Digital
C00219,Debit Card,Digital
C00219,Mobile Banking,Digital
C00219,E-Wallet,Digital
C00220,Savings Account,Basic
C00220,Mobile Banking,Basic
C00220,E-Wallet,Basic
C00221,Savings Account,Digital
C00221,Mobile Banking,Digital
C00221,Mortgage,Digital
C00222,Savings Account,Wealth
C00222,Debit Card,Wealth
C00222,Investment,Wealth
C00222,Time Deposit,Wealth
