Customer_ID,Risk_Score,Outstanding_Balance,Overdue_Days,Overdue_Amount,Segment,Current_Channel,Estimated_Recovery_Rate,Expected_Recovery,Contact_Cost,Recovery_per_Cost
C00062,0.0242,20077020.0,97,680591.0,Mass,Call Center,0.5599,281175.0,25000,11.247
C00063,0.0415,150094891.0,92,4985002.0,Mass,Field Agent,0.7661,2785180.0,180000,15.4732
C00064,0.1152,28511053.0,77,900385.0,Mass,Call Center,0.51,317966.0,25000,12.7186
C00065,0.1946,14214028.0,79,519947.0,Mass,SMS,0.2339,79368.0,3000,26.456
C00066,0.2645,4309428.0,144,316272.0,Mass,Field Agent,0.6756,132002.0,180000,0.7333
C00067,0.2562,99402926.0,92,4610502.0,Mass,WhatsApp,0.3161,906247.0,5000,181.2494
C00068,0.2817,23307892.0,8,100000.0,Mass,SMS,0.1675,10206.0,3000,3.402
C00069,0.1676,4315193.0,134,257352.0,Mass,SMS,0.2465,42268.0,3000,14.0894
C00070,0.5912,9920568.0,112,808295.0,Mass,Call Center,0.3932,144412.0,25000,5.7765
C00071,0.2075,6968067.0,126,414114.0,Mass,WhatsApp,0.3253,87052.0,5000,17.4104
C00072,0.2535,21914145.0,128,1408969.0,Priority,WhatsApp,0.3166,278026.0,5000,55.6052
C00073,0.1031,30759989.0,32,395784.0,Affluent,WhatsApp,0.2783,76932.0,5000,15.3864
C00074,0.2412,15114564.0,175,1307057.0,Mass,Call Center,0.4961,408096.0,25000,16.3238
C00075,0.512,54375975.0,179,6567025.0,Mass,SMS,0.1983,643322.0,3000,214.4407
C00076,0.5349,27049758.0,27,503890.0,Mass,SMS,0.1541,37479.0,3000,12.4931
C00077,0.4259,72326328.0,40,1785787.0,Mass,WhatsApp,0.2367,226980.0,5000,45.3961
C00078,0.2853,17490918.0,45,412045.0,Mass,Call Center,0.4107,102775.0,25000,4.111
C00079,0.2479,500000000.0,174,43376604.0,Mass,WhatsApp,0.3177,8626326.0,5000,1725.2651
C00080,0.4317,14216270.0,168,1483422.0,Mass,SMS,0.2096,166059.0,3000,55.3531
C00081,0.1971,10130451.0,48,225966.0,Mass,WhatsApp,0.2814,41431.0,5000,8.2863
C00082,0.3752,8958253.0,114,595845.0,Affluent,SMS,0.2175,72878.0,3000,24.2927
C00083,0.3061,20245552.0,44,478702.0,Mass,WhatsApp,0.2596,74195.0,5000,14.8389
C00084,0.3032,4478731.0,7,100000.0,Affluent,Field Agent,0.4773,28561.0,180000,0.1587
C00085,0.4845,33563483.0,42,925179.0,Priority,Call Center,0.3566,167539.0,25000,6.7016
C00086,0.091,3719436.0,14,100000.0,Mass,Field Agent,0.5571,39246.0,180000,0.218
C00087,0.3253,29386834.0,153,2473918.0,Affluent,WhatsApp,0.303,440277.0,5000,88.0554
C00088,0.6046,6472899.0,142,676877.0,Affluent,Call Center,0.3892,117952.0,25000,4.7181
C00089,0.2281,17074437.0,34,281783.0,Mass,SMS,0.1936,34699.0,3000,11.5663
C00090,0.3119,45760269.0,103,2551054.0,Mass,WhatsApp,0.3056,463070.0,5000,92.614
C00091,0.2735,250363412.0,37,4776708.0,Affluent,WhatsApp,0.2575,754457.0,5000,150.8915
C00092,0.2111,8506880.0,102,411325.0,Mass,SMS,0.2405,63741.0,3000,21.2469
C00093,0.0688,21510870.0,162,1321460.0,Mass,WhatsApp,0.3515,332381.0,5000,66.4763
C00094,0.1078,12123154.0,159,781110.0,Mass,Call Center,0.5353,291047.0,25000,11.6419
C00095,0.375,10475147.0,150,916539.0,Mass,SMS,0.2175,112139.0,3000,37.3796
C00096,0.8163,12230129.0,44,472238.0,Mass,SMS,0.1318,21282.0,3000,7.0939
C00097,0.1236,56993789.0,35,829259.0,Priority,WhatsApp,0.2786,159000.0,5000,31.8001
C00098,0.1408,15345465.0,29,190118.0,Mass,Field Agent,0.5782,74710.0,180000,0.4151
C00099,0.3376,237030428.0,23,3044344.0,Mass,Call Center,0.3633,642752.0,25000,25.7101
C00100,0.3194,37896361.0,111,2297783.0,Mass,SMS,0.2253,305585.0,3000,101.8616
C00101,0.3748,9105377.0,119,631901.0,Mass,SMS,0.2175,77336.0,3000,25.7787
C00102,0.3334,17325348.0,159,1530505.0,Affluent,WhatsApp,0.3015,269156.0,5000,53.8312
C00103,0.1674,11212496.0,17,100000.0,Mass,SMS,0.1866,12431.0,3000,4.1437
C00104,0.2864,55642343.0,48,1400158.0,Mass,WhatsApp,0.2669,226791.0,5000,45.3582
C00105,0.3568,4855423.0,132,366106.0,Mass,SMS,0.22,46046.0,3000,15.3487
C00106,0.5582,6539917.0,123,567482.0,Priority,WhatsApp,0.259,69212.0,5000,13.8425
C00107,0.2407,13836772.0,77,526100.0,Affluent,SMS,0.2261,74887.0,3000,24.9622
C00108,0.2521,49492573.0,28,694862.0,Mass,Call Center,0.391,169524.0,25000,6.7809
C00109,0.5636,85792887.0,88,5353100.0,Mass,Field Agent,0.5505,1379785.0,180000,7.6655
C00110,0.1293,99426434.0,31,1293137.0,Mass,WhatsApp,0.2732,242103.0,5000,48.4205
C00111,0.4683,42464878.0,97,2658908.0,Affluent,Call Center,0.4293,588891.0,25000,23.5556
C00112,0.183,23011320.0,163,1707996.0,Affluent,SMS,0.2444,274842.0,3000,91.6139
C00113,0.3547,55340313.0,36,1135142.0,Mass,Call Center,0.3794,246656.0,25000,9.8662
C00114,0.3153,7959572.0,22,100000.0,Affluent,SMS,0.1747,10347.0,3000,3.4489
C00115,0.1276,3951987.0,133,219912.0,Mass,Call Center,0.5295,79903.0,25000,3.1961
C00116,0.192,38687378.0,5,100000.0,Mass,SMS,0.1742,11396.0,3000,3.7985
C00117,0.2841,9144910.0,178,850945.0,Mass,SMS,0.2302,119097.0,3000,39.6989
C00118,0.1144,23419502.0,140,1342884.0,Mass,Call Center,0.5334,496242.0,25000,19.8497
C00119,0.1495,28176910.0,73,890652.0,Mass,SMS,0.235,141304.0,3000,47.1015
C00120,0.3459,32040329.0,66,1192536.0,Mass,WhatsApp,0.2752,189375.0,5000,37.8749
C00121,0.261,63858351.0,70,2267875.0,Affluent,SMS,0.2179,306125.0,3000,102.0417
C00122,0.2449,57452069.0,72,2054087.0,Priority,WhatsApp,0.2991,385604.0,5000,77.1207
C00123,0.2823,30382777.0,152,2408492.0,Mass,WhatsApp,0.3111,456276.0,5000,91.2552
C00124,0.2173,16068495.0,144,1106565.0,Mass,SMS,0.2396,170016.0,3000,56.672
C00125,0.2585,27844568.0,37,520978.0,Affluent,SMS,0.1925,62253.0,3000,20.751
C00126,0.2472,13772384.0,33,226398.0,Mass,WhatsApp,0.2574,36503.0,5000,7.3006
C00127,0.1359,20541493.0,98,853443.0,Affluent,SMS,0.251,146084.0,3000,48.6948
C00128,0.5569,342766428.0,118,28497953.0,Mass,Field Agent,0.5569,7484022.0,180000,41.5779
C00129,0.6677,29996045.0,131,3058919.0,Mass,WhatsApp,0.2383,303366.0,5000,60.6733
C00130,0.0677,39217412.0,57,845979.0,Affluent,WhatsApp,0.313,189647.0,5000,37.9295
C00131,0.3172,12346778.0,87,585211.0,Mass,Field Agent,0.6477,224155.0,180000,1.2453
C00132,0.5206,69334959.0,19,896310.0,Mass,Call Center,0.316,138696.0,25000,5.5479
C00133,0.3254,53471470.0,83,2442276.0,Mass,SMS,0.2192,314400.0,3000,104.8002
C00134,0.4527,53851399.0,124,4240929.0,Affluent,SMS,0.2066,458895.0,3000,152.9652
C00135,0.2481,30993177.0,55,850183.0,Priority,Field Agent,0.6027,320714.0,180000,1.7817
C00136,0.0892,70320680.0,58,1602133.0,Mass,SMS,0.23,259976.0,3000,86.6586
C00137,0.0468,89171459.0,84,2730506.0,Mass,SMS,0.2582,512223.0,3000,170.741
C00138,0.3265,33180911.0,156,2852130.0,Mass,Field Agent,0.6504,1088490.0,180000,6.0472
C00139,0.2339,22292794.0,109,1188813.0,Mass,SMS,0.2373,178562.0,3000,59.5206
C00140,0.2933,61157152.0,166,5369044.0,Mass,Field Agent,0.6639,2150737.0,180000,11.9485
C00141,0.3258,10122397.0,12,100000.0,Mass,WhatsApp,0.2242,13160.0,5000,2.632
C00142,0.1251,12193653.0,153,777516.0,Mass,Call Center,0.5302,283391.0,25000,11.3356
C00143,0.2482,23702380.0,8,100000.0,Mass,WhatsApp,0.2308,14445.0,5000,2.8891
C00144,0.4188,4382059.0,59,158360.0,Mass,Field Agent,0.5496,47056.0,180000,0.2614
C00145,0.5316,57195264.0,77,3028655.0,Mass,WhatsApp,0.2526,370444.0,5000,74.0888
C00146,0.285,9544470.0,43,214780.0,Mass,SMS,0.1941,25320.0,3000,8.44
C00147,0.4947,15601777.0,179,1851944.0,Mass,Call Center,0.4216,392420.0,25000,15.6968
C00148,0.1708,20198255.0,161,1454253.0,Mass,WhatsApp,0.3322,321089.0,5000,64.2179
C00149,0.0977,26001719.0,103,1067166.0,Mass,SMS,0.2563,191791.0,3000,63.9303
C00150,0.0516,17729369.0,82,534658.0,Mass,SMS,0.2558,99028.0,3000,33.0093
C00151,0.3281,23371207.0,138,1780601.0,Mass,WhatsApp,0.3025,315587.0,5000,63.1173
C00152,0.1719,23552882.0,128,1350335.0,Mass,WhatsApp,0.332,297727.0,5000,59.5453
C00153,0.2327,15988103.0,87,679397.0,Mass,SMS,0.2351,101195.0,3000,33.7315
C00154,0.1299,11538409.0,149,721910.0,Mass,WhatsApp,0.34,168129.0,5000,33.6258
C00155,0.0978,73725575.0,35,1028367.0,Mass,Field Agent,0.607,437658.0,180000,2.4314
C00156,0.1186,3047953.0,50,100000.0,Mass,Call Center,0.4612,31853.0,25000,1.2741
C00157,0.4443,20351623.0,4,100000.0,Mass,Call Center,0.3113,16430.0,25000,0.6572
C00158,0.1804,15642262.0,22,156087.0,Mass,Field Agent,0.5489,56530.0,180000,0.3141
C00159,0.3803,38003084.0,36,802882.0,Mass,SMS,0.1777,79896.0,3000,26.632
C00160,0.067,5839137.0,113,249396.0,Affluent,Field Agent,0.7558,135062.0,180000,0.7503
C00161,0.229,15166522.0,154,1135135.0,Mass,SMS,0.2379,171643.0,3000,57.2143
C00162,0.1919,22567619.0,107,1113909.0,Affluent,Call Center,0.5106,371963.0,25000,14.8785
C00163,0.035,72889853.0,81,2105672.0,Mass,Field Agent,0.7457,1150253.0,180000,6.3903
C00164,0.1715,34850267.0,49,764456.0,Affluent,SMS,0.2124,107841.0,3000,35.947
C00165,0.0913,7655219.0,19,100000.0,Affluent,Call Center,0.4123,29042.0,25000,1.1617
C00166,0.3667,15354354.0,106,940403.0,Mass,SMS,0.2187,116521.0,3000,38.8403
C00167,0.4566,60638329.0,26,1005422.0,Mass,SMS,0.1621,85036.0,3000,28.3455
C00168,0.6671,7524023.0,143,837160.0,Mass,SMS,0.1766,61569.0,3000,20.5231
C00169,0.1434,23109217.0,74,733497.0,Mass,WhatsApp,0.3194,158915.0,5000,31.7831
C00170,0.0834,24773025.0,64,616656.0,Mass,WhatsApp,0.3185,139117.0,5000,27.8235
C00171,0.4686,16997950.0,5,100000.0,Priority,Call Center,0.3076,15865.0,25000,0.6346
C00172,0.2006,370416337.0,44,7612192.0,Affluent,SMS,0.2048,1013003.0,3000,337.6678
C00173,0.2498,16546000.0,3,100000.0,Priority,Call Center,0.3504,21904.0,25000,0.8762
C00174,0.5048,39198598.0,131,3439751.0,Affluent,Field Agent,0.5781,989417.0,180000,5.4968
C00175,0.4374,11618222.0,89,646161.0,Affluent,SMS,0.2081,71436.0,3000,23.8122
C00176,0.2303,42377765.0,142,2929590.0,Affluent,SMS,0.2378,442225.0,3000,147.4082
C00177,0.3965,59719788.0,102,3640462.0,Mass,WhatsApp,0.2896,581660.0,5000,116.3319
C00178,0.09,13886426.0,172,939443.0,Affluent,SMS,0.2574,170481.0,3000,56.8269
C00179,0.0826,23669185.0,142,1305319.0,Mass,SMS,0.2584,239088.0,3000,79.6959
C00180,0.1507,10212332.0,27,119608.0,Mass,SMS,0.1966,15868.0,3000,5.2892
C00181,0.3733,7960342.0,21,100000.0,Mass,Call Center,0.3521,19835.0,25000,0.7934
C00182,0.4087,70504128.0,161,6876836.0,Mass,Call Center,0.4468,1676602.0,25000,67.0641
C00183,0.2193,14366152.0,49,337565.0,Priority,SMS,0.2066,44657.0,3000,14.8857
C00184,0.0379,2237286.0,138,110707.0,Mass,SMS,0.2647,21423.0,3000,7.1412
C00185,0.4408,146091331.0,114,10445844.0,Mass,Call Center,0.4374,2419706.0,25000,96.7882
C00186,0.2798,11209712.0,127,740146.0,Mass,Field Agent,0.6694,302256.0,180000,1.6792
C00187,0.2384,19540765.0,49,471332.0,Mass,Call Center,0.429,127552.0,25000,5.1021
C00188,0.0437,128996121.0,57,2665091.0,Mass,SMS,0.2349,455762.0,3000,151.9205
C00189,0.12,21696126.0,100,896724.0,Mass,Field Agent,0.7343,454348.0,180000,2.5242
C00190,0.5723,21232632.0,4,100000.0,Mass,Call Center,0.2844,14222.0,25000,0.5689
C00191,0.3753,7320677.0,57,243485.0,Mass,Call Center,0.4064,55653.0,25000,2.2261
C00192,0.6382,4874620.0,92,340282.0,Mass,Field Agent,0.5239,76823.0,180000,0.4268
C00193,0.2497,21167978.0,37,391467.0,Mass,SMS,0.1935,47357.0,3000,15.7856
C00194,0.341,35934060.0,52,1047655.0,Mass,WhatsApp,0.262,159090.0,5000,31.8179
C00195,0.4242,33933449.0,178,3721568.0,Affluent,Call Center,0.4423,885371.0,25000,35.4148
C00196,0.4904,15450089.0,53,540689.0,Affluent,SMS,0.1765,48173.0,3000,16.0577
C00197,0.3856,25511610.0,163,2455073.0,Affluent,SMS,0.216,295510.0,3000,98.5032
C00198,0.277,3981529.0,167,344424.0,Mass,SMS,0.2312,48699.0,3000,16.2329
C00199,0.5272,39608465.0,122,3309081.0,Mass,Field Agent,0.569,915773.0,180000,5.0876
C00200,0.39,29379045.0,28,488083.0,Affluent,Call Center,0.3589,97209.0,25000,3.8884
C00201,0.1302,179924392.0,38,2872417.0,Priority,WhatsApp,0.281,552786.0,5000,110.5572
C00202,0.0351,25187692.0,169,1518466.0,Mass,WhatsApp,0.3579,398027.0,5000,79.6054
C00203,0.5236,9739663.0,1,100000.0,Affluent,Field Agent,0.4012,20060.0,180000,0.1114
C00204,0.2112,23763545.0,91,1025363.0,Mass,SMS,0.2404,158855.0,3000,52.9518
C00205,0.2724,18012681.0,108,1001768.0,Mass,Call Center,0.4869,299386.0,25000,11.9754
C00206,0.2133,38612795.0,151,2772564.0,Priority,Call Center,0.5043,899532.0,25000,35.9813
C00207,0.2029,25681423.0,162,1949536.0,Priority,Call Center,0.5073,641483.0,25000,25.6593
C00208,0.3558,7091729.0,52,210395.0,Priority,SMS,0.1923,23146.0,3000,7.7154
C00209,0.2528,4870188.0,91,222417.0,Mass,Call Center,0.4927,68335.0,25000,2.7334
C00210,0.1793,32517683.0,115,1693565.0,Mass,Call Center,0.5143,575132.0,25000,23.0053
C00211,0.4591,99682523.0,174,11089974.0,Affluent,Call Center,0.432,2493643.0,25000,99.7457
C00212,0.179,27064522.0,101,1237370.0,Mass,Call Center,0.5144,420390.0,25000,16.8156
C00213,0.3457,56383309.0,22,699363.0,Mass,Field Agent,0.497,200597.0,180000,1.1144
C00214,0.5077,68833117.0,167,7722421.0,Mass,SMS,0.1989,762167.0,3000,254.0556
C00215,0.753,32644215.0,93,2536064.0,Mass,SMS,0.1646,155882.0,3000,51.9608
C00216,0.1522,11071612.0,33,158859.0,Mass,Field Agent,0.5842,62539.0,180000,0.3474
C00217,0.2743,30392137.0,35,549063.0,Affluent,Field Agent,0.5485,184579.0,180000,1.0254
C00218,0.1324,83592074.0,37,1304003.0,Mass,SMS,0.207,184608.0,3000,61.5359
C00219,0.2839,42468659.0,130,2885113.0,Mass,Field Agent,0.6678,1171462.0,180000,6.5081
C00220,0.1615,52832217.0,171,3984101.0,Mass,Call Center,0.5195,1385233.0,25000,55.4093
C00221,0.6272,15741957.0,80,946388.0,Mass,WhatsApp,0.2378,98191.0,5000,19.6381
C00222,0.2707,20420148.0,18,188861.0,Mass,SMS,0.1764,20476.0,3000,6.8253
C00223,0.4266,22201248.0,160,2194405.0,Mass,Field Agent,0.6098,718140.0,180000,3.9897
C00224,0.0723,23748938.0,115,1042020.0,Affluent,Call Center,0.5457,405948.0,25000,16.2379
C00225,0.1735,80385526.0,103,3717680.0,Mass,Call Center,0.516,1272278.0,25000,50.8911
C00226,0.2787,2390977.0,11,100000.0,Mass,Call Center,0.3573,21820.0,25000,0.8728
C00227,0.2984,25775235.0,175,2400793.0,Mass,WhatsApp,0.3081,444424.0,5000,88.8848
C00228,0.3009,23089534.0,14,172585.0,Mass,SMS,0.1702,17607.0,3000,5.8689
C00229,0.2241,6343145.0,110,336842.0,Mass,Call Center,0.5011,107678.0,25000,4.3071
C00230,0.1274,48942348.0,108,2211011.0,Affluent,Call Center,0.5295,803496.0,25000,32.1398
C00231,0.2791,12114167.0,93,585172.0,Mass,Call Center,0.4849,173229.0,25000,6.9292
C00232,0.5065,17493741.0,100,1173861.0,Mass,Call Center,0.4181,243783.0,25000,9.7513
C00233,0.2972,158801935.0,72,6076533.0,Mass,SMS,0.2147,784581.0,3000,261.527
C00234,0.2584,68638217.0,104,3608929.0,Mass,Field Agent,0.6781,1519312.0,180000,8.4406
C00235,0.1793,44405475.0,66,1327265.0,Mass,WhatsApp,0.3042,266583.0,5000,53.3166
C00236,0.4471,36585528.0,86,1986620.0,Mass,SMS,0.2046,214023.0,3000,71.3409
C00237,0.3837,21204126.0,123,1536490.0,Mass,WhatsApp,0.292,250408.0,5000,50.0815
C00238,0.3094,184611403.0,134,13349232.0,Mass,WhatsApp,0.306,2431767.0,5000,486.3534
C00239,0.2784,55759258.0,28,810203.0,Affluent,WhatsApp,0.2474,122442.0,5000,24.4885
C00240,0.047,11814480.0,179,771208.0,Mass,WhatsApp,0.3556,199244.0,5000,39.8487
C00241,0.1968,6164294.0,18,100000.0,Affluent,Field Agent,0.5343,34818.0,180000,0.1934
C00242,0.1546,44067116.0,50,961479.0,Mass,Call Center,0.452,292370.0,25000,11.6948
C00243,0.1288,23641572.0,63,624370.0,Mass,Call Center,0.4815,206118.0,25000,8.2447
C00244,0.1632,5989079.0,59,156229.0,Mass,SMS,0.2216,23142.0,3000,7.7139
C00245,0.2045,38377141.0,64,1153506.0,Mass,SMS,0.2205,164726.0,3000,54.9086
C00246,0.0834,19103063.0,59,438331.0,Affluent,Call Center,0.4864,151027.0,25000,6.0411
C00247,0.0689,42501559.0,79,1273523.0,Priority,WhatsApp,0.3386,308532.0,5000,61.7064
C00248,0.264,38885290.0,138,2733075.0,Affluent,WhatsApp,0.3146,531399.0,5000,106.2797
C00249,0.0965,13607373.0,149,806221.0,Mass,SMS,0.2565,145120.0,3000,48.3732
C00250,0.2397,47073989.0,63,1462368.0,Affluent,Field Agent,0.624,575035.0,180000,3.1946
C00251,0.1898,15195066.0,47,328420.0,Mass,Call Center,0.4379,94220.0,25000,3.7688
C00252,0.2886,16215928.0,122,1040016.0,Affluent,SMS,0.2296,144641.0,3000,48.2138
C00253,0.2025,14681738.0,11,100000.0,Mass,Call Center,0.3738,24251.0,25000,0.9701
C00254,0.2928,77466862.0,81,3316295.0,Affluent,SMS,0.2221,444680.0,3000,148.2267
C00255,0.1256,18883782.0,40,315045.0,Mass,Field Agent,0.61,132061.0,180000,0.7337
C00256,0.1195,98624431.0,110,4480561.0,Mass,Call Center,0.5319,1644893.0,25000,65.7957
C00257,0.1891,148763931.0,15,1025120.0,Priority,Field Agent,0.5297,355896.0,180000,1.9772
C00258,0.623,11943136.0,150,1341248.0,Affluent,SMS,0.1828,107494.0,3000,35.8313
C00259,0.1768,1347001.0,49,100000.0,Affluent,Field Agent,0.614,40622.0,180000,0.2257
C00260,0.2333,71050108.0,93,3230308.0,Mass,WhatsApp,0.3204,655515.0,5000,131.1031
C00261,0.3317,17759204.0,104,1024036.0,Mass,Call Center,0.4695,280852.0,25000,11.2341
C00262,0.101,10513808.0,86,362292.0,Affluent,WhatsApp,0.3408,86365.0,5000,17.2731
C00263,0.1935,13875958.0,81,519648.0,Mass,Call Center,0.4948,167965.0,25000,6.7186
C00264,0.2242,16511581.0,49,390601.0,Affluent,Call Center,0.4326,107794.0,25000,4.3118
C00265,0.443,91475293.0,140,8050830.0,Mass,WhatsApp,0.2808,1194700.0,5000,238.9399
C00266,0.2749,29335168.0,93,1409326.0,Mass,SMS,0.2315,199869.0,3000,66.6231
C00267,0.2825,90240150.0,39,1835993.0,Affluent,SMS,0.1913,213771.0,3000,71.2571
C00268,0.2625,40980484.0,48,999902.0,Mass,SMS,0.2006,124109.0,3000,41.3696
C00269,0.5036,18350285.0,79,969882.0,Affluent,Field Agent,0.5573,269319.0,180000,1.4962
C00270,0.3192,16920377.0,152,1404680.0,Affluent,WhatsApp,0.3042,252239.0,5000,50.4477
C00271,0.5335,43837279.0,174,5255577.0,Mass,Call Center,0.4101,1041648.0,25000,41.6659
C00272,0.2611,56786661.0,70,2016894.0,Mass,WhatsApp,0.2941,367501.0,5000,73.5003
C00273,0.4461,67739435.0,72,3076362.0,Mass,WhatsApp,0.2634,426929.0,5000,85.3858
C00274,0.4323,19246656.0,24,287092.0,Mass,WhatsApp,0.2206,33808.0,5000,6.7616
C00275,0.4627,29787287.0,99,1892684.0,Affluent,SMS,0.2052,201445.0,3000,67.1484
C00276,0.2137,44831734.0,44,938586.0,Mass,SMS,0.2033,122701.0,3000,40.9003
C00277,0.3854,17028881.0,148,1487592.0,Mass,SMS,0.216,179115.0,3000,59.705
