Loan_ID,Age,Gender,Married,Dependents,Education,Self_Employed,Annual_Income,Coapplicant_Income,Credit_History,Loan_Amount,Loan_Term_Months,Property_Area,Existing_Loans,Monthly_Debt_Payment,Employment_Years,Loan_Status
LN00070,42,,No,0,Graduate,No,133900000.0,79700000.0,1.0,154000000.0,72.0,Urban,0,15630000.0,19.0,1
LN00071,56,Male,No,1,Graduate,No,218000000.0,38800000.0,0.0,369000000.0,,Urban,1,1880000.0,23.6,0
LN00072,29,Female,No,3+,Graduate,No,185900000.0,40400000.0,1.0,158000000.0,60.0,Rural,0,1290000.0,7.3,1
LN00073,41,Female,Yes,1,Graduate,Yes,102900000.0,71400000.0,0.0,400000000.0,36.0,Semiurban,0,1750000.0,24.4,0
LN00074,26,Female,Yes,0,Not Graduate,No,82500000.0,10500000.0,1.0,413000000.0,60.0,Rural,0,1930000.0,19.4,0
LN00075,51,Female,Yes,1,Graduate,No,108700000.0,16300000.0,1.0,216000000.0,60.0,Urban,0,4000000.0,18.3,1
LN00076,42,Female,No,0,Graduate,No,70200000.0,28000000.0,1.0,181000000.0,60.0,Rural,0,1240000.0,2.6,1
LN00077,35,Female,No,0,Not Graduate,No,37500000.0,12100000.0,1.0,251000000.0,60.0,Urban,2,3820000.0,11.6,0
LN00078,31,Female,Yes,3+,Graduate,No,51300000.0,28200000.0,1.0,244000000.0,72.0,Urban,0,3070000.0,11.8,0
LN00079,46,Male,Yes,0,Graduate,Yes,255600000.0,27000000.0,0.0,353000000.0,72.0,Rural,3,5690000.0,22.4,0
LN00080,51,Female,Yes,0,Graduate,No,333300000.0,37500000.0,1.0,69000000.0,60.0,Urban,0,4630000.0,12.3,1
LN00081,63,Male,Yes,0,Graduate,Yes,181700000.0,33400000.0,0.0,167000000.0,60.0,Semiurban,0,5360000.0,9.6,0
LN00082,40,Female,No,0,Not Graduate,No,116200000.0,82300000.0,1.0,143000000.0,60.0,Urban,1,4230000.0,10.6,0
LN00083,28,Male,Yes,1,Graduate,No,55800000.0,55400000.0,1.0,63000000.0,60.0,Semiurban,1,6790000.0,24.1,1
LN00084,58,Male,No,2,Graduate,No,109800000.0,33100000.0,1.0,190000000.0,72.0,Urban,0,1060000.0,15.3,1
LN00085,49,Male,Yes,1,Graduate,Yes,168000000.0,26800000.0,1.0,110000000.0,36.0,Semiurban,2,1080000.0,12.5,1
LN00086,52,,Yes,0,Not Graduate,No,189400000.0,33700000.0,1.0,202000000.0,60.0,Urban,0,2960000.0,19.1,1
LN00087,25,Male,Yes,0,Not Graduate,No,175300000.0,34200000.0,1.0,191000000.0,36.0,Rural,1,3180000.0,7.0,0
LN00088,35,Male,No,0,Graduate,No,233400000.0,262500000.0,1.0,321000000.0,72.0,Rural,1,1460000.0,21.4,1
LN00089,55,Male,Yes,1,Graduate,No,349400000.0,10900000.0,1.0,218000000.0,60.0,Rural,0,4440000.0,15.6,1
LN00090,58,Male,Yes,2,Graduate,No,96000000.0,16700000.0,1.0,99000000.0,60.0,Rural,3,1200000.0,6.6,1
LN00091,40,Female,Yes,1,Graduate,Yes,561400000.0,14800000.0,0.0,302000000.0,24.0,Semiurban,0,2490000.0,2.4,1
LN00092,57,Female,No,2,Graduate,No,39500000.0,43400000.0,1.0,946000000.0,36.0,Urban,1,2960000.0,12.6,0
LN00093,58,Female,No,2,Graduate,Yes,78200000.0,42100000.0,1.0,452000000.0,36.0,Urban,0,4480000.0,19.1,0
LN00094,38,Male,No,0,Graduate,No,134000000.0,22100000.0,1.0,363000000.0,60.0,Rural,0,2110000.0,8.2,1
LN00095,61,Male,Yes,1,Not Graduate,No,162300000.0,71700000.0,1.0,225000000.0,60.0,Semiurban,0,7030000.0,24.1,1
LN00096,33,Female,No,2,Graduate,No,108600000.0,47000000.0,1.0,191000000.0,36.0,Urban,0,9730000.0,13.4,1
LN00097,31,Male,Yes,3+,Graduate,Yes,91400000.0,74100000.0,0.0,184000000.0,60.0,Urban,1,8800000.0,21.3,1
LN00098,51,Male,No,0,Not Graduate,No,403000000.0,91700000.0,1.0,285000000.0,48.0,Rural,1,10630000.0,3.1,1
LN00099,49,Female,Yes,1,Graduate,No,89000000.0,6400000.0,0.0,134000000.0,60.0,Urban,1,6330000.0,13.6,0
LN00100,27,Female,Yes,0,Graduate,No,68500000.0,60600000.0,1.0,282000000.0,60.0,Urban,0,4610000.0,24.4,0
LN00101,58,Male,No,2,Graduate,,304100000.0,12500000.0,,174000000.0,60.0,Semiurban,4,1780000.0,10.9,1
LN00102,29,Female,No,3+,Graduate,No,191400000.0,42700000.0,1.0,97000000.0,60.0,Semiurban,2,2020000.0,19.5,1
LN00103,57,Male,Yes,3+,Graduate,No,219100000.0,33000000.0,1.0,172000000.0,36.0,Urban,1,5830000.0,17.6,1
LN00104,21,Female,Yes,0,Graduate,No,133600000.0,34200000.0,1.0,498000000.0,48.0,Semiurban,1,860000.0,8.5,1
LN00105,56,,No,0,Graduate,No,56300000.0,13400000.0,1.0,270000000.0,60.0,Urban,2,7580000.0,20.8,0
LN00106,56,Male,No,2,Graduate,No,125700000.0,79800000.0,0.0,35000000.0,72.0,Urban,1,1960000.0,11.1,1
LN00107,56,Female,No,1,Not Graduate,No,52200000.0,12500000.0,0.0,173000000.0,36.0,Semiurban,1,2060000.0,9.6,0
LN00108,50,Male,Yes,3+,Graduate,No,137100000.0,63800000.0,1.0,411000000.0,60.0,Rural,0,5160000.0,16.6,1
LN00109,42,Female,Yes,0,Graduate,No,171900000.0,11100000.0,1.0,212000000.0,60.0,Semiurban,2,3650000.0,5.3,0
LN00110,52,Male,No,2,Graduate,No,216800000.0,34500000.0,1.0,333000000.0,48.0,Urban,2,2240000.0,22.7,1
LN00111,33,Female,No,2,Graduate,No,114100000.0,148200000.0,,201000000.0,48.0,Urban,0,1590000.0,1.7,1
LN00112,56,Female,No,0,Graduate,Yes,181100000.0,231500000.0,1.0,,60.0,Semiurban,1,1050000.0,22.4,0
LN00113,46,Male,No,0,Graduate,No,73000000.0,9600000.0,1.0,255000000.0,36.0,Urban,1,,13.5,0
LN00114,41,Female,Yes,2,Graduate,No,204200000.0,19900000.0,1.0,175000000.0,60.0,Urban,1,8350000.0,16.7,1
LN00115,43,Male,Yes,0,Graduate,No,173900000.0,23000000.0,1.0,342000000.0,72.0,Urban,0,2580000.0,23.9,1
LN00116,46,Male,No,2,Graduate,No,77300000.0,212600000.0,1.0,580000000.0,72.0,Urban,1,1610000.0,24.0,1
LN00117,22,Male,Yes,1,Not Graduate,No,160600000.0,33100000.0,1.0,309000000.0,60.0,Semiurban,2,5080000.0,21.3,1
LN00118,27,Female,No,0,Graduate,No,218500000.0,82700000.0,1.0,265000000.0,48.0,Urban,0,1740000.0,19.1,1
LN00119,32,Female,No,0,Not Graduate,Yes,125300000.0,44500000.0,0.0,157000000.0,60.0,Urban,0,1760000.0,14.2,0
LN00120,26,Female,No,3+,Graduate,No,76300000.0,13400000.0,1.0,419000000.0,36.0,Urban,2,6900000.0,5.6,0
LN00121,40,Female,Yes,2,Graduate,No,132300000.0,7900000.0,1.0,189000000.0,60.0,Semiurban,0,5040000.0,11.0,1
LN00122,51,Female,No,2,Graduate,Yes,162600000.0,21400000.0,1.0,340000000.0,36.0,Urban,1,3410000.0,14.5,1
LN00123,50,Male,Yes,2,Not Graduate,Yes,76000000.0,223400000.0,0.0,380000000.0,48.0,Urban,3,2040000.0,6.1,1
LN00124,42,Female,Yes,1,Graduate,Yes,68900000.0,43000000.0,0.0,430000000.0,36.0,Urban,0,3530000.0,15.1,0
LN00125,59,,Yes,3+,Not Graduate,No,159900000.0,81400000.0,1.0,435000000.0,36.0,Urban,2,4500000.0,14.1,0
LN00126,46,Male,Yes,1,Graduate,Yes,188700000.0,11300000.0,1.0,426000000.0,60.0,Rural,2,3590000.0,17.9,1
LN00127,24,Female,No,1,Graduate,,391500000.0,27000000.0,1.0,125000000.0,84.0,Urban,4,7020000.0,15.8,1
LN00128,55,Male,No,0,Not Graduate,No,173100000.0,65300000.0,1.0,156000000.0,60.0,Semiurban,0,1490000.0,21.6,1
LN00129,46,Male,Yes,0,Not Graduate,No,61700000.0,14600000.0,1.0,118000000.0,36.0,Semiurban,1,2500000.0,10.5,0
LN00130,49,Male,No,2,Not Graduate,No,368500000.0,33300000.0,1.0,113000000.0,60.0,Semiurban,2,4430000.0,14.4,1
LN00131,46,Male,Yes,0,Graduate,No,214400000.0,17300000.0,0.0,578000000.0,60.0,Semiurban,1,2010000.0,15.1,0
LN00132,45,Male,No,2,Not Graduate,No,39800000.0,67800000.0,1.0,145000000.0,72.0,Semiurban,1,5850000.0,8.7,1
LN00133,25,Female,No,3+,Graduate,No,68100000.0,48100000.0,0.0,135000000.0,60.0,Semiurban,1,7680000.0,16.5,0
LN00134,46,Female,Yes,0,Not Graduate,No,91600000.0,60500000.0,1.0,242000000.0,36.0,Urban,2,3130000.0,8.3,1
LN00135,56,Female,Yes,0,Not Graduate,No,190300000.0,70300000.0,1.0,166000000.0,60.0,Urban,2,3920000.0,19.4,0
LN00136,34,Male,Yes,1,Graduate,No,32400000.0,29200000.0,1.0,867000000.0,36.0,Urban,0,2590000.0,22.7,0
LN00137,48,Male,Yes,0,Graduate,No,112400000.0,78100000.0,1.0,215000000.0,60.0,Semiurban,1,2440000.0,6.3,1
LN00138,22,Male,No,2,Graduate,No,184400000.0,21800000.0,1.0,319000000.0,84.0,Urban,0,7370000.0,14.6,1
LN00139,36,Female,Yes,1,Not Graduate,No,25200000.0,57700000.0,1.0,163000000.0,72.0,Rural,1,1670000.0,21.5,1
LN00140,40,Male,Yes,1,Not Graduate,No,180900000.0,7200000.0,1.0,100000000.0,36.0,Urban,1,,14.6,1
LN00141,65,Female,Yes,1,Not Graduate,No,193300000.0,19300000.0,,167000000.0,60.0,Urban,1,2120000.0,10.5,1
LN00142,30,Female,No,1,Not Graduate,No,75300000.0,223200000.0,1.0,168000000.0,48.0,Semiurban,1,1660000.0,17.3,0
LN00143,33,Female,Yes,0,Graduate,No,63600000.0,57100000.0,1.0,168000000.0,12.0,Rural,1,6080000.0,10.1,0
LN00144,39,Female,No,0,Not Graduate,No,74700000.0,57100000.0,1.0,104000000.0,72.0,Semiurban,1,4880000.0,12.0,1
LN00145,65,Male,No,0,Graduate,,27600000.0,18100000.0,1.0,269000000.0,72.0,Semiurban,1,1900000.0,24.8,0
LN00146,59,Female,Yes,3+,Graduate,No,100300000.0,14600000.0,1.0,208000000.0,48.0,Urban,0,2670000.0,9.5,0
LN00147,22,Female,Yes,0,Graduate,No,135400000.0,28300000.0,0.0,107000000.0,60.0,Rural,1,2750000.0,22.7,0
LN00148,31,Female,Yes,0,Graduate,No,61400000.0,33200000.0,1.0,265000000.0,24.0,Semiurban,1,3540000.0,18.6,1
LN00149,57,Female,Yes,0,Graduate,No,204800000.0,161900000.0,1.0,380000000.0,60.0,Urban,2,2130000.0,10.5,1
LN00150,23,Female,No,0,Not Graduate,,127000000.0,79100000.0,1.0,483000000.0,84.0,Semiurban,4,10120000.0,22.6,0
LN00151,59,Female,No,0,Graduate,No,138400000.0,38200000.0,1.0,66000000.0,60.0,Urban,1,1380000.0,3.8,1
LN00152,33,Male,Yes,2,Not Graduate,No,96200000.0,36900000.0,1.0,167000000.0,60.0,Semiurban,1,1040000.0,23.8,0
LN00153,62,Female,Yes,0,Graduate,No,180600000.0,64200000.0,0.0,118000000.0,60.0,Semiurban,1,2760000.0,17.7,1
LN00154,34,Female,Yes,1,Not Graduate,No,244000000.0,12200000.0,1.0,175000000.0,60.0,Semiurban,0,750000.0,13.7,1
LN00155,40,Male,Yes,0,Graduate,No,95900000.0,7500000.0,1.0,537000000.0,84.0,Rural,0,1740000.0,11.2,1
LN00156,50,Female,No,0,Not Graduate,No,182400000.0,63400000.0,1.0,168000000.0,36.0,Urban,1,1930000.0,23.2,1
LN00157,26,Male,No,0,Graduate,Yes,183500000.0,37100000.0,1.0,193000000.0,24.0,Semiurban,0,3030000.0,20.2,1
LN00158,46,Female,No,2,Graduate,No,151000000.0,12300000.0,1.0,158000000.0,60.0,Semiurban,3,2610000.0,13.7,1
LN00159,43,Male,Yes,3+,Graduate,No,301800000.0,6500000.0,0.0,611000000.0,60.0,Urban,0,3540000.0,20.4,0
LN00160,56,Male,Yes,0,Graduate,No,80500000.0,71600000.0,1.0,71000000.0,36.0,Semiurban,1,1740000.0,14.0,1
LN00161,65,Female,Yes,3+,Graduate,No,95200000.0,23100000.0,1.0,184000000.0,60.0,Rural,0,2300000.0,18.2,1
LN00162,50,Male,No,0,Graduate,No,78300000.0,48200000.0,1.0,155000000.0,48.0,Semiurban,2,4500000.0,15.9,1
LN00163,39,Male,No,1,Graduate,No,178800000.0,28300000.0,1.0,97000000.0,84.0,Semiurban,0,610000.0,4.9,1
LN00164,39,Male,No,2,Not Graduate,No,103300000.0,34100000.0,1.0,458000000.0,36.0,Semiurban,1,4030000.0,5.4,0
LN00165,39,Male,Yes,0,Graduate,Yes,81800000.0,21800000.0,1.0,,60.0,Rural,1,670000.0,18.0,0
LN00166,57,Female,Yes,0,Graduate,No,299500000.0,32900000.0,1.0,194000000.0,84.0,Urban,0,3020000.0,7.0,1
LN00167,35,Female,No,0,Graduate,No,324600000.0,55500000.0,1.0,239000000.0,60.0,Urban,3,4320000.0,22.3,1
LN00168,28,Male,Yes,2,Graduate,No,100200000.0,28100000.0,1.0,165000000.0,36.0,Semiurban,0,3720000.0,13.3,1
LN00169,36,Female,No,0,Graduate,No,56600000.0,26800000.0,1.0,96000000.0,72.0,Urban,0,1940000.0,3.5,1
LN00170,22,Male,Yes,3+,Graduate,No,334400000.0,56900000.0,1.0,228000000.0,60.0,Rural,0,3590000.0,19.2,1
LN00171,25,Female,No,0,Graduate,No,155500000.0,60000000.0,1.0,164000000.0,60.0,Urban,0,1550000.0,18.7,0
LN00172,25,Male,Yes,3+,Graduate,No,151200000.0,14100000.0,1.0,390000000.0,24.0,Urban,2,,16.3,0
LN00173,55,Male,No,0,Graduate,No,127100000.0,34200000.0,0.0,332000000.0,60.0,Semiurban,2,5370000.0,22.7,0
LN00174,53,Male,Yes,1,Graduate,No,77300000.0,23000000.0,1.0,728000000.0,60.0,Urban,1,1540000.0,18.7,0
LN00175,52,,Yes,0,Graduate,No,95600000.0,35400000.0,1.0,266000000.0,60.0,Semiurban,2,7860000.0,19.3,0
LN00176,41,Male,Yes,0,Graduate,No,174200000.0,110200000.0,1.0,346000000.0,84.0,Semiurban,2,3440000.0,12.6,1
LN00177,53,Male,Yes,0,Not Graduate,No,93800000.0,46600000.0,0.0,205000000.0,60.0,Rural,1,1360000.0,19.1,0
LN00178,28,Female,No,1,Graduate,No,152300000.0,197700000.0,1.0,641000000.0,48.0,Urban,2,6790000.0,10.7,1
LN00179,61,Female,No,0,Graduate,No,120900000.0,41700000.0,1.0,251000000.0,60.0,Semiurban,1,9480000.0,11.2,1
LN00180,43,Male,No,1,Graduate,No,67100000.0,30600000.0,0.0,236000000.0,24.0,Rural,0,2510000.0,15.0,0
LN00181,63,Female,No,3+,Not Graduate,No,292700000.0,34500000.0,1.0,337000000.0,36.0,Semiurban,2,3880000.0,18.9,0
LN00182,27,Female,No,0,Graduate,No,166400000.0,39200000.0,0.0,175000000.0,60.0,Urban,2,2970000.0,2.3,0
LN00183,43,Male,Yes,0,Graduate,No,143900000.0,45300000.0,1.0,190000000.0,12.0,Urban,2,4500000.0,12.1,1
LN00184,52,Female,No,0,Not Graduate,No,162800000.0,15800000.0,1.0,336000000.0,,Semiurban,2,5230000.0,0.3,1
LN00185,43,Male,Yes,0,Graduate,No,44800000.0,29000000.0,0.0,374000000.0,12.0,Urban,2,5980000.0,12.5,0
LN00186,41,Female,No,0,Graduate,No,91500000.0,19600000.0,1.0,347000000.0,36.0,Semiurban,2,820000.0,10.8,0
LN00187,28,Male,Yes,2,Graduate,No,51800000.0,79800000.0,1.0,239000000.0,72.0,Semiurban,2,2090000.0,1.5,1
LN00188,38,Female,No,0,Graduate,No,128500000.0,7500000.0,1.0,290000000.0,60.0,Semiurban,3,5900000.0,8.9,0
LN00189,31,Male,Yes,0,Not Graduate,No,143600000.0,39700000.0,0.0,424000000.0,72.0,Semiurban,0,1840000.0,7.1,0
LN00190,34,Male,Yes,1,Graduate,No,129700000.0,10400000.0,0.0,137000000.0,72.0,Semiurban,1,3830000.0,22.3,0
LN00191,51,Female,Yes,0,Graduate,No,229500000.0,49500000.0,1.0,250000000.0,72.0,Urban,2,1580000.0,11.0,1
LN00192,49,Male,Yes,1,Graduate,No,52700000.0,25400000.0,1.0,50000000.0,36.0,Semiurban,2,4820000.0,2.2,1
LN00193,48,Female,Yes,3+,Not Graduate,No,77300000.0,8200000.0,1.0,376000000.0,60.0,Rural,0,3080000.0,10.0,0
LN00194,37,Female,Yes,0,Graduate,Yes,150700000.0,74400000.0,1.0,163000000.0,60.0,Semiurban,2,4580000.0,16.1,1
LN00195,64,Female,Yes,1,Graduate,No,138700000.0,4700000.0,1.0,165000000.0,60.0,Urban,0,3960000.0,22.9,1
LN00196,24,Male,Yes,2,Not Graduate,No,58200000.0,34100000.0,1.0,234000000.0,24.0,Urban,2,1120000.0,21.8,0
LN00197,36,Female,Yes,2,Graduate,No,231700000.0,60800000.0,1.0,,36.0,Semiurban,3,13000000.0,11.0,0
LN00198,26,Male,No,2,Not Graduate,Yes,280400000.0,105300000.0,0.0,932000000.0,60.0,Semiurban,2,1200000.0,15.8,1
LN00199,36,Male,Yes,2,Not Graduate,No,151600000.0,9700000.0,0.0,106000000.0,60.0,Semiurban,1,17090000.0,24.2,0
LN00200,64,Female,Yes,1,Graduate,No,52300000.0,23200000.0,1.0,157000000.0,60.0,Urban,2,660000.0,3.7,0
LN00201,37,Female,Yes,1,Not Graduate,No,131000000.0,83300000.0,1.0,,48.0,Semiurban,4,3150000.0,22.1,1
LN00202,61,Female,Yes,2,Not Graduate,No,144700000.0,87900000.0,0.0,168000000.0,60.0,Urban,0,1120000.0,21.2,0
LN00203,43,Male,Yes,2,Graduate,No,103300000.0,97500000.0,1.0,396000000.0,60.0,Urban,5,9300000.0,22.9,0
LN00204,52,Female,No,1,Graduate,No,251800000.0,271700000.0,1.0,228000000.0,60.0,Semiurban,0,1470000.0,24.2,1
