Customer_ID,Age,Annual_Income,Average_Monthly_Balance,Monthly_Transactions,Digital_Transactions_Pct,Credit_Card_Count,Existing_Loan_Count,Investment_Balance,Tenure_Years,Monthly_Income
C00041,28,148500000.0,66800000.0,23,37.7,1,2,722900000.0,13.1,12400000.0
C00042,55,223200000.0,102000000.0,28,73.9,3,0,43700000.0,3.7,18600000.0
C00043,52,298700000.0,37600000.0,33,86.2,1,1,67900000.0,16.1,24900000.0
C00044,36,139800000.0,39100000.0,30,73.1,0,0,34000000.0,5.8,11600000.0
C00045,24,219200000.0,14500000.0,45,60.4,1,2,51000000.0,3.2,18300000.0
C00046,64,95200000.0,37800000.0,24,100.0,4,4,4200000.0,16.4,7900000.0
C00047,41,213300000.0,15400000.0,30,46.5,2,2,1300000.0,4.3,17800000.0
C00048,61,92100000.0,9400000.0,19,80.5,2,0,2400000.0,0.4,7700000.0
C00049,51,255100000.0,17900000.0,29,69.9,0,1,12600000.0,16.5,21300000.0
C00050,56,472200000.0,162200000.0,35,100.0,2,1,112400000.0,2.1,39400000.0
C00051,55,130900000.0,35800000.0,22,72.7,3,1,33100000.0,8.5,10900000.0
C00052,29,41900000.0,54200000.0,35,,0,2,16300000.0,8.0,3500000.0
C00053,37,103600000.0,29100000.0,31,75.1,0,3,46800000.0,3.0,8600000.0
C00054,42,275700000.0,9800000.0,21,43.8,3,2,36900000.0,0.9,23000000.0
C00055,43,189800000.0,99700000.0,33,47.6,1,1,5600000.0,1.9,15800000.0
C00056,22,160500000.0,7100000.0,26,59.5,1,2,41900000.0,8.7,13400000.0
C00057,45,243800000.0,28100000.0,22,84.1,2,1,62500000.0,19.2,20300000.0
C00058,27,182700000.0,43000000.0,25,69.7,1,3,252100000.0,14.6,15200000.0
C00059,54,273500000.0,54700000.0,31,60.9,2,3,22900000.0,14.4,22800000.0
C00060,51,232100000.0,24300000.0,34,92.4,2,1,161100000.0,13.5,19300000.0
C00061,62,323300000.0,9400000.0,27,25.4,2,1,16000000.0,15.4,26900000.0
C00062,54,170500000.0,22800000.0,34,39.1,1,0,323100000.0,10.7,14200000.0
C00063,37,230300000.0,23800000.0,21,15.1,2,0,13000000.0,19.7,19200000.0
C00064,64,118200000.0,23300000.0,29,89.2,1,1,50700000.0,12.2,9800000.0
C00065,39,100600000.0,102600000.0,29,63.1,2,2,34300000.0,12.7,8400000.0
C00066,35,357900000.0,16000000.0,26,84.3,0,0,128700000.0,0.6,29800000.0
C00067,61,157700000.0,58100000.0,32,62.8,2,1,111000000.0,15.1,13100000.0
C00068,37,218000000.0,51500000.0,40,,1,1,7900000.0,7.2,18200000.0
C00069,24,149900000.0,101800000.0,31,62.5,3,0,17300000.0,15.5,12500000.0
C00070,42,101400000.0,40200000.0,24,73.2,0,2,259300000.0,17.0,8400000.0
C00071,56,140800000.0,88200000.0,38,70.3,0,0,27900000.0,0.6,11700000.0
C00072,29,308400000.0,38900000.0,38,71.8,0,0,61200000.0,7.8,25700000.0
C00073,41,190000000.0,65100000.0,34,98.7,1,0,7700000.0,18.1,15800000.0
C00074,26,54600000.0,12500000.0,30,32.5,0,2,19100000.0,2.7,4600000.0
C00075,51,124400000.0,4800000.0,37,63.6,1,1,11500000.0,14.9,10400000.0
C00076,42,373100000.0,62000000.0,20,69.0,3,0,69200000.0,6.6,31100000.0
C00077,35,124500000.0,64900000.0,17,66.0,1,0,56300000.0,10.3,10400000.0
C00078,31,52000000.0,67400000.0,29,57.0,1,0,96000000.0,18.1,4300000.0
C00079,46,396600000.0,28800000.0,29,54.3,3,1,7600000.0,12.7,33000000.0
C00080,51,203800000.0,159600000.0,24,95.6,1,0,45700000.0,8.8,17000000.0
C00081,63,134700000.0,30400000.0,25,63.6,2,1,25600000.0,14.0,11200000.0
C00082,40,114100000.0,64400000.0,25,100.0,0,0,1700000.0,4.6,9500000.0
C00083,28,253900000.0,74600000.0,27,75.6,1,0,41600000.0,0.4,21200000.0
C00084,58,103900000.0,193900000.0,34,59.2,2,0,103600000.0,12.4,8700000.0
C00085,49,263300000.0,34400000.0,28,76.1,1,0,140700000.0,17.3,21900000.0
C00086,52,188600000.0,25800000.0,28,67.2,2,1,24000000.0,14.1,15700000.0
C00087,25,160200000.0,12600000.0,34,91.8,2,0,62300000.0,10.5,13400000.0
C00088,35,151700000.0,168400000.0,21,41.6,0,1,45500000.0,3.0,12600000.0
C00089,55,127200000.0,64400000.0,28,29.0,0,1,10800000.0,1.9,10600000.0
C00090,58,248800000.0,66100000.0,25,72.2,1,0,9300000.0,5.7,20700000.0
C00091,40,87000000.0,636400000.0,34,81.7,1,1,23700000.0,19.3,7200000.0
C00092,57,57400000.0,59300000.0,30,70.7,2,0,19300000.0,9.3,4800000.0
C00093,58,196300000.0,14900000.0,32,78.4,2,2,27500000.0,16.1,16400000.0
C00094,38,198100000.0,38100000.0,32,75.5,6,0,15800000.0,0.5,16500000.0
C00095,61,182300000.0,19700000.0,23,35.4,1,0,31600000.0,9.6,15200000.0
C00096,33,175200000.0,32100000.0,26,70.6,2,1,7700000.0,5.1,14600000.0
C00097,31,117400000.0,32000000.0,26,91.3,2,1,133600000.0,19.1,9800000.0
C00098,51,215900000.0,,34,68.4,0,2,3400000.0,4.1,18000000.0
C00099,49,136500000.0,13800000.0,18,38.8,2,1,22900000.0,1.2,11400000.0
C00100,27,107100000.0,174200000.0,28,58.3,2,3,20000000.0,3.4,8900000.0
C00101,58,117900000.0,58000000.0,33,76.1,0,2,21500000.0,1.4,9800000.0
C00102,29,425400000.0,37200000.0,19,100.0,0,1,9900000.0,6.4,35400000.0
C00103,57,53900000.0,85700000.0,30,25.9,1,1,4700000.0,19.9,4500000.0
C00104,21,184300000.0,67200000.0,23,72.2,0,0,32600000.0,18.6,15400000.0
C00105,56,55600000.0,56900000.0,27,46.4,2,1,20000000.0,11.5,4600000.0
C00106,56,131900000.0,80600000.0,23,75.2,1,0,38200000.0,16.7,11000000.0
C00107,56,110300000.0,50400000.0,26,76.8,4,0,4100000.0,8.1,9200000.0
C00108,50,44500000.0,79500000.0,26,60.3,2,2,165200000.0,17.8,3700000.0
C00109,42,173400000.0,85400000.0,29,77.6,1,2,22900000.0,4.4,14400000.0
C00110,52,113600000.0,51700000.0,31,87.8,1,0,900000.0,8.2,9500000.0
C00111,33,44100000.0,37300000.0,28,61.7,1,2,30800000.0,2.6,3700000.0
C00112,56,222200000.0,165300000.0,29,38.3,6,1,14900000.0,18.7,18500000.0
C00113,46,308200000.0,30000000.0,27,93.5,0,2,7200000.0,6.9,25700000.0
C00114,41,317700000.0,62800000.0,26,81.6,0,2,96900000.0,5.1,26500000.0
C00115,43,170600000.0,64000000.0,24,76.3,1,5,69500000.0,4.6,14200000.0
C00116,46,143600000.0,26800000.0,22,51.2,1,2,36400000.0,9.6,12000000.0
C00117,22,290700000.0,22600000.0,27,84.7,0,0,27200000.0,10.2,24200000.0
C00118,27,353200000.0,33300000.0,23,100.0,0,1,43600000.0,13.5,29400000.0
C00119,32,261200000.0,29600000.0,27,62.6,0,3,4400000.0,16.2,21800000.0
C00120,26,83400000.0,13000000.0,20,66.9,0,2,30900000.0,14.1,7000000.0
C00121,40,156400000.0,25900000.0,18,43.7,1,0,97500000.0,10.0,13000000.0
C00122,51,178300000.0,56400000.0,28,50.6,2,1,78500000.0,10.8,14900000.0
C00123,50,51700000.0,132000000.0,26,43.5,1,0,7900000.0,19.5,4300000.0
C00124,42,181200000.0,72100000.0,26,67.6,0,0,30700000.0,9.1,15100000.0
C00125,59,488700000.0,4900000.0,21,58.2,2,0,7300000.0,6.6,40700000.0
C00126,46,199100000.0,77600000.0,30,72.5,1,1,29700000.0,13.0,16600000.0
C00127,24,314800000.0,28000000.0,27,47.2,0,2,10900000.0,13.5,26200000.0
C00128,55,154800000.0,66100000.0,33,61.6,0,1,9600000.0,18.8,12900000.0
C00129,46,134500000.0,44500000.0,18,45.9,2,1,37100000.0,7.2,11200000.0
C00130,49,172700000.0,38200000.0,34,68.8,0,3,11300000.0,10.3,14400000.0
C00131,46,89400000.0,41300000.0,26,32.4,0,4,10400000.0,12.6,7400000.0
C00132,45,82400000.0,44200000.0,24,68.0,0,1,,14.2,6900000.0
C00133,25,280900000.0,141100000.0,29,59.4,3,0,4900000.0,1.0,23400000.0
C00134,46,297800000.0,44300000.0,29,68.6,0,1,17500000.0,18.0,24800000.0
C00135,56,81200000.0,113200000.0,39,32.0,0,1,4600000.0,3.7,6800000.0
C00136,34,238400000.0,100000000.0,42,78.1,3,0,5600000.0,4.7,19900000.0
C00137,48,133500000.0,79300000.0,34,59.0,2,0,90600000.0,13.9,11100000.0
C00138,22,168800000.0,9900000.0,30,69.3,1,1,15800000.0,4.1,14100000.0
C00139,36,180300000.0,116300000.0,21,27.6,2,2,11400000.0,2.8,15000000.0
C00140,40,241900000.0,30500000.0,24,40.1,3,1,63700000.0,19.0,20200000.0
C00141,65,146500000.0,82700000.0,35,57.2,0,4,147900000.0,12.9,12200000.0
C00142,30,304100000.0,19700000.0,33,92.5,3,0,33000000.0,19.0,25300000.0
C00143,33,166000000.0,16400000.0,27,75.5,2,1,76800000.0,1.4,13800000.0
C00144,39,197300000.0,241400000.0,30,67.6,0,1,13600000.0,0.9,16400000.0
C00145,65,88500000.0,19900000.0,32,46.5,1,2,26500000.0,5.7,7400000.0
C00146,59,458900000.0,119200000.0,34,42.9,2,0,25200000.0,1.0,38200000.0
C00147,22,181300000.0,49800000.0,31,70.5,2,2,35700000.0,8.9,15100000.0
C00148,31,207200000.0,31500000.0,32,79.0,0,2,72200000.0,19.2,17300000.0
C00149,57,57800000.0,43300000.0,28,69.2,2,0,5000000.0,7.3,4800000.0
C00150,23,89000000.0,14900000.0,22,99.2,1,1,,14.7,7400000.0
C00151,59,276600000.0,44500000.0,26,51.4,3,1,14700000.0,13.0,23000000.0
C00152,33,163900000.0,17900000.0,22,68.6,0,1,8600000.0,0.8,13700000.0
C00153,62,48900000.0,32200000.0,32,31.1,0,1,32200000.0,4.8,4100000.0
C00154,34,247800000.0,98800000.0,25,,2,1,31800000.0,12.7,20600000.0
C00155,40,103800000.0,55900000.0,21,94.4,2,2,26700000.0,2.0,8600000.0
C00156,50,304300000.0,12800000.0,20,44.2,0,0,16100000.0,9.3,25400000.0
C00157,26,133400000.0,92800000.0,18,81.8,2,0,110100000.0,13.6,11100000.0
C00158,46,156700000.0,44700000.0,34,93.8,1,0,31700000.0,6.9,13100000.0
C00159,43,267800000.0,28400000.0,39,51.2,1,0,21200000.0,6.4,22300000.0
C00160,56,85500000.0,84900000.0,30,74.3,1,0,26900000.0,14.5,7100000.0
C00161,65,81100000.0,39000000.0,29,96.6,2,1,56700000.0,8.5,6800000.0
C00162,50,125700000.0,16700000.0,23,69.6,4,1,31600000.0,10.7,10500000.0
C00163,39,220700000.0,216400000.0,30,80.7,1,2,,4.2,18400000.0
C00164,39,67300000.0,44300000.0,21,29.5,2,1,173800000.0,15.8,5600000.0
C00165,39,55900000.0,42000000.0,33,76.9,1,2,41600000.0,12.1,4700000.0
C00166,57,220200000.0,31900000.0,28,75.3,1,1,7000000.0,19.5,18400000.0
C00167,35,100500000.0,122700000.0,38,38.5,1,0,3400000.0,15.2,8400000.0
C00168,28,112800000.0,28800000.0,23,45.7,0,0,53300000.0,12.1,9400000.0
C00169,36,50400000.0,12100000.0,34,77.1,0,0,103600000.0,12.4,4200000.0
C00170,22,96400000.0,25300000.0,32,58.9,3,0,41100000.0,6.8,8000000.0
C00171,25,139400000.0,139000000.0,22,87.2,5,4,49000000.0,9.0,11600000.0
C00172,25,233500000.0,91300000.0,24,71.2,0,1,50400000.0,13.5,19500000.0
C00173,55,91600000.0,36200000.0,33,66.1,1,3,25100000.0,10.4,7600000.0
C00174,53,348300000.0,144600000.0,30,61.6,3,2,3900000.0,19.1,29000000.0
C00175,52,96100000.0,85000000.0,33,70.9,4,0,11600000.0,11.2,8000000.0
C00176,41,96200000.0,35900000.0,27,81.1,5,0,59900000.0,0.5,8000000.0
C00177,53,326100000.0,39100000.0,13,75.7,1,1,47600000.0,2.7,27200000.0
C00178,28,157300000.0,59500000.0,23,56.5,3,1,20200000.0,1.1,13100000.0
C00179,61,103300000.0,22200000.0,22,89.8,2,3,13700000.0,18.1,8600000.0
C00180,43,128600000.0,45200000.0,30,78.2,2,1,30300000.0,6.4,10700000.0
C00181,63,294700000.0,58500000.0,25,72.7,2,2,17100000.0,16.8,24600000.0
C00182,27,313600000.0,10700000.0,22,66.8,2,2,22900000.0,9.0,26100000.0
C00183,43,89300000.0,38300000.0,27,75.0,2,4,28900000.0,18.4,7400000.0
C00184,52,136800000.0,34800000.0,21,,1,0,10600000.0,9.7,11400000.0
C00185,43,147100000.0,107800000.0,26,69.8,0,3,60300000.0,17.2,12300000.0
C00186,41,81400000.0,9400000.0,41,97.8,0,2,20900000.0,13.5,6800000.0
C00187,28,135800000.0,32500000.0,38,69.4,2,2,42700000.0,5.5,11300000.0
C00188,38,140400000.0,29900000.0,22,66.7,1,0,26800000.0,11.6,11700000.0
C00189,31,262100000.0,101800000.0,24,53.1,3,1,136400000.0,5.5,21800000.0
C00190,34,272000000.0,43400000.0,20,74.9,2,4,45400000.0,4.2,22700000.0
C00191,51,116800000.0,207100000.0,32,61.1,1,1,39100000.0,6.5,9700000.0
C00192,49,124500000.0,79000000.0,26,91.2,2,1,37600000.0,6.1,10400000.0
C00193,48,201700000.0,31800000.0,28,47.7,0,0,247500000.0,10.0,16800000.0
C00194,37,101500000.0,55200000.0,34,56.0,2,1,23800000.0,12.8,8500000.0
C00195,64,193500000.0,33300000.0,26,53.0,1,0,29900000.0,19.4,16100000.0
C00196,24,133400000.0,93400000.0,24,100.0,1,2,28100000.0,9.5,11100000.0
C00197,36,82100000.0,14500000.0,27,61.2,1,2,2900000.0,15.3,6800000.0
C00198,26,82700000.0,22300000.0,36,54.0,0,0,27700000.0,9.9,6900000.0
C00199,36,310300000.0,66300000.0,36,23.2,3,0,76500000.0,8.8,25900000.0
C00200,64,128500000.0,127600000.0,26,46.8,0,1,44000000.0,8.4,10700000.0
C00201,37,345100000.0,6900000.0,26,75.6,1,1,131800000.0,17.5,28800000.0
C00202,61,105500000.0,144700000.0,29,75.5,1,0,59300000.0,3.1,8800000.0
C00203,43,164300000.0,39900000.0,28,52.0,2,0,43400000.0,5.9,13700000.0
C00204,52,522000000.0,9100000.0,31,53.1,2,2,66500000.0,14.5,43500000.0
C00205,41,78300000.0,3500000.0,23,100.0,3,1,37300000.0,6.1,6500000.0
C00206,32,49300000.0,12300000.0,26,100.0,1,0,18400000.0,0.2,4100000.0
C00207,55,284100000.0,44300000.0,29,88.0,3,3,21700000.0,4.5,23700000.0
C00208,64,88800000.0,42500000.0,32,96.2,1,0,1800000.0,0.8,7400000.0
C00209,32,138400000.0,77100000.0,29,100.0,1,1,144500000.0,6.0,11500000.0
C00210,56,101400000.0,28200000.0,30,100.0,1,1,20100000.0,6.7,8400000.0
C00211,32,162200000.0,17500000.0,23,59.0,0,0,7900000.0,19.1,13500000.0
C00212,53,83000000.0,31700000.0,31,47.4,0,0,16700000.0,16.2,6900000.0
C00213,56,126800000.0,46300000.0,20,100.0,1,2,172700000.0,2.6,10600000.0
C00214,41,179300000.0,54800000.0,22,45.7,2,1,27100000.0,2.6,14900000.0
C00215,54,80400000.0,23000000.0,21,44.4,1,0,33200000.0,19.9,6700000.0
C00216,33,95300000.0,96800000.0,24,44.9,4,3,248100000.0,13.5,7900000.0
C00217,24,115700000.0,26500000.0,31,62.4,1,2,62700000.0,12.6,9600000.0
C00218,25,63800000.0,21500000.0,36,25.3,1,2,18200000.0,11.9,5300000.0
C00219,41,111000000.0,28400000.0,22,36.3,1,0,3900000.0,3.2,9200000.0
C00220,61,149500000.0,112200000.0,25,52.6,1,2,50500000.0,5.4,12500000.0
C00221,26,112400000.0,40200000.0,28,41.1,2,0,11900000.0,8.8,9400000.0
C00222,41,120600000.0,24900000.0,27,86.2,4,2,51700000.0,9.0,10000000.0
C00223,52,138500000.0,98900000.0,33,65.1,2,2,23700000.0,19.4,11500000.0
C00224,30,97600000.0,278100000.0,30,76.5,1,0,39200000.0,1.1,8100000.0
C00225,53,204700000.0,53800000.0,23,74.4,2,0,67000000.0,0.5,17100000.0
C00226,34,308400000.0,128400000.0,39,60.9,1,4,3700000.0,18.3,25700000.0
C00227,57,108400000.0,108600000.0,29,84.8,1,0,28800000.0,17.6,9000000.0
C00228,47,182800000.0,26900000.0,30,74.0,2,0,24500000.0,5.9,15200000.0
C00229,45,122700000.0,46000000.0,28,58.6,1,3,34300000.0,6.6,10200000.0
C00230,28,171200000.0,15100000.0,23,31.3,0,2,43500000.0,11.9,14300000.0
C00231,41,331200000.0,37800000.0,24,75.4,0,2,29500000.0,4.2,27600000.0
C00232,59,185200000.0,26400000.0,23,39.8,2,1,12300000.0,17.5,15400000.0
C00233,21,52800000.0,32000000.0,30,72.6,1,2,7200000.0,5.5,4400000.0
C00234,55,179700000.0,23800000.0,36,66.6,1,1,4400000.0,1.4,15000000.0
C00235,43,275800000.0,35300000.0,22,37.8,3,3,28500000.0,10.7,23000000.0
C00236,53,123900000.0,70700000.0,25,70.2,0,1,44600000.0,14.7,10300000.0
C00237,50,242100000.0,40700000.0,31,68.8,2,0,17200000.0,19.1,20200000.0
C00238,40,95800000.0,9200000.0,33,68.9,1,1,62300000.0,12.6,8000000.0
C00239,34,61800000.0,23900000.0,25,,0,0,22000000.0,2.2,5200000.0
C00240,49,151300000.0,,25,52.0,3,0,22800000.0,13.3,12600000.0
C00241,27,53300000.0,55400000.0,15,76.8,1,2,5100000.0,2.0,4400000.0
C00242,47,122700000.0,69000000.0,29,51.2,0,0,15400000.0,4.0,10200000.0
C00243,25,284100000.0,56000000.0,24,43.5,1,1,68800000.0,6.1,23700000.0
C00244,50,49000000.0,23000000.0,28,78.5,3,0,116300000.0,1.3,4100000.0
C00245,49,69300000.0,55500000.0,27,83.7,2,2,20300000.0,7.4,5800000.0
C00246,24,79400000.0,30200000.0,25,77.1,1,2,64900000.0,15.4,6600000.0
C00247,55,135200000.0,17100000.0,26,60.9,4,2,118500000.0,1.3,11300000.0
C00248,39,114500000.0,84500000.0,35,26.2,0,1,8900000.0,10.0,9500000.0
C00249,56,302200000.0,90200000.0,15,94.6,1,3,35400000.0,4.7,25200000.0
C00250,22,236600000.0,100800000.0,20,25.9,1,2,30800000.0,11.4,19700000.0
C00251,29,183800000.0,26800000.0,17,76.7,0,2,81600000.0,9.9,15300000.0
C00252,43,151700000.0,122600000.0,33,100.0,2,2,10000000.0,3.5,12600000.0
C00253,29,173800000.0,29600000.0,32,68.0,2,1,35400000.0,17.1,14500000.0
C00254,35,87100000.0,78400000.0,32,70.8,1,1,18800000.0,10.1,7300000.0
C00255,50,224300000.0,29100000.0,29,72.6,2,1,39900000.0,19.7,18700000.0
C00256,27,75900000.0,37200000.0,19,69.0,1,1,95800000.0,19.7,6300000.0
C00257,51,221700000.0,5700000.0,19,100.0,1,1,127000000.0,5.2,18500000.0
C00258,25,268800000.0,,24,48.1,1,1,96700000.0,17.7,22400000.0
C00259,28,157200000.0,48600000.0,25,45.6,1,0,8400000.0,14.4,13100000.0
C00260,47,127100000.0,31800000.0,30,58.4,2,1,14900000.0,8.8,10600000.0
C00261,56,174500000.0,200200000.0,28,99.8,0,2,75600000.0,16.3,14500000.0
C00262,28,29000000.0,16800000.0,36,53.5,1,1,48600000.0,8.5,2400000.0
C00263,34,165300000.0,,32,73.6,0,1,18700000.0,9.9,13800000.0
C00264,62,131500000.0,20900000.0,35,86.4,1,1,9100000.0,7.6,11000000.0
C00265,65,136200000.0,,27,80.6,0,2,300000.0,16.9,11400000.0
C00266,47,206500000.0,108100000.0,27,85.4,1,0,4300000.0,18.2,17200000.0
C00267,41,134400000.0,158100000.0,34,93.4,3,1,17900000.0,3.2,11200000.0
C00268,36,74800000.0,24800000.0,20,71.2,2,1,18200000.0,11.9,6200000.0
C00269,48,129500000.0,24300000.0,37,55.9,0,3,39300000.0,2.5,10800000.0
C00270,47,145300000.0,16800000.0,26,67.9,0,0,48500000.0,17.7,12100000.0
C00271,34,149100000.0,136600000.0,23,58.2,0,2,300000000.0,4.6,12400000.0
C00272,22,153000000.0,116700000.0,27,100.0,1,1,10700000.0,0.9,12800000.0
C00273,27,248000000.0,41100000.0,31,54.3,1,2,2900000.0,15.0,20700000.0
C00274,64,77000000.0,13700000.0,28,74.7,1,2,9000000.0,13.4,6400000.0
C00275,39,154200000.0,14800000.0,30,35.0,0,1,158100000.0,8.3,12800000.0
C00276,42,284600000.0,52000000.0,23,67.7,1,1,25400000.0,12.5,23700000.0
C00277,42,53900000.0,71800000.0,23,59.3,2,0,76100000.0,15.5,4500000.0
C00278,56,154500000.0,7800000.0,24,78.5,0,5,13500000.0,3.6,12900000.0
C00279,23,101500000.0,34200000.0,25,79.0,0,1,14400000.0,6.2,8500000.0
C00280,24,114200000.0,178100000.0,26,93.3,1,0,3800000.0,9.8,9500000.0
C00281,33,85100000.0,37400000.0,29,91.8,1,0,17400000.0,12.7,7100000.0
C00282,42,127500000.0,159600000.0,28,63.7,1,1,25300000.0,12.4,10600000.0
C00283,51,385400000.0,78100000.0,28,46.1,2,1,64900000.0,10.0,32100000.0
C00284,43,69800000.0,17900000.0,27,48.5,0,0,46300000.0,13.3,5800000.0
C00285,40,73600000.0,35100000.0,31,71.1,2,1,222400000.0,0.6,6100000.0
C00286,63,68400000.0,40300000.0,28,68.2,2,3,21100000.0,6.6,5700000.0
C00287,28,362000000.0,20000000.0,25,70.2,4,2,32600000.0,11.5,30200000.0
C00288,46,108600000.0,19700000.0,21,54.3,1,1,24600000.0,6.3,9000000.0
C00289,45,138000000.0,162000000.0,20,93.7,1,1,11600000.0,18.8,11500000.0
C00290,42,112200000.0,19600000.0,34,35.5,6,2,39200000.0,19.3,9400000.0
C00291,57,83300000.0,112500000.0,25,53.2,1,1,18500000.0,7.6,6900000.0
C00292,33,123000000.0,31100000.0,21,,4,0,155800000.0,4.8,10200000.0
C00293,63,541100000.0,44000000.0,17,60.8,3,0,10500000.0,4.6,45100000.0
C00294,35,301100000.0,72500000.0,30,89.9,3,1,17200000.0,9.0,25100000.0
C00295,45,87600000.0,27100000.0,28,59.2,5,0,6400000.0,19.2,7300000.0
C00296,44,199900000.0,72900000.0,29,67.0,0,1,36300000.0,4.9,16700000.0
C00297,59,88600000.0,7900000.0,33,78.3,2,0,5800000.0,6.8,7400000.0
C00298,40,52700000.0,65400000.0,28,58.3,0,2,24800000.0,11.3,4400000.0
C00299,33,245300000.0,5500000.0,28,72.7,2,3,6900000.0,11.5,20400000.0
C00300,21,265000000.0,37100000.0,24,70.0,3,1,8500000.0,13.3,22100000.0
C00301,37,248900000.0,93000000.0,19,42.4,1,4,10800000.0,14.6,20700000.0
C00302,58,108100000.0,76400000.0,32,55.7,3,2,55800000.0,15.9,9000000.0
C00303,21,127700000.0,14900000.0,24,72.1,1,0,22500000.0,9.9,10600000.0
C00304,61,211500000.0,16700000.0,32,90.6,1,0,21800000.0,1.6,17600000.0
C00305,45,173600000.0,25100000.0,21,90.6,0,0,46400000.0,13.6,14500000.0
C00306,27,112700000.0,52700000.0,29,100.0,0,0,12100000.0,11.9,9400000.0
C00307,34,57500000.0,8000000.0,30,74.7,3,0,2900000.0,4.4,4800000.0
C00308,45,149000000.0,44500000.0,40,56.7,2,2,,17.1,12400000.0
C00309,35,253400000.0,58600000.0,22,63.7,2,1,18300000.0,14.9,21100000.0
C00310,25,72500000.0,35400000.0,21,62.7,2,3,23700000.0,8.6,6000000.0
C00311,50,198900000.0,70300000.0,35,56.8,1,1,46200000.0,19.4,16600000.0
C00312,51,168000000.0,54400000.0,22,72.7,1,1,21300000.0,13.6,14000000.0
C00313,26,211500000.0,28400000.0,26,73.6,0,3,76500000.0,18.6,17600000.0
C00314,33,226200000.0,8700000.0,27,41.5,1,2,37200000.0,14.6,18800000.0
C00315,31,95600000.0,50400000.0,27,86.8,0,3,5300000.0,14.3,8000000.0
