Customer_ID,Age,Gender,Married,Education,Employment_Years,Annual_Income,Coapplicant_Income,Credit_Score,Existing_Loans,Property_Area,Loan_Term_Months,Approved_Loan_Amount
C00025,56,Female,No,Graduate,20.4,65700000.0,46700000.0,569.0,1,Urban,60.0,72000000.0
C00026,49,Male,Yes,Graduate,17.7,53400000.0,16600000.0,705.0,2,Semiurban,72.0,108000000.0
C00027,39,Male,Yes,Not Graduate,6.4,95200000.0,52500000.0,716.0,3,Urban,60.0,173000000.0
C00028,58,Male,Yes,Graduate,11.7,79100000.0,56000000.0,776.0,0,Semiurban,60.0,180000000.0
C00029,45,Female,Yes,Not Graduate,16.5,98200000.0,29000000.0,618.0,1,Urban,36.0,180000000.0
C00030,40,Male,Yes,Graduate,14.7,186100000.0,58000000.0,629.0,2,Semiurban,48.0,183000000.0
C00031,41,Male,Yes,Graduate,22.1,117800000.0,87100000.0,739.0,0,Urban,48.0,137000000.0
C00032,31,Female,No,Not Graduate,11.8,119500000.0,30700000.0,796.0,0,Urban,72.0,205000000.0
C00033,25,Male,Yes,Not Graduate,4.4,123900000.0,12000000.0,646.0,1,Semiurban,72.0,154000000.0
C00034,45,Male,Yes,Graduate,5.4,33600000.0,109500000.0,597.0,0,Semiurban,60.0,107000000.0
C00035,60,Male,Yes,Not Graduate,21.2,52100000.0,67900000.0,666.0,1,Semiurban,36.0,186000000.0
C00036,23,Male,Yes,Not Graduate,0.2,97100000.0,54900000.0,614.0,1,Urban,36.0,79000000.0
C00037,59,Female,No,Not Graduate,21.7,75500000.0,20100000.0,720.0,1,Rural,60.0,147000000.0
C00038,58,Female,Yes,Graduate,1.4,105600000.0,77000000.0,609.0,1,Urban,72.0,85000000.0
C00039,33,Female,No,Graduate,9.8,259800000.0,179300000.0,763.0,2,Rural,60.0,252000000.0
C00040,49,Male,No,Graduate,20.0,115200000.0,31800000.0,706.0,1,Rural,72.0,125000000.0
C00041,28,Male,Yes,Graduate,10.2,58000000.0,37700000.0,765.0,1,Semiurban,36.0,88000000.0
C00042,55,Male,Yes,Graduate,20.6,77600000.0,14900000.0,508.0,2,Urban,60.0,136000000.0
C00043,52,Male,Yes,Graduate,2.5,307400000.0,19700000.0,558.0,0,Rural,24.0,122000000.0
C00044,36,Female,Yes,Graduate,12.8,278800000.0,14800000.0,787.0,0,Semiurban,60.0,308000000.0
C00045,24,Female,Yes,Graduate,14.6,166500000.0,38900000.0,636.0,1,Urban,60.0,151000000.0
C00046,64,Male,No,Graduate,22.3,50800000.0,26600000.0,580.0,3,Rural,60.0,109000000.0
C00047,41,Female,Yes,Graduate,2.3,142100000.0,47200000.0,675.0,1,Semiurban,60.0,142000000.0
C00048,61,Female,No,Graduate,8.5,148200000.0,17100000.0,708.0,0,Semiurban,24.0,143000000.0
C00049,51,Male,Yes,Not Graduate,16.5,121700000.0,30600000.0,678.0,1,Semiurban,48.0,126000000.0
C00050,56,Female,No,Graduate,24.5,87700000.0,16300000.0,725.0,0,Rural,60.0,228000000.0
C00051,55,Male,Yes,Graduate,21.2,98300000.0,40700000.0,715.0,3,Semiurban,60.0,144000000.0
C00052,29,Male,Yes,Graduate,21.2,84400000.0,9500000.0,711.0,1,Rural,84.0,179000000.0
C00053,37,Female,Yes,Graduate,12.9,63900000.0,39500000.0,791.0,0,Urban,60.0,142000000.0
C00054,42,Female,Yes,Graduate,14.1,254400000.0,28000000.0,689.0,1,Semiurban,60.0,271000000.0
C00055,43,Male,No,Not Graduate,21.5,195000000.0,40500000.0,687.0,1,Semiurban,60.0,179000000.0
C00056,22,Female,Yes,Graduate,21.7,102600000.0,9300000.0,750.0,0,Urban,60.0,192000000.0
C00057,45,Female,Yes,Graduate,20.1,145600000.0,59100000.0,731.0,1,Urban,12.0,74000000.0
C00058,27,Female,Yes,Graduate,20.5,148700000.0,27600000.0,622.0,3,Urban,60.0,152000000.0
C00059,54,Male,Yes,Not Graduate,22.0,435300000.0,41600000.0,683.0,1,Urban,36.0,363000000.0
C00060,51,Female,Yes,Not Graduate,2.8,193900000.0,7800000.0,723.0,2,Semiurban,36.0,116000000.0
C00061,62,Female,Yes,Not Graduate,7.3,189900000.0,13000000.0,646.0,1,Urban,72.0,135000000.0
C00062,54,Female,Yes,Graduate,24.4,122500000.0,25600000.0,650.0,0,Semiurban,60.0,109000000.0
C00063,37,Female,Yes,Not Graduate,13.6,94500000.0,105200000.0,586.0,3,Rural,72.0,91000000.0
C00064,64,Female,Yes,Graduate,4.4,256700000.0,53400000.0,474.0,1,Semiurban,72.0,212000000.0
C00065,39,Female,No,Graduate,12.6,171800000.0,38800000.0,662.0,0,Rural,60.0,184000000.0
C00066,35,Female,Yes,Not Graduate,16.1,76000000.0,16700000.0,700.0,2,Semiurban,60.0,101000000.0
C00067,61,Female,No,Graduate,20.7,154000000.0,14400000.0,608.0,0,Rural,36.0,162000000.0
C00068,37,Male,Yes,Not Graduate,20.3,190200000.0,43700000.0,793.0,1,Semiurban,36.0,115000000.0
C00069,24,Male,Yes,Graduate,1.2,37900000.0,61300000.0,611.0,1,Urban,60.0,75000000.0
C00070,42,Female,Yes,Graduate,11.3,72300000.0,41400000.0,758.0,0,Semiurban,48.0,108000000.0
C00071,56,Female,Yes,Graduate,0.5,146500000.0,137400000.0,721.0,2,Semiurban,60.0,94000000.0
C00072,29,Female,Yes,Not Graduate,22.2,41600000.0,20300000.0,850.0,0,Semiurban,84.0,304000000.0
C00073,41,Male,Yes,Graduate,4.3,45400000.0,40400000.0,730.0,3,Urban,60.0,148000000.0
C00074,26,Female,Yes,Not Graduate,15.6,103400000.0,9000000.0,582.0,2,Semiurban,24.0,77000000.0
C00075,51,Male,No,Graduate,14.3,157300000.0,41400000.0,769.0,0,Rural,60.0,195000000.0
C00076,42,Male,Yes,Not Graduate,15.6,161300000.0,113400000.0,817.0,0,Rural,60.0,244000000.0
C00077,35,Male,Yes,Graduate,14.1,286500000.0,15200000.0,557.0,1,,72.0,214000000.0
C00078,31,Male,Yes,Graduate,17.9,125600000.0,68700000.0,738.0,3,Semiurban,60.0,206000000.0
C00079,46,Female,Yes,Graduate,15.7,97800000.0,110900000.0,,1,Urban,24.0,74000000.0
C00080,51,Female,No,Graduate,2.3,58500000.0,20200000.0,674.0,1,Semiurban,60.0,50000000.0
C00081,63,Male,Yes,Graduate,9.2,97100000.0,50900000.0,508.0,0,Urban,60.0,95000000.0
C00082,40,Female,Yes,Graduate,13.7,177100000.0,123800000.0,668.0,0,Rural,60.0,215000000.0
C00083,28,Male,Yes,Graduate,8.1,181500000.0,42100000.0,646.0,2,Semiurban,60.0,106000000.0
C00084,58,Male,Yes,Not Graduate,19.0,138800000.0,65700000.0,805.0,0,Urban,60.0,192000000.0
C00085,49,Female,No,Graduate,7.9,162100000.0,8500000.0,683.0,1,Urban,84.0,114000000.0
C00086,52,Male,Yes,Not Graduate,20.7,242100000.0,56400000.0,659.0,0,Semiurban,84.0,247000000.0
C00087,25,Female,No,Graduate,3.7,125100000.0,52900000.0,646.0,1,Semiurban,36.0,166000000.0
C00088,35,Male,Yes,Not Graduate,19.2,254600000.0,12100000.0,714.0,0,Semiurban,60.0,187000000.0
C00089,55,Male,No,Graduate,4.6,80500000.0,16200000.0,694.0,1,Semiurban,36.0,50000000.0
C00090,58,Female,Yes,Graduate,13.2,115300000.0,56700000.0,631.0,1,Semiurban,60.0,136000000.0
C00091,40,Female,Yes,Graduate,8.0,92100000.0,27500000.0,710.0,1,Urban,36.0,117000000.0
C00092,57,Male,No,Graduate,15.9,185600000.0,85200000.0,648.0,1,Urban,60.0,325000000.0
C00093,58,Male,Yes,Graduate,5.3,68700000.0,44900000.0,496.0,0,Urban,12.0,50000000.0
C00094,38,Female,Yes,Graduate,19.9,100500000.0,36600000.0,740.0,1,Urban,60.0,136000000.0
C00095,61,Male,No,Not Graduate,14.3,43100000.0,30500000.0,733.0,2,Semiurban,36.0,105000000.0
C00096,33,Male,Yes,Graduate,23.9,166400000.0,44200000.0,705.0,2,Urban,48.0,191000000.0
C00097,31,Female,No,Graduate,17.8,238200000.0,66500000.0,657.0,2,Semiurban,36.0,67000000.0
C00098,51,Male,No,Not Graduate,15.2,198000000.0,53600000.0,685.0,1,Urban,60.0,226000000.0
C00099,49,Female,No,Graduate,20.7,187600000.0,25000000.0,751.0,0,Urban,24.0,226000000.0
C00100,27,Male,No,Graduate,5.5,190400000.0,94300000.0,643.0,2,Urban,72.0,266000000.0
C00101,58,Female,Yes,Not Graduate,15.8,176300000.0,59200000.0,754.0,0,Urban,60.0,265000000.0
C00102,29,Female,Yes,Not Graduate,9.8,168200000.0,,579.0,0,Urban,72.0,102000000.0
C00103,57,Male,Yes,Not Graduate,18.6,174300000.0,37700000.0,703.0,2,Rural,24.0,66000000.0
C00104,21,Male,Yes,Not Graduate,0.6,83700000.0,52200000.0,692.0,2,Urban,36.0,72000000.0
C00105,56,Male,No,Graduate,10.7,107500000.0,8100000.0,765.0,1,Semiurban,72.0,135000000.0
C00106,56,Female,Yes,Graduate,16.3,124700000.0,42500000.0,621.0,0,Rural,60.0,186000000.0
C00107,56,Female,Yes,Graduate,11.5,99800000.0,130000000.0,629.0,0,Urban,24.0,162000000.0
C00108,50,Female,Yes,Not Graduate,5.9,50700000.0,41700000.0,585.0,1,Semiurban,24.0,58000000.0
C00109,42,Male,Yes,Not Graduate,11.6,60800000.0,37400000.0,647.0,1,Semiurban,72.0,122000000.0
C00110,52,Male,No,Graduate,21.2,136200000.0,21700000.0,709.0,0,Urban,36.0,163000000.0
C00111,33,Female,Yes,Graduate,5.2,197500000.0,51900000.0,555.0,0,Urban,60.0,208000000.0
C00112,56,Female,Yes,Graduate,9.2,120600000.0,29900000.0,657.0,3,Rural,72.0,145000000.0
C00113,46,Female,No,Graduate,24.8,549000000.0,99800000.0,736.0,0,Urban,60.0,512000000.0
C00114,41,Male,No,Not Graduate,22.8,72400000.0,17500000.0,682.0,1,Urban,60.0,144000000.0
C00115,43,Male,Yes,Graduate,0.8,153300000.0,24400000.0,696.0,0,Semiurban,60.0,140000000.0
C00116,46,Male,No,Graduate,13.3,244100000.0,21600000.0,577.0,2,Urban,60.0,93000000.0
C00117,22,Male,Yes,Not Graduate,1.6,215600000.0,151900000.0,682.0,1,Rural,60.0,160000000.0
C00118,27,Male,No,Graduate,23.1,172000000.0,30100000.0,692.0,1,Rural,36.0,160000000.0
C00119,32,Female,Yes,Graduate,11.0,216200000.0,22600000.0,678.0,3,Rural,60.0,271000000.0
C00120,26,Male,Yes,Graduate,10.5,123700000.0,6600000.0,701.0,2,Urban,72.0,206000000.0
C00121,40,Female,No,Graduate,6.8,299500000.0,16900000.0,667.0,0,Rural,60.0,143000000.0
C00122,51,Female,Yes,Graduate,14.2,243000000.0,53400000.0,656.0,1,Semiurban,60.0,266000000.0
C00123,50,Female,Yes,Graduate,3.6,75100000.0,53200000.0,612.0,2,Semiurban,60.0,105000000.0
C00124,42,Female,Yes,Graduate,20.0,143200000.0,20800000.0,763.0,1,Semiurban,60.0,113000000.0
C00125,59,Male,Yes,Graduate,12.3,51200000.0,21700000.0,598.0,1,Semiurban,60.0,148000000.0
C00126,46,Female,Yes,Graduate,14.2,277100000.0,155000000.0,702.0,1,Semiurban,60.0,339000000.0
C00127,24,Male,Yes,Graduate,21.0,135800000.0,302600000.0,826.0,2,Semiurban,24.0,359000000.0
C00128,55,Female,Yes,Not Graduate,4.6,252000000.0,87800000.0,773.0,1,Semiurban,36.0,148000000.0
C00129,46,Female,No,Graduate,4.4,113000000.0,121800000.0,728.0,1,Urban,48.0,111000000.0
C00130,49,Female,No,Graduate,10.5,43200000.0,144400000.0,709.0,1,Urban,60.0,242000000.0
C00131,46,Male,Yes,Not Graduate,19.7,511900000.0,205800000.0,680.0,4,Semiurban,,509000000.0
C00132,45,Male,Yes,Graduate,1.5,129000000.0,27500000.0,622.0,1,Semiurban,60.0,114000000.0
C00133,25,Male,Yes,Graduate,19.9,69200000.0,17300000.0,671.0,0,Semiurban,60.0,106000000.0
C00134,46,Male,Yes,Not Graduate,12.5,225400000.0,151700000.0,733.0,0,Semiurban,60.0,284000000.0
C00135,56,Female,No,Graduate,14.0,367700000.0,16200000.0,719.0,0,Semiurban,60.0,220000000.0
C00136,34,Male,Yes,Graduate,14.1,107400000.0,15400000.0,749.0,3,Urban,60.0,223000000.0
C00137,48,Male,Yes,Not Graduate,1.4,113600000.0,15700000.0,781.0,3,Semiurban,60.0,220000000.0
C00138,22,Female,Yes,Graduate,6.2,136800000.0,31500000.0,678.0,1,Urban,36.0,85000000.0
C00139,36,Male,Yes,Graduate,18.9,65100000.0,7200000.0,704.0,0,Rural,60.0,121000000.0
C00140,40,Female,No,Graduate,10.3,82100000.0,11100000.0,548.0,0,Semiurban,48.0,50000000.0
C00141,65,Male,No,Graduate,14.0,319800000.0,21300000.0,850.0,0,Rural,12.0,84000000.0
C00142,30,Male,Yes,Not Graduate,23.6,111600000.0,13400000.0,659.0,3,Urban,60.0,204000000.0
C00143,33,Female,Yes,Graduate,1.2,75700000.0,81900000.0,739.0,1,Semiurban,12.0,50000000.0
C00144,39,Female,No,Graduate,11.2,93600000.0,35200000.0,659.0,1,Semiurban,24.0,50000000.0
C00145,65,Female,Yes,Graduate,9.0,216500000.0,55500000.0,657.0,4,Urban,24.0,124000000.0
C00146,59,Female,No,Not Graduate,2.7,40500000.0,50900000.0,672.0,1,Semiurban,60.0,90000000.0
C00147,22,Male,No,Graduate,23.8,138000000.0,29700000.0,597.0,1,Urban,36.0,129000000.0
C00148,31,Female,Yes,Graduate,24.0,464800000.0,77200000.0,504.0,4,Urban,60.0,127000000.0
C00149,57,Male,No,Graduate,7.8,366700000.0,50300000.0,777.0,0,Semiurban,60.0,390000000.0
C00150,23,Female,Yes,Graduate,23.7,164500000.0,27100000.0,731.0,1,Urban,60.0,151000000.0
C00151,59,Male,No,Graduate,0.9,247500000.0,9100000.0,621.0,2,Semiurban,60.0,178000000.0
C00152,33,Female,Yes,Not Graduate,24.5,246200000.0,53100000.0,724.0,0,Semiurban,60.0,299000000.0
C00153,62,Male,Yes,Graduate,20.9,112000000.0,12800000.0,752.0,0,Urban,60.0,196000000.0
C00154,34,Female,Yes,Graduate,5.4,199600000.0,47400000.0,638.0,1,Urban,36.0,146000000.0
C00155,40,Female,Yes,Graduate,15.0,320900000.0,37300000.0,721.0,1,Semiurban,60.0,254000000.0
C00156,50,Female,Yes,Graduate,20.0,59900000.0,11800000.0,766.0,2,Semiurban,60.0,142000000.0
C00157,26,Female,Yes,Graduate,8.0,164800000.0,43000000.0,582.0,1,Semiurban,84.0,140000000.0
C00158,46,Male,Yes,Not Graduate,8.8,146400000.0,40800000.0,730.0,0,,60.0,162000000.0
C00159,43,Male,Yes,Graduate,15.7,127000000.0,40900000.0,717.0,1,Semiurban,48.0,244000000.0
C00160,56,Female,Yes,Not Graduate,3.7,121000000.0,39400000.0,831.0,3,Urban,60.0,175000000.0
C00161,65,Male,No,Graduate,3.0,136300000.0,20800000.0,732.0,2,Urban,12.0,116000000.0
C00162,50,Male,No,Graduate,6.2,142700000.0,56200000.0,659.0,4,Semiurban,60.0,132000000.0
C00163,39,Male,Yes,Graduate,18.5,222000000.0,20200000.0,668.0,3,Semiurban,60.0,234000000.0
C00164,39,Female,Yes,Graduate,9.2,156000000.0,14800000.0,842.0,1,Urban,36.0,96000000.0
C00165,39,Male,No,Graduate,12.7,108800000.0,60000000.0,663.0,0,Urban,12.0,134000000.0
C00166,57,Male,No,Not Graduate,4.9,75600000.0,74000000.0,734.0,3,Semiurban,24.0,105000000.0
C00167,35,Female,Yes,Not Graduate,4.9,92500000.0,56800000.0,,1,Semiurban,24.0,188000000.0
C00168,28,Male,No,Not Graduate,16.3,138500000.0,29700000.0,771.0,1,Semiurban,60.0,209000000.0
C00169,36,Male,Yes,Not Graduate,2.7,81400000.0,7400000.0,775.0,3,Semiurban,60.0,143000000.0
C00170,22,Male,Yes,Graduate,16.7,201900000.0,114500000.0,688.0,1,Urban,36.0,200000000.0
C00171,25,Female,No,Graduate,10.0,152000000.0,7300000.0,659.0,2,Semiurban,36.0,143000000.0
C00172,25,Male,No,Graduate,16.8,225100000.0,55900000.0,658.0,0,Rural,72.0,189000000.0
C00173,55,Female,No,Not Graduate,9.5,84400000.0,189300000.0,560.0,2,Rural,36.0,69000000.0
C00174,53,Male,Yes,Graduate,21.2,76000000.0,39400000.0,698.0,3,Urban,72.0,210000000.0
C00175,52,Male,Yes,Graduate,1.4,224200000.0,44200000.0,696.0,1,Rural,24.0,50000000.0
C00176,41,Male,Yes,Graduate,22.3,128900000.0,47400000.0,629.0,1,Urban,72.0,167000000.0
C00177,53,Male,Yes,Graduate,6.7,107400000.0,41000000.0,552.0,0,Urban,60.0,139000000.0
C00178,28,Male,Yes,Not Graduate,1.1,176200000.0,229500000.0,705.0,0,Semiurban,36.0,340000000.0
C00179,61,Male,Yes,Graduate,14.1,172700000.0,17800000.0,715.0,1,Urban,60.0,256000000.0
C00180,43,Male,Yes,Graduate,5.6,60100000.0,16100000.0,720.0,0,Urban,60.0,84000000.0
C00181,63,Female,No,Not Graduate,11.5,257000000.0,26900000.0,616.0,1,Urban,36.0,129000000.0
C00182,27,Female,Yes,Graduate,20.1,95800000.0,140900000.0,720.0,1,Semiurban,60.0,279000000.0
C00183,43,Female,Yes,Graduate,19.8,305700000.0,22100000.0,677.0,1,Semiurban,60.0,355000000.0
C00184,52,Female,No,Graduate,15.0,57600000.0,49400000.0,755.0,0,Semiurban,60.0,201000000.0
C00185,43,Female,Yes,Graduate,24.4,142900000.0,82400000.0,617.0,0,Semiurban,36.0,176000000.0
C00186,41,Female,No,Graduate,11.6,108400000.0,65300000.0,776.0,0,Urban,60.0,325000000.0
C00187,28,Female,Yes,Graduate,1.0,40500000.0,79000000.0,803.0,0,Semiurban,36.0,95000000.0
C00188,38,Male,Yes,Graduate,20.5,172300000.0,108800000.0,699.0,1,Semiurban,24.0,185000000.0
C00189,31,Female,No,Graduate,5.5,41700000.0,44800000.0,720.0,0,Urban,36.0,149000000.0
C00190,34,Male,Yes,Graduate,4.4,102200000.0,24300000.0,749.0,1,Rural,60.0,181000000.0
C00191,51,Female,Yes,Not Graduate,1.8,220300000.0,39400000.0,613.0,2,Semiurban,24.0,189000000.0
C00192,49,Female,No,Graduate,8.2,89700000.0,26700000.0,654.0,0,Semiurban,24.0,50000000.0
C00193,48,Male,Yes,Graduate,8.2,73000000.0,263100000.0,704.0,1,Semiurban,60.0,271000000.0
C00194,37,Male,No,Graduate,7.6,186400000.0,22900000.0,842.0,1,Semiurban,72.0,260000000.0
C00195,64,Male,No,Graduate,14.8,104600000.0,51500000.0,600.0,1,Semiurban,60.0,250000000.0
C00196,24,Male,No,Not Graduate,18.8,96000000.0,10500000.0,813.0,1,Rural,84.0,339000000.0
C00197,36,Female,Yes,Graduate,23.4,242000000.0,38900000.0,676.0,1,Urban,24.0,203000000.0
C00198,26,Female,Yes,Graduate,2.4,63100000.0,27800000.0,687.0,0,Urban,72.0,163000000.0
C00199,36,Female,No,Graduate,3.8,93200000.0,60100000.0,781.0,1,Urban,36.0,118000000.0
C00200,64,Female,Yes,Not Graduate,14.7,193300000.0,61400000.0,842.0,1,Rural,36.0,158000000.0
C00201,37,Male,Yes,Graduate,2.5,60900000.0,108700000.0,722.0,0,Urban,24.0,94000000.0
C00202,61,Male,Yes,Not Graduate,9.3,318600000.0,102000000.0,777.0,0,Urban,60.0,449000000.0
C00203,43,Female,Yes,Graduate,15.6,106500000.0,33200000.0,621.0,1,Urban,36.0,123000000.0
C00204,52,Female,Yes,Graduate,19.5,194100000.0,16400000.0,650.0,0,Semiurban,60.0,145000000.0
C00205,41,Female,Yes,Graduate,5.4,193900000.0,18100000.0,589.0,0,Rural,,116000000.0
C00206,32,Male,Yes,Graduate,16.7,110400000.0,44600000.0,651.0,0,Semiurban,48.0,124000000.0
C00207,55,Female,Yes,Graduate,16.1,92200000.0,39700000.0,732.0,0,Urban,60.0,188000000.0
C00208,64,Female,No,Graduate,21.5,117200000.0,43000000.0,706.0,2,Rural,36.0,136000000.0
C00209,32,Male,Yes,Graduate,7.8,177600000.0,,820.0,0,Rural,24.0,50000000.0
C00210,56,Male,Yes,Graduate,18.8,69800000.0,110500000.0,844.0,0,Semiurban,36.0,118000000.0
C00211,32,Male,Yes,Graduate,18.8,61900000.0,10800000.0,680.0,0,Semiurban,36.0,50000000.0
C00212,53,Male,Yes,Graduate,6.0,271500000.0,21800000.0,639.0,0,Semiurban,24.0,218000000.0
C00213,56,Male,No,Graduate,15.5,80100000.0,14800000.0,777.0,1,Semiurban,24.0,61000000.0
C00214,41,Female,No,Graduate,16.9,145800000.0,29600000.0,785.0,1,Rural,48.0,215000000.0
C00215,54,Female,Yes,Graduate,6.9,107400000.0,94900000.0,723.0,0,Semiurban,72.0,143000000.0
C00216,33,Male,Yes,Graduate,11.3,110000000.0,27800000.0,743.0,2,Semiurban,72.0,73000000.0
C00217,24,Female,Yes,Graduate,10.9,263500000.0,38000000.0,731.0,1,Urban,84.0,213000000.0
C00218,25,Female,Yes,Graduate,19.3,114500000.0,59500000.0,616.0,0,Urban,24.0,50000000.0
C00219,41,Male,Yes,Graduate,0.0,98600000.0,26800000.0,599.0,2,Urban,12.0,50000000.0
C00220,61,Male,Yes,Graduate,12.5,103500000.0,47500000.0,686.0,0,Semiurban,60.0,115000000.0
C00221,26,Male,Yes,Not Graduate,4.6,91000000.0,42800000.0,675.0,2,Rural,60.0,50000000.0
C00222,41,Female,Yes,Graduate,16.2,83000000.0,14200000.0,711.0,1,Urban,36.0,221000000.0
C00223,52,Female,Yes,Graduate,17.0,91200000.0,24100000.0,680.0,1,Semiurban,,196000000.0
C00224,30,Female,Yes,Graduate,12.5,299500000.0,46500000.0,562.0,0,Semiurban,84.0,277000000.0
C00225,53,Female,Yes,Not Graduate,13.6,177500000.0,97600000.0,532.0,2,Urban,60.0,177000000.0
C00226,34,Male,Yes,Not Graduate,7.9,99200000.0,97500000.0,745.0,1,Semiurban,84.0,137000000.0
C00227,57,Male,Yes,Not Graduate,7.8,205900000.0,187100000.0,640.0,0,Rural,24.0,168000000.0
C00228,47,Female,Yes,Graduate,18.6,50100000.0,51600000.0,673.0,5,Urban,60.0,170000000.0
C00229,45,Male,Yes,Graduate,3.3,255700000.0,25100000.0,648.0,1,Semiurban,36.0,145000000.0
C00230,28,Male,Yes,Graduate,19.3,244600000.0,33300000.0,622.0,2,Semiurban,60.0,258000000.0
C00231,41,Male,No,Graduate,16.4,410500000.0,32000000.0,620.0,0,Semiurban,24.0,187000000.0
C00232,59,Male,No,Not Graduate,22.1,209300000.0,25300000.0,766.0,0,Urban,60.0,209000000.0
C00233,21,Male,Yes,Graduate,6.5,152600000.0,47500000.0,672.0,0,Urban,36.0,227000000.0
C00234,55,Male,Yes,Graduate,12.7,244100000.0,49400000.0,738.0,1,Urban,60.0,300000000.0
C00235,43,Male,No,Not Graduate,1.0,85100000.0,13700000.0,748.0,0,Semiurban,60.0,125000000.0
C00236,53,Female,No,Graduate,22.8,96500000.0,83600000.0,714.0,1,Urban,60.0,104000000.0
C00237,50,Female,Yes,Not Graduate,16.9,115800000.0,8100000.0,750.0,1,Semiurban,60.0,170000000.0
C00238,40,Female,Yes,Graduate,15.6,254800000.0,29300000.0,691.0,1,Semiurban,84.0,222000000.0
C00239,34,Female,Yes,Graduate,18.3,74900000.0,87800000.0,792.0,3,Rural,72.0,208000000.0
C00240,49,Female,Yes,Graduate,7.1,70700000.0,56900000.0,752.0,0,Rural,84.0,130000000.0
C00241,27,Male,Yes,Graduate,15.1,136700000.0,26300000.0,762.0,3,Urban,36.0,196000000.0
C00242,47,Female,Yes,Graduate,20.0,178100000.0,169100000.0,620.0,4,Urban,60.0,160000000.0
C00243,25,Female,Yes,Graduate,2.3,81500000.0,24600000.0,710.0,0,Urban,60.0,103000000.0
C00244,50,Female,Yes,Graduate,24.0,173500000.0,7100000.0,552.0,2,Semiurban,72.0,141000000.0
C00245,49,Male,Yes,Graduate,22.3,254700000.0,50300000.0,795.0,0,Semiurban,36.0,227000000.0
C00246,24,Male,No,Not Graduate,24.1,232200000.0,8400000.0,643.0,1,Urban,,272000000.0
C00247,55,Female,Yes,Graduate,20.2,145700000.0,18000000.0,654.0,2,Semiurban,60.0,201000000.0
C00248,39,Female,Yes,Graduate,7.4,114200000.0,57600000.0,587.0,1,Urban,60.0,109000000.0
C00249,56,Female,Yes,Graduate,14.5,311700000.0,24200000.0,687.0,2,Semiurban,60.0,222000000.0
C00250,22,Female,No,Not Graduate,3.0,121000000.0,55700000.0,670.0,0,Semiurban,48.0,143000000.0
C00251,29,Male,Yes,Not Graduate,18.9,201300000.0,13900000.0,827.0,1,Urban,24.0,143000000.0
C00252,43,Male,Yes,Not Graduate,3.8,352300000.0,69600000.0,754.0,0,Rural,36.0,308000000.0
