Account_ID,Outgoing_Tx,Total_Outgoing,Avg_Outgoing,Unique_Beneficiaries,Fraudulent_Outgoing,Fraud_Rate
A00090,4,8927000.0,2231750.0,4,0,0.0
A00091,4,4737000.0,1184250.0,4,0,0.0
A00092,5,5636000.0,1127200.0,5,0,0.0
A00093,4,10671000.0,2667750.0,3,0,0.0
A00094,7,10492000.0,1498857.142857143,7,0,0.0
A00095,4,9869000.0,2467250.0,4,0,0.0
A00096,4,33607000.0,8401750.0,4,0,0.0
A00097,8,8319000.0,1039875.0,8,0,0.0
A00098,4,2477000.0,619250.0,4,0,0.0
A00099,4,4645000.0,1161250.0,4,0,0.0
A00100,6,10915000.0,1819166.6666666667,6,0,0.0
A00101,1,561000.0,561000.0,1,0,0.0
A00102,6,5591000.0,931833.3333333334,6,0,0.0
A00103,4,21746000.0,5436500.0,4,0,0.0
A00104,7,10478000.0,1496857.142857143,7,0,0.0
A00105,8,10080000.0,1260000.0,8,0,0.0
A00106,5,6003000.0,1200600.0,5,0,0.0
A00107,9,19804000.0,2200444.4444444445,9,0,0.0
A00108,5,7145000.0,1429000.0,5,0,0.0
A00109,9,14738000.0,1637555.5555555555,9,0,0.0
A00110,3,10345000.0,3448333.3333333335,3,0,0.0
A00111,6,6884000.0,1147333.3333333333,6,0,0.0
A00112,7,25774000.0,3682000.0,7,0,0.0
A00113,7,8931000.0,1275857.142857143,7,0,0.0
A00114,5,26938000.0,5387600.0,5,1,0.2
A00115,7,9401000.0,1343000.0,7,0,0.0
A00116,4,4863000.0,1215750.0,4,0,0.0
A00117,9,45436000.0,5048444.444444444,9,1,0.1111111111111111
A00118,9,27315000.0,3035000.0,8,0,0.0
A00119,7,12536000.0,1790857.142857143,7,0,0.0
A00120,6,46779000.0,7796500.0,6,0,0.0
A00121,7,18752000.0,2678857.1428571427,7,0,0.0
A00122,7,15568000.0,2224000.0,6,0,0.0
A00123,5,5339000.0,1067800.0,5,0,0.0
A00124,10,17315000.0,1731500.0,9,0,0.0
A00125,5,7568000.0,1513600.0,5,0,0.0
A00126,9,22439000.0,2493222.222222222,9,0,0.0
A00127,5,5026000.0,1005200.0,5,0,0.0
A00128,7,10656000.0,1522285.7142857143,7,0,0.0
A00129,8,18042000.0,2255250.0,8,0,0.0
A00130,3,6075000.0,2025000.0,3,0,0.0
A00131,7,24845000.0,3549285.714285714,7,0,0.0
A00132,5,5832000.0,1166400.0,5,0,0.0
A00133,6,9865000.0,1644166.6666666667,6,0,0.0
A00134,5,5284000.0,1056800.0,5,0,0.0
A00135,9,20006000.0,2222888.888888889,9,0,0.0
A00136,3,4809000.0,1603000.0,3,0,0.0
A00137,9,21822000.0,2424666.6666666665,9,0,0.0
A00138,4,4656000.0,1164000.0,4,0,0.0
A00139,5,16020000.0,3204000.0,5,0,0.0
A00140,4,5569000.0,1392250.0,4,0,0.0
A00141,2,6996000.0,3498000.0,2,0,0.0
A00142,4,9597000.0,2399250.0,4,0,0.0
A00143,11,20324000.0,1847636.3636363635,11,0,0.0
A00144,4,18673000.0,4668250.0,4,0,0.0
A00145,6,15130000.0,2521666.6666666665,6,0,0.0
A00146,2,3557000.0,1778500.0,2,0,0.0
A00147,6,5704000.0,950666.6666666666,6,0,0.0
A00148,2,1994000.0,997000.0,2,0,0.0
A00149,10,16546000.0,1654600.0,10,0,0.0
A00150,5,9133000.0,1826600.0,5,0,0.0
A00151,4,6531000.0,1632750.0,4,0,0.0
A00152,3,935000.0,311666.6666666667,3,0,0.0
A00153,7,18031000.0,2575857.1428571427,7,0,0.0
A00154,9,16609000.0,1845444.4444444445,9,1,0.1111111111111111
A00155,8,18509000.0,2313625.0,8,0,0.0
A00156,6,21879000.0,3646500.0,6,0,0.0
A00157,3,20688000.0,6896000.0,3,0,0.0
A00158,8,8128000.0,1016000.0,8,0,0.0
A00159,7,12713000.0,1816142.857142857,7,0,0.0
A00160,8,12466000.0,1558250.0,8,0,0.0
A00161,7,15465000.0,2209285.714285714,7,0,0.0
A00162,4,5759000.0,1439750.0,4,0,0.0
A00163,9,17155000.0,1906111.111111111,8,0,0.0
A00164,3,2353000.0,784333.3333333334,3,0,0.0
A00165,6,6729000.0,1121500.0,6,1,0.16666666666666666
A00166,8,8852000.0,1106500.0,8,1,0.125
A00167,6,10100000.0,1683333.3333333333,6,0,0.0
A00168,6,13747000.0,2291166.6666666665,6,0,0.0
A00169,8,22734000.0,2841750.0,8,0,0.0
A00170,4,8792000.0,2198000.0,4,1,0.25
A00171,4,3550000.0,887500.0,4,0,0.0
A00172,10,25937000.0,2593700.0,10,0,0.0
A00173,8,15657000.0,1957125.0,8,0,0.0
A00174,4,11815000.0,2953750.0,4,0,0.0
A00175,2,3271000.0,1635500.0,2,0,0.0
A00176,4,7382000.0,1845500.0,4,0,0.0
A00177,4,9949000.0,2487250.0,4,0,0.0
A00178,6,21959000.0,3659833.3333333335,6,0,0.0
A00179,7,16715000.0,2387857.1428571427,6,0,0.0
A00180,9,13841000.0,1537888.888888889,9,0,0.0
A00181,5,6190000.0,1238000.0,5,0,0.0
A00182,10,13018000.0,1301800.0,10,0,0.0
A00183,4,4050000.0,1012500.0,4,0,0.0
A00184,7,7147000.0,1021000.0,7,0,0.0
A00185,11,19133000.0,1739363.6363636365,10,0,0.0
A00186,7,5968000.0,852571.4285714285,7,0,0.0
A00187,10,25234000.0,2523400.0,10,0,0.0
A00188,5,14746000.0,2949200.0,4,0,0.0
A00189,4,10126000.0,2531500.0,4,0,0.0
A00190,6,13119000.0,2186500.0,6,0,0.0
A00191,7,7045000.0,1006428.5714285715,7,0,0.0
A00192,3,17467000.0,5822333.333333333,3,0,0.0
A00193,9,16133000.0,1792555.5555555555,9,0,0.0
A00194,6,15232000.0,2538666.6666666665,6,0,0.0
A00195,9,9189000.0,1021000.0,9,0,0.0
A00196,7,30978000.0,4425428.571428572,7,0,0.0
A00197,3,9915000.0,3305000.0,3,0,0.0
A00198,6,8563000.0,1427166.6666666667,6,0,0.0
A00199,8,24937000.0,3117125.0,8,0,0.0
A00200,6,8193000.0,1365500.0,6,0,0.0
A00201,4,16198000.0,4049500.0,4,0,0.0
A00202,5,6406000.0,1281200.0,5,0,0.0
A00203,3,2995000.0,998333.3333333334,3,0,0.0
A00204,10,10547000.0,1054700.0,10,0,0.0
A00205,4,5783000.0,1445750.0,4,0,0.0
A00206,2,6085000.0,3042500.0,2,0,0.0
A00207,6,9261000.0,1543500.0,6,0,0.0
A00208,6,17162000.0,2860333.3333333335,6,0,0.0
A00209,3,14025000.0,4675000.0,3,0,0.0
A00210,12,18191000.0,1515916.6666666667,12,1,0.08333333333333333
A00211,4,2572000.0,643000.0,4,0,0.0
A00212,7,7353000.0,1050428.5714285714,7,0,0.0
A00213,8,21214000.0,2651750.0,8,0,0.0
A00214,9,10295000.0,1143888.888888889,9,0,0.0
A00215,4,3541000.0,885250.0,4,0,0.0
A00216,6,43189000.0,7198166.666666667,6,0,0.0
A00217,5,11944000.0,2388800.0,5,0,0.0
A00218,6,28533000.0,4755500.0,6,1,0.16666666666666666
A00219,4,8687000.0,2171750.0,4,0,0.0
A00220,4,10385000.0,2596250.0,4,0,0.0
A00221,7,11887000.0,1698142.857142857,7,0,0.0
A00222,5,7281000.0,1456200.0,5,0,0.0
A00223,9,8047000.0,894111.1111111111,8,0,0.0
A00224,5,8126000.0,1625200.0,5,0,0.0
A00225,8,13937000.0,1742125.0,7,0,0.0
A00226,10,22261000.0,2226100.0,10,0,0.0
A00227,9,14986000.0,1665111.111111111,8,0,0.0
A00228,8,18482000.0,2310250.0,7,1,0.125
A00229,7,14566000.0,2080857.142857143,7,0,0.0
A00230,3,3642000.0,1214000.0,3,0,0.0
A00231,7,25576000.0,3653714.285714286,7,0,0.0
A00232,7,15821000.0,2260142.8571428573,7,0,0.0
A00233,4,9838000.0,2459500.0,4,0,0.0
A00234,7,13641000.0,1948714.2857142857,7,0,0.0
A00235,7,30385000.0,4340714.285714285,6,0,0.0
A00236,3,5181000.0,1727000.0,3,0,0.0
A00237,7,11411000.0,1630142.857142857,7,0,0.0
A00238,9,14072000.0,1563555.5555555555,8,0,0.0
A00239,6,6713000.0,1118833.3333333333,6,1,0.16666666666666666
A00240,8,10691000.0,1336375.0,8,1,0.125
A00241,7,9802000.0,1400285.7142857143,7,0,0.0
A00242,4,5777000.0,1444250.0,4,0,0.0
A00243,8,19720000.0,2465000.0,8,0,0.0
A00244,6,10451000.0,1741833.3333333333,6,0,0.0
A00245,6,5535000.0,922500.0,6,0,0.0
A00246,4,5842000.0,1460500.0,4,0,0.0
A00247,5,16760000.0,3352000.0,5,0,0.0
A00248,6,8954000.0,1492333.3333333333,6,0,0.0
A00249,8,14695000.0,1836875.0,8,0,0.0
A00250,4,3843000.0,960750.0,4,0,0.0
A00251,6,10055000.0,1675833.3333333333,6,0,0.0
A00252,7,23984000.0,3426285.714285714,6,0,0.0
A00253,6,12603000.0,2100500.0,5,0,0.0
A00254,6,15607000.0,2601166.6666666665,6,0,0.0
A00255,8,26891000.0,3361375.0,8,0,0.0
A00256,4,10551000.0,2637750.0,4,1,0.25
A00257,2,15635000.0,7817500.0,2,0,0.0
A00258,6,12242000.0,2040333.3333333333,6,0,0.0
A00259,9,25498000.0,2833111.111111111,9,1,0.1111111111111111
A00260,7,11914000.0,1702000.0,7,0,0.0
A00261,3,5859000.0,1953000.0,3,0,0.0
A00262,3,14375000.0,4791666.666666667,3,0,0.0
A00263,4,10338000.0,2584500.0,4,0,0.0
A00264,7,8115000.0,1159285.7142857143,7,0,0.0
A00265,8,15547000.0,1943375.0,8,0,0.0
A00266,6,15514000.0,2585666.6666666665,6,0,0.0
A00267,12,22578000.0,1881500.0,12,0,0.0
A00268,3,5951000.0,1983666.6666666667,3,0,0.0
A00269,5,8538000.0,1707600.0,5,0,0.0
A00270,8,18440000.0,2305000.0,8,0,0.0
A00271,6,19732000.0,3288666.6666666665,6,0,0.0
A00272,7,11703000.0,1671857.142857143,6,0,0.0
A00273,5,4866000.0,973200.0,5,0,0.0
A00274,6,11041000.0,1840166.6666666667,6,0,0.0
A00275,4,6426000.0,1606500.0,4,0,0.0
A00276,2,977000.0,488500.0,2,0,0.0
A00277,6,5723000.0,953833.3333333334,6,0,0.0
A00278,4,19808000.0,4952000.0,4,0,0.0
A00279,2,6546000.0,3273000.0,2,0,0.0
A00280,7,108163000.0,15451857.142857144,7,0,0.0
A00281,5,8710000.0,1742000.0,5,0,0.0
A00282,6,15602000.0,2600333.3333333335,6,0,0.0
A00283,7,7778000.0,1111142.857142857,7,0,0.0
A00284,7,30315000.0,4330714.285714285,7,1,0.14285714285714285
A00285,4,8865000.0,2216250.0,4,0,0.0
A00286,8,8762000.0,1095250.0,8,0,0.0
A00287,7,20880000.0,2982857.1428571427,7,0,0.0
A00288,1,253000.0,253000.0,1,0,0.0
A00289,9,18781000.0,2086777.7777777778,9,0,0.0
A00290,10,22637000.0,2263700.0,10,0,0.0
A00291,7,10115000.0,1445000.0,7,1,0.14285714285714285
A00292,3,1813000.0,604333.3333333334,3,0,0.0
A00293,5,6539000.0,1307800.0,5,0,0.0
A00294,12,15051000.0,1254250.0,12,0,0.0
A00295,8,57033000.0,7129125.0,7,0,0.0
A00296,6,20002000.0,3333666.6666666665,6,0,0.0
A00297,9,15140000.0,1682222.2222222222,8,0,0.0
A00298,6,12027000.0,2004500.0,6,0,0.0
A00299,9,13646000.0,1516222.2222222222,9,0,0.0
A00300,8,14188000.0,1773500.0,8,0,0.0
A00301,5,7665000.0,1533000.0,5,0,0.0
A00302,2,1478000.0,739000.0,2,0,0.0
A00303,5,10375000.0,2075000.0,5,0,0.0
A00304,7,11033000.0,1576142.857142857,7,0,0.0
A00305,6,7149000.0,1191500.0,6,0,0.0
A00306,8,26718000.0,3339750.0,8,0,0.0
A00307,12,20559000.0,1713250.0,12,0,0.0
A00308,1,215000.0,215000.0,1,0,0.0
A00309,12,22409000.0,1867416.6666666667,12,0,0.0
A00310,6,4672000.0,778666.6666666666,6,0,0.0
A00311,6,12898000.0,2149666.6666666665,6,0,0.0
A00312,3,14057000.0,4685666.666666667,3,0,0.0
A00313,6,11378000.0,1896333.3333333333,6,0,0.0
A00314,4,8071000.0,2017750.0,4,0,0.0
A00315,4,12341000.0,3085250.0,4,0,0.0
A00316,8,35517000.0,4439625.0,8,0,0.0
A00317,6,8318000.0,1386333.3333333333,6,0,0.0
A00318,10,29680000.0,2968000.0,10,0,0.0
A00319,7,5818000.0,831142.8571428572,7,0,0.0
A00320,2,4825000.0,2412500.0,2,0,0.0
A00321,4,4727000.0,1181750.0,3,0,0.0
A00322,3,2931000.0,977000.0,3,0,0.0
A00323,4,17525000.0,4381250.0,4,1,0.25
A00324,3,7980000.0,2660000.0,3,0,0.0
A00325,8,11090000.0,1386250.0,8,0,0.0
A00326,4,9112000.0,2278000.0,4,0,0.0
A00327,3,2127000.0,709000.0,3,0,0.0
A00328,9,15312000.0,1701333.3333333333,9,0,0.0
A00329,8,28927000.0,3615875.0,8,0,0.0
A00330,8,74300000.0,9287500.0,8,1,0.125
A00331,7,11483000.0,1640428.5714285714,7,0,0.0
A00332,5,16287000.0,3257400.0,5,0,0.0
A00333,4,21230000.0,5307500.0,4,0,0.0
A00334,11,23539000.0,2139909.090909091,11,0,0.0
A00335,2,1773000.0,886500.0,2,0,0.0
A00336,6,16075000.0,2679166.6666666665,6,0,0.0
A00337,7,13417000.0,1916714.2857142857,7,0,0.0
A00338,5,6570000.0,1314000.0,5,0,0.0
A00339,4,4213000.0,1053250.0,4,0,0.0
A00340,10,15415000.0,1541500.0,10,0,0.0
A00341,7,8747000.0,1249571.4285714286,7,0,0.0
A00342,9,10683000.0,1187000.0,9,0,0.0
A00343,7,10598000.0,1514000.0,7,0,0.0
A00344,6,7838000.0,1306333.3333333333,6,0,0.0
A00345,7,9263000.0,1323285.7142857143,7,0,0.0
A00346,6,11484000.0,1914000.0,6,0,0.0
A00347,5,8294000.0,1658800.0,5,0,0.0
A00348,10,18149000.0,1814900.0,10,0,0.0
A00349,6,24841000.0,4140166.6666666665,6,0,0.0
A00350,7,19523000.0,2789000.0,6,0,0.0
A00351,5,18847000.0,3769400.0,5,0,0.0
A00352,7,15212000.0,2173142.8571428573,7,0,0.0
A00353,6,12266000.0,2044333.3333333333,6,0,0.0
A00354,3,3567000.0,1189000.0,3,0,0.0
A00355,7,37141000.0,5305857.142857143,7,0,0.0
A00356,9,10548000.0,1172000.0,9,0,0.0
A00357,8,18727000.0,2340875.0,8,0,0.0
A00358,5,8698000.0,1739600.0,5,0,0.0
A00359,3,2032000.0,677333.3333333334,3,0,0.0
A00360,12,44769000.0,3730750.0,12,0,0.0
A00361,5,59339000.0,11867800.0,5,0,0.0
A00362,9,15981000.0,1775666.6666666667,8,0,0.0
A00363,8,31180000.0,3897500.0,7,0,0.0
A00364,6,12781000.0,2130166.6666666665,5,0,0.0
A00365,5,14944000.0,2988800.0,5,0,0.0
A00366,3,5816000.0,1938666.6666666667,3,0,0.0
A00367,6,11909000.0,1984833.3333333333,6,0,0.0
A00368,3,8885000.0,2961666.6666666665,3,0,0.0
A00369,5,22181000.0,4436200.0,5,0,0.0
A00370,10,11829000.0,1182900.0,10,0,0.0
A00371,5,11435000.0,2287000.0,5,1,0.2
A00372,7,5493000.0,784714.2857142857,7,0,0.0
A00373,6,22301000.0,3716833.3333333335,6,1,0.16666666666666666
A00374,6,8196000.0,1366000.0,5,0,0.0
A00375,4,15262000.0,3815500.0,4,0,0.0
A00376,6,2528000.0,421333.3333333333,6,1,0.16666666666666666
A00377,3,3370000.0,1123333.3333333333,3,0,0.0
A00378,12,44187000.0,3682250.0,12,0,0.0
A00379,4,4898000.0,1224500.0,4,0,0.0
A00380,5,12088000.0,2417600.0,5,0,0.0
A00381,6,8832000.0,1472000.0,6,1,0.16666666666666666
A00382,5,9001000.0,1800200.0,5,0,0.0
A00383,5,7361000.0,1472200.0,5,1,0.2
A00384,4,1656000.0,414000.0,4,0,0.0
A00385,10,25136000.0,2513600.0,10,0,0.0
A00386,8,24995000.0,3124375.0,8,0,0.0
A00387,10,10533000.0,1053300.0,10,0,0.0
A00388,3,3970000.0,1323333.3333333333,3,0,0.0
A00389,8,32235000.0,4029375.0,7,0,0.0
A00390,7,51699000.0,7385571.428571428,6,0,0.0
A00391,7,14706000.0,2100857.1428571427,7,0,0.0
A00392,6,10741000.0,1790166.6666666667,6,0,0.0
A00393,6,16346000.0,2724333.3333333335,6,0,0.0
A00394,8,15625000.0,1953125.0,8,0,0.0
A00395,6,5017000.0,836166.6666666666,6,0,0.0
A00396,7,14225000.0,2032142.857142857,7,0,0.0
A00397,12,32855000.0,2737916.6666666665,12,0,0.0
A00398,6,9289000.0,1548166.6666666667,6,0,0.0
A00399,5,33095000.0,6619000.0,5,0,0.0
A00400,3,3715000.0,1238333.3333333333,3,0,0.0
A00401,8,18816000.0,2352000.0,8,0,0.0
A00402,4,5348000.0,1337000.0,4,0,0.0
A00403,7,14703000.0,2100428.5714285714,7,0,0.0
A00404,4,13087000.0,3271750.0,4,0,0.0
A00405,10,17787000.0,1778700.0,10,0,0.0
A00406,4,15536000.0,3884000.0,4,0,0.0
A00407,8,14157000.0,1769625.0,8,0,0.0
A00408,9,23604000.0,2622666.6666666665,9,0,0.0
A00409,5,11011000.0,2202200.0,5,0,0.0
A00410,7,11908000.0,1701142.857142857,7,0,0.0
A00411,10,10472000.0,1047200.0,10,0,0.0
A00412,7,25831000.0,3690142.8571428573,7,1,0.14285714285714285
A00413,10,18285000.0,1828500.0,10,0,0.0
A00414,5,7538000.0,1507600.0,5,0,0.0
A00415,5,29230000.0,5846000.0,5,0,0.0
A00416,8,10021000.0,1252625.0,8,0,0.0
A00417,2,1260000.0,630000.0,2,0,0.0
A00418,8,9715000.0,1214375.0,8,0,0.0
A00419,5,9046000.0,1809200.0,4,0,0.0
A00420,4,8485000.0,2121250.0,4,0,0.0
A00421,4,13554000.0,3388500.0,4,0,0.0
A00422,9,10294000.0,1143777.7777777778,8,0,0.0
A00423,7,9188000.0,1312571.4285714286,7,1,0.14285714285714285
A00424,8,31668000.0,3958500.0,8,0,0.0
A00425,2,3752000.0,1876000.0,2,1,0.5
A00426,4,9611000.0,2402750.0,4,0,0.0
A00427,8,9459000.0,1182375.0,8,0,0.0
A00428,2,639000.0,319500.0,2,0,0.0
A00429,5,2819000.0,563800.0,5,0,0.0
A00430,1,345000.0,345000.0,1,0,0.0
A00431,4,16076000.0,4019000.0,4,0,0.0
A00432,9,15383000.0,1709222.2222222222,9,0,0.0
A00433,5,4267000.0,853400.0,5,0,0.0
A00434,5,10153000.0,2030600.0,5,0,0.0
A00435,2,6058000.0,3029000.0,2,0,0.0
A00436,3,5162000.0,1720666.6666666667,3,0,0.0
A00437,2,1095000.0,547500.0,2,0,0.0
A00438,5,5709000.0,1141800.0,5,0,0.0
A00439,5,11745000.0,2349000.0,4,0,0.0
A00440,6,10444000.0,1740666.6666666667,5,0,0.0
A00441,3,4224000.0,1408000.0,3,0,0.0
A00442,4,1621000.0,405250.0,4,0,0.0
A00443,6,8934000.0,1489000.0,6,0,0.0
A00444,9,52508000.0,5834222.222222222,8,0,0.0
A00445,7,12995000.0,1856428.5714285714,7,0,0.0
A00446,6,9880000.0,1646666.6666666667,6,0,0.0
A00447,5,13639000.0,2727800.0,5,0,0.0
A00448,7,14493000.0,2070428.5714285714,7,1,0.14285714285714285
A00449,6,7244000.0,1207333.3333333333,6,0,0.0
A00450,4,8706000.0,2176500.0,4,0,0.0
A00451,4,9568000.0,2392000.0,4,0,0.0
A00452,3,2838000.0,946000.0,3,0,0.0
A00453,7,32402000.0,4628857.142857143,7,0,0.0
A00454,7,4908000.0,701142.8571428572,6,0,0.0
A00455,10,38484000.0,3848400.0,10,0,0.0
A00456,4,5142000.0,1285500.0,4,0,0.0
A00457,7,8732000.0,1247428.5714285714,7,0,0.0
A00458,4,9147000.0,2286750.0,4,0,0.0
A00459,3,1109000.0,369666.6666666667,3,0,0.0
A00460,4,6532000.0,1633000.0,4,0,0.0
A00461,6,12757000.0,2126166.6666666665,6,0,0.0
A00462,4,3411000.0,852750.0,4,0,0.0
A00463,4,4353000.0,1088250.0,4,0,0.0
A00464,5,20049000.0,4009800.0,5,0,0.0
A00465,3,6116000.0,2038666.6666666667,3,0,0.0
A00466,5,7658000.0,1531600.0,5,0,0.0
A00467,6,24141000.0,4023500.0,6,0,0.0
A00468,9,30037000.0,3337444.4444444445,9,0,0.0
A00469,6,14978000.0,2496333.3333333335,6,0,0.0
A00470,5,8632000.0,1726400.0,5,0,0.0
A00471,9,15907000.0,1767444.4444444445,9,0,0.0
A00472,10,33832000.0,3383200.0,10,0,0.0
A00473,8,26121000.0,3265125.0,8,0,0.0
A00474,5,5630000.0,1126000.0,5,0,0.0
A00475,6,3690000.0,615000.0,6,0,0.0
A00476,9,13449000.0,1494333.3333333333,9,0,0.0
A00477,4,9346000.0,2336500.0,4,0,0.0
A00478,4,7173000.0,1793250.0,4,0,0.0
A00479,6,11003000.0,1833833.3333333333,6,0,0.0
A00480,4,2809000.0,702250.0,4,0,0.0
A00481,6,10137000.0,1689500.0,6,0,0.0
A00482,6,9514000.0,1585666.6666666667,6,0,0.0
A00483,7,8492000.0,1213142.857142857,7,0,0.0
A00484,11,19071000.0,1733727.2727272727,11,0,0.0
A00485,6,20222000.0,3370333.3333333335,6,0,0.0
A00486,4,4763000.0,1190750.0,4,0,0.0
A00487,2,672000.0,336000.0,2,0,0.0
A00488,2,2012000.0,1006000.0,2,0,0.0
A00489,4,5296000.0,1324000.0,4,0,0.0
A00490,6,18654000.0,3109000.0,6,0,0.0
A00491,6,13048000.0,2174666.6666666665,6,0,0.0
A00492,7,25272000.0,3610285.714285714,7,0,0.0
A00493,6,7756000.0,1292666.6666666667,6,0,0.0
A00494,3,2891000.0,963666.6666666666,3,0,0.0
A00495,7,22437000.0,3205285.714285714,6,0,0.0
A00496,5,5390000.0,1078000.0,5,0,0.0
A00497,10,19066000.0,1906600.0,10,0,0.0
A00498,10,20635000.0,2063500.0,10,0,0.0
A00499,5,8361000.0,1672200.0,5,0,0.0
A00500,8,9011000.0,1126375.0,7,0,0.0
A00501,6,10309000.0,1718166.6666666667,6,0,0.0
A00502,4,5604000.0,1401000.0,4,0,0.0
A00503,6,10568000.0,1761333.3333333333,6,0,0.0
A00504,5,9484000.0,1896800.0,5,0,0.0
A00505,7,11404000.0,1629142.857142857,7,0,0.0
A00506,4,6268000.0,1567000.0,4,0,0.0
A00507,5,3425000.0,685000.0,5,0,0.0
A00508,8,10100000.0,1262500.0,8,0,0.0
A00509,7,11297000.0,1613857.142857143,6,0,0.0
A00510,7,14311000.0,2044428.5714285714,7,0,0.0
A00511,7,10184000.0,1454857.142857143,7,0,0.0
