Transaction_ID,Source_Account,Target_Account,Amount,Hour,Channel,Fraud_Label
T0000069,A01144,A00172,50000.0,4,Internet Banking,0
T0000070,A00059,A00612,779000.0,1,ATM,0
T0000071,A00443,A00873,1741000.0,16,Mobile,0
T0000072,A00132,A00025,2002000.0,14,Mobile,0
T0000073,A01118,A00446,3459000.0,7,Internet Banking,0
T0000074,A00811,A00584,952000.0,17,Mobile,0
T0000075,A00916,A00082,1000000.0,20,Internet Banking,0
T0000076,A00856,A00558,277000.0,12,Internet Banking,0
T0000077,A00789,A00456,958000.0,6,Mobile,0
T0000078,A00929,A00275,300000.0,0,Internet Banking,0
T0000079,A00010,A00207,157000.0,19,Internet Banking,0
T0000080,A01039,A00298,364000.0,13,Mobile,0
T0000081,A00888,A00762,6308000.0,8,Mobile,0
T0000082,A00888,A00469,891000.0,0,Mobile,0
T0000083,A00473,A00054,1528000.0,19,ATM,0
T0000084,A00962,A00635,682000.0,22,Internet Banking,0
T0000085,A00459,A00590,167000.0,11,Mobile,0
T0000086,A00059,A00212,3360000.0,6,Mobile,0
T0000087,A01090,A00064,110000.0,14,Mobile,0
T0000088,A00282,A00214,652000.0,20,Mobile,0
T0000089,A00123,A00920,1130000.0,14,Mobile,0
T0000090,A00747,A00570,1546000.0,0,Mobile,0
T0000091,A00281,A01060,540000.0,4,Mobile,0
T0000092,A01030,A00307,159000.0,2,Internet Banking,0
T0000093,A00533,A00198,497000.0,9,Internet Banking,0
T0000094,A00006,A00740,527000.0,10,Mobile,0
T0000095,A01143,A01082,513000.0,12,Internet Banking,0
T0000096,A00618,A00638,3488000.0,18,Mobile,0
T0000097,A00316,A00944,316000.0,2,Mobile,0
T0000098,A00813,A00523,1671000.0,22,Branch,0
T0000099,A00637,A00093,1428000.0,6,Internet Banking,0
T0000100,A00036,A00127,3452000.0,12,Mobile,0
T0000101,A00912,A01183,1037000.0,5,Mobile,0
T0000102,A00482,A00300,2865000.0,8,Internet Banking,0
T0000103,A00840,A00590,993000.0,19,Mobile,0
T0000104,A01075,A00929,1935000.0,1,Branch,0
T0000105,A00733,A00081,230000.0,11,Mobile,0
T0000106,A00806,A00654,66000.0,14,Mobile,0
T0000107,A00306,A00533,1818000.0,13,Internet Banking,0
T0000108,A00286,A00669,1928000.0,9,Internet Banking,0
T0000109,A00499,A00862,2025000.0,9,Mobile,0
T0000110,A01024,A00358,674000.0,21,Branch,1
T0000111,A00630,A00065,6178000.0,5,Branch,0
T0000112,A00418,A00008,724000.0,11,Mobile,0
T0000113,A00936,A01067,1907000.0,8,Mobile,0
T0000114,A01025,A00089,2308000.0,18,Mobile,0
T0000115,A01084,A01147,7948000.0,19,Internet Banking,0
T0000116,A00359,A00086,847000.0,20,Internet Banking,0
T0000117,A00852,A00042,585000.0,2,Mobile,0
T0000118,A00709,A00542,231000.0,2,Branch,0
T0000119,A00539,A00277,6619000.0,9,Mobile,0
T0000120,A00477,A00249,1908000.0,10,ATM,0
T0000121,A00138,A00799,1975000.0,1,ATM,0
T0000122,A00330,A00629,36992000.0,21,Mobile,0
T0000123,A00660,A00766,1716000.0,21,Mobile,0
T0000124,A01064,A00360,286000.0,10,Mobile,0
T0000125,A01040,A00553,967000.0,18,Branch,0
T0000126,A00226,A00525,411000.0,13,Mobile,0
T0000127,A00816,A00375,776000.0,15,ATM,0
T0000128,A00102,A00363,771000.0,20,Mobile,0
T0000129,A00811,A00197,629000.0,2,Mobile,0
T0000130,A00411,A00653,259000.0,5,Branch,0
T0000131,A00540,A00040,6918000.0,10,Mobile,0
T0000132,A00862,A00046,1667000.0,21,Internet Banking,0
T0000133,A00510,A00856,936000.0,14,Mobile,0
T0000134,A00969,A00024,2761000.0,9,Mobile,0
T0000135,A00641,A01187,2015000.0,0,Mobile,0
T0000136,A01199,A00485,1625000.0,14,Mobile,0
T0000137,A00766,A00105,2549000.0,6,Internet Banking,0
T0000138,A00356,A00644,1390000.0,7,Mobile,0
T0000139,A00931,A00768,2508000.0,23,Mobile,0
T0000140,A00490,A00552,2748000.0,12,Mobile,0
T0000141,A00642,A01062,1435000.0,3,Internet Banking,0
T0000142,A00165,A00407,942000.0,1,ATM,0
T0000143,A00144,A00241,6461000.0,9,Internet Banking,0
T0000144,A00690,A00849,709000.0,1,Branch,0
T0000145,A00225,A00362,1846000.0,10,Mobile,0
T0000146,A01198,A01195,1892000.0,9,Mobile,0
T0000147,A01027,A00304,614000.0,21,Internet Banking,0
T0000148,A00842,A00040,493000.0,8,Mobile,0
T0000149,A00882,A00858,813000.0,6,Internet Banking,0
T0000150,A00715,A00947,698000.0,14,ATM,0
T0000151,A00073,A00155,241000.0,15,Mobile,0
T0000152,A00471,A00075,586000.0,0,Branch,0
T0000153,A00595,A00415,1608000.0,2,Mobile,0
T0000154,A01099,A00056,4830000.0,4,Internet Banking,0
T0000155,A00264,A00669,2208000.0,18,Mobile,0
T0000156,A00597,A01000,69000.0,5,Internet Banking,0
T0000157,A00413,A00167,2430000.0,23,Mobile,0
T0000158,A00162,A00785,649000.0,10,Branch,0
T0000159,A00124,A00183,1975000.0,22,Branch,0
T0000160,A00439,A01019,1181000.0,5,Internet Banking,0
T0000161,A00099,A00600,971000.0,10,Internet Banking,0
T0000162,A00081,A00530,1072000.0,3,Internet Banking,0
T0000163,A00422,A00774,1171000.0,20,Internet Banking,0
T0000164,A00243,A00724,5265000.0,14,Internet Banking,0
T0000165,A00666,A01058,1174000.0,1,Internet Banking,0
T0000166,A00022,A00840,3961000.0,17,ATM,0
T0000167,A00363,A00417,3374000.0,21,Internet Banking,0
T0000168,A00544,A00523,2499000.0,16,Mobile,0
T0000169,A01156,A01089,168000.0,19,Branch,0
T0000170,A00762,A00296,4098000.0,6,Mobile,0
T0000171,A01057,A01164,725000.0,10,Mobile,0
T0000172,A00412,A00262,2637000.0,20,Branch,0
T0000173,A00540,A00699,412000.0,14,Mobile,0
T0000174,A00505,A00125,326000.0,14,Mobile,0
T0000175,A01065,A01098,10552000.0,18,Internet Banking,0
T0000176,A01152,A01051,419000.0,14,ATM,0
T0000177,A01155,A00201,4234000.0,3,Mobile,0
T0000178,A00903,A00084,1367000.0,5,Mobile,0
T0000179,A00604,A00977,756000.0,18,Mobile,0
T0000180,A00650,A00592,1142000.0,5,Mobile,0
T0000181,A01177,A00855,287000.0,15,Mobile,0
T0000182,A00342,A00039,1182000.0,11,Mobile,0
T0000183,A00417,A00853,365000.0,14,Branch,0
T0000184,A01077,A00177,777000.0,5,Internet Banking,0
T0000185,A00464,A01039,3321000.0,7,ATM,0
T0000186,A00283,A00098,1587000.0,16,Branch,0
T0000187,A00673,A00729,235000.0,4,Branch,0
T0000188,A00391,A01004,3062000.0,7,Internet Banking,0
T0000189,A01070,A00170,1191000.0,23,Mobile,0
T0000190,A01091,A00336,661000.0,3,ATM,0
T0000191,A00368,A01191,2728000.0,13,Internet Banking,0
T0000192,A00636,A00662,998000.0,3,Mobile,0
T0000193,A01181,A01117,333000.0,16,Mobile,0
T0000194,A00891,A00604,9161000.0,3,Mobile,0
T0000195,A00259,A00117,1177000.0,13,Mobile,0
T0000196,A00709,A00285,1097000.0,10,ATM,0
T0000197,A00744,A00495,769000.0,16,Mobile,0
T0000198,A00785,A00211,4394000.0,0,Mobile,0
T0000199,A00031,A01074,674000.0,12,Mobile,0
T0000200,A00360,A00859,219000.0,13,ATM,0
T0000201,A01026,A00819,569000.0,5,Mobile,0
T0000202,A00290,A00247,5164000.0,7,Mobile,0
T0000203,A00360,A00788,2997000.0,16,ATM,0
T0000204,A00387,A00887,906000.0,13,ATM,0
T0000205,A00213,A00173,5435000.0,13,Internet Banking,0
T0000206,A00187,A00127,2732000.0,22,Internet Banking,0
T0000207,A00417,A00683,895000.0,9,Mobile,0
T0000208,A01050,A00172,1000000.0,20,Branch,0
T0000209,A00002,A00207,1724000.0,23,Internet Banking,0
T0000210,A00340,A01170,481000.0,13,Internet Banking,0
T0000211,A00073,A00047,1206000.0,5,Mobile,0
T0000212,A00674,A00528,1685000.0,10,Internet Banking,0
T0000213,A00301,A00627,188000.0,1,Mobile,0
T0000214,A00951,A00273,974000.0,16,Mobile,0
T0000215,A00703,A00072,860000.0,6,Internet Banking,0
T0000216,A00941,A00122,3718000.0,22,ATM,0
T0000217,A00762,A00930,158000.0,15,Mobile,0
T0000218,A00527,A00539,789000.0,11,ATM,0
T0000219,A01034,A00618,706000.0,4,Mobile,0
T0000220,A00572,A00738,3450000.0,2,Internet Banking,0
T0000221,A01140,A00915,1144000.0,16,Mobile,0
T0000222,A01194,A00840,8654000.0,18,Mobile,0
T0000223,A00707,A00287,2486000.0,6,ATM,0
T0000224,A00810,A00429,764000.0,0,Mobile,0
T0000225,A00307,A00211,1562000.0,7,Branch,0
T0000226,A00978,A00679,813000.0,18,Mobile,0
T0000227,A00806,A00112,3088000.0,13,Internet Banking,0
T0000228,A01084,A00420,277000.0,2,Mobile,0
T0000229,A00321,A00672,485000.0,2,Internet Banking,0
T0000230,A00946,A00682,1981000.0,2,Branch,0
T0000231,A00565,A00104,4621000.0,18,Internet Banking,0
T0000232,A00223,A00043,106000.0,18,Mobile,0
T0000233,A00206,A00100,5443000.0,9,ATM,0
T0000234,A00675,A01172,1029000.0,16,Internet Banking,0
T0000235,A00384,A00406,151000.0,0,Mobile,0
T0000236,A00123,A00616,50000.0,13,Internet Banking,0
T0000237,A00513,A00035,223000.0,6,Internet Banking,1
T0000238,A00784,A00695,1174000.0,19,ATM,0
T0000239,A00383,A00307,1116000.0,11,Mobile,0
T0000240,A01147,A00822,2408000.0,20,Mobile,0
T0000241,A00936,A00319,656000.0,13,Branch,0
T0000242,A00616,A00219,355000.0,10,Internet Banking,0
T0000243,A01122,A00001,762000.0,22,Internet Banking,0
T0000244,A00520,A00017,1245000.0,23,Branch,0
T0000245,A00168,A00832,1547000.0,10,Mobile,0
T0000246,A00044,A00907,504000.0,8,Mobile,0
T0000247,A01126,A00358,3235000.0,15,ATM,0
T0000248,A01152,A00184,606000.0,4,Internet Banking,0
T0000249,A00888,A00990,461000.0,9,Branch,0
T0000250,A00124,A00883,661000.0,20,Internet Banking,0
T0000251,A00353,A00239,3914000.0,21,Mobile,0
T0000252,A00050,A00545,1037000.0,9,Mobile,0
T0000253,A00062,A00856,559000.0,9,Mobile,0
T0000254,A00296,A00701,3324000.0,20,Branch,0
T0000255,A00687,A01066,12671000.0,4,Mobile,0
T0000256,A00079,A00129,1511000.0,1,Internet Banking,0
T0000257,A01182,A00804,4662000.0,1,Mobile,0
T0000258,A00547,A00668,3751000.0,2,Mobile,0
T0000259,A00317,A00492,616000.0,21,Mobile,0
T0000260,A00620,A00538,1236000.0,0,Internet Banking,0
T0000261,A00949,A00894,293000.0,7,Mobile,0
T0000262,A00376,A00480,958000.0,14,Branch,0
T0000263,A00058,A00823,603000.0,14,Branch,0
T0000264,A00062,A00906,770000.0,19,Mobile,0
T0000265,A01023,A00563,526000.0,23,ATM,0
T0000266,A00134,A00879,875000.0,9,Mobile,0
T0000267,A00763,A00594,2155000.0,5,Mobile,0
T0000268,A00462,A00910,1052000.0,2,Mobile,0
T0000269,A00934,A00108,154000.0,21,ATM,0
T0000270,A00073,A00718,528000.0,8,Internet Banking,0
T0000271,A01078,A00670,226000.0,21,Mobile,0
T0000272,A00838,A00349,1570000.0,8,Internet Banking,0
T0000273,A00540,A00584,2088000.0,18,Internet Banking,0
T0000274,A00249,A00605,1591000.0,15,Internet Banking,0
T0000275,A01173,A00809,505000.0,17,Internet Banking,0
T0000276,A00363,A00989,1574000.0,15,ATM,0
T0000277,A00589,A00554,715000.0,7,Internet Banking,0
T0000278,A00473,A00633,343000.0,2,Mobile,0
T0000279,A00277,A00752,2714000.0,0,ATM,0
T0000280,A00500,A00005,2951000.0,10,Mobile,0
T0000281,A00182,A00763,3408000.0,21,Internet Banking,0
T0000282,A00002,A01134,615000.0,15,Internet Banking,0
T0000283,A00348,A00640,4391000.0,16,Mobile,0
T0000284,A00135,A00994,697000.0,6,Mobile,0
T0000285,A00498,A00144,2462000.0,11,Internet Banking,0
T0000286,A01036,A00122,684000.0,9,ATM,0
T0000287,A00196,A00554,938000.0,3,ATM,0
T0000288,A00002,A00611,84000.0,14,Internet Banking,0
T0000289,A00134,A00635,861000.0,8,Mobile,0
T0000290,A00610,A00035,1326000.0,9,Mobile,0
T0000291,A00330,A00295,764000.0,14,ATM,0
T0000292,A00588,A00313,8282000.0,0,Mobile,0
T0000293,A00036,A01136,334000.0,22,Internet Banking,0
T0000294,A00400,A00968,646000.0,5,Mobile,0
T0000295,A00493,A00002,444000.0,16,Mobile,0
T0000296,A00518,A00429,645000.0,18,Internet Banking,0
T0000297,A00662,A00377,3732000.0,3,Internet Banking,0
T0000298,A00937,A00516,6099000.0,5,Internet Banking,0
T0000299,A00561,A00159,555000.0,9,Mobile,0
T0000300,A01010,A00331,542000.0,19,ATM,0
T0000301,A00636,A00713,336000.0,15,Mobile,0
T0000302,A00313,A00409,5049000.0,11,ATM,0
T0000303,A00275,A00563,4118000.0,20,Internet Banking,0
T0000304,A00387,A01027,1068000.0,11,Mobile,0
T0000305,A00717,A00184,258000.0,21,Internet Banking,0
T0000306,A00291,A01061,285000.0,18,Internet Banking,0
T0000307,A01098,A00402,1448000.0,4,Internet Banking,0
T0000308,A00576,A00637,2196000.0,9,Internet Banking,0
T0000309,A01036,A00020,124000.0,0,Mobile,0
T0000310,A00820,A01016,843000.0,5,Branch,0
T0000311,A00401,A00812,7117000.0,0,Mobile,0
T0000312,A00274,A00085,945000.0,2,Mobile,0
T0000313,A00893,A01000,6178000.0,0,ATM,0
T0000314,A00397,A01026,2450000.0,16,Mobile,0
T0000315,A00297,A00504,364000.0,9,Branch,0
T0000316,A01117,A00530,870000.0,11,Mobile,0
T0000317,A00580,A00603,1042000.0,18,Mobile,0
T0000318,A00059,A00739,421000.0,19,Mobile,0
T0000319,A00594,A01113,413000.0,12,Mobile,0
T0000320,A00553,A01058,6295000.0,10,Mobile,0
T0000321,A01037,A01004,410000.0,15,Mobile,0
T0000322,A00854,A01152,3930000.0,9,Mobile,0
T0000323,A00230,A01013,742000.0,10,Mobile,0
T0000324,A00181,A00936,1167000.0,7,Mobile,0
T0000325,A00725,A00112,2226000.0,4,Mobile,0
T0000326,A00057,A00289,621000.0,4,Mobile,0
T0000327,A00383,A01067,2241000.0,15,Mobile,0
T0000328,A00166,A00981,126000.0,19,Mobile,0
T0000329,A00025,A01115,1946000.0,10,Mobile,0
T0000330,A01103,A00824,79000.0,2,Mobile,0
T0000331,A00108,A00848,935000.0,14,Mobile,0
T0000332,A00012,A00615,3071000.0,21,Branch,0
T0000333,A01120,A00473,2379000.0,12,Mobile,0
T0000334,A00226,A00508,288000.0,0,Mobile,0
T0000335,A00980,A00598,331000.0,1,Internet Banking,0
T0000336,A00038,A00128,563000.0,12,Mobile,0
T0000337,A00185,A00275,1473000.0,20,Mobile,0
T0000338,A00133,A00952,128000.0,1,ATM,0
T0000339,A00848,A00033,1183000.0,18,Internet Banking,0
T0000340,A00745,A00909,1690000.0,18,Branch,0
T0000341,A00571,A00609,879000.0,1,Branch,0
T0000342,A00290,A01198,2139000.0,5,Internet Banking,0
T0000343,A00107,A00514,1535000.0,0,Internet Banking,0
T0000344,A00684,A00575,661000.0,13,Mobile,0
T0000345,A00277,A00153,143000.0,4,ATM,0
T0000346,A00709,A00969,1390000.0,21,Internet Banking,0
T0000347,A00825,A00842,421000.0,2,Mobile,0
T0000348,A01020,A00623,635000.0,15,Mobile,0
T0000349,A00593,A00112,2033000.0,18,Internet Banking,0
T0000350,A00006,A00254,5705000.0,4,Internet Banking,0
T0000351,A00337,A00325,1151000.0,6,ATM,0
T0000352,A01025,A00051,2207000.0,19,Mobile,0
T0000353,A00640,A00610,245000.0,2,ATM,0
T0000354,A00743,A00341,1572000.0,10,Mobile,0
T0000355,A00550,A00461,1123000.0,6,Internet Banking,0
T0000356,A00196,A01029,4639000.0,0,Mobile,0
T0000357,A01077,A00215,662000.0,10,Mobile,0
T0000358,A00928,A01186,920000.0,11,Mobile,0
T0000359,A01195,A00706,3846000.0,8,Mobile,0
T0000360,A01027,A00045,1084000.0,19,Mobile,0
T0000361,A00350,A01161,354000.0,2,ATM,0
T0000362,A00306,A00863,19868000.0,10,Mobile,0
T0000363,A00299,A01173,366000.0,4,Internet Banking,0
T0000364,A01103,A00409,1118000.0,18,Internet Banking,0
T0000365,A00669,A00154,1757000.0,13,Mobile,0
T0000366,A00546,A00739,1611000.0,16,ATM,0
T0000367,A01162,A00938,974000.0,2,ATM,0
T0000368,A00725,A00596,979000.0,10,ATM,0
T0000369,A01092,A00277,927000.0,1,ATM,0
T0000370,A01182,A01109,352000.0,7,Internet Banking,0
T0000371,A00096,A01179,12776000.0,22,Branch,0
T0000372,A00434,A00418,942000.0,17,Mobile,0
T0000373,A00881,A01085,2314000.0,1,Mobile,0
T0000374,A00976,A00032,830000.0,8,Internet Banking,0
T0000375,A00179,A00297,812000.0,20,Mobile,0
T0000376,A00383,A00820,727000.0,4,Internet Banking,0
T0000377,A00658,A00695,218000.0,18,Mobile,0
T0000378,A00960,A01194,1006000.0,7,Mobile,0
T0000379,A00136,A00971,767000.0,11,ATM,0
T0000380,A00721,A00726,4354000.0,21,Mobile,0
T0000381,A00356,A00064,322000.0,16,Mobile,0
T0000382,A00260,A00102,636000.0,6,Internet Banking,0
T0000383,A00619,A00312,447000.0,0,ATM,0
T0000384,A00497,A00007,5866000.0,5,ATM,0
T0000385,A00763,A00594,461000.0,10,Mobile,0
T0000386,A00382,A00090,2227000.0,3,ATM,0
T0000387,A00988,A00915,3489000.0,21,Internet Banking,0
T0000388,A00094,A01044,1022000.0,1,ATM,0
T0000389,A01035,A00901,264000.0,12,Mobile,1
T0000390,A00036,A00045,268000.0,23,Mobile,0
T0000391,A00884,A00493,3090000.0,8,Internet Banking,0
T0000392,A00416,A01194,300000.0,12,Internet Banking,0
T0000393,A00461,A00249,1847000.0,1,Mobile,0
T0000394,A00023,A00534,1361000.0,17,Internet Banking,0
T0000395,A00843,A00210,1817000.0,23,Internet Banking,0
T0000396,A00199,A00708,2016000.0,18,Mobile,0
T0000397,A00791,A00350,430000.0,3,Internet Banking,0
T0000398,A00871,A00640,410000.0,8,Mobile,0
T0000399,A01015,A00359,2635000.0,17,ATM,0
T0000400,A00850,A00826,601000.0,19,Internet Banking,0
T0000401,A00362,A00361,58000.0,9,Internet Banking,0
T0000402,A00887,A00454,2450000.0,23,Branch,0
T0000403,A00992,A00301,384000.0,4,Internet Banking,0
T0000404,A00381,A00901,2006000.0,17,Mobile,0
T0000405,A00150,A00225,5553000.0,11,Internet Banking,0
T0000406,A01069,A00374,1222000.0,17,Branch,0
T0000407,A00178,A00750,3588000.0,14,Mobile,0
T0000408,A00713,A00421,1421000.0,10,Internet Banking,1
T0000409,A00284,A00873,6879000.0,19,Mobile,0
T0000410,A00152,A00015,373000.0,20,ATM,0
T0000411,A00932,A00236,1189000.0,19,Internet Banking,0
T0000412,A00173,A00090,2516000.0,2,Branch,0
T0000413,A00805,A00098,973000.0,10,Internet Banking,0
T0000414,A00832,A00665,4262000.0,17,Mobile,0
T0000415,A00073,A00464,746000.0,20,Internet Banking,0
T0000416,A00208,A00012,11689000.0,8,Branch,0
T0000417,A00954,A00633,12388000.0,17,Mobile,0
T0000418,A00609,A01128,1637000.0,13,Mobile,0
T0000419,A00146,A00018,2204000.0,5,Internet Banking,0
T0000420,A01191,A01017,4451000.0,21,Internet Banking,0
T0000421,A00318,A00031,325000.0,10,Mobile,0
T0000422,A00005,A00633,283000.0,14,Mobile,0
T0000423,A01109,A01056,4780000.0,6,Mobile,0
T0000424,A00020,A00474,1622000.0,0,Internet Banking,0
T0000425,A00665,A00280,935000.0,10,Mobile,0
T0000426,A01192,A00226,1215000.0,17,Mobile,0
T0000427,A00694,A00286,87000.0,7,ATM,0
T0000428,A00702,A00984,973000.0,22,Mobile,0
T0000429,A00466,A00338,524000.0,18,Internet Banking,0
T0000430,A00153,A00004,3294000.0,15,Mobile,0
T0000431,A00688,A00534,3585000.0,19,Mobile,0
T0000432,A01077,A00744,2263000.0,20,Internet Banking,0
T0000433,A00110,A00098,1854000.0,17,Internet Banking,0
T0000434,A01057,A01122,231000.0,19,Branch,0
T0000435,A00499,A00153,2298000.0,17,Mobile,0
T0000436,A00644,A00633,2398000.0,20,Mobile,0
T0000437,A00199,A00025,4721000.0,2,Mobile,0
T0000438,A00747,A00344,12334000.0,8,Internet Banking,0
T0000439,A00219,A00777,186000.0,21,Mobile,0
T0000440,A00328,A00454,783000.0,11,ATM,0
T0000441,A00866,A00708,530000.0,0,ATM,0
T0000442,A00061,A00990,1451000.0,20,Mobile,0
T0000443,A00537,A00282,1218000.0,15,Mobile,0
T0000444,A00714,A00484,928000.0,21,Mobile,0
T0000445,A00159,A00050,3716000.0,0,Internet Banking,0
T0000446,A00354,A00743,357000.0,3,Internet Banking,0
T0000447,A00413,A00368,382000.0,12,ATM,0
T0000448,A00797,A00181,389000.0,4,Internet Banking,0
T0000449,A01173,A00981,807000.0,12,Mobile,0
T0000450,A01004,A00035,311000.0,8,Mobile,0
T0000451,A00228,A01069,1138000.0,5,Mobile,0
T0000452,A00022,A01176,1000000.0,18,Branch,0
T0000453,A00063,A00387,505000.0,0,ATM,0
T0000454,A00715,A00071,3138000.0,20,ATM,0
T0000455,A00188,A00022,1124000.0,3,ATM,0
T0000456,A00278,A00890,3862000.0,13,Mobile,0
T0000457,A01017,A00139,968000.0,23,Internet Banking,0
T0000458,A01049,A01009,1168000.0,2,Internet Banking,0
T0000459,A01007,A00375,646000.0,22,Mobile,0
T0000460,A00305,A01105,1191000.0,7,Mobile,0
T0000461,A00744,A01130,2627000.0,17,Internet Banking,0
T0000462,A00733,A00503,763000.0,20,ATM,0
T0000463,A00223,A00777,2122000.0,5,Mobile,0
T0000464,A00665,A01128,491000.0,8,ATM,0
T0000465,A00631,A00557,2766000.0,20,Branch,0
T0000466,A00476,A00806,634000.0,2,Branch,0
T0000467,A00902,A01051,3062000.0,2,Mobile,0
T0000468,A00814,A00802,1283000.0,7,Mobile,0
T0000469,A00640,A00715,6394000.0,14,Internet Banking,0
T0000470,A00871,A01009,337000.0,19,Mobile,0
T0000471,A00916,A00277,237000.0,13,Mobile,0
T0000472,A00681,A01139,609000.0,11,ATM,0
T0000473,A00322,A00100,262000.0,20,Mobile,0
T0000474,A00911,A00261,262000.0,4,Mobile,0
T0000475,A00862,A00470,2377000.0,21,Branch,0
T0000476,A01181,A00490,1194000.0,7,Mobile,0
T0000477,A00180,A00956,708000.0,6,Branch,0
T0000478,A00504,A00614,784000.0,22,Mobile,0
T0000479,A01110,A00700,622000.0,15,Mobile,0
T0000480,A00618,A00573,7372000.0,10,Mobile,0
T0000481,A01132,A00059,534000.0,7,Mobile,0
T0000482,A00015,A01033,280000.0,10,Mobile,0
T0000483,A00043,A00177,2881000.0,18,ATM,0
T0000484,A00956,A00150,946000.0,3,Branch,0
T0000485,A00431,A00431,11302000.0,4,Mobile,0
T0000486,A00625,A00683,673000.0,7,Mobile,0
T0000487,A00514,A00101,3043000.0,11,Internet Banking,0
T0000488,A00490,A00743,3946000.0,19,Mobile,0
T0000489,A01128,A00645,676000.0,5,Mobile,0
T0000490,A00113,A00877,530000.0,18,Mobile,0
T0000491,A00927,A00413,2712000.0,21,Mobile,0
T0000492,A01068,A01140,2259000.0,10,Internet Banking,0
T0000493,A00789,A01074,254000.0,23,Mobile,0
T0000494,A00475,A00920,347000.0,21,Internet Banking,0
T0000495,A00193,A00720,74000.0,19,Mobile,0
T0000496,A00820,A01053,2310000.0,9,Mobile,0
T0000497,A00563,A00622,900000.0,7,Internet Banking,0
T0000498,A00180,A00624,1004000.0,20,Mobile,0
T0000499,A00432,A00257,187000.0,10,ATM,0
T0000500,A01154,A00999,359000.0,0,Internet Banking,0
