Image,Label
damaged_021.png,Damaged
damaged_022.png,Damaged
damaged_023.png,Damaged
damaged_024.png,Damaged
damaged_025.png,Damaged
damaged_026.png,Damaged
damaged_027.png,Damaged
damaged_028.png,Damaged
damaged_029.png,Damaged
damaged_030.png,Damaged
damaged_031.png,Damaged
damaged_032.png,Damaged
damaged_033.png,Damaged
damaged_034.png,Damaged
damaged_035.png,Damaged
damaged_036.png,Damaged
damaged_037.png,Damaged
damaged_038.png,Damaged
damaged_039.png,Damaged
damaged_040.png,Damaged
damaged_041.png,Damaged
damaged_042.png,Damaged
damaged_043.png,Damaged
damaged_044.png,Damaged
damaged_045.png,Damaged
damaged_046.png,Damaged
damaged_047.png,Damaged
damaged_048.png,Damaged
damaged_049.png,Damaged
damaged_050.png,Damaged
damaged_051.png,Damaged
damaged_052.png,Damaged
damaged_053.png,Damaged
damaged_054.png,Damaged
damaged_055.png,Damaged
damaged_056.png,Damaged
damaged_057.png,Damaged
damaged_058.png,Damaged
damaged_059.png,Damaged
damaged_060.png,Damaged
damaged_061.png,Damaged
damaged_062.png,Damaged
damaged_063.png,Damaged
damaged_064.png,Damaged
damaged_065.png,Damaged
damaged_066.png,Damaged
damaged_067.png,Damaged
damaged_068.png,Damaged
damaged_069.png,Damaged
damaged_070.png,Damaged
damaged_071.png,Damaged
damaged_072.png,Damaged
damaged_073.png,Damaged
damaged_074.png,Damaged
damaged_075.png,Damaged
damaged_076.png,Damaged
damaged_077.png,Damaged
damaged_078.png,Damaged
damaged_079.png,Damaged
damaged_080.png,Damaged
damaged_081.png,Damaged
damaged_082.png,Damaged
damaged_083.png,Damaged
damaged_084.png,Damaged
damaged_085.png,Damaged
damaged_086.png,Damaged
damaged_087.png,Damaged
damaged_088.png,Damaged
damaged_089.png,Damaged
damaged_090.png,Damaged
damaged_091.png,Damaged
damaged_092.png,Damaged
damaged_093.png,Damaged
damaged_094.png,Damaged
damaged_095.png,Damaged
damaged_096.png,Damaged
damaged_097.png,Damaged
damaged_098.png,Damaged
damaged_099.png,Damaged
obstructed_000.png,Obstructed
obstructed_001.png,Obstructed
obstructed_002.png,Obstructed
obstructed_003.png,Obstructed
obstructed_004.png,Obstructed
obstructed_005.png,Obstructed
obstructed_006.png,Obstructed
obstructed_007.png,Obstructed
obstructed_008.png,Obstructed
obstructed_009.png,Obstructed
obstructed_010.png,Obstructed
obstructed_011.png,Obstructed
obstructed_012.png,Obstructed
obstructed_013.png,Obstructed
obstructed_014.png,Obstructed
obstructed_015.png,Obstructed
obstructed_016.png,Obstructed
obstructed_017.png,Obstructed
obstructed_018.png,Obstructed
obstructed_019.png,Obstructed
obstructed_020.png,Obstructed
obstructed_021.png,Obstructed
obstructed_022.png,Obstructed
obstructed_023.png,Obstructed
obstructed_024.png,Obstructed
obstructed_025.png,Obstructed
obstructed_026.png,Obstructed
obstructed_027.png,Obstructed
obstructed_028.png,Obstructed
obstructed_029.png,Obstructed
obstructed_030.png,Obstructed
obstructed_031.png,Obstructed
obstructed_032.png,Obstructed
obstructed_033.png,Obstructed
obstructed_034.png,Obstructed
obstructed_035.png,Obstructed
obstructed_036.png,Obstructed
obstructed_037.png,Obstructed
obstructed_038.png,Obstructed
obstructed_039.png,Obstructed
obstructed_040.png,Obstructed
obstructed_041.png,Obstructed
obstructed_042.png,Obstructed
obstructed_043.png,Obstructed
obstructed_044.png,Obstructed
obstructed_045.png,Obstructed
obstructed_046.png,Obstructed
obstructed_047.png,Obstructed
obstructed_048.png,Obstructed
obstructed_049.png,Obstructed
obstructed_050.png,Obstructed
obstructed_051.png,Obstructed
obstructed_052.png,Obstructed
obstructed_053.png,Obstructed
obstructed_054.png,Obstructed
obstructed_055.png,Obstructed
obstructed_056.png,Obstructed
obstructed_057.png,Obstructed
obstructed_058.png,Obstructed
obstructed_059.png,Obstructed
obstructed_060.png,Obstructed
obstructed_061.png,Obstructed
obstructed_062.png,Obstructed
obstructed_063.png,Obstructed
obstructed_064.png,Obstructed
obstructed_065.png,Obstructed
obstructed_066.png,Obstructed
obstructed_067.png,Obstructed
obstructed_068.png,Obstructed
obstructed_069.png,Obstructed
obstructed_070.png,Obstructed
obstructed_071.png,Obstructed
obstructed_072.png,Obstructed
obstructed_073.png,Obstructed
obstructed_074.png,Obstructed
obstructed_075.png,Obstructed
obstructed_076.png,Obstructed
obstructed_077.png,Obstructed
obstructed_078.png,Obstructed
obstructed_079.png,Obstructed
obstructed_080.png,Obstructed
obstructed_081.png,Obstructed
obstructed_082.png,Obstructed
obstructed_083.png,Obstructed
obstructed_084.png,Obstructed
obstructed_085.png,Obstructed
obstructed_086.png,Obstructed
obstructed_087.png,Obstructed
obstructed_088.png,Obstructed
obstructed_089.png,Obstructed
obstructed_090.png,Obstructed
obstructed_091.png,Obstructed
obstructed_092.png,Obstructed
obstructed_093.png,Obstructed
obstructed_094.png,Obstructed
obstructed_095.png,Obstructed
obstructed_096.png,Obstructed
obstructed_097.png,Obstructed
obstructed_098.png,Obstructed
obstructed_099.png,Obstructed
