State_ID,Recommended_Action,State
58,Savings Offer,"('Medium', 'Low', 'High', 'Loyal', 'Low')"
59,Credit Card Offer,"('High', 'Medium', 'Low', 'Established', 'Medium')"
60,Savings Offer,"('Low', 'High', 'Low', 'Established', 'Medium')"
61,Savings Offer,"('Low', 'Low', 'High', 'Established', 'Medium')"
62,Savings Offer,"('Low', 'Medium', 'High', 'Established', 'High')"
63,Credit Card Offer,"('Medium', 'High', 'Low', 'Loyal', 'Low')"
64,Investment Offer,"('Medium', 'Low', 'Low', 'New', 'Low')"
65,Investment Offer,"('Medium', 'Low', 'High', 'New', 'High')"
66,Investment Offer,"('High', 'Low', 'Low', 'Established', 'Medium')"
67,Savings Offer,"('Low', 'Low', 'Medium', 'Established', 'Low')"
68,Savings Offer,"('Low', 'Medium', 'Medium', 'Established', 'High')"
69,Savings Offer,"('Medium', 'High', 'High', 'Loyal', 'Medium')"
70,Investment Offer,"('Medium', 'Low', 'High', 'Established', 'Medium')"
71,Savings Offer,"('Low', 'Low', 'Medium', 'Established', 'High')"
72,Investment Offer,"('High', 'High', 'High', 'Established', 'Medium')"
73,Savings Offer,"('Low', 'High', 'Medium', 'Loyal', 'Low')"
74,Investment Offer,"('Medium', 'Medium', 'High', 'New', 'Low')"
75,Savings Offer,"('Low', 'Low', 'Low', 'Loyal', 'Low')"
76,Savings Offer,"('Low', 'Medium', 'Low', 'Established', 'Medium')"
77,Investment Offer,"('High', 'High', 'High', 'Loyal', 'Medium')"
78,Investment Offer,"('Medium', 'Medium', 'Medium', 'Established', 'Low')"
79,Investment Offer,"('Medium', 'Low', 'Medium', 'New', 'Low')"
80,Savings Offer,"('Low', 'High', 'Medium', 'New', 'Medium')"
81,Savings Offer,"('High', 'Medium', 'High', 'Established', 'Medium')"
82,Investment Offer,"('Medium', 'Medium', 'Medium', 'New', 'High')"
83,Credit Card Offer,"('Low', 'High', 'Low', 'Established', 'High')"
84,Investment Offer,"('Low', 'Low', 'High', 'New', 'High')"
85,Savings Offer,"('Low', 'Low', 'Low', 'New', 'High')"
86,Investment Offer,"('Medium', 'High', 'High', 'Established', 'High')"
87,Investment Offer,"('High', 'Medium', 'Medium', 'Established', 'High')"
88,Savings Offer,"('Medium', 'High', 'High', 'Loyal', 'Low')"
89,Credit Card Offer,"('Medium', 'Low', 'Low', 'New', 'High')"
90,Investment Offer,"('Medium', 'Low', 'Medium', 'Established', 'High')"
91,Savings Offer,"('Low', 'Medium', 'Low', 'Loyal', 'Low')"
92,Savings Offer,"('Low', 'High', 'Medium', 'Established', 'High')"
93,Investment Offer,"('High', 'Medium', 'High', 'New', 'Low')"
94,Savings Offer,"('Low', 'Medium', 'Medium', 'New', 'Low')"
95,Savings Offer,"('Low', 'Medium', 'Low', 'New', 'Low')"
96,Savings Offer,"('Low', 'Low', 'Medium', 'New', 'Medium')"
97,Investment Offer,"('Medium', 'High', 'Medium', 'New', 'Low')"
98,Investment Offer,"('Low', 'High', 'Medium', 'Loyal', 'Medium')"
99,Investment Offer,"('High', 'Low', 'High', 'Established', 'Low')"
100,Investment Offer,"('Medium', 'Medium', 'Low', 'New', 'Low')"
101,Investment Offer,"('High', 'Medium', 'Medium', 'New', 'Medium')"
102,Investment Offer,"('High', 'Low', 'Medium', 'Established', 'Medium')"
103,Credit Card Offer,"('High', 'High', 'Medium', 'Loyal', 'Medium')"
104,Credit Card Offer,"('Medium', 'Medium', 'Low', 'Loyal', 'Medium')"
105,Investment Offer,"('Low', 'Medium', 'High', 'New', 'Medium')"
106,Investment Offer,"('High', 'High', 'High', 'New', 'Medium')"
107,Investment Offer,"('High', 'High', 'High', 'Loyal', 'High')"
108,Investment Offer,"('Medium', 'Low', 'Medium', 'New', 'Medium')"
109,Investment Offer,"('Medium', 'High', 'High', 'New', 'High')"
110,Investment Offer,"('High', 'Low', 'Low', 'Established', 'Low')"
111,Investment Offer,"('Low', 'Low', 'Medium', 'Loyal', 'High')"
112,Personal Loan Offer,"('High', 'High', 'Low', 'New', 'Medium')"
113,Investment Offer,"('High', 'High', 'High', 'Established', 'High')"
114,Investment Offer,"('Low', 'Low', 'Medium', 'Loyal', 'Medium')"
115,Savings Offer,"('Low', 'High', 'Low', 'New', 'Medium')"
116,Investment Offer,"('Medium', 'Medium', 'Medium', 'New', 'Low')"
117,Investment Offer,"('Medium', 'High', 'Medium', 'New', 'Medium')"
118,Investment Offer,"('Low', 'High', 'High', 'New', 'Low')"
119,Savings Offer,"('Low', 'Low', 'Low', 'Established', 'Medium')"
120,Investment Offer,"('High', 'Low', 'Low', 'New', 'High')"
121,Credit Card Offer,"('Medium', 'Medium', 'Low', 'Loyal', 'Low')"
122,Personal Loan Offer,"('High', 'High', 'Medium', 'Loyal', 'High')"
123,Savings Offer,"('Medium', 'Low', 'Medium', 'Loyal', 'Medium')"
124,Personal Loan Offer,"('High', 'High', 'Medium', 'Loyal', 'Low')"
125,Savings Offer,"('Low', 'Medium', 'High', 'New', 'Low')"
126,Investment Offer,"('Medium', 'Medium', 'Medium', 'Loyal', 'High')"
127,Investment Offer,"('Medium', 'Medium', 'High', 'Loyal', 'Medium')"
128,Personal Loan Offer,"('High', 'Low', 'Low', 'New', 'Medium')"
129,Investment Offer,"('Medium', 'Low', 'High', 'Established', 'High')"
130,Savings Offer,"('Low', 'Medium', 'Low', 'Established', 'Low')"
131,Savings Offer,"('Low', 'Medium', 'Low', 'New', 'Medium')"
132,Credit Card Offer,"('High', 'Medium', 'Low', 'Established', 'Low')"
133,Investment Offer,"('Low', 'High', 'Medium', 'New', 'Low')"
134,Savings Offer,"('Low', 'Medium', 'Low', 'Established', 'High')"
135,Investment Offer,"('Medium', 'High', 'High', 'Established', 'Low')"
136,Investment Offer,"('Medium', 'Medium', 'Medium', 'Established', 'High')"
137,Credit Card Offer,"('High', 'Medium', 'Low', 'Loyal', 'High')"
138,Personal Loan Offer,"('Medium', 'Low', 'Low', 'Loyal', 'Medium')"
139,Savings Offer,"('Low', 'High', 'High', 'Established', 'High')"
140,Investment Offer,"('Medium', 'High', 'Medium', 'Loyal', 'Low')"
141,Credit Card Offer,"('Medium', 'Low', 'Low', 'Loyal', 'High')"
142,Investment Offer,"('Low', 'Low', 'High', 'Loyal', 'Low')"
143,Investment Offer,"('Medium', 'Medium', 'Medium', 'Loyal', 'Medium')"
144,Personal Loan Offer,"('High', 'Medium', 'Low', 'Loyal', 'Medium')"
145,Investment Offer,"('Low', 'High', 'High', 'Established', 'Low')"
146,Personal Loan Offer,"('High', 'High', 'Low', 'Established', 'Medium')"
147,Credit Card Offer,"('High', 'High', 'Low', 'Loyal', 'High')"
148,Investment Offer,"('High', 'High', 'Medium', 'Established', 'High')"
149,Savings Offer,"('Low', 'Low', 'Low', 'Established', 'Low')"
150,Investment Offer,"('Medium', 'High', 'Low', 'New', 'Low')"
151,Personal Loan Offer,"('Low', 'Low', 'High', 'Loyal', 'Medium')"
152,Savings Offer,"('Low', 'High', 'Low', 'Loyal', 'High')"
153,Credit Card Offer,"('High', 'Low', 'Medium', 'New', 'High')"
154,Investment Offer,"('High', 'Medium', 'Medium', 'Established', 'Low')"
155,Credit Card Offer,"('Medium', 'High', 'Low', 'Loyal', 'Medium')"
156,Investment Offer,"('High', 'Low', 'Medium', 'Loyal', 'Medium')"
157,Investment Offer,"('Low', 'High', 'High', 'Loyal', 'Medium')"
158,Investment Offer,"('High', 'High', 'Medium', 'New', 'High')"
159,Investment Offer,"('Low', 'Low', 'Medium', 'Loyal', 'Low')"
160,Investment Offer,"('High', 'High', 'High', 'New', 'High')"
161,Personal Loan Offer,"('High', 'Low', 'Low', 'Loyal', 'Low')"
162,Investment Offer,"('High', 'Low', 'High', 'Loyal', 'High')"
163,Savings Offer,"('Low', 'High', 'High', 'New', 'Medium')"
164,Investment Offer,"('Low', 'Medium', 'Medium', 'Loyal', 'High')"
165,Savings Offer,"('Low', 'High', 'High', 'New', 'High')"
166,Investment Offer,"('Medium', 'Low', 'High', 'Loyal', 'High')"
167,Investment Offer,"('Medium', 'Low', 'Low', 'Established', 'Low')"
168,Savings Offer,"('Low', 'Medium', 'Medium', 'Loyal', 'Low')"
169,Savings Offer,"('High', 'Medium', 'High', 'New', 'Medium')"
170,Investment Offer,"('Medium', 'Medium', 'High', 'Loyal', 'High')"
171,Investment Offer,"('High', 'Medium', 'Medium', 'New', 'High')"
172,Savings Offer,"('Medium', 'High', 'High', 'New', 'Low')"
173,Savings Offer,"('Low', 'Low', 'High', 'Loyal', 'High')"
174,Investment Offer,"('Medium', 'Low', 'High', 'Loyal', 'Medium')"
175,Savings Offer,"('Low', 'Low', 'Low', 'Loyal', 'High')"
176,Investment Offer,"('Low', 'Medium', 'Medium', 'New', 'High')"
177,Investment Offer,"('Medium', 'Medium', 'High', 'New', 'High')"
178,Personal Loan Offer,"('Medium', 'High', 'Low', 'Loyal', 'High')"
179,Investment Offer,"('High', 'Medium', 'High', 'Established', 'High')"
180,Personal Loan Offer,"('High', 'High', 'Low', 'Established', 'High')"
181,Personal Loan Offer,"('High', 'Low', 'Medium', 'New', 'Medium')"
182,Credit Card Offer,"('Low', 'Medium', 'Low', 'New', 'High')"
183,Investment Offer,"('Medium', 'High', 'High', 'New', 'Medium')"
184,Savings Offer,"('High', 'Medium', 'High', 'Loyal', 'Medium')"
185,Investment Offer,"('High', 'Medium', 'Low', 'Loyal', 'Low')"
186,Savings Offer,"('Low', 'High', 'High', 'Established', 'Medium')"
187,Savings Offer,"('Low', 'High', 'Low', 'Loyal', 'Low')"
188,Savings Offer,"('Low', 'Medium', 'Medium', 'Loyal', 'Medium')"
189,Investment Offer,"('High', 'Medium', 'High', 'Established', 'Low')"
190,Savings Offer,"('Low', 'Low', 'High', 'Established', 'Low')"
191,Investment Offer,"('High', 'Low', 'Medium', 'Established', 'Low')"
192,Personal Loan Offer,"('High', 'Low', 'High', 'New', 'Medium')"
193,Investment Offer,"('Medium', 'Medium', 'High', 'Loyal', 'Low')"
194,Investment Offer,"('Medium', 'Low', 'Low', 'Loyal', 'Low')"
195,Credit Card Offer,"('High', 'High', 'Medium', 'New', 'Low')"
196,Credit Card Offer,"('Low', 'Medium', 'Low', 'Loyal', 'High')"
197,Credit Card Offer,"('High', 'Low', 'High', 'Established', 'Medium')"
198,Investment Offer,"('Low', 'Medium', 'High', 'Loyal', 'Medium')"
199,Investment Offer,"('High', 'Medium', 'Medium', 'Loyal', 'High')"
200,Savings Offer,"('Low', 'Low', 'Medium', 'New', 'High')"
201,Investment Offer,"('High', 'Low', 'High', 'Loyal', 'Low')"
202,Savings Offer,"('Low', 'High', 'Low', 'New', 'Low')"
203,Credit Card Offer,"('High', 'High', 'High', 'Established', 'Low')"
204,Investment Offer,"('Medium', 'Low', 'Medium', 'Loyal', 'Low')"
205,Personal Loan Offer,"('Medium', 'Medium', 'Low', 'Loyal', 'High')"
206,Investment Offer,"('High', 'Low', 'High', 'New', 'High')"
207,Savings Offer,"('Low', 'Low', 'Low', 'Established', 'High')"
208,Investment Offer,"('Low', 'Low', 'High', 'Established', 'High')"
209,Savings Offer,"('Medium', 'Low', 'Medium', 'Loyal', 'High')"
210,Investment Offer,"('High', 'High', 'Low', 'New', 'Low')"
211,Investment Offer,"('High', 'Low', 'Medium', 'Loyal', 'Low')"
212,Investment Offer,"('Low', 'Low', 'Medium', 'New', 'Low')"
213,Savings Offer,"('Low', 'Low', 'Low', 'New', 'Low')"
214,Savings Offer,"('High', 'High', 'High', 'New', 'Low')"
215,Investment Offer,"('Medium', 'Medium', 'High', 'New', 'Medium')"
216,Credit Card Offer,"('High', 'Low', 'Low', 'Loyal', 'Medium')"
217,Savings Offer,"('Low', 'High', 'High', 'Loyal', 'High')"
218,Personal Loan Offer,"('High', 'Medium', 'Low', 'New', 'High')"
219,Investment Offer,"('Medium', 'High', 'Medium', 'Loyal', 'High')"
220,Personal Loan Offer,"('High', 'Medium', 'Medium', 'Loyal', 'Low')"
221,Personal Loan Offer,"('High', 'Low', 'Medium', 'Established', 'High')"
222,Credit Card Offer,"('High', 'Low', 'Low', 'New', 'Low')"
223,Credit Card Offer,"('Low', 'Medium', 'Low', 'Loyal', 'Medium')"
224,Investment Offer,"('High', 'Low', 'Medium', 'New', 'Low')"
225,Credit Card Offer,"('High', 'High', 'Low', 'Loyal', 'Medium')"
226,Investment Offer,"('Low', 'High', 'High', 'Loyal', 'Low')"
227,Personal Loan Offer,"('High', 'Low', 'High', 'Loyal', 'Medium')"
228,Investment Offer,"('Medium', 'High', 'High', 'Loyal', 'High')"
229,Personal Loan Offer,"('High', 'High', 'Low', 'New', 'High')"
230,Personal Loan Offer,"('High', 'Low', 'Low', 'Established', 'High')"
231,Savings Offer,"('Low', 'Low', 'High', 'New', 'Low')"
232,Savings Offer,"('High', 'Low', 'High', 'Established', 'High')"
233,Savings Offer,"('High', 'Low', 'High', 'New', 'Low')"
234,Personal Loan Offer,"('High', 'High', 'High', 'Loyal', 'Low')"
235,Credit Card Offer,"('High', 'High', 'Low', 'Loyal', 'Low')"
236,Credit Card Offer,"('High', 'Low', 'Medium', 'Loyal', 'High')"
237,Credit Card Offer,"('Low', 'Low', 'Low', 'Loyal', 'Medium')"
238,Investment Offer,"('High', 'Medium', 'High', 'New', 'High')"
239,Savings Offer,"('High', 'Medium', 'High', 'Loyal', 'High')"
240,Investment Offer,"('Low', 'Medium', 'High', 'New', 'High')"
241,Investment Offer,"('High', 'Low', 'Low', 'Loyal', 'High')"
242,Personal Loan Offer,"('High', 'Medium', 'High', 'Loyal', 'Low')"
