Interaction_ID,Customer_ID,Channel,Intent,Risk_Level,Retrieved_Documents,Response_Time_Sec,Groundedness_Score,Answer_Relevance_Score,User_Rating,Escalated_To_Human,PII_Redacted,Safe_Response
INT0000174,C000722,Mobile App,Policy,High,3,2.42,0.847,0.989,4,False,True,True
INT0000175,C000697,Web,Policy,Medium,2,2.34,0.985,0.852,3,False,True,True
INT0000176,C000462,Web,Complaint,Low,4,5.58,0.879,0.945,5,False,False,False
INT0000177,C000717,Web,Loan,Medium,1,5.94,0.945,0.925,3,False,True,True
INT0000178,C000162,Mobile App,Loan,Low,3,6.52,0.95,0.788,4,False,True,False
INT0000179,C000900,Mobile App,KYC,Low,1,7.05,0.849,0.942,3,False,True,True
INT0000180,C000501,Mobile App,Product Info,Low,4,4.04,0.988,0.787,4,False,True,False
INT0000181,C000938,Web,Complaint,High,4,3.24,0.822,0.95,5,False,True,True
INT0000182,C000153,Web,Transaction Help,Low,1,6.23,0.96,0.859,4,False,True,True
INT0000183,C000497,Web,KYC,Low,4,5.08,0.855,0.901,3,False,True,True
INT0000184,C000696,Mobile App,Product Info,Low,2,2.03,0.921,0.796,4,False,True,False
INT0000185,C000496,Mobile App,Loan,Low,4,1.94,0.848,0.91,3,False,True,True
INT0000186,C000446,Web,KYC,Low,3,4.69,0.894,0.974,3,False,True,True
INT0000187,C000167,Internal Desk,General,Medium,1,3.48,0.793,0.835,4,False,True,False
INT0000188,C000381,Web,Complaint,Medium,1,3.75,0.912,0.851,5,True,True,True
INT0000189,C000239,Mobile App,Product Info,Low,2,5.73,0.894,0.936,5,False,True,True
INT0000190,C000302,Web,KYC,Low,1,5.17,0.841,0.938,5,False,True,True
INT0000191,C000684,Web,Product Info,Low,1,6.19,0.885,0.705,4,False,True,False
INT0000192,C000630,Mobile App,Product Info,Low,4,0.5,0.902,1.0,4,False,False,False
INT0000193,C000607,Web,General,Medium,4,4.26,0.835,0.942,3,False,True,True
INT0000194,C000362,Web,Policy,Medium,2,5.05,0.878,0.956,4,False,True,True
INT0000195,C000959,Web,KYC,Medium,1,1.05,0.8,0.889,3,False,True,True
INT0000196,C000088,Web,Policy,Low,1,2.62,1.0,0.752,4,False,True,False
INT0000197,C000343,Mobile App,Product Info,Medium,4,2.29,0.985,0.954,4,False,True,True
INT0000198,C000118,Mobile App,Product Info,Low,2,3.84,0.915,0.855,4,False,True,True
INT0000199,C000339,Mobile App,Complaint,Low,1,6.73,0.995,0.944,5,False,True,True
INT0000200,C000961,Web,Product Info,High,2,7.44,0.712,0.882,3,False,True,False
INT0000201,C000366,Mobile App,General,Medium,2,2.33,0.66,0.919,4,False,True,False
INT0000202,C000908,Web,Product Info,High,3,4.75,0.854,0.838,3,False,True,True
INT0000203,C000495,Web,Loan,High,2,4.81,0.766,0.969,4,False,True,False
INT0000204,C000700,Web,Policy,Medium,4,4.5,0.869,0.805,4,False,True,True
INT0000205,C000457,Internal Desk,KYC,High,3,4.52,0.909,1.0,5,False,True,True
INT0000206,C000266,Mobile App,Transaction Help,Low,4,4.35,0.973,1.0,4,False,True,True
INT0000207,C000764,Mobile App,Fraud,Low,2,6.84,0.788,1.0,4,False,True,False
INT0000208,C000969,Mobile App,Loan,Low,3,5.78,0.926,1.0,4,False,True,True
INT0000209,C000264,Mobile App,Policy,Low,2,1.89,0.891,0.893,3,False,True,True
INT0000210,C000778,Mobile App,Fraud,Low,3,5.23,0.921,0.993,4,False,True,True
INT0000211,C000261,Mobile App,Complaint,Low,3,5.41,0.843,0.892,4,False,True,True
INT0000212,C000717,Web,Policy,Medium,2,4.37,1.0,0.776,4,True,True,False
INT0000213,C000789,Web,General,Medium,4,5.84,0.881,1.0,5,False,True,True
INT0000214,C000449,Web,Fraud,Medium,4,4.14,1.0,0.99,4,False,True,True
INT0000215,C000737,Internal Desk,Product Info,Low,4,4.16,0.819,0.897,4,False,True,True
INT0000216,C000272,Mobile App,Loan,Medium,1,4.02,0.957,0.802,3,False,True,True
INT0000217,C000080,Internal Desk,General,Low,3,0.5,0.885,0.853,5,False,True,True
INT0000218,C000097,Web,General,Low,1,3.66,0.861,0.754,4,True,True,False
INT0000219,C000447,Mobile App,Fraud,Low,1,2.6,0.947,0.976,5,False,True,True
INT0000220,C000902,Web,Transaction Help,Low,4,1.66,0.863,0.772,5,False,True,False
INT0000221,C000128,Web,Loan,Low,1,6.38,0.65,0.923,4,True,True,False
INT0000222,C000456,Web,Policy,Medium,4,4.71,0.614,0.833,4,True,True,False
INT0000223,C000704,Web,General,Medium,2,3.75,1.0,0.786,4,True,True,False
INT0000224,C000203,Internal Desk,Product Info,Medium,2,2.78,1.0,0.919,4,False,True,True
INT0000225,C000721,Web,Complaint,Low,1,4.33,1.0,0.873,4,False,True,True
INT0000226,C000306,Mobile App,Fraud,Medium,3,5.58,0.888,0.967,4,False,True,True
INT0000227,C000808,Mobile App,Product Info,Medium,3,2.31,0.774,0.799,5,False,True,False
INT0000228,C000579,Web,General,Low,2,3.79,0.852,0.839,5,False,True,True
INT0000229,C000547,Mobile App,Product Info,Medium,4,5.36,0.891,0.709,4,False,True,False
INT0000230,C000177,Web,KYC,Low,2,0.5,0.799,0.725,3,False,True,False
INT0000231,C000463,Internal Desk,General,Low,3,3.7,1.0,1.0,5,False,True,True
INT0000232,C000856,Mobile App,KYC,Low,2,3.03,1.0,1.0,4,False,True,True
INT0000233,C000020,Mobile App,Policy,Low,3,3.56,0.933,0.907,4,False,True,True
INT0000234,C000758,Mobile App,Complaint,Low,1,2.9,0.889,0.834,4,False,True,True
INT0000235,C000493,Web,Policy,Low,2,4.05,0.773,0.876,3,False,True,False
INT0000236,C000719,Internal Desk,Fraud,Low,3,7.26,1.0,0.97,4,False,True,True
INT0000237,C000663,Web,Product Info,High,3,3.22,0.897,0.859,5,False,True,True
INT0000238,C000432,Web,Complaint,Low,2,4.33,0.864,0.919,5,False,True,True
INT0000239,C000309,Web,Complaint,Low,3,7.39,0.933,0.899,4,False,True,True
INT0000240,C000627,Mobile App,Loan,Low,3,2.81,0.837,0.854,3,False,True,True
INT0000241,C000141,Mobile App,Complaint,High,2,7.07,0.903,0.858,5,False,True,True
INT0000242,C000584,Mobile App,Fraud,Medium,1,3.81,0.76,0.923,5,False,True,False
INT0000243,C000095,Mobile App,Fraud,High,3,7.01,0.988,0.822,3,False,True,True
INT0000244,C000650,Web,Complaint,Low,4,5.15,0.881,0.936,4,False,True,True
INT0000245,C000629,Internal Desk,KYC,Low,4,4.35,0.994,0.862,4,False,True,True
INT0000246,C000085,Web,Complaint,Medium,3,3.68,0.872,0.91,5,False,True,True
INT0000247,C000757,Mobile App,Policy,Low,4,2.68,0.878,1.0,4,False,True,True
INT0000248,C000416,Web,Complaint,Medium,4,3.94,0.781,0.887,5,False,True,False
INT0000249,C000787,Internal Desk,Policy,High,3,5.42,0.958,0.974,3,False,True,True
INT0000250,C000042,Web,Complaint,Low,1,3.78,0.811,0.757,4,False,True,False
INT0000251,C000180,Web,Product Info,High,3,3.23,0.846,0.862,3,False,True,True
INT0000252,C000494,Mobile App,Transaction Help,Medium,3,3.35,0.89,0.902,4,False,True,True
INT0000253,C000189,Web,Policy,Low,2,5.59,0.901,1.0,5,False,True,True
INT0000254,C000330,Web,Policy,Low,4,6.01,0.736,0.743,5,True,True,False
INT0000255,C000660,Mobile App,Transaction Help,Low,4,2.6,0.869,0.892,4,False,True,True
INT0000256,C000145,Web,Loan,Medium,2,2.6,0.962,1.0,4,False,True,True
INT0000257,C000678,Internal Desk,Loan,Low,2,4.48,0.856,0.837,4,False,True,True
INT0000258,C000104,Web,Transaction Help,Low,1,6.55,0.87,0.883,5,False,True,True
INT0000259,C000176,Mobile App,Fraud,Medium,1,5.86,0.905,0.927,3,False,False,False
INT0000260,C000588,Mobile App,KYC,Low,2,1.55,0.879,0.915,4,False,True,True
INT0000261,C000793,Mobile App,General,Low,2,3.32,0.797,1.0,5,False,True,False
INT0000262,C000171,Mobile App,Policy,Medium,2,2.12,0.887,0.936,4,False,True,True
INT0000263,C000300,Mobile App,Product Info,Low,1,3.32,0.979,1.0,4,False,True,True
INT0000264,C000925,Internal Desk,Transaction Help,Low,2,6.69,0.795,0.871,4,False,True,False
INT0000265,C000989,Web,Fraud,Low,3,1.24,0.856,0.841,4,False,True,True
INT0000266,C000581,Web,Transaction Help,Low,2,0.89,0.766,0.882,4,False,True,False
INT0000267,C000447,Mobile App,Loan,Low,3,2.31,0.975,0.807,4,False,True,True
INT0000268,C000347,Mobile App,Product Info,Medium,2,4.32,0.882,0.939,5,False,True,True
INT0000269,C000612,Web,Product Info,High,3,4.92,0.813,0.869,5,False,True,True
INT0000270,C000591,Web,Product Info,Low,3,4.59,0.898,0.846,4,False,True,True
INT0000271,C000295,Mobile App,Complaint,High,4,5.92,0.782,0.94,4,False,True,False
INT0000272,C000023,Mobile App,Policy,Medium,1,0.63,0.797,0.809,5,False,True,False
INT0000273,C000152,Internal Desk,Transaction Help,Medium,4,5.94,0.759,0.962,4,False,True,False
INT0000274,C000958,Mobile App,General,Medium,2,3.24,0.794,0.862,3,False,True,False
INT0000275,C000418,Mobile App,Complaint,Medium,1,5.12,1.0,0.993,4,False,True,True
INT0000276,C000482,Web,Product Info,Medium,3,1.42,0.824,0.869,5,False,True,True
INT0000277,C000467,Internal Desk,Complaint,Low,1,3.81,0.932,0.951,5,False,True,True
INT0000278,C000782,Web,KYC,Low,1,4.23,0.815,0.914,4,False,True,True
INT0000279,C000065,Mobile App,Product Info,Low,4,5.88,0.958,0.96,3,False,True,True
INT0000280,C000083,Web,Product Info,Low,1,0.95,0.798,0.909,4,False,True,False
INT0000281,C000276,Mobile App,Policy,Medium,3,3.86,0.894,0.767,5,False,True,False
INT0000282,C000487,Mobile App,Loan,Low,1,1.85,0.895,0.981,3,False,True,True
INT0000283,C000671,Mobile App,Complaint,Low,1,4.71,1.0,0.893,4,False,False,False
INT0000284,C000491,Internal Desk,Policy,Low,1,5.2,0.947,0.963,4,False,True,True
INT0000285,C000441,Web,Policy,Low,1,6.12,0.837,0.955,4,False,True,True
INT0000286,C000937,Mobile App,Complaint,Medium,2,2.84,0.952,0.838,4,False,True,True
INT0000287,C000161,Web,Loan,Medium,2,5.47,1.0,0.827,5,True,True,True
INT0000288,C000572,Web,Product Info,Low,1,6.25,0.743,0.952,5,False,True,False
INT0000289,C000542,Web,Complaint,Low,2,0.84,0.814,0.876,4,False,True,True
INT0000290,C000474,Web,Loan,Low,2,4.9,0.869,0.975,3,False,True,True
INT0000291,C000807,Web,Transaction Help,Low,3,5.53,0.852,0.886,4,False,True,True
INT0000292,C000267,Mobile App,General,Medium,4,3.33,0.86,0.982,4,False,True,True
INT0000293,C000953,Mobile App,General,Medium,3,1.62,0.773,0.934,5,False,True,False
INT0000294,C000332,Mobile App,Complaint,Low,4,5.5,1.0,0.923,5,False,True,True
INT0000295,C000545,Web,Fraud,Low,1,1.64,0.762,0.87,5,False,True,False
INT0000296,C000521,Web,Transaction Help,High,1,3.48,0.872,0.919,4,False,True,True
INT0000297,C000849,Web,Loan,Medium,4,3.73,0.984,0.995,5,False,True,True
INT0000298,C000439,Mobile App,Product Info,Low,2,5.09,0.887,0.896,5,False,True,True
INT0000299,C000285,Mobile App,Fraud,Low,4,2.67,0.802,0.942,5,False,True,True
INT0000300,C000022,Web,Loan,Low,2,2.57,0.769,0.904,4,False,True,False
INT0000301,C000364,Mobile App,Loan,High,1,3.98,0.869,0.91,5,False,True,True
INT0000302,C000826,Web,Loan,Low,4,5.61,0.822,1.0,4,False,True,True
INT0000303,C000010,Web,Transaction Help,Low,3,7.92,0.908,0.996,4,False,True,True
INT0000304,C000896,Web,Policy,High,4,1.09,0.764,0.906,3,False,False,False
INT0000305,C000543,Web,KYC,Medium,2,4.37,0.963,0.917,5,False,True,True
INT0000306,C000141,Mobile App,Policy,Low,1,1.84,0.9,0.844,4,False,True,True
INT0000307,C000302,Internal Desk,Fraud,Low,3,5.63,0.907,0.886,5,False,True,True
INT0000308,C000554,Web,General,Low,1,2.11,1.0,0.925,4,False,True,True
INT0000309,C000316,Mobile App,Fraud,Medium,3,2.59,0.851,0.968,4,False,True,True
INT0000310,C000109,Mobile App,Policy,Low,2,2.74,0.825,0.96,4,False,True,True
