Customer_ID,Age,Monthly_Income,Avg_Balance,Monthly_Transactions,Credit_Card_Spend,Loan_Balance,Investment_Balance,Digital_Usage_Score,ATM_Transactions,Branch_Visits,Tenure_Years,Credit_Score,Product_Count
C00100,37.0,,44891000.0,24.0,1055000.0,11596000.0,4880000.0,61.0,14.0,9.0,8.0,643.0,1.0
C00101,48.0,11932000.0,36347000.0,2.0,2184000.0,22951000.0,28151000.0,17.0,16.0,12.0,10.0,666.0,5.0
C00102,36.0,17109000.0,24530000.0,37.0,7435000.0,20543000.0,10363000.0,65.0,5.0,4.0,4.0,684.0,6.0
C00103,20.0,9548000.0,9851000.0,33.0,1825000.0,10185000.0,43611000.0,77.0,7.0,8.0,5.0,645.0,2.0
C00104,45.0,16183000.0,13821000.0,28.0,2244000.0,50944000.0,21905000.0,68.0,9.0,2.0,4.0,751.0,4.0
C00105,25.0,9183000.0,17382000.0,44.0,4379000.0,22151000.0,15303000.0,86.0,5.0,0.0,4.0,661.0,5.0
C00106,36.0,,21828000.0,35.0,2841000.0,39307000.0,19564000.0,92.0,9.0,0.0,3.0,685.0,5.0
C00107,28.0,11157000.0,16393000.0,16.0,2423000.0,18142000.0,21120000.0,46.0,13.0,4.0,7.0,733.0,2.0
C00108,46.0,4330000.0,29760000.0,28.0,3547000.0,13570000.0,9718000.0,62.0,11.0,5.0,8.0,601.0,3.0
C00109,23.0,7873000.0,12599000.0,22.0,2119000.0,36553000.0,23945000.0,64.0,14.0,5.0,2.0,691.0,2.0
C00110,32.0,13370000.0,14626000.0,20.0,870000.0,108082000.0,18349000.0,62.0,3.0,5.0,7.0,725.0,3.0
C00111,39.0,16060000.0,21876000.0,18.0,2838000.0,141394000.0,47082000.0,66.0,8.0,5.0,8.0,736.0,3.0
C00112,30.0,11939000.0,13328000.0,18.0,1561000.0,9376000.0,6048000.0,41.0,15.0,8.0,4.0,686.0,1.0
C00113,36.0,11420000.0,22035000.0,24.0,5110000.0,27190000.0,6525000.0,72.0,14.0,4.0,5.0,680.0,4.0
C00114,38.0,13302000.0,22360000.0,20.0,2257000.0,35299000.0,13037000.0,58.0,16.0,5.0,7.0,740.0,2.0
C00115,25.0,8892000.0,19752000.0,31.0,4048000.0,16798000.0,13452000.0,64.0,10.0,4.0,2.0,672.0,4.0
C00116,32.0,15952000.0,10329000.0,40.0,3767000.0,12812000.0,9424000.0,87.0,11.0,7.0,3.0,707.0,5.0
C00117,18.0,5469000.0,3806000.0,18.0,1592000.0,4541000.0,9828000.0,77.0,11.0,1.0,5.0,631.0,1.0
C00118,44.0,8941000.0,45865000.0,27.0,2043000.0,45716000.0,10646000.0,,11.0,3.0,7.0,754.0,2.0
C00119,25.0,7505000.0,28216000.0,34.0,4040000.0,16382000.0,9986000.0,56.0,14.0,7.0,4.0,633.0,4.0
C00120,29.0,10267000.0,31631000.0,22.0,4259000.0,34328000.0,19921000.0,49.0,16.0,9.0,5.0,694.0,3.0
C00121,43.0,4892000.0,40781000.0,37.0,4657000.0,32476000.0,18283000.0,83.0,13.0,6.0,6.0,646.0,2.0
C00122,45.0,8087000.0,27057000.0,27.0,3985000.0,19500000.0,26703000.0,68.0,10.0,4.0,6.0,654.0,5.0
C00123,30.0,19887000.0,,1.0,1337000.0,33900000.0,10315000.0,43.0,9.0,6.0,6.0,735.0,2.0
C00124,26.0,15807000.0,13088000.0,38.0,2331000.0,22191000.0,22645000.0,85.0,6.0,6.0,4.0,674.0,4.0
C00125,31.0,15047000.0,38767000.0,27.0,5224000.0,18280000.0,12849000.0,72.0,7.0,4.0,5.0,645.0,4.0
C00126,25.0,12700000.0,28283000.0,14.0,4853000.0,18048000.0,7539000.0,44.0,11.0,13.0,7.0,683.0,2.0
C00127,58.0,18951000.0,43963000.0,20.0,4530000.0,49443000.0,8881000.0,66.0,6.0,6.0,7.0,649.0,5.0
C00128,34.0,11342000.0,35403000.0,26.0,1322000.0,37807000.0,8011000.0,66.0,8.0,4.0,3.0,664.0,1.0
C00129,29.0,11374000.0,24451000.0,31.0,6858000.0,22593000.0,33925000.0,83.0,10.0,5.0,5.0,709.0,6.0
C00130,35.0,19202000.0,15547000.0,23.0,1546000.0,32554000.0,4307000.0,51.0,11.0,7.0,5.0,680.0,1.0
C00131,49.0,9572000.0,129071000.0,35.0,5365000.0,27459000.0,22391000.0,92.0,10.0,3.0,9.0,734.0,5.0
C00132,35.0,22408000.0,39674000.0,25.0,2793000.0,42452000.0,42303000.0,74.0,11.0,6.0,4.0,776.0,3.0
C00133,24.0,10254000.0,9421000.0,12.0,1319000.0,19022000.0,14133000.0,66.0,9.0,5.0,3.0,657.0,1.0
C00134,18.0,11943000.0,14701000.0,16.0,1212000.0,12340000.0,34299000.0,54.0,12.0,9.0,1.0,668.0,2.0
C00135,44.0,9745000.0,28712000.0,24.0,2072000.0,20044000.0,16279000.0,78.0,11.0,4.0,6.0,726.0,3.0
C00136,45.0,32601000.0,27703000.0,20.0,2911000.0,25748000.0,7463000.0,62.0,10.0,6.0,5.0,744.0,5.0
C00137,40.0,19521000.0,62706000.0,46.0,4306000.0,31528000.0,12086000.0,76.0,10.0,6.0,5.0,700.0,5.0
C00138,27.0,10426000.0,69251000.0,31.0,4642000.0,29665000.0,10152000.0,77.0,10.0,9.0,4.0,749.0,6.0
C00139,36.0,6665000.0,61385000.0,25.0,4087000.0,11859000.0,14358000.0,76.0,9.0,7.0,2.0,629.0,4.0
C00140,26.0,4401000.0,13956000.0,22.0,1905000.0,6267000.0,4991000.0,48.0,9.0,11.0,2.0,671.0,1.0
C00141,48.0,8215000.0,38802000.0,32.0,788000.0,52031000.0,7240000.0,73.0,6.0,4.0,8.0,691.0,2.0
C00142,26.0,10850000.0,14454000.0,38.0,5518000.0,22844000.0,16016000.0,,8.0,6.0,4.0,636.0,2.0
C00143,43.0,13585000.0,15788000.0,11.0,1815000.0,18108000.0,11351000.0,58.0,12.0,4.0,3.0,692.0,1.0
C00144,20.0,7721000.0,25623000.0,26.0,2513000.0,28317000.0,8595000.0,57.0,13.0,9.0,4.0,670.0,2.0
C00145,40.0,13965000.0,18135000.0,1.0,811000.0,7999000.0,1696000.0,39.0,16.0,5.0,4.0,654.0,2.0
C00146,46.0,6593000.0,48191000.0,29.0,5169000.0,46207000.0,14224000.0,48.0,16.0,8.0,8.0,647.0,3.0
C00147,37.0,16239000.0,31287000.0,22.0,3206000.0,30247000.0,32742000.0,78.0,15.0,4.0,5.0,717.0,4.0
C00148,37.0,9979000.0,76399000.0,15.0,4104000.0,5251000.0,12080000.0,46.0,16.0,9.0,5.0,625.0,6.0
C00149,40.0,13199000.0,28393000.0,18.0,1135000.0,20023000.0,3327000.0,59.0,11.0,4.0,6.0,665.0,3.0
C00150,52.0,20544000.0,86197000.0,26.0,4943000.0,26632000.0,5676000.0,72.0,10.0,5.0,10.0,724.0,5.0
C00151,32.0,22682000.0,18938000.0,26.0,2078000.0,51683000.0,31333000.0,76.0,9.0,2.0,4.0,762.0,1.0
C00152,39.0,10419000.0,,41.0,2574000.0,35595000.0,19081000.0,,7.0,7.0,7.0,715.0,1.0
C00153,43.0,9276000.0,51076000.0,36.0,5942000.0,49639000.0,14735000.0,76.0,5.0,5.0,8.0,780.0,7.0
C00154,20.0,9872000.0,12826000.0,33.0,3038000.0,9032000.0,3165000.0,82.0,11.0,0.0,1.0,650.0,2.0
C00155,58.0,22601000.0,95724000.0,21.0,3107000.0,31354000.0,13145000.0,83.0,6.0,7.0,5.0,777.0,4.0
C00156,40.0,7127000.0,21908000.0,30.0,3896000.0,61074000.0,11327000.0,53.0,14.0,5.0,4.0,742.0,1.0
C00157,29.0,,40513000.0,34.0,5110000.0,37484000.0,40874000.0,76.0,7.0,6.0,6.0,733.0,5.0
C00158,36.0,9124000.0,35877000.0,32.0,2372000.0,14360000.0,5122000.0,75.0,14.0,6.0,5.0,650.0,2.0
C00159,22.0,6733000.0,20424000.0,30.0,2323000.0,16560000.0,23757000.0,45.0,17.0,9.0,4.0,677.0,4.0
C00160,40.0,21897000.0,28838000.0,35.0,5019000.0,64472000.0,30585000.0,63.0,12.0,9.0,6.0,731.0,4.0
C00161,26.0,8511000.0,27455000.0,39.0,872000.0,14768000.0,60756000.0,78.0,11.0,1.0,3.0,720.0,1.0
C00162,41.0,9903000.0,39041000.0,2.0,1378000.0,37172000.0,3268000.0,49.0,10.0,6.0,7.0,740.0,2.0
C00163,32.0,8449000.0,21308000.0,23.0,1485000.0,17414000.0,15275000.0,47.0,18.0,8.0,2.0,680.0,3.0
C00164,35.0,15525000.0,33744000.0,27.0,4405000.0,27817000.0,20096000.0,51.0,15.0,5.0,6.0,745.0,3.0
C00165,40.0,11625000.0,8781000.0,12.0,3920000.0,6570000.0,2532000.0,33.0,11.0,6.0,5.0,613.0,4.0
C00166,37.0,15348000.0,17768000.0,5.0,3239000.0,36017000.0,22822000.0,40.0,16.0,8.0,6.0,723.0,3.0
C00167,45.0,14831000.0,21026000.0,12.0,2164000.0,28579000.0,11616000.0,51.0,11.0,7.0,4.0,660.0,3.0
C00168,19.0,17284000.0,27856000.0,21.0,2866000.0,56273000.0,56926000.0,76.0,10.0,3.0,3.0,738.0,3.0
C00169,50.0,16682000.0,77598000.0,40.0,4041000.0,31417000.0,63866000.0,74.0,5.0,6.0,6.0,694.0,3.0
C00170,54.0,27503000.0,30898000.0,26.0,15355000.0,23670000.0,5782000.0,90.0,9.0,1.0,5.0,731.0,7.0
C00171,35.0,12677000.0,20112000.0,38.0,2497000.0,43267000.0,14980000.0,85.0,5.0,7.0,7.0,707.0,2.0
C00172,31.0,10718000.0,34233000.0,37.0,1413000.0,6041000.0,19276000.0,79.0,1.0,5.0,5.0,630.0,4.0
C00173,22.0,6016000.0,7908000.0,19.0,2442000.0,24195000.0,23740000.0,59.0,10.0,10.0,1.0,731.0,1.0
C00174,34.0,6203000.0,22117000.0,25.0,2568000.0,18167000.0,13336000.0,,8.0,6.0,5.0,659.0,1.0
C00175,39.0,8962000.0,19027000.0,20.0,4640000.0,19487000.0,39356000.0,55.0,11.0,7.0,3.0,703.0,2.0
C00176,20.0,9794000.0,11099000.0,25.0,3281000.0,20099000.0,5024000.0,75.0,1.0,3.0,0.0,717.0,3.0
C00177,37.0,9438000.0,9980000.0,6.0,3093000.0,15122000.0,8986000.0,45.0,10.0,7.0,6.0,659.0,3.0
C00178,41.0,6539000.0,24755000.0,17.0,2926000.0,6452000.0,8763000.0,37.0,13.0,7.0,3.0,678.0,4.0
C00179,19.0,7507000.0,26441000.0,12.0,893000.0,47967000.0,9101000.0,57.0,9.0,8.0,4.0,708.0,1.0
C00180,38.0,10360000.0,53248000.0,2.0,1510000.0,74823000.0,44801000.0,37.0,14.0,5.0,7.0,765.0,2.0
C00181,39.0,16104000.0,15038000.0,20.0,3006000.0,23755000.0,26998000.0,54.0,15.0,10.0,5.0,795.0,3.0
C00182,53.0,9420000.0,44858000.0,10.0,1352000.0,24705000.0,2891000.0,46.0,14.0,9.0,8.0,733.0,3.0
C00183,24.0,12084000.0,15316000.0,35.0,3236000.0,26079000.0,18745000.0,83.0,11.0,3.0,2.0,655.0,4.0
C00184,47.0,19706000.0,33363000.0,16.0,3157000.0,59950000.0,21404000.0,54.0,17.0,11.0,8.0,762.0,5.0
C00185,33.0,11449000.0,21711000.0,34.0,1487000.0,46685000.0,23201000.0,67.0,7.0,4.0,3.0,651.0,2.0
C00186,45.0,10594000.0,103605000.0,29.0,5380000.0,59561000.0,21910000.0,63.0,11.0,5.0,7.0,718.0,4.0
C00187,37.0,21490000.0,46494000.0,36.0,8589000.0,67450000.0,33450000.0,75.0,12.0,2.0,4.0,758.0,5.0
C00188,36.0,11215000.0,24609000.0,30.0,1808000.0,30380000.0,42471000.0,71.0,7.0,7.0,7.0,784.0,2.0
C00189,44.0,13093000.0,41789000.0,35.0,4190000.0,65362000.0,45546000.0,71.0,7.0,1.0,6.0,760.0,6.0
C00190,32.0,13669000.0,3483000.0,1.0,597000.0,16904000.0,3032000.0,10.0,19.0,8.0,1.0,767.0,1.0
C00191,22.0,8002000.0,10453000.0,27.0,4242000.0,23523000.0,11474000.0,74.0,7.0,5.0,3.0,579.0,5.0
C00192,47.0,10345000.0,76118000.0,46.0,10058000.0,52151000.0,53258000.0,94.0,6.0,7.0,4.0,690.0,4.0
C00193,44.0,10091000.0,37452000.0,9.0,1013000.0,28477000.0,7663000.0,57.0,8.0,7.0,7.0,712.0,1.0
C00194,23.0,14626000.0,9718000.0,11.0,2050000.0,46159000.0,12558000.0,50.0,11.0,5.0,3.0,749.0,2.0
C00195,31.0,9335000.0,22651000.0,21.0,3214000.0,109726000.0,20962000.0,56.0,13.0,9.0,4.0,715.0,4.0
C00196,30.0,12301000.0,12739000.0,23.0,3361000.0,11766000.0,4454000.0,61.0,12.0,4.0,4.0,598.0,3.0
C00197,37.0,10780000.0,33635000.0,31.0,3321000.0,59530000.0,7045000.0,83.0,6.0,5.0,7.0,727.0,1.0
C00198,38.0,10037000.0,45068000.0,25.0,4097000.0,25084000.0,17649000.0,51.0,8.0,9.0,5.0,669.0,3.0
C00199,44.0,18180000.0,73034000.0,40.0,6836000.0,65854000.0,19712000.0,81.0,12.0,5.0,5.0,724.0,8.0
C00200,41.0,14948000.0,27674000.0,24.0,4023000.0,16250000.0,10093000.0,70.0,6.0,2.0,5.0,760.0,5.0
C00201,37.0,11737000.0,24234000.0,22.0,1818000.0,38080000.0,6408000.0,62.0,8.0,6.0,3.0,713.0,1.0
C00202,37.0,23935000.0,34121000.0,18.0,2039000.0,45175000.0,7242000.0,71.0,4.0,6.0,5.0,736.0,3.0
C00203,30.0,8822000.0,9908000.0,18.0,3226000.0,27937000.0,8303000.0,56.0,13.0,7.0,5.0,621.0,5.0
C00204,26.0,9112000.0,14052000.0,17.0,2871000.0,8279000.0,10546000.0,70.0,13.0,6.0,1.0,667.0,2.0
C00205,38.0,29252000.0,50498000.0,19.0,3439000.0,36313000.0,19667000.0,48.0,11.0,8.0,5.0,706.0,3.0
C00206,21.0,6493000.0,14607000.0,23.0,1080000.0,52055000.0,7883000.0,73.0,11.0,4.0,4.0,687.0,1.0
C00207,49.0,8586000.0,67345000.0,17.0,1831000.0,43436000.0,10224000.0,56.0,11.0,7.0,10.0,743.0,2.0
C00208,36.0,15346000.0,12863000.0,29.0,2182000.0,37995000.0,18677000.0,76.0,3.0,5.0,4.0,764.0,4.0
C00209,33.0,7803000.0,18409000.0,27.0,3140000.0,16226000.0,20739000.0,64.0,9.0,9.0,3.0,713.0,3.0
