Customer_ID,Age,Tenure_Months,Monthly_Income,Product_Count,Monthly_Transactions,Digital_Engagement,Complaint_Count,Credit_Utilization,Late_Payment_Count,Segment,Observation_Months,Churn_Event,Churn_Label
C00120,26,105,13716376,1,18,98,0,0.29434504178877624,0,Affluent,34.0,0,Active/Censored
C00121,40,76,12296485,1,13,66,1,0.8648313703657903,1,Affluent,60.0,0,Active/Censored
C00122,51,120,25520056,3,11,26,0,0.7003429011251919,0,Affluent,10.5,0,Active/Censored
C00123,50,58,32885039,3,23,14,1,0.17895344948093195,0,Mass,40.6,0,Active/Censored
C00124,42,75,19908438,4,21,98,0,0.4337195297729719,1,Affluent,60.0,0,Active/Censored
C00125,59,55,8994218,4,13,48,1,0.2688093906161743,1,Mass,7.1,0,Active/Censored
C00126,46,107,12801130,1,18,28,2,0.7968772819137286,1,Mass,24.8,0,Active/Censored
C00127,24,101,9924650,1,21,30,2,0.8760172874176,0,Mass,45.2,0,Active/Censored
C00128,55,110,35781135,3,19,19,2,0.19786112313223025,1,Mass,58.5,0,Active/Censored
C00129,46,62,15503077,3,16,28,1,0.4249137037797594,0,Mass,37.4,0,Active/Censored
C00130,49,96,17461186,4,12,81,1,0.9075532867278466,0,Mass,60.0,0,Active/Censored
C00131,46,45,6557336,3,19,69,2,0.6413804984224302,1,Mass,53.7,0,Active/Censored
C00132,45,57,20057141,3,15,64,0,0.8312871815086407,2,Mass,60.0,0,Active/Censored
C00133,25,92,36901284,2,28,11,1,0.3719243579037388,2,Affluent,2.6,0,Active/Censored
C00134,46,12,18749238,1,18,71,0,0.2387321296129128,1,Mass,15.7,0,Active/Censored
C00135,56,86,27444768,4,16,98,0,0.6721733560811307,1,Affluent,60.0,0,Active/Censored
C00136,34,4,10549946,4,16,94,1,0.1736837013897221,0,Mass,28.6,0,Active/Censored
C00137,48,71,9145839,1,17,45,2,0.8059117070536342,2,Mass,7.5,1,Churned
C00138,22,59,30338572,3,21,64,1,0.7293534411698704,2,Mass,60.0,0,Active/Censored
C00139,36,58,6366490,2,20,37,0,0.324415971524123,1,Mass,56.5,0,Active/Censored
C00140,40,61,20144497,2,25,90,1,0.49884036774707136,2,Mass,60.0,0,Active/Censored
C00141,65,61,15401349,4,17,93,2,0.7692745096574374,2,Mass,6.0,0,Active/Censored
C00142,30,51,4585255,4,18,30,2,0.891419287795183,0,Mass,60.0,0,Active/Censored
C00143,33,56,23123426,1,27,54,2,0.3669444462985048,2,Mass,51.3,0,Active/Censored
C00144,39,70,38704493,2,18,31,1,0.760992636546738,0,Mass,54.2,0,Active/Censored
C00145,65,93,6489335,4,20,65,0,0.225020372984855,0,Affluent,60.0,0,Active/Censored
C00146,59,68,33367490,4,16,36,0,0.8631861252679076,0,Mass,2.7,0,Active/Censored
C00147,22,78,23410440,1,14,73,3,0.6676250091799608,0,Priority,3.4,0,Active/Censored
C00148,31,101,30048136,4,21,99,1,0.1874653880631334,1,Mass,60.0,0,Active/Censored
C00149,57,119,7475764,2,14,89,1,0.7158460294489377,4,Mass,60.0,0,Active/Censored
C00150,23,15,35287307,3,24,26,0,0.7016519041414526,1,Mass,9.6,0,Active/Censored
C00151,59,87,4410998,1,17,21,2,0.7180677112253795,0,Affluent,39.3,0,Active/Censored
C00152,33,29,36645061,3,24,84,4,0.3603896756822127,2,Mass,60.0,0,Active/Censored
C00153,62,26,27681041,3,21,17,0,0.7158202249341522,0,Priority,31.1,1,Churned
C00154,34,96,16149629,3,24,46,0,0.7939130511290514,0,Affluent,60.0,0,Active/Censored
C00155,40,11,4255667,4,14,100,1,0.362416018586974,1,Mass,60.0,0,Active/Censored
C00156,50,103,25994512,4,20,50,2,0.23716189992293935,0,Mass,4.4,1,Churned
C00157,26,93,7147652,4,12,10,2,0.8490919293436269,1,Mass,59.3,0,Active/Censored
C00158,46,120,25917081,3,21,98,2,0.6086246584830516,0,Mass,60.0,0,Active/Censored
C00159,43,81,31833235,4,13,74,0,0.46434845214045467,0,Priority,27.7,0,Active/Censored
C00160,56,106,13622788,3,22,40,2,0.8417695153459882,2,Affluent,9.9,0,Active/Censored
C00161,65,16,12594008,3,14,65,1,0.17240507922033294,1,Mass,15.6,1,Churned
C00162,50,108,11990281,3,18,65,0,0.7795261452748776,1,Mass,55.1,0,Active/Censored
C00163,39,21,12094187,4,14,60,1,0.491739148294973,2,Mass,60.0,0,Active/Censored
C00164,39,40,8100661,1,14,97,1,0.08827183536622821,0,Affluent,9.2,0,Active/Censored
C00165,39,18,12989265,3,21,81,2,0.925351417110684,1,Mass,9.4,0,Active/Censored
C00166,57,50,27735311,2,27,33,2,0.7502600684739581,1,Affluent,41.8,0,Active/Censored
C00167,35,91,14890613,4,13,100,1,0.24328024146911953,0,Mass,60.0,0,Active/Censored
C00168,28,34,32113083,1,14,97,0,0.88132602200114,1,Priority,1.0,0,Active/Censored
C00169,36,100,33494416,3,20,14,1,0.8918110027902021,1,Mass,60.0,1,Churned
C00170,22,74,31394307,1,18,37,3,0.7704190400868662,0,Mass,7.9,1,Churned
C00171,25,77,23423061,4,22,65,0,0.16445338982786759,0,Priority,60.0,0,Active/Censored
C00172,25,113,15385913,4,17,89,1,0.2177431999100356,0,Affluent,60.0,0,Active/Censored
C00173,55,53,37476185,1,12,75,4,0.7286296414138241,1,Mass,33.9,0,Active/Censored
C00174,53,43,11389354,4,17,62,0,0.8724251934166926,0,Affluent,2.2,0,Active/Censored
C00175,52,120,20722326,2,25,37,2,0.24351632410497814,1,Mass,60.0,0,Active/Censored
C00176,41,68,20330110,4,16,18,0,0.46474505170124,0,Mass,24.5,0,Active/Censored
C00177,53,75,30841215,3,15,91,1,0.1893145637142073,2,Mass,15.0,0,Active/Censored
C00178,28,37,23685284,1,19,58,1,0.48020705854762474,2,Mass,60.0,0,Active/Censored
C00179,61,28,32782502,1,22,51,1,0.6282762170312518,0,Affluent,59.8,0,Active/Censored
C00180,43,23,37087136,2,13,99,2,0.06669939956842394,1,Mass,20.6,1,Churned
C00181,63,29,18062507,1,18,24,5,0.6286344725248671,1,Mass,54.1,0,Active/Censored
C00182,27,26,35493633,1,21,33,1,0.6257749349171606,0,Affluent,20.2,0,Active/Censored
C00183,43,91,10108603,4,15,87,2,0.45950763817907253,2,Mass,59.9,0,Active/Censored
C00184,52,9,36978099,4,15,35,1,0.8558620363347917,0,Mass,57.5,0,Active/Censored
C00185,43,77,10407616,2,21,95,1,0.17133711576804908,1,Mass,42.6,0,Active/Censored
C00186,41,115,34609445,1,21,88,2,0.096180647408351,0,Affluent,20.5,0,Active/Censored
C00187,28,93,18048903,1,21,19,2,0.49624804397719025,0,Mass,2.6,0,Active/Censored
C00188,38,50,38724923,4,21,51,1,0.5297310680738986,1,Priority,59.6,0,Active/Censored
C00189,31,10,8651007,2,15,78,1,0.29002026761931654,0,Affluent,60.0,0,Active/Censored
C00190,34,101,20757999,1,23,54,0,0.9154649359883177,0,Affluent,60.0,0,Active/Censored
C00191,51,3,36467690,2,23,29,2,0.2783545159848346,0,Affluent,60.0,0,Active/Censored
C00192,49,83,5709045,2,19,14,1,0.29314564585981506,1,Mass,52.1,1,Churned
C00193,48,82,13540534,3,17,10,2,0.779887809339086,1,Priority,60.0,1,Churned
C00194,37,25,7008233,2,16,26,0,0.8805413082458885,0,Mass,26.3,0,Active/Censored
C00195,64,90,15565851,4,17,33,1,0.5325257714043736,1,Mass,1.4,0,Active/Censored
C00196,24,23,18049941,3,24,37,1,0.06714858825190792,0,Mass,58.9,0,Active/Censored
C00197,36,29,26280063,4,20,87,0,0.36989139430027423,0,Affluent,58.3,0,Active/Censored
C00198,26,98,13276735,2,20,56,0,0.25154584575424316,2,Mass,16.0,0,Active/Censored
C00199,36,118,9712640,3,18,22,0,0.5099162426011898,1,Affluent,60.0,0,Active/Censored
C00200,64,34,10117861,2,19,17,1,0.6643146103419018,1,Priority,22.3,0,Active/Censored
C00201,37,111,37782547,3,16,21,2,0.40319265686721106,0,Mass,58.0,0,Active/Censored
C00202,61,110,38315335,3,19,38,1,0.5336239826533309,1,Mass,60.0,0,Active/Censored
C00203,43,93,11970555,2,13,77,0,0.7338742829710083,0,Mass,60.0,0,Active/Censored
C00204,52,19,11035105,4,21,14,0,0.2715323076258496,0,Mass,60.0,0,Active/Censored
C00205,41,38,5951041,4,18,46,0,0.22637110843738423,2,Affluent,60.0,0,Active/Censored
C00206,32,82,38537653,4,20,50,0,0.7750714521444634,0,Mass,60.0,0,Active/Censored
C00207,55,120,29421421,1,17,23,1,0.08332126145675162,0,Mass,41.6,0,Active/Censored
C00208,64,99,31390198,3,14,15,0,0.18553692533950855,1,Mass,60.0,1,Churned
C00209,32,52,14460660,1,11,30,1,0.061121070916043456,1,Mass,60.0,0,Active/Censored
C00210,56,30,27074044,1,9,23,1,0.549846314110316,0,Mass,60.0,0,Active/Censored
C00211,32,116,6153140,4,13,82,2,0.5900771586266316,0,Mass,24.4,0,Active/Censored
C00212,53,35,28336682,1,19,93,2,0.5279276249325534,3,Affluent,60.0,0,Active/Censored
C00213,56,43,24867645,4,15,66,2,0.4228421263792521,1,Mass,60.0,0,Active/Censored
C00214,41,116,15933075,2,18,79,1,0.5261262110766176,0,Mass,52.9,0,Active/Censored
C00215,54,69,29576898,2,23,79,2,0.22454402136436635,1,Mass,60.0,0,Active/Censored
C00216,33,34,27271373,1,19,89,1,0.7936184523525411,0,Affluent,60.0,0,Active/Censored
C00217,24,3,19803946,3,15,18,3,0.9326957033356482,0,Affluent,24.6,0,Active/Censored
C00218,25,53,10720916,3,11,100,1,0.536560594381449,0,Mass,31.2,0,Active/Censored
C00219,41,119,4848389,2,16,51,2,0.3869199844865504,1,Mass,60.0,0,Active/Censored
C00220,61,54,37757395,4,13,59,0,0.7626044449032541,0,Affluent,60.0,0,Active/Censored
C00221,26,85,14128931,2,14,82,0,0.22376473797577567,0,Affluent,60.0,0,Active/Censored
C00222,41,32,14864560,3,16,54,2,0.33869620948625173,4,Affluent,5.8,0,Active/Censored
C00223,52,94,28518376,2,27,34,1,0.8959825250917937,0,Affluent,39.1,0,Active/Censored
C00224,30,94,13186714,3,20,11,1,0.21766475535614221,1,Mass,60.0,0,Active/Censored
C00225,53,74,17527163,1,18,25,0,0.15090402005292397,1,Mass,41.2,0,Active/Censored
C00226,34,94,29601860,2,24,17,2,0.5417183260800711,1,Affluent,60.0,0,Active/Censored
C00227,57,71,25433530,3,18,44,2,0.5786756030144825,2,Mass,33.8,0,Active/Censored
C00228,47,47,27632153,3,19,80,2,0.587435093609828,2,Mass,60.0,0,Active/Censored
C00229,45,90,4168148,2,20,40,2,0.1980304061368217,1,Affluent,60.0,0,Active/Censored
C00230,28,101,20246761,3,19,64,1,0.69903025455971,0,Priority,17.4,0,Active/Censored
C00231,41,102,21109647,3,13,26,2,0.2680530151394632,2,Mass,58.5,0,Active/Censored
C00232,59,28,26768064,2,15,63,1,0.9032922958522092,0,Affluent,60.0,0,Active/Censored
C00233,21,82,9452501,1,18,96,2,0.2551614596138405,0,Mass,31.4,0,Active/Censored
C00234,55,3,9741750,3,20,38,1,0.06558033119082521,1,Affluent,3.3,0,Active/Censored
C00235,43,70,31447541,4,16,53,3,0.5610606739856745,0,Affluent,60.0,0,Active/Censored
C00236,53,70,28239819,4,15,97,2,0.23256308579604085,0,Affluent,26.2,0,Active/Censored
C00237,50,45,33202566,3,17,65,2,0.6157164428126716,0,Priority,6.5,0,Active/Censored
C00238,40,120,13741985,4,12,46,0,0.25629202451385297,1,Priority,18.3,0,Active/Censored
C00239,34,107,39913713,4,13,21,1,0.43527592777082164,1,Priority,1.1,0,Active/Censored
C00240,49,7,13822095,3,12,95,3,0.21156296070921143,0,Mass,60.0,1,Churned
C00241,27,27,27434645,1,14,65,3,0.4359302213696726,0,Mass,60.0,0,Active/Censored
C00242,47,27,9838477,3,15,15,0,0.17286830485105648,0,Mass,1.7,0,Active/Censored
C00243,25,108,37066101,3,12,60,0,0.3541757519532601,4,Mass,60.0,0,Active/Censored
C00244,50,64,15965576,2,23,98,1,0.22903845513602272,1,Affluent,60.0,0,Active/Censored
C00245,49,89,32889207,4,15,94,2,0.7844916855047974,2,Mass,1.0,0,Active/Censored
C00246,24,98,15925038,4,15,27,1,0.7064186752350594,0,Priority,60.0,0,Active/Censored
C00247,55,93,32470521,2,17,47,1,0.20013745834750413,0,Mass,55.9,0,Active/Censored
C00248,39,13,20350444,2,25,99,0,0.12461409727490992,0,Mass,60.0,0,Active/Censored
C00249,56,19,6249671,1,19,81,0,0.07317014541172617,2,Mass,38.0,0,Active/Censored
C00250,22,49,10855102,1,21,60,1,0.25400461652099665,1,Mass,57.8,0,Active/Censored
C00251,29,42,28603812,2,19,37,2,0.48215962939704005,0,Mass,60.0,0,Active/Censored
C00252,43,91,10948271,2,15,79,0,0.4098948771777804,0,Mass,60.0,0,Active/Censored
C00253,29,21,13911461,2,16,62,0,0.9243491285863031,0,Mass,43.9,0,Active/Censored
C00254,35,46,23502588,1,22,57,2,0.7630210806727571,1,Affluent,60.0,0,Active/Censored
C00255,50,30,13109751,2,16,94,1,0.1203680144730781,0,Mass,60.0,0,Active/Censored
C00256,27,25,8639586,3,11,44,1,0.1930391442799682,0,Affluent,60.0,0,Active/Censored
C00257,51,23,26474725,2,15,66,0,0.07393914668737081,2,Affluent,54.9,0,Active/Censored
C00258,25,26,28800292,3,18,13,1,0.17440372529443085,2,Mass,34.8,0,Active/Censored
C00259,28,69,30389739,2,16,74,1,0.5264754339436613,0,Mass,60.0,0,Active/Censored
C00260,47,51,37982096,3,28,59,0,0.11906423179268825,0,Affluent,42.9,0,Active/Censored
C00261,56,54,8481780,3,17,89,1,0.10388115257911432,0,Affluent,60.0,0,Active/Censored
C00262,28,59,19364642,4,24,40,1,0.15634535386634069,2,Mass,1.0,0,Active/Censored
C00263,34,90,12423839,1,23,94,0,0.6524722805658921,0,Affluent,60.0,0,Active/Censored
C00264,62,104,36439791,4,18,62,1,0.06742231241729886,1,Mass,14.8,0,Active/Censored
C00265,65,65,23432508,2,23,28,1,0.9226634901746562,0,Mass,1.5,0,Active/Censored
C00266,47,78,7539397,1,16,24,1,0.39270763716309726,0,Mass,56.8,0,Active/Censored
C00267,41,90,28917320,3,17,27,0,0.35292862492134836,2,Affluent,14.5,0,Active/Censored
C00268,36,84,5546474,1,12,37,3,0.47733155057107657,1,Mass,30.3,0,Active/Censored
C00269,48,18,13870212,1,24,60,0,0.5160756151549676,0,Mass,19.3,0,Active/Censored
C00270,47,118,29969279,4,17,89,1,0.42801205006745047,2,Mass,60.0,0,Active/Censored
C00271,34,22,22216187,1,24,100,1,0.4876932927328796,0,Mass,60.0,0,Active/Censored
C00272,22,51,31396776,3,23,71,1,0.35576051067435754,1,Mass,5.3,0,Active/Censored
C00273,27,80,24562833,1,16,54,1,0.339806678651089,0,Mass,60.0,0,Active/Censored
C00274,64,50,34350096,1,24,65,2,0.07458373860373495,0,Affluent,60.0,0,Active/Censored
C00275,39,31,24252373,1,18,40,2,0.6546204806693429,0,Affluent,23.0,0,Active/Censored
C00276,42,111,6045436,1,22,32,4,0.6055447816087141,1,Mass,6.6,1,Churned
C00277,42,11,6565417,2,15,58,1,0.651938339634981,0,Mass,60.0,0,Active/Censored
C00278,56,32,31968653,2,12,85,0,0.8969495486584749,0,Mass,16.4,0,Active/Censored
C00279,23,120,5389658,1,19,15,1,0.47577626570192116,1,Affluent,14.0,0,Active/Censored
C00280,24,89,17555394,2,12,20,0,0.8435933908720176,0,Mass,44.7,0,Active/Censored
C00281,33,13,4579734,2,18,26,1,0.4495489221720634,0,Affluent,60.0,0,Active/Censored
C00282,42,92,14920154,3,18,29,2,0.47985262471540546,2,Mass,37.4,0,Active/Censored
C00283,51,117,25424932,4,13,23,0,0.6196572659434006,2,Mass,60.0,0,Active/Censored
C00284,43,14,10228861,3,23,21,3,0.24431125944705684,2,Mass,36.0,0,Active/Censored
C00285,40,51,20779557,4,20,12,0,0.24562051030139298,1,Affluent,5.5,0,Active/Censored
C00286,63,58,39856567,1,23,41,1,0.5088486597976526,2,Mass,44.5,0,Active/Censored
C00287,28,18,6537793,1,17,75,4,0.11174883594826446,3,Mass,18.9,0,Active/Censored
