Document_ID,Customer_ID,Document_Type,Document_Date,Image_Quality_Score,OCR_Confidence,Fields_Extracted,Expected_Fields,File_Size_KB,Status,Field_Completeness,Extracted_OCR_Confidence,Document_Confidence,Processing_Decision
DOC0000046,C000506,Form Aplikasi,2024-05-17,0.798,1.0,11,10,4662,VALID,1.0,1.0,0.9495,Auto Process
DOC0000047,C000662,NPWP,2024-01-08,0.779,0.935,8,8,2372,VALID,1.0,0.935,0.91225,Auto Process
DOC0000048,C000509,Surat Kerja,2026-02-02,1.0,0.745,10,6,3946,VALID,1.0,0.902,0.92745,Auto Process
DOC0000049,C000082,NPWP,2025-12-31,0.962,0.864,6,10,4499,VALID,0.6,0.864,0.8225,Human Review
DOC0000050,C000444,Slip Gaji,2024-09-27,0.842,0.898,4,11,2810,VALID,0.36363636363636365,0.854,0.735009090909091,Reprocess / Reject
DOC0000051,C000307,Surat Kerja,2025-09-04,0.771,0.844,7,6,1931,NEEDS_REVIEW,1.0,0.844,0.8647499999999999,Human Review
DOC0000052,C000004,Form Aplikasi,2025-12-18,0.926,1.0,4,6,2432,VALID,0.6666666666666666,0.897,0.8621166666666666,Human Review
DOC0000053,C000412,KTP,2026-08-26,1.0,0.782,7,7,2256,VALID,1.0,0.9055,0.9342249999999999,Auto Process
DOC0000054,C000361,Surat Kerja,2026-07-07,0.69,0.725,9,7,3907,VALID,1.0,0.725,0.785,Human Review
DOC0000055,C000585,Form Aplikasi,2025-11-11,0.781,0.921,11,11,222,VALID,1.0,0.871,0.88825,Human Review
DOC0000056,C000317,Surat Kerja,2024-05-23,0.958,0.879,11,6,106,VALID,1.0,0.879,0.929,Auto Process
DOC0000057,C000004,NPWP,2024-09-01,0.704,0.791,4,10,4020,NEEDS_REVIEW,0.4,0.791,0.6715,Reprocess / Reject
DOC0000058,C000085,Surat Kerja,2026-02-11,1.0,0.904,9,9,2736,VALID,1.0,0.904,0.952,Auto Process
DOC0000059,C000521,Form Aplikasi,2024-01-16,0.789,0.792,6,6,3572,NEEDS_REVIEW,1.0,0.86,0.86705,Human Review
DOC0000060,C000524,KTP,2025-09-03,0.735,0.948,7,10,2104,VALID,0.7,0.948,0.83275,Human Review
DOC0000061,C000122,KTP,2024-09-11,0.732,0.858,9,11,2896,VALID,0.8181818181818182,0.9515,0.8492704545454546,Human Review
DOC0000062,C000174,Slip Gaji,2026-08-04,0.683,0.995,7,11,856,VALID,0.6363636363636364,0.995,0.8273409090909091,Human Review
DOC0000063,C000104,Rekening Koran,2026-08-05,1.0,1.0,6,6,1579,VALID,1.0,0.857,0.94995,Auto Process
DOC0000064,C000550,NPWP,2025-09-02,0.898,0.843,11,9,3039,VALID,1.0,0.941,0.9302999999999999,Auto Process
DOC0000065,C000222,Rekening Koran,2024-12-16,1.0,0.998,8,9,3533,VALID,0.8888888888888888,0.998,0.9712222222222222,Auto Process
DOC0000066,C000411,Slip Gaji,2025-10-14,0.819,0.995,8,9,2669,VALID,0.8888888888888888,0.866,0.8793222222222221,Human Review
DOC0000067,C000253,Surat Kerja,2026-01-03,0.871,0.956,8,7,4015,VALID,1.0,0.956,0.9457499999999999,Auto Process
DOC0000068,C000363,Rekening Koran,2026-04-17,0.933,0.963,10,6,462,VALID,1.0,0.871,0.93255,Auto Process
DOC0000069,C000197,KTP,2025-03-12,0.972,0.763,0,10,3554,VALID,0.0,0.763,0.6245,Reprocess / Reject
DOC0000070,C000599,KTP,2025-05-16,0.774,0.79,11,6,4977,VALID,1.0,0.9369999999999999,0.88995,Human Review
DOC0000071,C000297,Surat Kerja,2024-11-06,0.673,0.886,6,6,3400,VALID,1.0,0.964,0.88855,Human Review
DOC0000072,C000147,KTP,2026-08-16,0.777,0.982,8,7,4208,NEEDS_REVIEW,1.0,0.895,0.9047999999999999,Auto Process
DOC0000073,C000456,Rekening Koran,2024-05-21,0.807,1.0,4,8,2440,VALID,0.5,1.0,0.82675,Human Review
DOC0000074,C000329,KTP,2024-07-11,0.806,0.946,6,7,2491,VALID,0.8571428571428571,0.975,0.8989357142857144,Human Review
DOC0000075,C000506,KTP,2025-05-08,0.658,0.844,8,9,2081,VALID,0.8888888888888888,0.874,0.8192222222222223,Human Review
DOC0000076,C000469,KTP,2026-07-20,0.739,0.967,10,7,2454,VALID,1.0,0.876,0.8864,Human Review
DOC0000077,C000482,Rekening Koran,2026-05-02,0.823,0.85,7,8,2947,VALID,0.875,0.9205,0.8741749999999999,Human Review
DOC0000078,C000349,KTP,2025-01-26,0.852,0.937,5,6,1747,VALID,0.8333333333333334,0.937,0.8898333333333335,Human Review
DOC0000079,C000182,Form Aplikasi,2024-01-25,0.926,0.925,8,6,2124,VALID,1.0,0.82,0.90725,Auto Process
DOC0000080,C000195,NPWP,2026-09-11,0.685,1.0,10,9,4524,VALID,1.0,0.9410000000000001,0.9006,Auto Process
DOC0000081,C000200,Surat Kerja,2026-08-21,0.731,0.967,10,8,3276,VALID,1.0,0.8895,0.8891249999999999,Human Review
DOC0000082,C000387,Form Aplikasi,2026-08-28,0.713,0.93,9,9,1784,VALID,1.0,0.875,0.8739999999999999,Human Review
DOC0000083,C000209,Surat Kerja,2024-02-10,0.798,0.975,6,11,1270,INVALID,0.5454545454545454,0.889,0.7932636363636364,Human Review
DOC0000084,C000288,KTP,2025-03-20,0.785,0.859,10,7,261,VALID,1.0,0.859,0.87575,Human Review
DOC0000085,C000667,KTP,2024-02-18,0.888,0.796,4,11,3720,INVALID,0.36363636363636365,0.849,0.729459090909091,Reprocess / Reject
DOC0000086,C000517,KTP,2025-03-19,0.786,1.0,4,11,2611,VALID,0.36363636363636365,1.0,0.787409090909091,Human Review
DOC0000087,C000371,Rekening Koran,2024-01-30,0.811,1.0,7,11,2659,INVALID,0.6363636363636364,0.9625,0.8487159090909091,Human Review
DOC0000088,C000244,Slip Gaji,2025-07-03,0.628,0.885,11,11,1002,VALID,1.0,0.9413333333333332,0.8692166666666666,Human Review
DOC0000089,C000472,Surat Kerja,2024-12-07,0.944,1.0,10,8,2708,VALID,1.0,1.0,0.986,Auto Process
DOC0000090,C000096,Form Aplikasi,2025-05-10,0.708,0.772,11,7,2524,VALID,1.0,0.814,0.8277,Human Review
DOC0000091,C000073,KTP,2024-12-31,0.93,0.936,11,9,4413,VALID,1.0,0.811,0.90675,Auto Process
DOC0000092,C000240,Form Aplikasi,2024-12-12,0.858,0.838,11,8,1236,VALID,1.0,0.81,0.8736999999999999,Human Review
DOC0000093,C000623,Rekening Koran,2026-06-28,0.552,0.973,4,7,4284,VALID,0.5714285714285714,0.855,0.7260571428571428,Reprocess / Reject
DOC0000094,C000169,KTP,2025-08-08,1.0,0.944,10,9,2236,VALID,1.0,0.8955,0.9550249999999999,Auto Process
DOC0000095,C000665,NPWP,2026-09-21,0.808,0.872,6,6,2181,NEEDS_REVIEW,1.0,0.9550000000000001,0.91705,Auto Process
DOC0000096,C000457,Rekening Koran,2026-01-09,0.831,0.986,4,7,282,VALID,0.5714285714285714,0.986,0.8436071428571429,Human Review
DOC0000097,C000400,Rekening Koran,2024-03-06,0.836,0.999,0,11,629,VALID,0.0,0.999,0.7084999999999999,Reprocess / Reject
DOC0000098,C000544,Surat Kerja,2024-03-01,0.751,0.955,5,8,825,VALID,0.625,0.955,0.8215,Human Review
DOC0000099,C000002,Form Aplikasi,2024-01-30,0.859,0.893,6,8,2202,INVALID,0.75,0.893,0.84875,Human Review
DOC0000100,C000327,Slip Gaji,2026-04-21,0.995,0.728,10,10,1720,VALID,1.0,0.728,0.8627499999999999,Human Review
DOC0000101,C000160,Form Aplikasi,2024-07-10,0.723,0.82,5,9,313,VALID,0.5555555555555556,0.708,0.6904388888888888,Reprocess / Reject
DOC0000102,C000015,KTP,2026-07-07,0.953,0.975,9,9,2419,VALID,1.0,0.975,0.97575,Auto Process
DOC0000103,C000169,NPWP,2025-06-17,0.637,0.918,8,8,880,VALID,1.0,0.9025000000000001,0.862825,Human Review
DOC0000104,C000696,Slip Gaji,2026-05-05,0.824,0.829,11,11,470,INVALID,1.0,0.899,0.8949999999999999,Human Review
DOC0000105,C000253,Slip Gaji,2025-05-30,0.937,0.945,7,9,1642,VALID,0.7777777777777778,0.94,0.8994444444444445,Human Review
DOC0000106,C000603,Slip Gaji,2024-01-30,0.87,0.866,10,10,1563,VALID,1.0,0.866,0.9005,Auto Process
DOC0000107,C000517,Form Aplikasi,2025-11-01,1.0,0.911,9,6,930,VALID,1.0,0.911,0.9555,Auto Process
DOC0000108,C000085,KTP,2026-09-18,0.85,1.0,7,6,2897,NEEDS_REVIEW,1.0,1.0,0.9625,Auto Process
DOC0000109,C000628,Rekening Koran,2025-03-23,0.73,0.898,0,9,729,VALID,0.0,0.956,0.6517999999999999,Reprocess / Reject
DOC0000110,C000207,Surat Kerja,2026-04-27,0.845,0.99,10,11,1328,VALID,0.9090909090909091,0.801,0.8673727272727272,Human Review
DOC0000111,C000130,Slip Gaji,2025-07-07,0.906,1.0,6,10,3610,VALID,0.6,0.89,0.8380000000000001,Human Review
DOC0000112,C000688,Rekening Koran,2025-03-04,0.836,0.864,7,11,542,NEEDS_REVIEW,0.6363636363636364,0.92,0.819690909090909,Human Review
DOC0000113,C000460,Surat Kerja,2025-01-30,0.893,0.819,9,7,4605,NEEDS_REVIEW,1.0,0.895,0.90935,Auto Process
DOC0000114,C000601,Slip Gaji,2025-10-07,0.606,0.761,7,8,2623,VALID,0.875,0.761,0.7507499999999999,Human Review
DOC0000115,C000457,Surat Kerja,2026-01-01,1.0,0.82,9,11,4317,VALID,0.8181818181818182,0.82,0.8645454545454545,Human Review
DOC0000116,C000558,Slip Gaji,2026-09-15,1.0,0.883,7,10,3619,NEEDS_REVIEW,0.7,0.954,0.8913499999999999,Human Review
DOC0000117,C000440,Slip Gaji,2025-01-29,1.0,0.978,4,9,2912,VALID,0.4444444444444444,0.958,0.8431111111111111,Human Review
DOC0000118,C000654,KTP,2024-11-28,0.864,0.932,5,7,3448,VALID,0.7142857142857143,1.0,0.8843714285714286,Human Review
DOC0000119,C000017,Slip Gaji,2026-08-12,0.687,0.905,6,7,2432,VALID,0.8571428571428571,0.905,0.8385357142857143,Human Review
DOC0000120,C000142,Rekening Koran,2024-01-09,0.79,0.906,0,8,522,VALID,0.0,0.906,0.6505,Reprocess / Reject
DOC0000121,C000671,Rekening Koran,2024-11-08,0.625,0.909,10,7,4393,NEEDS_REVIEW,1.0,0.909,0.8607499999999999,Human Review
DOC0000122,C000074,Form Aplikasi,2026-09-11,0.719,0.823,11,7,1174,VALID,1.0,0.9964999999999999,0.9019749999999999,Auto Process
DOC0000123,C000387,Surat Kerja,2024-03-22,0.76,0.865,6,8,868,INVALID,0.75,0.865,0.81,Human Review
DOC0000124,C000263,Surat Kerja,2025-08-07,0.917,0.787,4,10,228,VALID,0.4,0.787,0.7227499999999999,Reprocess / Reject
DOC0000125,C000540,Form Aplikasi,2025-01-19,1.0,0.892,6,7,4244,VALID,0.8571428571428571,0.912,0.9172857142857143,Auto Process
DOC0000126,C000455,Rekening Koran,2025-02-17,0.785,0.989,8,11,3755,VALID,0.7272727272727273,0.9255,0.8503431818181817,Human Review
DOC0000127,C000238,Slip Gaji,2024-03-15,0.634,0.885,11,6,3904,VALID,1.0,0.885,0.851,Human Review
DOC0000128,C000198,Rekening Koran,2025-05-05,0.91,0.891,6,6,977,VALID,1.0,0.9265,0.935425,Auto Process
DOC0000129,C000666,Form Aplikasi,2024-06-13,0.897,0.957,6,11,227,VALID,0.5454545454545454,0.957,0.8391136363636362,Human Review
DOC0000130,C000110,Slip Gaji,2026-07-05,0.919,1.0,8,9,3329,NEEDS_REVIEW,0.8888888888888888,0.831,0.8928222222222222,Human Review
DOC0000131,C000131,Surat Kerja,2026-04-08,0.422,0.772,11,10,1759,VALID,1.0,0.857,0.77125,Human Review
DOC0000132,C000652,Surat Kerja,2024-12-08,1.0,0.91,10,7,1116,VALID,1.0,0.91,0.9550000000000001,Auto Process
DOC0000133,C000646,NPWP,2026-05-28,0.856,0.801,4,8,2334,VALID,0.5,0.9075,0.776775,Human Review
DOC0000134,C000304,NPWP,2024-06-01,0.887,0.959,7,10,3620,VALID,0.7,0.929,0.86575,Human Review
DOC0000135,C000323,NPWP,2025-07-09,0.913,0.947,5,6,3416,INVALID,0.8333333333333334,0.9015,0.8941583333333333,Human Review
DOC0000136,C000408,Rekening Koran,2024-02-10,0.9,0.886,5,7,1857,VALID,0.7142857142857143,0.848,0.8332714285714286,Human Review
DOC0000137,C000663,Surat Kerja,2025-08-12,0.847,0.938,8,10,4542,VALID,0.8,0.8725,0.8578250000000001,Human Review
DOC0000138,C000133,Slip Gaji,2025-10-09,0.81,0.961,10,6,1678,VALID,1.0,0.915,0.9169,Auto Process
DOC0000139,C000467,NPWP,2024-06-11,0.905,0.811,10,11,4314,VALID,0.9090909090909091,0.811,0.8590227272727273,Human Review
DOC0000140,C000639,KTP,2025-10-29,0.827,0.883,6,10,4578,VALID,0.6,0.883,0.79825,Human Review
DOC0000141,C000637,Rekening Koran,2026-01-15,0.607,0.881,6,7,3157,VALID,0.8571428571428571,0.881,0.8065357142857142,Human Review
DOC0000142,C000502,Slip Gaji,2026-09-03,0.8,0.949,9,11,4815,VALID,0.8181818181818182,0.751,0.8097454545454545,Human Review
DOC0000143,C000427,Form Aplikasi,2025-12-05,0.941,0.834,7,8,3190,VALID,0.875,0.9385,0.9075749999999999,Auto Process
DOC0000144,C000566,Form Aplikasi,2024-09-01,0.925,0.834,4,10,4983,VALID,0.4,0.806,0.7384499999999999,Reprocess / Reject
DOC0000145,C000535,Rekening Koran,2025-09-25,0.695,1.0,6,7,1348,VALID,0.8571428571428571,0.838,0.8313357142857143,Human Review
DOC0000146,C000254,Slip Gaji,2025-02-13,0.805,1.0,6,6,272,INVALID,1.0,0.871,0.9061,Auto Process
DOC0000147,C000235,Surat Kerja,2024-04-25,0.851,0.894,7,8,4993,VALID,0.875,0.894,0.8785,Human Review
DOC0000148,C000662,Rekening Koran,2024-06-02,1.0,0.863,9,6,4697,INVALID,1.0,0.863,0.9314999999999999,Auto Process
DOC0000149,C000097,Slip Gaji,2025-12-11,0.873,0.877,10,9,947,VALID,1.0,0.877,0.90675,Auto Process
DOC0000150,C000354,Rekening Koran,2025-07-06,0.955,0.924,4,11,236,VALID,0.36363636363636365,0.88,0.776259090909091,Human Review
DOC0000151,C000362,Surat Kerja,2024-06-26,0.977,1.0,7,7,332,VALID,1.0,0.9715,0.984275,Auto Process
DOC0000152,C000534,Surat Kerja,2024-12-19,0.697,0.846,7,7,1237,INVALID,1.0,0.99,0.89765,Human Review
DOC0000153,C000524,Rekening Koran,2026-07-04,0.831,0.918,4,7,835,VALID,0.5714285714285714,0.918,0.8096071428571427,Human Review
DOC0000154,C000197,KTP,2024-03-08,0.86,0.85,4,6,1743,INVALID,0.6666666666666666,0.85,0.8066666666666666,Human Review
DOC0000155,C000456,KTP,2025-07-07,0.831,0.742,8,8,4110,VALID,1.0,0.9804999999999999,0.9122249999999998,Auto Process
DOC0000156,C000296,Surat Kerja,2025-01-29,0.867,0.913,8,10,3594,VALID,0.8,0.978,0.896,Human Review
DOC0000157,C000325,Slip Gaji,2026-01-29,0.795,0.911,4,8,947,VALID,0.5,0.85,0.7579,Human Review
DOC0000158,C000031,Slip Gaji,2026-04-03,0.976,0.932,5,8,4595,NEEDS_REVIEW,0.625,0.9365,0.867825,Human Review
DOC0000159,C000275,Form Aplikasi,2025-04-18,0.566,0.797,9,11,1502,VALID,0.8181818181818182,0.866,0.7686954545454546,Human Review
DOC0000160,C000005,Rekening Koran,2025-07-20,1.0,1.0,0,9,323,VALID,0.0,1.0,0.75,Human Review
DOC0000161,C000261,Slip Gaji,2025-05-01,0.74,0.903,6,9,856,VALID,0.6666666666666666,0.8823333333333333,0.7959333333333333,Human Review
DOC0000162,C000270,Rekening Koran,2026-04-24,0.702,0.978,4,8,85,VALID,0.5,0.898,0.7615000000000001,Human Review
DOC0000163,C000419,NPWP,2026-06-13,0.934,0.899,10,8,4215,VALID,1.0,0.944,0.94875,Auto Process
DOC0000164,C000654,Slip Gaji,2024-01-27,1.0,0.812,5,11,567,VALID,0.45454545454545453,0.999,0.8350863636363637,Human Review
DOC0000165,C000074,KTP,2025-02-26,0.848,0.858,6,8,1281,VALID,0.75,0.858,0.8285,Human Review
DOC0000166,C000039,Slip Gaji,2024-02-02,0.966,0.871,11,10,571,VALID,1.0,0.795,0.9003999999999999,Auto Process
DOC0000167,C000036,NPWP,2024-04-25,0.717,1.0,4,10,3484,NEEDS_REVIEW,0.4,0.9145,0.749325,Reprocess / Reject
DOC0000168,C000368,KTP,2024-03-27,0.923,0.968,8,11,4046,VALID,0.7272727272727273,0.968,0.8965681818181819,Human Review
DOC0000169,C000561,Rekening Koran,2026-09-05,0.87,0.936,7,6,3300,VALID,1.0,0.962,0.9445999999999999,Auto Process
DOC0000170,C000225,KTP,2025-10-28,1.0,0.83,7,8,2203,VALID,0.875,0.893,0.9057999999999999,Auto Process
DOC0000171,C000265,Form Aplikasi,2026-07-15,0.839,0.785,11,9,1967,VALID,1.0,1.0,0.9275,Auto Process
DOC0000172,C000323,Rekening Koran,2025-06-16,0.785,0.972,4,7,897,VALID,0.5714285714285714,0.881,0.7932571428571427,Human Review
DOC0000173,C000677,Slip Gaji,2025-01-24,0.806,0.906,8,10,4855,VALID,0.8,0.941,0.86675,Human Review
DOC0000174,C000649,NPWP,2024-04-13,1.0,1.0,11,11,2928,VALID,1.0,0.806,0.9321,Auto Process
DOC0000175,C000432,Surat Kerja,2024-02-08,0.904,0.893,5,11,1258,VALID,0.45454545454545453,0.9819999999999999,0.8172863636363636,Human Review
DOC0000176,C000347,KTP,2026-09-15,0.89,0.804,6,11,2860,VALID,0.5454545454545454,1.0,0.8294636363636364,Human Review
DOC0000177,C000470,Surat Kerja,2024-06-09,0.604,0.931,4,11,3976,VALID,0.36363636363636365,0.931,0.7074090909090909,Reprocess / Reject
DOC0000178,C000599,NPWP,2025-05-20,0.866,0.743,7,7,2856,NEEDS_REVIEW,1.0,0.743,0.8380000000000001,Human Review
DOC0000179,C000510,Rekening Koran,2025-08-30,0.527,0.882,11,10,1168,VALID,1.0,0.882,0.82275,Human Review
DOC0000180,C000586,Slip Gaji,2025-05-21,1.0,0.894,7,8,3475,VALID,0.875,0.92,0.9248500000000001,Auto Process
DOC0000181,C000439,Slip Gaji,2025-10-30,0.672,0.928,11,9,4662,VALID,1.0,0.914,0.8771,Human Review
DOC0000182,C000150,KTP,2024-07-17,0.635,0.824,7,7,4060,NEEDS_REVIEW,1.0,0.912,0.85155,Human Review
DOC0000183,C000172,NPWP,2024-03-21,1.0,0.893,5,8,1873,VALID,0.625,0.893,0.85275,Human Review
DOC0000184,C000026,Form Aplikasi,2025-06-29,1.0,0.936,6,9,4522,VALID,0.6666666666666666,0.949,0.8892166666666665,Human Review
DOC0000185,C000218,Surat Kerja,2026-07-24,0.902,1.0,9,9,420,VALID,1.0,1.0,0.9755,Auto Process
DOC0000186,C000641,Slip Gaji,2024-10-15,0.815,0.983,6,10,1011,VALID,0.6,1.0,0.8512,Human Review
DOC0000187,C000139,KTP,2026-08-22,1.0,0.987,5,11,3126,NEEDS_REVIEW,0.45454545454545453,0.987,0.8571363636363637,Human Review
DOC0000188,C000589,KTP,2026-08-23,0.904,0.954,11,7,4861,VALID,1.0,1.0,0.9691,Auto Process
DOC0000189,C000535,Rekening Koran,2025-04-27,0.84,0.77,4,6,3641,VALID,0.6666666666666666,0.9616666666666666,0.8287499999999999,Human Review
DOC0000190,C000055,Rekening Koran,2024-11-11,0.779,1.0,0,6,4312,NEEDS_REVIEW,0.0,1.0,0.69475,Reprocess / Reject
DOC0000191,C000144,Slip Gaji,2024-02-10,0.838,0.956,5,9,321,VALID,0.5555555555555556,0.94,0.8207888888888888,Human Review
DOC0000192,C000653,KTP,2024-03-04,0.943,0.93,9,9,3998,INVALID,1.0,0.886,0.9353499999999999,Auto Process
DOC0000193,C000142,NPWP,2024-04-22,0.672,1.0,4,8,1191,VALID,0.5,1.0,0.793,Human Review
DOC0000194,C000435,Slip Gaji,2026-08-03,0.834,0.893,8,7,993,VALID,1.0,0.893,0.905,Auto Process
DOC0000195,C000457,Rekening Koran,2025-12-16,0.971,0.962,11,10,1004,VALID,1.0,0.894,0.94995,Auto Process
DOC0000196,C000412,Rekening Koran,2025-05-12,0.85,0.875,4,8,2601,VALID,0.5,0.887,0.7792,Human Review
DOC0000197,C000335,KTP,2025-09-03,0.693,1.0,4,9,4908,VALID,0.4444444444444444,0.869,0.738511111111111,Reprocess / Reject
DOC0000198,C000346,Rekening Koran,2026-06-15,0.821,0.951,9,10,4524,VALID,0.9,0.951,0.90575,Auto Process
DOC0000199,C000300,Form Aplikasi,2026-02-17,0.871,1.0,9,11,4806,VALID,0.8181818181818182,0.923,0.8953454545454546,Human Review
DOC0000200,C000419,Surat Kerja,2025-03-01,0.865,0.807,8,7,3022,VALID,1.0,0.866,0.8904,Human Review
DOC0000201,C000521,KTP,2026-01-02,0.858,0.729,6,9,624,NEEDS_REVIEW,0.6666666666666666,0.894,0.8034166666666666,Human Review
DOC0000202,C000561,KTP,2024-06-03,0.914,0.955,9,10,913,VALID,0.9,0.955,0.9309999999999999,Auto Process
DOC0000203,C000496,Slip Gaji,2024-09-05,0.695,0.936,6,8,706,VALID,0.75,0.936,0.8292499999999999,Human Review
DOC0000204,C000580,KTP,2025-12-06,0.728,0.936,4,10,1093,INVALID,0.4,0.909,0.7405499999999999,Reprocess / Reject
