Lead_ID,Age,Monthly_Income,Account_Tenure_Months,Product_Count,Monthly_Transactions,Digital_Engagement,Balance,Credit_Utilization,Recent_Application,Segment,Converted,Conversion_Probability
L00097,31,10750188,56,4,16,92,89119312.82401884,0.5554135441201703,0,Mass,1,0.40227264835963705
L00098,51,40511141,172,3,21,46,13142401.556357164,0.3268053447900726,1,Affluent,1,0.6148194830011798
L00099,49,19469148,22,2,29,20,6491497.36613172,0.43215234670997665,0,Affluent,0,0.24038899916848286
L00100,27,8226111,72,5,15,47,9544912.640371649,0.1283504513271792,0,Mass,0,0.2675040821236856
L00101,58,49431782,77,1,18,57,43854348.80321164,0.6863914016575412,0,Mass,0,0.09084605175467515
L00102,29,12743262,145,5,23,21,2079553.726191136,0.07221593123103094,0,Mass,1,0.2826158046079151
L00103,57,4746600,88,4,18,77,19350148.588838723,0.42209337608367226,1,Mass,0,0.4714892760157045
L00104,21,7580522,175,4,17,30,175962155.4641064,0.5055896315060557,0,Mass,0,0.21059562215794586
L00105,56,24815364,134,5,21,18,114332723.92610376,0.6350805662031197,1,Mass,0,0.20787517803568692
L00106,56,8733578,127,3,20,58,26609092.532815274,0.35887900226582903,1,Mass,0,0.12927115369808445
L00107,56,42762112,136,2,15,24,55951923.391982466,0.44850904960022736,0,Affluent,1,0.39488920004626965
L00108,50,27572606,30,1,27,81,55416450.266703404,0.5786384107472606,1,Affluent,1,0.4777864107884159
L00109,42,18899458,81,5,16,16,13226179.985402506,0.8808573117513225,1,Priority,0,0.560783305303498
L00110,52,4144892,106,3,30,48,37820224.698220745,0.6547749180537483,1,Mass,0,0.10983715705773484
L00111,33,26070731,38,5,19,14,89714573.02265374,0.278990962313279,0,Mass,1,0.221753286657579
L00112,56,10959986,22,2,17,44,4238832.84090646,0.8125372585394091,0,Mass,0,0.06485313894714116
L00113,46,48990104,25,5,18,94,26701001.620628886,0.09955802462214584,0,Mass,0,0.7727561708805432
L00114,41,17390064,143,5,18,69,21531686.679210488,0.2950691557862025,0,Mass,1,0.5847077028212908
L00115,43,25844334,119,2,19,58,16630106.313794287,0.14733660561688672,0,Mass,0,0.6459064086429488
L00116,46,4856578,51,3,14,24,15221113.449690597,0.4523347763872329,0,Affluent,0,0.2687081366899174
L00117,22,10022380,133,4,22,38,18910553.90020869,0.6232344716781774,0,Priority,0,0.4302077424059598
L00118,27,13544376,126,2,17,44,20565653.92123969,0.5278957891455832,1,Mass,0,0.31118600546823266
L00119,32,6379188,147,1,17,62,45909198.221183784,0.7801359819241946,0,Mass,0,0.22217809001393835
L00120,26,37395709,164,2,26,28,24156774.64422008,0.560739347903366,1,Affluent,0,0.3898061813160361
L00121,40,47489162,159,3,19,100,12555685.695187544,0.2594002516312967,0,Affluent,1,0.718600681062751
L00122,51,49326348,33,1,21,69,6476166.485825537,0.5327796750515844,0,Mass,1,0.7075298189734027
L00123,50,40282330,139,2,16,38,9352163.2789791,0.7119405693794271,1,Affluent,1,0.40705041199119735
L00124,42,27186939,71,5,21,20,19476649.840450592,0.5026580278329555,0,Mass,1,0.25643426951177994
L00125,59,6109439,73,1,20,64,7403696.949440114,0.4477725935450507,0,Affluent,1,0.2844057401522956
L00126,46,8172281,117,1,22,50,38626064.3110466,0.5261876180599327,1,Affluent,0,0.2777074409098228
L00127,24,29198184,109,3,21,71,23060134.36949305,0.5432523551235816,1,Mass,1,0.45540211402720326
L00128,55,23488135,76,1,22,64,47067258.99348328,0.329501417773669,1,Mass,0,0.3321598456911647
L00129,46,4385554,180,1,13,68,7918731.114182858,0.818803715952492,0,Affluent,0,0.3553022893773858
L00130,49,46784853,32,1,23,85,6533759.705298047,0.23691471329921837,0,Mass,1,0.6260429609650965
L00131,46,37595497,18,1,21,57,46716967.449491814,0.07954890953745788,0,Affluent,1,0.7836889263652758
L00132,45,27110997,6,5,18,75,17081639.236168515,0.7173429942717193,0,Mass,0,0.3457312466488831
L00133,25,49401723,147,1,20,42,12250087.406629255,0.8080823938990441,1,Affluent,1,0.43131480816438805
L00134,46,48672216,74,3,14,95,30165856.24151078,0.6284626456729624,0,Affluent,1,0.5803986162999071
L00135,56,48801779,79,4,26,47,29063975.14532172,0.4720506286213102,0,Affluent,1,0.5143419066709191
L00136,34,15906439,117,4,16,71,4272873.126715724,0.9276849016193616,0,Mass,0,0.40138223727600975
L00137,48,44520983,79,4,24,100,59901127.27271404,0.38368421333932995,0,Mass,0,0.2892195839171667
L00138,22,27209081,104,2,14,41,9950703.554710185,0.41530806796507863,0,Mass,1,0.2964947029505632
L00139,36,37397690,11,5,15,19,82110692.77512646,0.582001472535197,0,Mass,1,0.6109075288573526
L00140,40,43538416,29,1,27,31,3953105.9545644238,0.4373841950625618,0,Mass,0,0.47516797231414654
L00141,65,11513024,168,1,18,32,20603255.21758001,0.5497685390195338,1,Mass,0,0.3691512368926082
L00142,30,24619608,82,5,24,15,12458822.421232382,0.9199073412800354,0,Priority,0,0.4094161166488042
L00143,33,9929360,31,1,14,59,2080931.2808054911,0.2637488230259305,0,Affluent,0,0.20152013499720106
L00144,39,16856419,67,1,21,35,28969923.732885037,0.18370663321499558,0,Affluent,1,0.1830713484798203
L00145,65,23021770,61,1,19,18,2190463.5199038098,0.43119611005518643,0,Priority,1,0.16667787081807803
L00146,59,43351866,50,1,21,22,11205260.32747016,0.5035987068833121,0,Affluent,0,0.1513544189627283
L00147,22,43682627,53,1,25,34,45255566.48478479,0.6918769259374005,0,Mass,1,0.3723188818907995
L00148,31,21934915,132,3,19,43,8828756.904669449,0.9096558625677871,0,Mass,1,0.3854574320574988
L00149,57,19142970,20,4,21,98,6075814.471280409,0.6698033033626103,1,Affluent,0,0.6044688193528286
L00150,23,28413271,56,1,17,73,33395016.14603965,0.9384576400528876,1,Affluent,0,0.494024409105563
L00151,59,45946054,85,5,21,75,11687643.24238697,0.2717048240092635,1,Affluent,0,0.726536085114051
L00152,33,48920245,98,1,21,72,10004054.956094693,0.23800107981259855,0,Mass,0,0.5130720223090254
L00153,62,14431151,159,4,19,83,53680117.32357142,0.325881275808897,0,Affluent,0,0.15969985092609293
L00154,34,12578231,167,5,23,38,4668190.231986971,0.7584115303467278,0,Mass,0,0.24704305439264282
L00155,40,36511632,54,3,20,19,9472974.41098332,0.21786325023557285,0,Mass,0,0.22173371614459922
L00156,50,17864429,98,3,24,56,35676678.505749464,0.22657104470159029,0,Mass,0,0.3055520224048465
L00157,26,13189066,5,1,15,10,4375859.009621232,0.4205621845530145,0,Mass,0,0.14482744969728142
L00158,46,5429201,112,2,25,29,88534947.47930254,0.33578985865669286,0,Mass,1,0.12157652310249946
L00159,43,22547744,28,5,22,78,12075791.137614878,0.6318302802294296,0,Affluent,0,0.2697205587639315
L00160,56,22024534,14,2,20,55,35966127.13181892,0.8511503295600572,0,Mass,0,0.1297146009151314
L00161,65,29900680,121,1,17,72,35890957.34138031,0.17479451465770973,1,Priority,0,0.32030110800716327
L00162,50,13208437,33,4,26,56,12881114.895500876,0.5420794342544922,0,Mass,0,0.13834562518246932
L00163,39,36860837,86,4,13,59,9290924.739455687,0.12956064594180247,0,Mass,0,0.25931569756890144
L00164,39,35281607,19,1,25,37,14369180.057643803,0.24934406905651535,0,Mass,0,0.12049810079178606
L00165,39,25268047,135,1,33,29,30591874.931703884,0.3281913917558268,0,Mass,0,0.2954884045692745
L00166,57,12340787,138,1,21,33,5593612.698058791,0.5711926511720578,0,Mass,0,0.08514146804764379
L00167,35,27319980,104,1,21,82,4503215.118183851,0.5493910930277666,1,Mass,0,0.13888620397035817
L00168,28,35041386,151,4,22,99,66171702.89573621,0.6287596265118071,0,Mass,0,0.39418989021876777
L00169,36,21144936,79,1,24,17,7193624.377944535,0.7870157755049643,0,Mass,0,0.06275966009421968
L00170,22,16119869,34,4,15,58,21373120.542712104,0.21850689031468767,1,Mass,1,0.6475660876337526
L00171,25,27299275,28,1,17,52,12253921.303834923,0.719044229714724,0,Mass,0,0.2148214955835592
L00172,25,20340020,40,5,19,61,12809468.062602405,0.6503188594499543,0,Mass,0,0.13191873177284302
L00173,55,22423595,37,4,22,31,62704920.56622425,0.12173993143276896,0,Mass,1,0.40313160765821676
L00174,53,20047589,59,2,13,10,13775353.447695568,0.36022578804740435,0,Mass,0,0.1697626121362965
L00175,52,17959387,39,3,35,28,10498412.685060518,0.07492941399350682,0,Affluent,0,0.31322114709059107
L00176,41,36970580,107,1,27,26,11453949.039614009,0.1311659435670054,0,Mass,1,0.5310888209135977
L00177,53,25171136,27,1,22,14,9066549.683765167,0.30540812005099466,0,Affluent,0,0.13363075036508587
L00178,28,25459426,112,3,25,42,7674932.5754511375,0.268804547990917,1,Affluent,1,0.6273905136842931
L00179,61,34041946,61,1,20,72,9102993.706763072,0.8601563924949129,0,Mass,0,0.19669000814249224
L00180,43,20619749,124,4,20,97,79143314.29697269,0.8544097065873233,0,Affluent,1,0.4264744982437051
L00181,63,8647564,93,2,18,69,30555326.62906622,0.5700807658190167,1,Affluent,0,0.2503736625162404
L00182,27,43220645,163,1,24,25,10621217.508657364,0.7115320031774943,0,Affluent,1,0.1799390017876693
L00183,43,6562428,80,3,16,42,40033068.92617807,0.949641181819477,0,Affluent,0,0.14470153829829274
L00184,52,30309728,54,3,19,37,3067480.0677930447,0.41917342801777585,0,Mass,0,0.08622549876535537
L00185,43,16227792,107,4,25,29,59366408.492896594,0.5201828834566151,1,Mass,0,0.3470227546760938
L00186,41,13836217,119,1,15,100,54773471.00173321,0.6360349451406412,1,Mass,0,0.37200564381361156
L00187,28,5929995,80,3,21,69,140384377.65340906,0.8785023911768136,0,Affluent,0,0.12025733446996006
L00188,38,45404198,101,5,23,53,41247959.30573701,0.7673148956517182,0,Mass,1,0.48372782639227563
L00189,31,23743436,85,2,28,49,23226288.10043112,0.10797959977406565,0,Mass,1,0.559914279744562
L00190,34,19761913,56,5,26,38,54553975.404708795,0.691655255708269,0,Priority,0,0.2722358517099908
L00191,51,38096511,57,4,20,47,8022425.196366505,0.2767419772302564,0,Mass,0,0.2551429160722913
L00192,49,5793051,164,3,27,67,10100992.732868597,0.27941152688739423,0,Mass,0,0.46313098521154733
L00193,48,29969333,122,5,24,94,14066630.800579526,0.542514420547246,0,Mass,0,0.531107878966945
L00194,37,26751610,18,5,21,55,58964273.818695,0.6766707661075201,0,Mass,0,0.29813448888892036
L00195,64,29458135,174,2,17,26,6373647.096208295,0.19330504025755763,1,Mass,0,0.44804923363987537
L00196,24,9701150,129,5,26,97,5731564.347680296,0.33306033286754383,0,Mass,1,0.4697688076740794
L00197,36,47816800,10,1,20,38,19002836.914483514,0.6945089038250508,0,Priority,1,0.6020104442010853
L00198,26,14969456,132,1,31,17,30740490.616393976,0.18680179388894502,1,Mass,0,0.24363908016674912
L00199,36,35208721,107,1,15,59,7425868.33378547,0.8147376287147078,1,Mass,0,0.35146826721342755
L00200,64,38367100,165,2,13,81,29325814.053786054,0.4604385147461834,1,Affluent,1,0.7154679693286902
L00201,37,19823254,89,5,19,33,58935848.75698654,0.5773912251876624,0,Mass,1,0.05733219364545916
L00202,61,10014583,94,4,23,35,49824752.29497439,0.1223585585379448,0,Mass,1,0.4551555783867417
L00203,43,17646824,57,4,17,36,21356218.665043537,0.9090511198711824,0,Mass,0,0.1312963961405775
L00204,52,41119434,58,1,28,83,13700775.707454221,0.8667790294741902,1,Affluent,0,0.5580201473052357
L00205,41,45698777,112,3,16,97,85086963.77818462,0.2210708445080573,1,Mass,1,0.8474467794247709
L00206,32,47097735,149,2,30,87,15232848.71328401,0.6467920488760075,0,Affluent,0,0.4473152214885726
L00207,55,14410314,161,3,16,30,38413340.9840869,0.7638054968590906,0,Affluent,0,0.16159263971428123
L00208,64,31900476,139,2,20,87,106307058.01641534,0.15977066165242615,0,Affluent,1,0.5273826800716235
L00209,32,10947649,110,2,21,38,34581480.07216831,0.5697082034683378,0,Mass,0,0.07110656632442522
L00210,56,36676522,91,5,22,88,5534266.118918143,0.8154085371245587,0,Affluent,0,0.8199307445427332
L00211,32,23129912,62,3,22,100,4345007.217383678,0.5060426876966434,0,Mass,0,0.3829505402978686
L00212,53,36824984,139,3,23,75,11138647.09061472,0.8814068059323295,0,Mass,0,0.5907348342238694
L00213,56,35515825,58,1,14,96,30494591.02856484,0.09302170722855138,1,Mass,0,0.47557339747901384
L00214,41,49669166,49,4,23,22,23402341.18374271,0.8772896146763063,0,Mass,0,0.26349143884066173
L00215,54,26477593,157,3,26,69,136337341.48198363,0.9294962429548593,0,Priority,0,0.5753197410460525
L00216,33,19710760,107,2,16,14,23175750.358663335,0.19034789087580467,0,Mass,0,0.09928235625084189
L00217,24,28230751,64,4,18,69,10811484.884666072,0.437855176948181,0,Mass,0,0.34322799602590753
L00218,25,11491401,156,1,19,41,4829331.720719323,0.6086884303952003,0,Mass,0,0.2543493100961902
L00219,41,9140974,174,3,24,98,48836968.583415724,0.853914459459876,0,Mass,1,0.2532953662209087
L00220,61,27881692,58,5,29,55,14909356.544764003,0.19357355560076434,0,Affluent,0,0.4130795720200599
L00221,26,41968688,94,3,19,79,3326465.8459010036,0.35062516226372764,0,Mass,0,0.6270513456598092
L00222,41,28529491,88,1,20,37,15337653.28344112,0.7681368305309176,0,Affluent,0,0.4383668909265334
L00223,52,39968490,127,2,17,16,5541759.723676537,0.41900410644072406,0,Mass,0,0.4628120291247671
L00224,30,12183974,172,1,15,77,9800296.9942437,0.5944491272969965,0,Priority,1,0.2309452790305081
L00225,53,24671976,99,3,18,30,15093167.795361659,0.5540049708949953,1,Affluent,0,0.2606644734804068
L00226,34,32203033,144,2,18,75,6067047.952586929,0.9258545261089363,0,Mass,0,0.1978391911340419
L00227,57,19993084,108,1,19,52,9211254.320508193,0.17737810152513572,0,Affluent,1,0.4397913104343825
L00228,47,4649737,160,4,22,98,7127284.932245228,0.903596505878854,0,Mass,0,0.13747907769853426
L00229,45,7378595,73,1,19,42,7321103.037339066,0.5577356441190925,0,Mass,0,0.07399898904457668
L00230,28,46672746,70,2,24,46,5474109.882632587,0.8637370322497934,0,Mass,0,0.17359672594345213
L00231,41,31836300,77,5,22,77,9256126.313862855,0.15614792316413506,1,Mass,0,0.41398555367154616
L00232,59,16170416,180,1,19,81,6130962.54306241,0.6273527124918988,0,Priority,1,0.502398653260107
L00233,21,15905671,111,2,10,21,26967550.693840247,0.8060990327100892,0,Affluent,1,0.25877683351687125
L00234,55,5819769,28,2,19,77,18335705.05131301,0.7581933512722402,0,Mass,0,0.15433824735046797
L00235,43,47459757,8,3,23,54,49539257.00622629,0.05894449028082119,0,Priority,1,0.5677950044710498
L00236,53,8979474,94,2,15,99,98963747.03850171,0.4569849195909806,1,Mass,0,0.10293652131479797
L00237,50,38935015,146,5,23,67,29529070.388620935,0.15381205193169678,0,Mass,0,0.42092340935046735
L00238,40,15051451,87,1,12,80,23514969.6736295,0.18754259699996362,0,Affluent,0,0.5807559627400911
L00239,34,19438811,101,5,22,41,31449638.02046625,0.685658938982766,1,Mass,0,0.2495220548697857
L00240,49,16599683,144,3,22,35,23918184.278322212,0.9109215765781611,0,Affluent,0,0.11105612659558581
L00241,27,41927974,93,1,21,81,15772210.25025904,0.6206876970648814,0,Mass,1,0.5745494850127775
L00242,47,5509259,164,1,22,11,14566500.335531041,0.1421393547241035,0,Mass,0,0.07248017079709836
L00243,25,20205297,115,1,10,62,5399898.931683557,0.2695969326696422,0,Mass,0,0.4951851059746196
L00244,50,16850321,132,2,27,98,34707984.29379389,0.3909869576815231,0,Mass,0,0.8154326719769679
L00245,49,16555954,141,2,26,100,14537847.063682146,0.16282179605862013,0,Mass,0,0.3909385106445236
L00246,24,12875319,113,4,20,75,63915965.10926914,0.8131712921375555,0,Mass,1,0.4671878793884798
L00247,55,45972547,10,2,22,55,37456718.93507768,0.22505466489869552,0,Mass,0,0.16800349350056906
L00248,39,21416562,77,4,20,83,8021284.5615844205,0.16659596951037053,0,Affluent,0,0.23663595897619027
L00249,56,23237453,26,2,18,11,52182189.95145039,0.7031162049379834,0,Mass,0,0.08921079642301938
L00250,22,21717715,92,2,17,82,1158711.0744182651,0.16414911613901412,0,Mass,0,0.4991709900270632
L00251,29,49089997,26,2,18,27,103365985.34011152,0.41928750243366225,0,Mass,0,0.3060715341712459
L00252,43,19594356,92,2,16,76,3933796.2373964074,0.513957474276053,0,Mass,0,0.24894848359903135
L00253,29,19717598,62,5,22,41,24610234.186677806,0.12220636432540755,1,Mass,0,0.23167076942701756
L00254,35,19084498,4,2,14,78,22999359.489292234,0.5502093836616758,0,Mass,0,0.25536652329546305
L00255,50,19040476,23,2,16,64,46144005.59641277,0.4821476022949805,0,Mass,0,0.18210582529318636
L00256,27,8127638,91,5,20,94,10797918.605001178,0.6515746508542596,0,Priority,0,0.3165328068956267
L00257,51,31796684,15,4,19,81,1755110.3443944477,0.24723133697630045,0,Mass,0,0.28404355134326176
L00258,25,5159427,155,1,28,93,10813142.470412586,0.3709662296569824,0,Mass,1,0.31075969093043865
L00259,28,14393792,137,5,22,23,12047870.214161389,0.6436898051539806,0,Affluent,0,0.173125638613029
L00260,47,13297257,128,1,23,44,1932584.419251892,0.08203696001695747,0,Mass,0,0.23209450562217837
L00261,56,17408491,31,1,26,49,15696249.682023996,0.15421544851431157,0,Mass,0,0.09001156904623374
L00262,28,38805873,144,3,15,12,5115109.017331034,0.30519664818357534,1,Mass,1,0.39811715509160467
L00263,34,31576860,115,4,23,12,28706836.62118936,0.1457207365164692,0,Mass,0,0.3236067558258798
L00264,62,49577249,71,1,22,13,11727898.202942874,0.08556122210477743,0,Affluent,0,0.322579300695577
