Loan_ID,Customer_Segment,Loan_Type,Loan_Amount,Interest_Rate,Tenor_Months,PD_Base,LGD_Base,Annual_Operating_Cost,EAD,Expected_Loss_Base,Expected_Interest_Income,Expected_Profit_Base,Maturity_Years
L00052,Mass,Mortgage,86265693.15373504,0.07820230118218348,60,0.035669413474306876,0.43019662896401467,1137965.0149932702,86265693.15373504,1323735.1079322218,6746175.717698211,4284475.594772719,5.0
L00053,Affluent,Mortgage,44544133.14557639,0.08129012748725843,48,0.11612691218964495,0.15505705837673647,1954397.0705708438,44544133.14557639,802074.908955803,3620998.2622133186,864526.2826866717,4.0
L00054,Mass,Consumer,63663894.556732655,0.09938893176680799,36,0.030900557777711543,0.207137983412933,2990728.402804719,63663894.556732655,407492.16723430704,6327486.47210836,2929265.9020693344,3.0
L00055,Affluent,Auto,128276346.73840103,0.13132170839916885,24,0.11079411769475175,0.3403197797728145,2947484.444552647,128276346.73840103,4836714.778479155,16845469.000890974,9061269.777859172,2.0
L00056,Affluent,Consumer,109852348.43088895,0.09188798258145536,24,0.15236417558563273,0.2696032254354555,3121976.548160633,109852348.43088895,4512500.837226493,10094110.67914949,2459633.2937623635,2.0
L00057,Mass,Mortgage,1195162897.7726192,0.0942660986458316,60,0.01,0.22211459303766157,2946688.98776477,1195162897.7726192,2654631.2065247768,112663343.61927168,107062023.42498213,5.0
L00058,Mass,Mortgage,43734840.2705143,0.09389560023387027,24,0.10368250572489704,0.46561001228482696,2526407.3199961227,43734840.2705143,2111326.213207466,4106509.0783323813,-531224.4548712075,2.0
L00059,Mass,Mortgage,109253153.89446244,0.09542884566680399,12,0.012715336513014186,0.15,1357157.6644138014,109253153.89446244,208378.59253143243,10425902.36160624,8860366.104661006,1.0
L00060,Mass,Consumer,41251713.83279237,0.10479791680644071,24,0.01,0.2664235952736542,2981130.3430904234,41251713.83279237,109904.29910532478,4323093.674372074,1232059.032176326,2.0
L00061,Mass,Consumer,89716288.01519912,0.0819590968580684,36,0.0772239253764437,0.32324660465347854,1416038.8345250683,89716288.01519912,2239531.3268218916,7353065.939184067,3697495.777837107,3.0
L00062,Mass,Consumer,92496597.14274126,0.12451847921388512,36,0.058782183111451995,0.35348646167282494,2083176.6567781782,92496597.14274126,1921959.5903958324,11517535.608673533,7512399.361499523,3.0
L00063,Mass,Consumer,226139431.473402,0.10239322059582635,60,0.07221984576276474,0.4277499595752622,5014657.639473623,226139431.473402,6985907.481965855,23155144.692270808,11154579.57083133,5.0
L00064,Affluent,Consumer,85647654.38682853,0.14962442234505602,36,0.11012214742973725,0.23025963393536905,1143520.7379589998,85647654.38682853,2171740.6237104055,12814980.812838221,9499719.451168817,3.0
L00065,Mass,Working Capital,103959566.79611386,0.08387572202609973,60,0.23815818339614236,0.26915776123627355,2349358.865921781,103959566.79611386,6664028.985924854,8719683.726544594,-293704.1253020405,5.0
L00066,Mass,Mortgage,86899586.2402377,0.13361759109284835,36,0.20465791082943882,0.252214215412518,3858995.176533402,86899586.2402377,4485551.072738718,11611313.380385792,3266767.1311136717,3.0
L00067,Mass,Mortgage,41959418.90883903,0.13004421716375675,36,0.07517073477076841,0.4399178856228981,3440618.5206491756,41959418.90883903,1387553.9553421985,5456579.784646104,628407.3086547297,3.0
L00068,Mass,Consumer,73583069.39931239,0.09758968784077832,24,0.05655386829477465,0.19947293806749636,2912770.0121244895,73583069.39931239,830088.1237778412,7180948.773045223,3438090.6371428925,2.0
L00069,Mass,Consumer,90110726.30955257,0.09788890895678638,24,0.05933396676000943,0.424242550275297,1781847.4660888629,90110726.30955257,2268266.605790079,8820840.683745686,4770726.611866744,2.0
L00070,Mass,Mortgage,126831718.33713835,0.08841663930966186,60,0.03127207684469261,0.15724347359448898,4814862.563018125,126831718.33713835,623673.4122083182,11214034.293239387,5775498.3180129435,5.0
L00071,Mass,Consumer,182491246.62993497,0.08862321434568801,48,0.09457808662007527,0.15,1355675.2016954133,182491246.62993497,2588950.9396757265,16172960.866296541,12228334.724925403,4.0
L00072,Mass,Consumer,100639453.27937903,0.10498909290405255,36,0.17435907878136955,0.18419831070756806,3535156.949782254,100639453.27937903,3232201.872543549,10566044.91016178,3798686.087835977,3.0
L00073,Affluent,Mortgage,99321249.86624509,0.10537252771643449,60,0.14069266241855427,0.3726777370345779,2698800.966438306,99321249.86624509,5207713.383344985,10465731.154361825,2559216.804578535,5.0
L00074,Mass,Mortgage,33012354.62295943,0.07615760519505904,60,0.06861176230460016,0.2271196982202936,1686986.991425563,33012354.62295943,514434.25382835837,2514141.8699346264,312720.6246807049,5.0
L00075,Mass,Working Capital,179880480.0683059,0.14628309581986554,12,0.055799111178568755,0.15348037568090442,2057993.2104870346,179880480.0683059,1540508.7614548285,26313473.501955405,22714971.530013543,1.0
L00076,Mass,Consumer,71205376.44389525,0.10032869657106488,36,0.07854834367742371,0.2090103391768848,6183323.39285002,71205376.44389525,1169008.2832264008,7143942.607468017,-208389.0686084032,3.0
L00077,Mass,Mortgage,210152650.00889137,0.10618102098990939,48,0.10292832352799319,0.21468721517865702,1398257.6222573323,210152650.00889137,4643826.147223652,22314222.941679176,16272139.172198191,4.0
L00078,Mass,Consumer,322087002.6690174,0.09372772619855804,60,0.11612344649126594,0.3256753361398677,1037008.5107987412,322087002.6690174,12180860.989396894,30188482.398275893,16970612.898080256,5.0
L00079,Mass,Consumer,104225359.47216858,0.10019382829634699,12,0.09516105896916997,0.3003078535204843,1817231.806722339,104225359.47216858,2978512.025069981,10442737.771079501,5646993.939287181,1.0
L00080,Affluent,Auto,55701567.156829506,0.09855819399760424,24,0.07084786533647652,0.40190676155258204,3073350.4895200697,55701567.156829506,1586059.5754941278,5489845.861813383,830435.7967991857,2.0
L00081,Mass,Consumer,118506496.6315466,0.1049472523351453,36,0.09088645318002128,0.38774459290601904,5094696.301972053,118506496.6315466,4176255.5445350474,12436931.205344968,3165979.358837867,3.0
L00082,Mass,Mortgage,155869363.24040744,0.10473738161229393,24,0.25144676038075503,0.21474477933359618,2531814.8758857506,155869363.24040744,8416459.157939516,16325348.979375813,5377074.945550546,2.0
L00083,Affluent,Consumer,94713045.03312744,0.11948759427373926,12,0.27917597305911884,0.15,1107406.4296163297,94713045.03312744,3966240.9762773244,11317033.897348726,6243386.491455073,1.0
L00084,Mass,Consumer,78607171.50129974,0.10908995886777796,48,0.0777003611504238,0.2421340838544114,2622382.3958338536,78607171.50129974,1478907.9168675682,8575253.105789157,4473962.793087735,4.0
L00085,Mass,Working Capital,183119858.1114993,0.11767709436719105,36,0.05264726138304551,0.355600745530565,3835355.648623922,183119858.1114993,3428261.1001211037,21549012.82349354,14285396.074748516,3.0
L00086,Mass,Consumer,174282134.51668662,0.10482340520750218,24,0.06817061041565875,0.25989085479158186,2934549.0979477684,174282134.51668662,3087742.3231476527,18268846.80687104,12246555.38577562,2.0
L00087,Affluent,Auto,92552357.6040422,0.10916254599190603,36,0.1930336279229667,0.19014727762356792,3200085.55105214,92552357.6040422,3397117.5190113713,10103250.99361059,3506047.92354708,3.0
L00088,Mass,Consumer,34707025.09739266,0.10065649771170111,12,0.11144709915676883,0.29000993594844704,980488.053225392,34707025.09739266,1121757.6397864623,3493487.592295658,1391241.8992838035,1.0
L00089,Mass,Working Capital,168979157.99029323,0.12305601121807767,36,0.031816856680717175,0.3914595541623446,1277911.8854937705,168979157.99029323,2104637.530260578,20793901.161274843,17411351.745520495,3.0
L00090,Mass,Consumer,67491141.19439334,0.11080720373128664,48,0.12791865934706034,0.4012254427954522,2338070.1826990433,67491141.19439334,3463930.2285424965,7478504.6323841745,1676504.2211426347,4.0
L00091,Mass,Consumer,140927778.4119793,0.10215465261876779,60,0.18799891616919684,0.40131563741113113,4406307.291101202,140927778.4119793,10632564.692099746,14396428.248010427,-642443.7351905219,5.0
L00092,Affluent,Auto,134405273.75145167,0.10161761757807622,24,0.1273510687938256,0.2919130725933839,1684679.375275798,134405273.75145167,4996575.430570011,13657943.708551662,6976688.902705852,2.0
L00093,Mass,Consumer,29101251.27808884,0.10303369185755405,60,0.04213931525856221,0.21791102269313276,2769456.2906294386,29101251.27808884,267225.7693650356,2998409.3568558567,-38272.70313861733,5.0
L00094,Mass,Consumer,127523799.01113333,0.10554799062618657,60,0.10702452135160562,0.38110986390552487,2716677.10225924,127523799.01113333,5201453.564239464,13459880.742642801,5541750.076144097,5.0
L00095,Mass,Working Capital,176512401.4032365,0.10398550017805942,36,0.06664179280177064,0.30996468379530384,1484290.5632198055,176512401.4032365,3646146.4650405953,18354730.347545948,13224293.319285547,3.0
L00096,Mass,Mortgage,193515198.4341949,0.09494085020619553,60,0.06712773277782492,0.4747935947366854,1730082.1681515707,193515198.4341949,6167681.098054466,18372497.4671631,10474734.200957065,5.0
L00097,Mass,Auto,131041760.66520497,0.11876820999482869,24,0.05544949703815312,0.4620956573830369,2468698.6532801404,131041760.66520497,3357679.336234227,15563595.348777147,9737217.35926278,2.0
L00098,Mass,Mortgage,27237704.542111963,0.11990536786586706,12,0.013642138513120683,0.25873023450387883,2082318.8278495953,27237704.542111963,96139.11977080237,3265946.9829437328,1087489.0353233349,1.0
L00099,Mass,Auto,312718223.11040825,0.13710942308221344,60,0.09126453411832856,0.38779134898728873,3768152.9297377123,312718223.11040825,11067597.264474567,42876615.15796298,28040864.963750698,5.0
L00100,Priority,Working Capital,163327721.46013805,0.0941346652083943,36,0.0689269973409607,0.15,2025665.783974434,163327721.46013805,1688653.4134182155,15374800.378899971,11660481.181507323,3.0
L00101,Affluent,Mortgage,48667051.75360291,0.1169958970527379,36,0.09402041312335647,0.15490689484821274,3895535.7573832264,48667051.75360291,708806.9073626725,5693845.376824793,1089502.7120788945,3.0
L00102,Affluent,Consumer,66464599.1736428,0.07063552830691172,12,0.12195624734559417,0.393216727869836,2086320.4355298276,66464599.1736428,3187325.573879385,4694762.076337388,-578883.9330718247,1.0
L00103,Mass,Consumer,142723601.00250673,0.11992277517039397,12,0.1550100173311708,0.4366817493110587,2530093.1411750866,142723601.00250673,9660967.049910123,17115810.31453263,4924750.123447421,1.0
L00104,Priority,Mortgage,199802601.72088757,0.07878152192987067,12,0.016890003338932622,0.16900493285914547,3729392.793468093,199802601.72088757,570335.3038777044,15740753.04911932,11441024.951773522,1.0
L00105,Affluent,Auto,83222654.507885,0.08728204013569886,24,0.03319216313742322,0.15,2369532.106896032,83222654.507885,414350.9887732693,7263843.070956618,4479959.975287316,2.0
L00106,Affluent,Mortgage,222880510.01351207,0.11098005592228473,60,0.05190104616373802,0.6839916506583638,2020277.6729947706,222880510.01351207,7912231.858275384,24735291.46528691,14802781.934016757,5.0
L00107,Mass,Consumer,31278051.48184398,0.09381301736239837,24,0.16962505760778349,0.18449067360172205,2414988.657497687,31278051.48184398,978822.885393063,2934288.386728219,-459523.15616253065,2.0
L00108,Mass,Consumer,54907364.55736231,0.09134963681994761,60,0.17231621153917698,0.24795729337602615,3907602.8032176183,54907364.55736231,2346030.33774651,5015767.81105551,-1237865.3299086178,5.0
L00109,Mass,Mortgage,25513780.944992196,0.09627331159502978,12,0.07998868625709031,0.2998536755788323,2950926.703556707,25513780.944992196,611945.5248715215,2456296.182884567,-1106576.0455436618,1.0
L00110,Affluent,Auto,61217793.18810352,0.11813326785453346,36,0.09159454441033436,0.3156611903566995,855539.2130907706,61217793.18810352,1769980.4382798988,7231857.960153666,4606338.308782997,3.0
L00111,Mass,Consumer,371871971.0496372,0.08820797286448062,60,0.0142552329796199,0.3908012501046712,1742354.1286396184,371871971.0496372,2071684.9427277672,32802072.731407322,28988033.660039935,5.0
L00112,Mass,Mortgage,561630083.47665,0.10402521244399435,24,0.1425817762755589,0.4895647726357467,1749884.9295583705,561630083.47665,39203473.07641646,58423688.748596795,17470330.742621962,2.0
L00113,Mass,Auto,143084389.69936216,0.09818418687829195,24,0.08278029747229405,0.4336189843514246,3346939.9435463715,143084389.69936216,5136029.694953117,14048624.457608525,5565654.819109036,2.0
L00114,Mass,Working Capital,74341536.80667438,0.11975803388392224,60,0.03492058300663179,0.15,959023.8256004147,74341536.80667438,389407.47103470674,8902996.283876562,7554564.98724144,5.0
L00115,Mass,Consumer,101622179.87178981,0.12026259157349117,24,0.06175596001819016,0.15,2875311.3698833515,101622179.87178981,941366.2915685371,12221346.712728914,8404669.051277027,2.0
L00116,Affluent,Working Capital,171142520.21197483,0.07196492764614998,12,0.02734092895509333,0.15,3435975.4225737136,171142520.21197483,701879.3229466842,12316259.084234528,8178404.33871413,1.0
L00117,Affluent,Mortgage,37160861.754371695,0.12381196953775767,60,0.1253681246940092,0.3047581141944419,3436221.102259713,37160861.754371695,1419803.3082189728,4600959.483529092,-255064.92694959417,5.0
L00118,Affluent,Auto,78109943.07141668,0.09400639368374139,36,0.06508339970602507,0.31974111206677214,2396355.926485418,78109943.07141668,1625455.3083003429,7342834.058986224,3321022.824200464,3.0
L00119,Mass,Consumer,352010691.46598035,0.10925325957474012,48,0.1100713906642648,0.15185797646283059,1114424.4863124313,352010691.46598035,5883935.675950764,38458315.447816506,31459955.28555331,4.0
L00120,Mass,Mortgage,54773647.3647415,0.08809964267310066,24,0.19615199522616938,0.2713482034183749,2198303.9542813255,54773647.3647415,2915354.3023209837,4825538.760736148,-288119.4958661613,2.0
L00121,Mass,Mortgage,68423960.86541124,0.11168042284877609,24,0.0436519222049131,0.3292559665484266,5223668.970602245,68423960.86541124,983434.0405417556,7641616.882437234,1434513.8712932328,2.0
L00122,Mass,Consumer,121193323.41321315,0.15092428116517984,36,0.015429960789875538,0.1675933679682469,1855873.361969346,121193323.41321315,313400.9771025255,18291015.218158353,16121740.879086481,3.0
L00123,Mass,Mortgage,148390666.92440796,0.1072889801031306,48,0.018633381889525784,0.4930762327417558,7438784.058026055,148390666.92440796,1363365.6281154412,15920683.311143085,7118533.625001589,4.0
L00124,Mass,Mortgage,75093853.26867285,0.09672274108236557,24,0.0829605423898816,0.38892969384189174,3750416.6621005954,75093853.26867285,2422964.628967846,7263283.326582996,1089902.035514555,2.0
L00125,Mass,Mortgage,127130615.97926658,0.10082109777584025,60,0.1699107700966616,0.15,2327469.6301887506,127130615.97926658,3240129.1295850207,12817448.263948435,7249849.504174665,5.0
L00126,Mass,Consumer,189321455.50695166,0.07855746076971565,48,0.1225788620575169,0.20318843149804752,2798707.0412388006,189321455.50695166,4715355.0352658,14872612.813852822,7358550.737348222,4.0
L00127,Mass,Mortgage,522476815.49952763,0.13108133915096024,36,0.05963032894558598,0.47512183878584824,3014644.683834996,522476815.49952763,14802641.521924507,68486960.65100726,50669674.445247754,3.0
L00128,Mass,Consumer,109159319.10197668,0.11063189593673899,36,0.05986585218054496,0.2524018379218015,1873313.7307127984,109159319.10197668,1649424.7236235044,12076502.431415169,8553763.977078866,3.0
L00129,Mass,Working Capital,116340211.48234704,0.08611983768663875,36,0.02113325031124289,0.481486287743621,2032706.6443838985,116340211.48234704,1183804.7256696674,10019200.129288953,6802688.759235388,3.0
L00130,Mass,Working Capital,377315233.90687156,0.08670627077768245,48,0.04927436846696961,0.5303387504996323,6777494.53693155,377315233.90687156,9860042.066856334,32715596.839673795,16078060.235885913,4.0
L00131,Mass,Consumer,79488896.80358002,0.10527508282467887,24,0.21336777300838974,0.29736002432612896,5270618.555881157,79488896.80358002,5043335.705672928,8368200.194639238,-1945754.0669148471,2.0
L00132,Affluent,Consumer,44443866.60102963,0.12177591708009276,60,0.08899840241762418,0.2773262490759293,2069700.993644868,44443866.60102963,1096945.4319586097,5412192.613925688,2245546.1883222098,5.0
L00133,Mass,Consumer,144774661.4316675,0.08428218164273452,36,0.11187265926577504,0.15,1693623.2216229418,144774661.4316675,2429448.9552994324,12201924.312049191,8078852.135126816,3.0
L00134,Mass,Mortgage,268976230.05722886,0.12504136815360908,60,0.21525588539642063,0.22555292492405393,1127168.5006559675,268976230.05722886,13059224.86755312,33633155.80715581,19446762.43894672,5.0
L00135,Mass,Working Capital,157319236.46782783,0.10335059606477573,60,0.04600230723050541,0.16036877920067033,7349096.928205481,157319236.46782783,1160596.5286029112,16259036.86140541,7749343.404597018,5.0
L00136,Mass,Mortgage,111578680.82024595,0.08825561906987225,12,0.08226133052090095,0.2520576982243664,4172175.395634352,111578680.82024595,2313539.496536138,9847445.550790489,3361730.658619999,1.0
L00137,Priority,Consumer,40495737.14650651,0.09658157232168639,36,0.08062380739001539,0.3714681771963414,4662290.841231271,40495737.14650651,1212814.0712154703,3911141.9659353206,-1963962.9465114204,3.0
L00138,Mass,Consumer,114860093.42654355,0.13647396978833476,36,0.05817663274816199,0.19816249416919993,1905222.3825885744,114860093.42654355,1324156.161820624,15675412.920179412,12446034.375770213,3.0
L00139,Affluent,Consumer,302583701.2425021,0.08001215994218393,36,0.05606680118216667,0.15,1843521.2532293617,302583701.2425021,2544735.0327791227,24210375.499713074,19822119.21370459,3.0
L00140,Mass,Auto,47555808.23706222,0.09182592679296936,60,0.1339473940251398,0.30544623159797424,1577027.1560813326,47555808.23706222,1945685.3429848852,4366856.165756965,844143.6666907475,5.0
L00141,Mass,Mortgage,99876194.34666352,0.12214650452342857,24,0.014452831496892443,0.27595969183100494,514940.98996051715,99876194.34666352,398346.10626199207,12199528.024547566,11286240.928325055,2.0
L00142,Mass,Mortgage,89736553.43236567,0.10889622678216543,48,0.025431815864525815,0.24712573955225128,1614476.2663977095,89736553.43236567,563981.3435097068,9771972.073220797,7593514.46331338,4.0
L00143,Priority,Consumer,71108957.59963024,0.09075766527135505,60,0.03352638735936219,0.4750371336252807,2933175.638086336,71108957.59963024,1132501.0947178123,6453682.97162222,2388006.2388180713,5.0
L00144,Mass,Working Capital,144522325.32987848,0.12236627825456681,60,0.11987767723101231,0.19996934341356234,2830599.539218935,144522325.32987848,3464469.008333577,17684659.07531294,11389590.527760427,5.0
L00145,Mass,Consumer,167330462.36983454,0.12322132319704525,12,0.0596489790975497,0.3520200029790846,1837141.8985773642,167330462.36983454,3513543.7723626797,20618680.9843844,15267995.313444356,1.0
