Customer_ID,Age,Monthly_Income,Tenure_Months,Product_Count,Digital_Engagement,Balance,Prior_Monthly_Transactions,Segment,Treatment,Campaign_Name,Conversion,Propensity_True
C00038,58,21122443.0,123,2,77,28111187.0,27,Affluent,1,Personal Loan Offer,0,0.5412459562044774
C00039,33,11653308.0,179,5,26,18547341.0,21,Mass,0,Personal Loan Offer,0,0.4863983871467834
C00040,49,11798797.0,105,5,43,32546268.0,20,Mass,1,Personal Loan Offer,0,0.508544196399287
C00041,28,8703198.0,72,2,41,23047567.0,28,Mass,0,Personal Loan Offer,0,0.22346147500854813
C00042,55,12812546.0,90,1,56,14975267.0,24,Mass,1,Personal Loan Offer,0,0.3948737927627868
C00043,52,14293515.0,40,3,53,92248908.0,16,Mass,0,Personal Loan Offer,0,0.24162877689635814
C00044,36,7795639.0,73,1,27,40601207.0,25,Mass,0,Personal Loan Offer,0,0.29092428488391886
C00045,24,11202447.0,169,1,31,27054399.0,20,Affluent,1,Personal Loan Offer,0,0.2763834467361311
C00046,64,8579300.0,111,3,27,39974914.0,27,Affluent,0,Personal Loan Offer,0,0.38586576083618584
C00047,41,42509258.0,79,5,15,9878916.0,18,Affluent,1,Personal Loan Offer,0,0.5112505839406668
C00048,61,11422153.0,25,6,69,176003524.0,18,Mass,1,Personal Loan Offer,0,0.6260451828673382
C00049,51,28072328.0,164,4,52,6740237.0,25,Affluent,1,Personal Loan Offer,1,0.7061319911962219
C00050,56,10775924.0,31,2,19,22396416.0,28,Mass,0,Personal Loan Offer,0,0.26415328450559833
C00051,55,13839334.0,131,2,40,15018849.0,15,Affluent,1,Personal Loan Offer,0,0.3867599167214165
C00052,29,5801732.0,56,4,70,14459012.0,17,Mass,1,Personal Loan Offer,0,0.6303089041000358
C00053,37,9384100.0,52,2,35,12698394.0,32,Affluent,1,Personal Loan Offer,0,0.5983123537168159
C00054,42,13473176.0,33,4,46,9244440.0,23,Mass,0,Personal Loan Offer,0,0.409784439997505
C00055,43,28708945.0,69,5,77,65632728.0,27,Mass,1,Personal Loan Offer,0,0.5667329779128595
C00056,22,13558277.0,123,6,71,5995622.0,22,Mass,0,Personal Loan Offer,0,0.5194497637139397
C00057,45,25686173.0,77,1,73,53479381.0,36,Mass,1,Personal Loan Offer,0,0.5286502176574754
C00058,27,17069746.0,7,2,44,38254837.0,28,Priority,1,Personal Loan Offer,1,0.4443743331348359
C00059,54,29370107.0,49,2,54,13665045.0,27,Affluent,0,Personal Loan Offer,1,0.2811255212880084
C00060,51,11616580.0,31,4,86,34067354.0,24,Affluent,0,Personal Loan Offer,0,0.7424198450108739
C00061,62,44680141.0,74,2,89,17078720.0,30,Priority,1,Personal Loan Offer,1,0.7840163131047114
C00062,54,9188372.0,163,6,15,6650725.0,19,Mass,1,Personal Loan Offer,0,0.4916426985807327
C00063,37,7872319.0,174,6,86,6721414.0,19,Affluent,0,Personal Loan Offer,0,0.7956914040359618
C00064,64,6168018.0,180,2,91,38519854.0,33,Priority,1,Personal Loan Offer,1,0.6429039167499248
C00065,39,43248832.0,23,3,95,36572720.0,17,Mass,0,Personal Loan Offer,0,0.6666734918972125
C00066,35,18832852.0,89,3,34,25476175.0,16,Mass,1,Personal Loan Offer,0,0.4601477003874021
C00067,61,9985562.0,11,1,55,13520617.0,21,Mass,0,Personal Loan Offer,0,0.20874158143099644
C00068,37,23852025.0,91,6,13,16532047.0,25,Affluent,0,Personal Loan Offer,1,0.41699194667003314
C00069,24,17516396.0,105,5,19,14442556.0,25,Affluent,1,Personal Loan Offer,0,0.41910052754067645
C00070,42,35384602.0,140,2,61,3486116.0,33,Mass,0,Personal Loan Offer,0,0.5909082644278204
C00071,56,5122275.0,62,4,28,21263363.0,31,Affluent,0,Personal Loan Offer,0,0.3372218027886662
C00072,29,10370431.0,9,3,30,33723237.0,19,Affluent,1,Personal Loan Offer,0,0.2881720521018504
C00073,41,9304702.0,83,2,37,21398933.0,27,Mass,1,Personal Loan Offer,0,0.26628211681918573
C00074,26,4052691.0,79,2,51,117317208.0,28,Affluent,0,Personal Loan Offer,0,0.48076772210458246
C00075,51,21500724.0,114,1,23,7324099.0,11,Affluent,0,Personal Loan Offer,0,0.28058987747018965
C00076,42,10341744.0,20,5,83,10325624.0,26,Mass,1,Personal Loan Offer,0,0.403964450528542
C00077,35,18023993.0,112,4,70,22845434.0,33,Mass,0,Personal Loan Offer,1,0.3832113794357295
C00078,31,43938073.0,74,6,82,25520935.0,28,Affluent,1,Personal Loan Offer,1,0.7716281625763085
C00079,46,9881088.0,134,1,94,2987759.0,31,Mass,1,Personal Loan Offer,0,0.503553268570699
C00080,51,9518835.0,178,4,64,36540830.0,26,Mass,1,Personal Loan Offer,0,0.4822337985235513
C00081,63,12809306.0,43,4,42,25637320.0,26,Affluent,1,Personal Loan Offer,0,0.40719562121270914
C00082,40,20653663.0,137,4,98,2402090.0,22,Mass,0,Personal Loan Offer,0,0.7088549995145926
C00083,28,8786483.0,25,6,61,17796877.0,23,Mass,1,Personal Loan Offer,1,0.5756509834409161
C00084,58,8481419.0,178,3,52,8910147.0,22,Affluent,1,Personal Loan Offer,0,0.48207057808023407
C00085,49,21463649.0,88,1,47,12710253.0,22,Affluent,0,Personal Loan Offer,0,0.43295658948958027
C00086,52,14778276.0,135,1,13,5246869.0,17,Mass,1,Personal Loan Offer,0,0.36859915415139877
C00087,25,3897386.0,141,3,96,30323438.0,17,Mass,1,Personal Loan Offer,0,0.3984143414526417
C00088,35,6116201.0,111,2,84,116455433.0,23,Mass,1,Personal Loan Offer,0,0.4284125361654119
C00089,55,27401188.0,71,1,73,26069234.0,29,Mass,0,Personal Loan Offer,1,0.41607796906058214
C00090,58,14968788.0,137,1,30,2307923.0,20,Priority,0,Personal Loan Offer,0,0.5063835256227246
C00091,40,7890811.0,87,2,94,26611097.0,21,Mass,1,Personal Loan Offer,0,0.45258365170356063
C00092,57,10926394.0,120,1,26,16462639.0,25,Mass,1,Personal Loan Offer,0,0.18089484464690186
C00093,58,12087681.0,112,3,31,6650684.0,33,Affluent,0,Personal Loan Offer,0,0.38275602338215553
C00094,38,17985394.0,85,4,16,28484387.0,19,Affluent,0,Personal Loan Offer,0,0.3847932530256562
C00095,61,5685174.0,23,2,36,48206651.0,25,Affluent,0,Personal Loan Offer,0,0.49869982603887353
C00096,33,7556322.0,55,1,39,10249601.0,27,Mass,0,Personal Loan Offer,0,0.2425145311180403
C00097,31,13943763.0,169,4,82,3865146.0,31,Mass,1,Personal Loan Offer,0,0.4762873743008025
C00098,51,11358855.0,95,1,39,2675296.0,22,Priority,0,Personal Loan Offer,0,0.2788427673602091
C00099,49,16435263.0,116,5,96,10278426.0,34,Affluent,1,Personal Loan Offer,1,0.67728686363677
C00100,27,6102372.0,49,3,37,17119682.0,25,Affluent,0,Personal Loan Offer,0,0.6943347186721368
C00101,58,14604467.0,128,3,57,11938001.0,25,Mass,0,Personal Loan Offer,0,0.4705855809517248
C00102,29,21873539.0,89,2,63,10099139.0,32,Affluent,1,Personal Loan Offer,0,0.5785224317398885
C00103,57,15684247.0,41,2,85,35291135.0,23,Priority,0,Personal Loan Offer,0,0.6067872966622884
C00104,21,12954175.0,29,1,78,31771140.0,34,Mass,0,Personal Loan Offer,0,0.46126172943522936
C00105,56,11383565.0,73,4,88,24418125.0,21,Mass,1,Personal Loan Offer,0,0.6547161209122295
C00106,56,7581708.0,103,1,95,45250787.0,24,Mass,0,Personal Loan Offer,0,0.5448901951346181
C00107,56,11534095.0,52,5,20,10375268.0,29,Affluent,0,Personal Loan Offer,0,0.4624023052567819
C00108,50,23992586.0,46,2,18,6693742.0,25,Mass,0,Personal Loan Offer,0,0.28332970259305024
C00109,42,11239574.0,50,4,50,11862695.0,24,Mass,1,Personal Loan Offer,0,0.38022299761722955
C00110,52,7355986.0,55,4,23,11072112.0,28,Affluent,0,Personal Loan Offer,0,0.43153459005998135
C00111,33,9153815.0,134,4,54,2571380.0,22,Affluent,0,Personal Loan Offer,0,0.4962348167586868
C00112,56,13401603.0,91,5,63,11590243.0,33,Mass,1,Personal Loan Offer,1,0.7679253415422417
C00113,46,9771539.0,86,4,35,60375466.0,30,Priority,0,Personal Loan Offer,0,0.6264211726973489
C00114,41,15671182.0,31,6,18,44548822.0,21,Mass,0,Personal Loan Offer,0,0.3162644699620928
C00115,43,15998112.0,99,2,97,33815394.0,21,Mass,0,Personal Loan Offer,0,0.3918924367289552
C00116,46,19567057.0,174,5,43,22813451.0,31,Mass,1,Personal Loan Offer,0,0.42536923883805833
C00117,22,26255208.0,135,3,86,85168428.0,27,Mass,0,Personal Loan Offer,1,0.45167587141914395
C00118,27,20751716.0,82,4,66,6927953.0,29,Affluent,0,Personal Loan Offer,0,0.5232582138842858
C00119,32,7178390.0,57,3,70,7620981.0,24,Affluent,1,Personal Loan Offer,0,0.3882235367056192
C00120,26,7300645.0,65,6,81,61560938.0,17,Affluent,1,Personal Loan Offer,1,0.6166841286519966
C00121,40,11510185.0,7,2,34,20559789.0,22,Affluent,1,Personal Loan Offer,0,0.31649329411442845
C00122,51,9362948.0,8,4,29,10222120.0,30,Priority,1,Personal Loan Offer,0,0.4812940990306027
C00123,50,6416206.0,141,1,100,34731842.0,18,Priority,1,Personal Loan Offer,0,0.5631151305952892
C00124,42,9411912.0,153,4,70,12900490.0,28,Mass,0,Personal Loan Offer,0,0.3887440857002504
C00125,59,9243536.0,175,1,36,8655602.0,15,Affluent,1,Personal Loan Offer,0,0.4455079989560944
C00126,46,8292823.0,114,3,68,8418069.0,22,Mass,1,Personal Loan Offer,0,0.4886480220181455
C00127,24,10086747.0,168,1,45,27585262.0,16,Affluent,1,Personal Loan Offer,1,0.28325670201336073
C00128,55,22943958.0,77,2,88,24570530.0,28,Mass,0,Personal Loan Offer,0,0.4251609307363715
C00129,46,13389724.0,48,3,56,91147497.0,29,Mass,1,Personal Loan Offer,1,0.2750988587534573
C00130,49,46730714.0,46,2,38,14963936.0,23,Priority,0,Personal Loan Offer,0,0.33470091551309117
C00131,46,13179811.0,45,3,72,14710813.0,17,Affluent,0,Personal Loan Offer,0,0.6470567537824532
C00132,45,10230470.0,135,1,78,84382987.0,25,Mass,1,Personal Loan Offer,0,0.5471965872896709
C00133,25,12027308.0,4,5,43,53590889.0,21,Mass,0,Personal Loan Offer,0,0.36898580826832794
C00134,46,13818071.0,171,5,78,23118440.0,21,Mass,1,Personal Loan Offer,1,0.722663788640576
C00135,56,15245682.0,140,3,31,4198467.0,19,Affluent,0,Personal Loan Offer,0,0.45192616677735625
C00136,34,37603528.0,70,1,31,8880674.0,29,Mass,0,Personal Loan Offer,0,0.35614438115250474
C00137,48,7538177.0,127,1,85,6970155.0,25,Mass,1,Personal Loan Offer,0,0.5381012659207386
C00138,22,19247515.0,27,5,66,20742486.0,27,Affluent,0,Personal Loan Offer,1,0.6813252597620516
C00139,36,13452561.0,79,6,13,12029851.0,23,Mass,1,Personal Loan Offer,0,0.3841657654528689
C00140,40,5057149.0,22,6,71,99348827.0,21,Mass,0,Personal Loan Offer,0,0.5406794382820334
C00141,65,18334618.0,22,3,37,4154928.0,27,Affluent,0,Personal Loan Offer,0,0.41002964638469064
C00142,30,24097295.0,4,3,34,6261330.0,18,Affluent,0,Personal Loan Offer,0,0.23863373528320034
C00143,33,7489182.0,144,1,48,25542943.0,24,Mass,0,Personal Loan Offer,1,0.22696895539674364
C00144,39,11941181.0,135,1,51,33688897.0,31,Mass,0,Personal Loan Offer,0,0.5588989705640636
C00145,65,4645792.0,161,5,91,1504704.0,31,Affluent,0,Personal Loan Offer,1,0.5625145767033839
C00146,59,6004824.0,177,3,49,3526557.0,16,Mass,0,Personal Loan Offer,0,0.17695774021705638
C00147,22,21355790.0,174,3,36,15365559.0,24,Mass,1,Personal Loan Offer,0,0.47603842976739486
C00148,31,9284790.0,179,3,80,77616180.0,22,Mass,1,Personal Loan Offer,0,0.5328474067897507
C00149,57,6521243.0,5,2,59,132091275.0,32,Mass,1,Personal Loan Offer,0,0.44783386088425753
C00150,23,13614152.0,142,6,10,13213444.0,27,Affluent,1,Personal Loan Offer,0,0.4031156585060722
C00151,59,9003198.0,131,5,67,16862383.0,36,Priority,1,Personal Loan Offer,1,0.7458491206577331
C00152,33,9262322.0,31,5,55,8661315.0,28,Affluent,1,Personal Loan Offer,0,0.7166247730519006
C00153,62,18020968.0,27,3,62,37672812.0,30,Mass,0,Personal Loan Offer,0,0.4035807902742875
C00154,34,6334135.0,177,5,26,92227823.0,24,Mass,0,Personal Loan Offer,0,0.4520120407178005
C00155,40,7293298.0,160,3,53,70228416.0,27,Mass,1,Personal Loan Offer,1,0.54263950880166
C00156,50,13061261.0,61,4,68,19428317.0,30,Affluent,1,Personal Loan Offer,0,0.4975846767443339
C00157,26,20452028.0,16,1,71,8646897.0,20,Mass,0,Personal Loan Offer,0,0.5945953886866452
C00158,46,23709951.0,62,5,71,20164614.0,28,Priority,1,Personal Loan Offer,0,0.7948237723661885
C00159,43,8323832.0,3,1,100,79560599.0,13,Mass,0,Personal Loan Offer,0,0.3328072884265004
C00160,56,20094858.0,125,5,55,13399470.0,24,Mass,1,Personal Loan Offer,1,0.6937450866268288
C00161,65,7796137.0,70,4,49,3255361.0,19,Mass,0,Personal Loan Offer,0,0.2667243287337887
C00162,50,32763720.0,11,1,59,13953397.0,31,Mass,0,Personal Loan Offer,0,0.3418637846281798
C00163,39,6432303.0,177,4,39,15130408.0,36,Mass,1,Personal Loan Offer,0,0.47642673969769295
C00164,39,24917491.0,149,2,38,3236311.0,19,Mass,0,Personal Loan Offer,1,0.4612410193302489
C00165,39,8363185.0,164,3,72,25223336.0,28,Mass,1,Personal Loan Offer,1,0.48160789166029766
C00166,57,36313595.0,180,1,38,33173021.0,35,Mass,0,Personal Loan Offer,0,0.29957651580421807
C00167,35,16612128.0,5,5,78,128460940.0,30,Mass,1,Personal Loan Offer,1,0.5853812315273796
C00168,28,6862677.0,140,4,77,5276987.0,29,Affluent,0,Personal Loan Offer,0,0.5324192727459053
C00169,36,9004059.0,143,3,96,41523258.0,26,Affluent,1,Personal Loan Offer,1,0.7128017277478838
C00170,22,18440629.0,142,6,21,52592232.0,21,Mass,1,Personal Loan Offer,0,0.3655586633767541
C00171,25,21410064.0,50,4,43,33627803.0,28,Mass,1,Personal Loan Offer,0,0.3612973888307585
C00172,25,11542237.0,72,4,80,7307715.0,21,Affluent,0,Personal Loan Offer,1,0.40599682374063195
C00173,55,12298394.0,168,1,49,6895063.0,16,Priority,1,Personal Loan Offer,0,0.33730468576321876
C00174,53,18210545.0,14,4,69,22041544.0,38,Affluent,1,Personal Loan Offer,0,0.5898097472501068
C00175,52,12902173.0,117,5,76,21887374.0,28,Mass,0,Personal Loan Offer,0,0.43126911659719924
C00176,41,5891313.0,144,6,90,11430651.0,23,Affluent,1,Personal Loan Offer,1,0.47193482617982385
C00177,53,7673485.0,145,4,30,72774767.0,24,Affluent,1,Personal Loan Offer,1,0.5335889332807794
C00178,28,13656596.0,109,2,33,13396329.0,17,Mass,0,Personal Loan Offer,1,0.19888576404508249
C00179,61,23416057.0,139,5,52,3010275.0,34,Mass,0,Personal Loan Offer,0,0.3614759375536622
C00180,43,29186229.0,164,1,56,15985399.0,31,Priority,0,Personal Loan Offer,0,0.6989670742329663
C00181,63,18423883.0,139,2,92,32330324.0,26,Priority,1,Personal Loan Offer,0,0.7344990702650919
C00182,27,14054134.0,23,6,13,28154112.0,25,Mass,1,Personal Loan Offer,0,0.5004327851045339
C00183,43,18115253.0,46,5,32,27937081.0,21,Affluent,0,Personal Loan Offer,0,0.5344768880549213
C00184,52,8316102.0,57,6,93,89096610.0,19,Mass,1,Personal Loan Offer,1,0.7829034004113936
C00185,43,11030119.0,64,3,65,6559679.0,25,Affluent,0,Personal Loan Offer,1,0.6106313293271239
C00186,41,7626544.0,67,5,71,13092295.0,21,Mass,0,Personal Loan Offer,0,0.47853357070579555
C00187,28,6038153.0,42,5,32,93764499.0,31,Mass,0,Personal Loan Offer,0,0.28952785030998107
C00188,38,14416287.0,124,2,66,2796538.0,23,Mass,0,Personal Loan Offer,0,0.27050527096350935
C00189,31,13289031.0,22,6,43,18954433.0,30,Mass,0,Personal Loan Offer,0,0.4729460824533572
C00190,34,17516013.0,143,6,76,68350808.0,26,Priority,1,Personal Loan Offer,1,0.6046100190169709
C00191,51,16204163.0,120,1,18,67339603.0,26,Affluent,0,Personal Loan Offer,0,0.21912279413088753
C00192,49,13713229.0,174,5,35,38700350.0,22,Mass,0,Personal Loan Offer,0,0.3951398673145912
C00193,48,16298056.0,4,3,68,39692870.0,18,Mass,0,Personal Loan Offer,0,0.6327982880804728
C00194,37,11721572.0,55,5,64,7061865.0,26,Mass,0,Personal Loan Offer,0,0.3339720735246588
C00195,64,15059318.0,162,4,86,78957470.0,29,Mass,1,Personal Loan Offer,1,0.5959543629511139
C00196,24,8048834.0,90,2,82,6023513.0,26,Mass,0,Personal Loan Offer,0,0.31309068938508017
C00197,36,14705843.0,102,1,11,6393739.0,12,Mass,0,Personal Loan Offer,0,0.15644150098287996
C00198,26,17331686.0,8,4,18,29476885.0,16,Mass,0,Personal Loan Offer,0,0.4249306161577967
C00199,36,8302709.0,138,6,42,12215648.0,28,Priority,0,Personal Loan Offer,1,0.47388858779480353
C00200,64,12347015.0,48,5,97,24592191.0,18,Affluent,1,Personal Loan Offer,1,0.6530814611975486
C00201,37,8515817.0,174,2,53,30768743.0,20,Mass,1,Personal Loan Offer,0,0.36711647424094274
C00202,61,8982947.0,69,6,91,118373161.0,28,Affluent,1,Personal Loan Offer,0,0.7856531905909618
C00203,43,6463659.0,36,3,15,30859877.0,36,Mass,0,Personal Loan Offer,0,0.23047901063070628
C00204,52,24072807.0,108,4,97,10774670.0,31,Affluent,1,Personal Loan Offer,0,0.8141131019039033
C00205,41,21564178.0,87,2,15,39339151.0,19,Mass,0,Personal Loan Offer,1,0.2224595371937804
C00206,32,16127006.0,86,4,83,8705701.0,19,Mass,1,Personal Loan Offer,1,0.608386686621611
C00207,55,35502901.0,172,4,89,49843485.0,19,Mass,1,Personal Loan Offer,1,0.6137106059082807
C00208,64,10813783.0,67,5,36,21335241.0,35,Priority,1,Personal Loan Offer,0,0.6328399844635978
C00209,32,63584897.0,73,3,37,29852724.0,22,Affluent,1,Personal Loan Offer,0,0.7737555615142523
C00210,56,10588468.0,114,4,62,3370558.0,21,Affluent,0,Personal Loan Offer,0,0.48357970185653604
C00211,32,13808205.0,33,4,75,2106413.0,22,Affluent,1,Personal Loan Offer,1,0.5758076032206163
C00212,53,9642002.0,150,3,20,4456252.0,29,Affluent,1,Personal Loan Offer,0,0.2954001645505198
C00213,56,14727047.0,43,4,31,114606340.0,19,Affluent,0,Personal Loan Offer,0,0.3656084285538505
C00214,41,19001062.0,46,1,78,6344431.0,29,Mass,0,Personal Loan Offer,0,0.3626396219759287
C00215,54,11271221.0,4,6,83,41597583.0,27,Mass,0,Personal Loan Offer,1,0.6281688290364222
C00216,33,31883944.0,64,1,23,10525748.0,27,Affluent,0,Personal Loan Offer,1,0.2610711497276602
C00217,24,13686894.0,106,6,90,15732084.0,17,Priority,0,Personal Loan Offer,0,0.6561275483964553
C00218,25,13924830.0,128,5,88,19125299.0,23,Mass,1,Personal Loan Offer,0,0.2415061362529396
C00219,41,7278741.0,162,6,88,103493696.0,23,Priority,1,Personal Loan Offer,1,0.8496635720405116
C00220,61,15105836.0,141,1,31,35882073.0,33,Affluent,1,Personal Loan Offer,0,0.5397819852732052
C00221,26,11147237.0,60,2,70,29393261.0,20,Mass,1,Personal Loan Offer,1,0.4986499262983744
C00222,41,8588077.0,149,1,24,73144044.0,21,Priority,0,Personal Loan Offer,0,0.243229524471613
C00223,52,7829086.0,37,3,27,10617838.0,21,Affluent,0,Personal Loan Offer,0,0.2209328084815912
C00224,30,52163161.0,40,6,16,58211053.0,23,Mass,1,Personal Loan Offer,0,0.31434075335696177
C00225,53,10381176.0,66,5,54,49256181.0,21,Affluent,1,Personal Loan Offer,0,0.6133662860424554
C00226,34,5384717.0,98,5,74,48697692.0,24,Mass,0,Personal Loan Offer,0,0.6884951317975849
C00227,57,8173399.0,39,6,28,17128017.0,21,Mass,0,Personal Loan Offer,0,0.42178247156084264
C00228,47,11664433.0,163,1,26,12915361.0,34,Mass,0,Personal Loan Offer,0,0.35263219800820944
C00229,45,16209111.0,51,5,35,8380509.0,19,Mass,0,Personal Loan Offer,1,0.46293690256950093
C00230,28,16281748.0,72,2,27,8922266.0,20,Affluent,0,Personal Loan Offer,0,0.2550172834952802
C00231,41,17409998.0,110,5,85,7994223.0,27,Mass,1,Personal Loan Offer,0,0.7234917446671983
C00232,59,8416832.0,79,5,25,28863564.0,31,Mass,0,Personal Loan Offer,0,0.4931916034964358
C00233,21,14471033.0,74,5,35,15917131.0,21,Mass,1,Personal Loan Offer,0,0.2964492174232868
C00234,55,7411805.0,178,3,37,30788230.0,21,Mass,1,Personal Loan Offer,1,0.42389696274720845
C00235,43,8534383.0,80,4,28,32577253.0,26,Mass,0,Personal Loan Offer,0,0.32869993287686333
C00236,53,7243951.0,23,3,95,6930807.0,24,Mass,1,Personal Loan Offer,1,0.5074296034970872
C00237,50,6241951.0,132,4,29,6725887.0,20,Mass,1,Personal Loan Offer,1,0.3708110279690859
C00238,40,21546683.0,128,3,54,15911974.0,25,Mass,0,Personal Loan Offer,0,0.47819819942774866
C00239,34,17525257.0,41,3,61,9212963.0,23,Affluent,0,Personal Loan Offer,0,0.6122874203309637
C00240,49,20533806.0,154,2,33,8292240.0,23,Affluent,0,Personal Loan Offer,0,0.2795321924953855
C00241,27,12262292.0,72,3,52,109007783.0,21,Affluent,1,Personal Loan Offer,0,0.5426595445277852
C00242,47,18396324.0,29,5,25,4316209.0,21,Mass,0,Personal Loan Offer,0,0.25686152405583274
C00243,25,4554872.0,33,6,53,151229220.0,28,Affluent,1,Personal Loan Offer,1,0.5659602890539315
C00244,50,19290346.0,130,1,11,26698534.0,27,Mass,0,Personal Loan Offer,0,0.21933838370049916
C00245,49,13227825.0,41,2,49,53622597.0,19,Affluent,1,Personal Loan Offer,0,0.5309646632816029
C00246,24,16942359.0,86,4,43,47658695.0,21,Mass,1,Personal Loan Offer,0,0.41674078950980503
C00247,55,14789530.0,133,5,41,37065679.0,28,Affluent,0,Personal Loan Offer,0,0.47849156537489856
C00248,39,6972866.0,154,2,20,105379073.0,32,Priority,0,Personal Loan Offer,1,0.5504478201180292
C00249,56,5264493.0,90,2,100,6775516.0,24,Affluent,0,Personal Loan Offer,1,0.5229273007852429
C00250,22,8111452.0,164,1,12,17104711.0,20,Affluent,0,Personal Loan Offer,0,0.1997520930625741
C00251,29,16372632.0,56,1,23,8523997.0,19,Mass,1,Personal Loan Offer,0,0.1103565246051611
C00252,43,17539525.0,158,1,19,3668023.0,30,Mass,0,Personal Loan Offer,0,0.22799673833196707
C00253,29,5654990.0,47,5,98,10324205.0,13,Mass,1,Personal Loan Offer,0,0.4828342142296496
C00254,35,6995744.0,14,6,38,130096964.0,29,Mass,0,Personal Loan Offer,0,0.44464570826317484
C00255,50,8061721.0,132,3,49,16814903.0,32,Affluent,0,Personal Loan Offer,0,0.4794748403321581
C00256,27,9859041.0,137,2,78,145365024.0,27,Affluent,0,Personal Loan Offer,0,0.4103752189261109
C00257,51,5673344.0,167,6,14,161024969.0,35,Priority,0,Personal Loan Offer,0,0.4125369780715715
C00258,25,5489176.0,167,2,16,399759309.0,29,Priority,1,Personal Loan Offer,0,0.24102356481452153
C00259,28,7636178.0,21,1,26,134454425.0,16,Mass,1,Personal Loan Offer,0,0.20193192049240866
